,from_id,to_id,travel_time
0,CRS3035RES1000mN2028000E3189000,25526,114.0
1,CRS3035RES1000mN2028000E3189000,1774,84.0
2,CRS3035RES1000mN2028000E3189000,1770,96.0
3,CRS3035RES1000mN2028000E3189000,1773,93.0
4,CRS3035RES1000mN2028000E3189000,1771,91.0
5,CRS3035RES1000mN2028000E3189000,123303,103.0
6,CRS3035RES1000mN2028000E3189000,1764,82.0
7,CRS3035RES1000mN2028000E3189000,181101,92.0
8,CRS3035RES1000mN2028000E3189000,5765642,108.0
9,CRS3035RES1000mN2028000E3189000,86719,112.0
10,CRS3035RES1000mN2028000E3189000,1800,95.0
11,CRS3035RES1000mN2028000E3189000,1757,103.0
12,CRS3035RES1000mN2028000E3189000,1755,104.0
13,CRS3035RES1000mN2028000E3189000,1882,90.0
14,CRS3035RES1000mN2028000E3189000,1745,71.0
15,CRS3035RES1000mN2028000E3189000,1794,77.0
16,CRS3035RES1000mN2028000E3189000,1762,76.0
17,CRS3035RES1000mN2028000E3189000,51188,86.0
18,CRS3035RES1000mN2028000E3189000,6893633,79.0
19,CRS3035RES1000mN2028000E3189000,167128,87.0
20,CRS3035RES1000mN2028000E3189000,1760,78.0
21,CRS3035RES1000mN2028000E3189000,12773298,105.0
22,CRS3035RES1000mN2028000E3189000,1754,108.0
23,CRS3035RES1000mN2028000E3189000,1748,90.0
24,CRS3035RES1000mN2028000E3189000,79941,75.0
25,CRS3035RES1000mN2028000E3189000,1750,89.0
26,CRS3035RES1000mN2028000E3189000,5975465,92.0
27,CRS3035RES1000mN2028000E3189000,115056,81.0
28,CRS3035RES1000mN2028000E3189000,1790,94.0
29,CRS3035RES1000mN2028000E3189000,1756,104.0
30,CRS3035RES1000mN2028000E3189000,51849,87.0
31,CRS3035RES1000mN2028000E3189000,185595,85.0
32,CRS3035RES1000mN2028000E3189000,7697128,85.0
33,CRS3035RES1000mN2028000E3189000,10395362,96.0
34,CRS3035RES1000mN2028000E3189000,1759,84.0
35,CRS3035RES1000mN2028000E3189000,1752,82.0
36,CRS3035RES1000mN2028000E3189000,186714,81.0
37,CRS3035RES1000mN2028000E3189000,1753,96.0
38,CRS3035RES1000mN2028000E3189000,1792,93.0
39,CRS3035RES1000mN2028000E3189000,1763,102.0
40,CRS3035RES1000mN2028000E3189000,1746,90.0
41,CRS3035RES1000mN2028000E3189000,11572165,101.0
42,CRS3035RES1000mN2028000E3189000,1761,93.0
43,CRS3035RES1000mN2028000E3189000,1747,85.0
44,CRS3035RES1000mN2028000E3189000,5768564,105.0
45,CRS3035RES1000mN2028000E3189000,1798,91.0
46,CRS3035RES1000mN2028000E3189000,66904,93.0
47,CRS3035RES1000mN2028000E3189000,1777,78.0
48,CRS3035RES1000mN2028000E3189000,1765,78.0
49,CRS3035RES1000mN2028000E3189000,49416,98.0
50,CRS3035RES1000mN2028000E3189000,12734939,98.0
51,CRS3035RES1000mN2028000E3189000,167386167,84.0
52,CRS3035RES1000mN2028000E3189000,295933804,105.0
53,CRS3035RES1000mN2028000E3189000,303340017,102.0
54,CRS3035RES1000mN2028000E3189000,315355551,
