,from_id,to_id,travel_time
0,CRS3035RES1000mN2038000E3169000,25526,114.0
1,CRS3035RES1000mN2038000E3169000,1774,92.0
2,CRS3035RES1000mN2038000E3169000,1770,71.0
3,CRS3035RES1000mN2038000E3169000,1773,102.0
4,CRS3035RES1000mN2038000E3169000,1771,91.0
5,CRS3035RES1000mN2038000E3169000,123303,112.0
6,CRS3035RES1000mN2038000E3169000,1764,89.0
7,CRS3035RES1000mN2038000E3169000,181101,111.0
8,CRS3035RES1000mN2038000E3169000,5765642,116.0
9,CRS3035RES1000mN2038000E3169000,86719,117.0
10,CRS3035RES1000mN2038000E3169000,1800,107.0
11,CRS3035RES1000mN2038000E3169000,1757,102.0
12,CRS3035RES1000mN2038000E3169000,1755,104.0
13,CRS3035RES1000mN2038000E3169000,1882,90.0
14,CRS3035RES1000mN2038000E3169000,1745,71.0
15,CRS3035RES1000mN2038000E3169000,1794,81.0
16,CRS3035RES1000mN2038000E3169000,1762,84.0
17,CRS3035RES1000mN2038000E3169000,51188,78.0
18,CRS3035RES1000mN2038000E3169000,6893633,88.0
19,CRS3035RES1000mN2038000E3169000,167128,97.0
20,CRS3035RES1000mN2038000E3169000,1760,81.0
21,CRS3035RES1000mN2038000E3169000,12773298,106.0
22,CRS3035RES1000mN2038000E3169000,1754,117.0
23,CRS3035RES1000mN2038000E3169000,1748,108.0
24,CRS3035RES1000mN2038000E3169000,79941,57.0
25,CRS3035RES1000mN2038000E3169000,1750,68.0
26,CRS3035RES1000mN2038000E3169000,5975465,96.0
27,CRS3035RES1000mN2038000E3169000,115056,83.0
28,CRS3035RES1000mN2038000E3169000,1790,81.0
29,CRS3035RES1000mN2038000E3169000,1756,111.0
30,CRS3035RES1000mN2038000E3169000,51849,92.0
31,CRS3035RES1000mN2038000E3169000,185595,88.0
32,CRS3035RES1000mN2038000E3169000,7697128,84.0
33,CRS3035RES1000mN2038000E3169000,10395362,61.0
34,CRS3035RES1000mN2038000E3169000,1759,81.0
35,CRS3035RES1000mN2038000E3169000,1752,91.0
36,CRS3035RES1000mN2038000E3169000,186714,89.0
37,CRS3035RES1000mN2038000E3169000,1753,101.0
38,CRS3035RES1000mN2038000E3169000,1792,103.0
39,CRS3035RES1000mN2038000E3169000,1763,101.0
40,CRS3035RES1000mN2038000E3169000,1746,91.0
41,CRS3035RES1000mN2038000E3169000,11572165,108.0
42,CRS3035RES1000mN2038000E3169000,1761,96.0
43,CRS3035RES1000mN2038000E3169000,1747,102.0
44,CRS3035RES1000mN2038000E3169000,5768564,105.0
45,CRS3035RES1000mN2038000E3169000,1798,94.0
46,CRS3035RES1000mN2038000E3169000,66904,75.0
47,CRS3035RES1000mN2038000E3169000,1777,78.0
48,CRS3035RES1000mN2038000E3169000,1765,87.0
49,CRS3035RES1000mN2038000E3169000,49416,105.0
50,CRS3035RES1000mN2038000E3169000,12734939,105.0
51,CRS3035RES1000mN2038000E3169000,167386167,81.0
52,CRS3035RES1000mN2038000E3169000,295933804,107.0
53,CRS3035RES1000mN2038000E3169000,303340017,102.0
54,CRS3035RES1000mN2038000E3169000,315355551,
55,CRS3035RES1000mN2038000E3169000,339084977,94.0
56,CRS3035RES1000mN2038000E3169000,412911553,88.0
57,CRS3035RES1000mN2038000E3169000,558126037,119.0
58,CRS3035RES1000mN2038000E3169000,711789768,
59,CRS3035RES1000mN2038000E3169000,727666062,
60,CRS3035RES1000mN2038000E3169000,848085869,
61,CRS3035RES1000mN2038000E3169000,1056098898,93.0
62,CRS3035RES1000mN2038000E3169000,1255438242,109.0
63,CRS3035RES1000mN2038000E3169000,1469985039,105.0
64,CRS3035RES1000mN2038000E3169000,1504302537,
65,CRS3035RES1000mN2038000E3169000,1511617504,
66,CRS3035RES1000mN2038000E3169000,1541601287,107.0
67,CRS3035RES1000mN2038000E3169000,1544591296,65.0
68,CRS3035RES1000mN2038000E3169000,1598174183,84.0
69,CRS3035RES1000mN2038000E3169000,1629887846,94.0
70,CRS3035RES1000mN2038000E3169000,1686660176,86.0
71,CRS3035RES1000mN2038000E3169000,1716927336,
72,CRS3035RES1000mN2038000E3169000,1734554324,92.0
73,CRS3035RES1000mN2038000E3169000,1849109335,107.0
74,CRS3035RES1000mN2038000E3169000,2028408680,
75,CRS3035RES1000mN2038000E3169000,2036887702,
76,CRS3035RES1000mN2038000E3169000,2061404218,70.0
77,CRS3035RES1000mN2038000E3169000,2134238030,94.0
78,CRS3035RES1000mN2038000E3169000,2261600754,
79,CRS3035RES1000mN2038000E3169000,2301402027,99.0
80,CRS3035RES1000mN2038000E3169000,2303966810,
81,CRS3035RES1000mN2038000E3169000,2312029862,91.0
82,CRS3035RES1000mN2038000E3169000,2408860250,119.0
83,CRS3035RES1000mN2038000E3169000,2620185829,88.0
84,CRS3035RES1000mN2038000E3169000,2622508931,94.0
85,CRS3035RES1000mN2038000E3169000,2672130951,
86,CRS3035RES1000mN2038000E3169000,2710518818,119.0
87,CRS3035RES1000mN2038000E3169000,3034026261,
88,CRS3035RES1000mN2038000E3169000,3179889751,
89,CRS3035RES1000mN2038000E3169000,3206611978,
90,CRS3035RES1000mN2038000E3169000,3272828439,
91,CRS3035RES1000mN2038000E3169000,3452364276,84.0
92,CRS3035RES1000mN2038000E3169000,3452364277,80.0
93,CRS3035RES1000mN2038000E3169000,3495733197,
94,CRS3035RES1000mN2038000E3169000,3497154853,
95,CRS3035RES1000mN2038000E3169000,3517755445,
96,CRS3035RES1000mN2038000E3169000,3522125657,
97,CRS3035RES1000mN2038000E3169000,3526751794,88.0
98,CRS3035RES1000mN2038000E3169000,3839306060,90.0
99,CRS3035RES1000mN2038000E3169000,4214697664,96.0
100,CRS3035RES1000mN2038000E3169000,4338252586,76.0
101,CRS3035RES1000mN2038000E3169000,4401271633,
102,CRS3035RES1000mN2038000E3169000,4515476768,
103,CRS3035RES1000mN2038000E3169000,4569910891,88.0
104,CRS3035RES1000mN2038000E3169000,4703730491,119.0
105,CRS3035RES1000mN2038000E3169000,4707870392,118.0
106,CRS3035RES1000mN2038000E3169000,4789037769,
107,CRS3035RES1000mN2038000E3169000,4794233143,119.0
108,CRS3035RES1000mN2038000E3169000,4870405674,106.0
109,CRS3035RES1000mN2038000E3169000,5139379922,
110,CRS3035RES1000mN2038000E3169000,5160337425,87.0
111,CRS3035RES1000mN2038000E3169000,5196199575,
112,CRS3035RES1000mN2038000E3169000,5341570554,95.0
113,CRS3035RES1000mN2038000E3169000,5345949864,
114,CRS3035RES1000mN2038000E3169000,5448507385,
115,CRS3035RES1000mN2038000E3169000,5604693894,73.0
116,CRS3035RES1000mN2038000E3169000,5670401989,
117,CRS3035RES1000mN2038000E3169000,5942671299,118.0
118,CRS3035RES1000mN2038000E3169000,5943980960,
119,CRS3035RES1000mN2038000E3169000,6185791451,
120,CRS3035RES1000mN2038000E3169000,6188948286,117.0
121,CRS3035RES1000mN2038000E3169000,6555800191,
122,CRS3035RES1000mN2038000E3169000,6885254479,62.0
123,CRS3035RES1000mN2038000E3169000,7222611268,
124,CRS3035RES1000mN2038000E3169000,7408961006,
125,CRS3035RES1000mN2038000E3169000,7619964683,113.0
126,CRS3035RES1000mN2038000E3169000,7836562695,90.0
