,from_id,to_id,travel_time
0,CRS3035RES1000mN2022000E3146000,25526,60.0
1,CRS3035RES1000mN2022000E3146000,1774,81.0
2,CRS3035RES1000mN2022000E3146000,1770,102.0
3,CRS3035RES1000mN2022000E3146000,1773,101.0
4,CRS3035RES1000mN2022000E3146000,1771,77.0
5,CRS3035RES1000mN2022000E3146000,123303,81.0
6,CRS3035RES1000mN2022000E3146000,1764,81.0
7,CRS3035RES1000mN2022000E3146000,181101,99.0
8,CRS3035RES1000mN2022000E3146000,5765642,68.0
9,CRS3035RES1000mN2022000E3146000,86719,79.0
10,CRS3035RES1000mN2022000E3146000,1800,98.0
11,CRS3035RES1000mN2022000E3146000,1757,65.0
12,CRS3035RES1000mN2022000E3146000,1755,76.0
13,CRS3035RES1000mN2022000E3146000,1882,74.0
14,CRS3035RES1000mN2022000E3146000,1745,95.0
15,CRS3035RES1000mN2022000E3146000,1794,93.0
16,CRS3035RES1000mN2022000E3146000,1762,85.0
17,CRS3035RES1000mN2022000E3146000,51188,84.0
18,CRS3035RES1000mN2022000E3146000,6893633,88.0
19,CRS3035RES1000mN2022000E3146000,167128,98.0
20,CRS3035RES1000mN2022000E3146000,1760,89.0
21,CRS3035RES1000mN2022000E3146000,12773298,85.0
22,CRS3035RES1000mN2022000E3146000,1754,91.0
23,CRS3035RES1000mN2022000E3146000,1748,95.0
24,CRS3035RES1000mN2022000E3146000,79941,100.0
25,CRS3035RES1000mN2022000E3146000,1750,94.0
26,CRS3035RES1000mN2022000E3146000,5975465,78.0
27,CRS3035RES1000mN2022000E3146000,115056,101.0
28,CRS3035RES1000mN2022000E3146000,1790,92.0
29,CRS3035RES1000mN2022000E3146000,1756,73.0
30,CRS3035RES1000mN2022000E3146000,51849,95.0
31,CRS3035RES1000mN2022000E3146000,185595,88.0
32,CRS3035RES1000mN2022000E3146000,7697128,71.0
33,CRS3035RES1000mN2022000E3146000,10395362,99.0
34,CRS3035RES1000mN2022000E3146000,1759,87.0
35,CRS3035RES1000mN2022000E3146000,1752,92.0
36,CRS3035RES1000mN2022000E3146000,186714,92.0
37,CRS3035RES1000mN2022000E3146000,1753,92.0
38,CRS3035RES1000mN2022000E3146000,1792,90.0
39,CRS3035RES1000mN2022000E3146000,1763,77.0
40,CRS3035RES1000mN2022000E3146000,1746,102.0
41,CRS3035RES1000mN2022000E3146000,11572165,88.0
42,CRS3035RES1000mN2022000E3146000,1761,87.0
43,CRS3035RES1000mN2022000E3146000,1747,100.0
44,CRS3035RES1000mN2022000E3146000,5768564,64.0
45,CRS3035RES1000mN2022000E3146000,1798,73.0
46,CRS3035RES1000mN2022000E3146000,66904,92.0
47,CRS3035RES1000mN2022000E3146000,1777,78.0
48,CRS3035RES1000mN2022000E3146000,1765,88.0
49,CRS3035RES1000mN2022000E3146000,49416,92.0
50,CRS3035RES1000mN2022000E3146000,12734939,92.0
51,CRS3035RES1000mN2022000E3146000,167386167,81.0
52,CRS3035RES1000mN2022000E3146000,295933804,84.0
53,CRS3035RES1000mN2022000E3146000,303340017,101.0
54,CRS3035RES1000mN2022000E3146000,315355551,82.0
55,CRS3035RES1000mN2022000E3146000,339084977,81.0
56,CRS3035RES1000mN2022000E3146000,412911553,83.0
57,CRS3035RES1000mN2022000E3146000,558126037,75.0
58,CRS3035RES1000mN2022000E3146000,711789768,84.0
59,CRS3035RES1000mN2022000E3146000,727666062,
60,CRS3035RES1000mN2022000E3146000,848085869,66.0
61,CRS3035RES1000mN2022000E3146000,1056098898,94.0
62,CRS3035RES1000mN2022000E3146000,1255438242,
63,CRS3035RES1000mN2022000E3146000,1469985039,105.0
64,CRS3035RES1000mN2022000E3146000,1504302537,
65,CRS3035RES1000mN2022000E3146000,1511617504,52.0
66,CRS3035RES1000mN2022000E3146000,1541601287,107.0
67,CRS3035RES1000mN2022000E3146000,1544591296,97.0
68,CRS3035RES1000mN2022000E3146000,1598174183,99.0
69,CRS3035RES1000mN2022000E3146000,1629887846,103.0
70,CRS3035RES1000mN2022000E3146000,1686660176,103.0
71,CRS3035RES1000mN2022000E3146000,1716927336,99.0
72,CRS3035RES1000mN2022000E3146000,1734554324,118.0
73,CRS3035RES1000mN2022000E3146000,1849109335,103.0
74,CRS3035RES1000mN2022000E3146000,2028408680,71.0
75,CRS3035RES1000mN2022000E3146000,2036887702,
76,CRS3035RES1000mN2022000E3146000,2061404218,103.0
77,CRS3035RES1000mN2022000E3146000,2134238030,113.0
78,CRS3035RES1000mN2022000E3146000,2261600754,
79,CRS3035RES1000mN2022000E3146000,2301402027,111.0
80,CRS3035RES1000mN2022000E3146000,2303966810,81.0
81,CRS3035RES1000mN2022000E3146000,2312029862,102.0
82,CRS3035RES1000mN2022000E3146000,2408860250,118.0
83,CRS3035RES1000mN2022000E3146000,2620185829,87.0
84,CRS3035RES1000mN2022000E3146000,2622508931,83.0
85,CRS3035RES1000mN2022000E3146000,2672130951,
86,CRS3035RES1000mN2022000E3146000,2710518818,113.0
87,CRS3035RES1000mN2022000E3146000,3034026261,93.0
88,CRS3035RES1000mN2022000E3146000,3179889751,
89,CRS3035RES1000mN2022000E3146000,3206611978,
90,CRS3035RES1000mN2022000E3146000,3272828439,70.0
91,CRS3035RES1000mN2022000E3146000,3452364276,107.0
92,CRS3035RES1000mN2022000E3146000,3452364277,89.0
93,CRS3035RES1000mN2022000E3146000,3495733197,
94,CRS3035RES1000mN2022000E3146000,3497154853,
95,CRS3035RES1000mN2022000E3146000,3517755445,
96,CRS3035RES1000mN2022000E3146000,3522125657,
97,CRS3035RES1000mN2022000E3146000,3526751794,
98,CRS3035RES1000mN2022000E3146000,3839306060,106.0
99,CRS3035RES1000mN2022000E3146000,4214697664,68.0
100,CRS3035RES1000mN2022000E3146000,4338252586,
101,CRS3035RES1000mN2022000E3146000,4401271633,
102,CRS3035RES1000mN2022000E3146000,4515476768,
103,CRS3035RES1000mN2022000E3146000,4569910891,76.0
104,CRS3035RES1000mN2022000E3146000,4703730491,83.0
105,CRS3035RES1000mN2022000E3146000,4707870392,80.0
106,CRS3035RES1000mN2022000E3146000,4789037769,116.0
107,CRS3035RES1000mN2022000E3146000,4794233143,
108,CRS3035RES1000mN2022000E3146000,4870405674,67.0
109,CRS3035RES1000mN2022000E3146000,5139379922,95.0
110,CRS3035RES1000mN2022000E3146000,5160337425,82.0
111,CRS3035RES1000mN2022000E3146000,5196199575,83.0
112,CRS3035RES1000mN2022000E3146000,5341570554,91.0
113,CRS3035RES1000mN2022000E3146000,5345949864,110.0
114,CRS3035RES1000mN2022000E3146000,5448507385,
115,CRS3035RES1000mN2022000E3146000,5604693894,
116,CRS3035RES1000mN2022000E3146000,5670401989,
117,CRS3035RES1000mN2022000E3146000,5942671299,117.0
118,CRS3035RES1000mN2022000E3146000,5943980960,63.0
119,CRS3035RES1000mN2022000E3146000,6185791451,
120,CRS3035RES1000mN2022000E3146000,6188948286,111.0
121,CRS3035RES1000mN2022000E3146000,6555800191,51.0
122,CRS3035RES1000mN2022000E3146000,6885254479,100.0
123,CRS3035RES1000mN2022000E3146000,7222611268,
124,CRS3035RES1000mN2022000E3146000,7408961006,
125,CRS3035RES1000mN2022000E3146000,7619964683,
126,CRS3035RES1000mN2022000E3146000,7836562695,114.0
127,CRS3035RES1000mN2022000E3146000,8493729364,77.0
128,CRS3035RES1000mN2022000E3146000,8557885377,
129,CRS3035RES1000mN2022000E3146000,8807212208,81.0
130,CRS3035RES1000mN2022000E3146000,8844229173,88.0
131,CRS3035RES1000mN2022000E3146000,8878422600,100.0
132,CRS3035RES1000mN2022000E3146000,9595709188,90.0
133,CRS3035RES1000mN2022000E3146000,9611387099,71.0
134,CRS3035RES1000mN2022000E3146000,9712656915,77.0
135,CRS3035RES1000mN2022000E3146000,9713142744,81.0
