,from_id,to_id,travel_time
0,CRS3035RES1000mN2028000E3145000,25526,71.0
1,CRS3035RES1000mN2028000E3145000,1774,96.0
2,CRS3035RES1000mN2028000E3145000,1770,109.0
3,CRS3035RES1000mN2028000E3145000,1773,113.0
4,CRS3035RES1000mN2028000E3145000,1771,85.0
5,CRS3035RES1000mN2028000E3145000,123303,95.0
6,CRS3035RES1000mN2028000E3145000,1764,88.0
7,CRS3035RES1000mN2028000E3145000,181101,116.0
8,CRS3035RES1000mN2028000E3145000,5765642,76.0
9,CRS3035RES1000mN2028000E3145000,86719,107.0
10,CRS3035RES1000mN2028000E3145000,1800,109.0
11,CRS3035RES1000mN2028000E3145000,1757,73.0
12,CRS3035RES1000mN2028000E3145000,1755,87.0
13,CRS3035RES1000mN2028000E3145000,1882,82.0
14,CRS3035RES1000mN2028000E3145000,1745,104.0
15,CRS3035RES1000mN2028000E3145000,1794,101.0
16,CRS3035RES1000mN2028000E3145000,1762,93.0
17,CRS3035RES1000mN2028000E3145000,51188,92.0
18,CRS3035RES1000mN2028000E3145000,6893633,98.0
19,CRS3035RES1000mN2028000E3145000,167128,109.0
20,CRS3035RES1000mN2028000E3145000,1760,97.0
21,CRS3035RES1000mN2028000E3145000,12773298,109.0
22,CRS3035RES1000mN2028000E3145000,1754,101.0
23,CRS3035RES1000mN2028000E3145000,1748,111.0
24,CRS3035RES1000mN2028000E3145000,79941,110.0
25,CRS3035RES1000mN2028000E3145000,1750,102.0
26,CRS3035RES1000mN2028000E3145000,5975465,88.0
27,CRS3035RES1000mN2028000E3145000,115056,108.0
28,CRS3035RES1000mN2028000E3145000,1790,100.0
29,CRS3035RES1000mN2028000E3145000,1756,82.0
30,CRS3035RES1000mN2028000E3145000,51849,103.0
31,CRS3035RES1000mN2028000E3145000,185595,96.0
32,CRS3035RES1000mN2028000E3145000,7697128,79.0
33,CRS3035RES1000mN2028000E3145000,10395362,111.0
34,CRS3035RES1000mN2028000E3145000,1759,95.0
35,CRS3035RES1000mN2028000E3145000,1752,103.0
36,CRS3035RES1000mN2028000E3145000,186714,99.0
37,CRS3035RES1000mN2028000E3145000,1753,103.0
38,CRS3035RES1000mN2028000E3145000,1792,111.0
39,CRS3035RES1000mN2028000E3145000,1763,91.0
40,CRS3035RES1000mN2028000E3145000,1746,110.0
41,CRS3035RES1000mN2028000E3145000,11572165,104.0
42,CRS3035RES1000mN2028000E3145000,1761,98.0
43,CRS3035RES1000mN2028000E3145000,1747,114.0
44,CRS3035RES1000mN2028000E3145000,5768564,70.0
45,CRS3035RES1000mN2028000E3145000,1798,85.0
46,CRS3035RES1000mN2028000E3145000,66904,100.0
47,CRS3035RES1000mN2028000E3145000,1777,87.0
48,CRS3035RES1000mN2028000E3145000,1765,96.0
49,CRS3035RES1000mN2028000E3145000,49416,111.0
50,CRS3035RES1000mN2028000E3145000,12734939,111.0
51,CRS3035RES1000mN2028000E3145000,167386167,88.0
52,CRS3035RES1000mN2028000E3145000,295933804,93.0
53,CRS3035RES1000mN2028000E3145000,303340017,102.0
54,CRS3035RES1000mN2028000E3145000,315355551,88.0
55,CRS3035RES1000mN2028000E3145000,339084977,91.0
56,CRS3035RES1000mN2028000E3145000,412911553,92.0
57,CRS3035RES1000mN2028000E3145000,558126037,81.0
58,CRS3035RES1000mN2028000E3145000,711789768,114.0
59,CRS3035RES1000mN2028000E3145000,727666062,
60,CRS3035RES1000mN2028000E3145000,848085869,85.0
61,CRS3035RES1000mN2028000E3145000,1056098898,102.0
62,CRS3035RES1000mN2028000E3145000,1255438242,
63,CRS3035RES1000mN2028000E3145000,1469985039,
64,CRS3035RES1000mN2028000E3145000,1504302537,
65,CRS3035RES1000mN2028000E3145000,1511617504,104.0
66,CRS3035RES1000mN2028000E3145000,1541601287,110.0
67,CRS3035RES1000mN2028000E3145000,1544591296,103.0
68,CRS3035RES1000mN2028000E3145000,1598174183,113.0
69,CRS3035RES1000mN2028000E3145000,1629887846,118.0
70,CRS3035RES1000mN2028000E3145000,1686660176,111.0
71,CRS3035RES1000mN2028000E3145000,1716927336,
72,CRS3035RES1000mN2028000E3145000,1734554324,
73,CRS3035RES1000mN2028000E3145000,1849109335,107.0
74,CRS3035RES1000mN2028000E3145000,2028408680,114.0
75,CRS3035RES1000mN2028000E3145000,2036887702,
76,CRS3035RES1000mN2028000E3145000,2061404218,105.0
77,CRS3035RES1000mN2028000E3145000,2134238030,
78,CRS3035RES1000mN2028000E3145000,2261600754,
79,CRS3035RES1000mN2028000E3145000,2301402027,
80,CRS3035RES1000mN2028000E3145000,2303966810,111.0
81,CRS3035RES1000mN2028000E3145000,2312029862,116.0
82,CRS3035RES1000mN2028000E3145000,2408860250,
83,CRS3035RES1000mN2028000E3145000,2620185829,95.0
84,CRS3035RES1000mN2028000E3145000,2622508931,92.0
85,CRS3035RES1000mN2028000E3145000,2672130951,
86,CRS3035RES1000mN2028000E3145000,2710518818,
87,CRS3035RES1000mN2028000E3145000,3034026261,
88,CRS3035RES1000mN2028000E3145000,3179889751,
89,CRS3035RES1000mN2028000E3145000,3206611978,
90,CRS3035RES1000mN2028000E3145000,3272828439,101.0
91,CRS3035RES1000mN2028000E3145000,3452364276,115.0
92,CRS3035RES1000mN2028000E3145000,3452364277,97.0
93,CRS3035RES1000mN2028000E3145000,3495733197,
94,CRS3035RES1000mN2028000E3145000,3497154853,
95,CRS3035RES1000mN2028000E3145000,3517755445,
96,CRS3035RES1000mN2028000E3145000,3522125657,
97,CRS3035RES1000mN2028000E3145000,3526751794,
98,CRS3035RES1000mN2028000E3145000,3839306060,115.0
99,CRS3035RES1000mN2028000E3145000,4214697664,78.0
100,CRS3035RES1000mN2028000E3145000,4338252586,
101,CRS3035RES1000mN2028000E3145000,4401271633,
102,CRS3035RES1000mN2028000E3145000,4515476768,
103,CRS3035RES1000mN2028000E3145000,4569910891,84.0
104,CRS3035RES1000mN2028000E3145000,4703730491,85.0
105,CRS3035RES1000mN2028000E3145000,4707870392,81.0
106,CRS3035RES1000mN2028000E3145000,4789037769,
107,CRS3035RES1000mN2028000E3145000,4794233143,
108,CRS3035RES1000mN2028000E3145000,4870405674,71.0
109,CRS3035RES1000mN2028000E3145000,5139379922,58.0
110,CRS3035RES1000mN2028000E3145000,5160337425,90.0
111,CRS3035RES1000mN2028000E3145000,5196199575,69.0
112,CRS3035RES1000mN2028000E3145000,5341570554,103.0
113,CRS3035RES1000mN2028000E3145000,5345949864,
114,CRS3035RES1000mN2028000E3145000,5448507385,
115,CRS3035RES1000mN2028000E3145000,5604693894,
116,CRS3035RES1000mN2028000E3145000,5670401989,
117,CRS3035RES1000mN2028000E3145000,5942671299,
118,CRS3035RES1000mN2028000E3145000,5943980960,77.0
119,CRS3035RES1000mN2028000E3145000,6185791451,
120,CRS3035RES1000mN2028000E3145000,6188948286,
121,CRS3035RES1000mN2028000E3145000,6555800191,94.0
122,CRS3035RES1000mN2028000E3145000,6885254479,105.0
123,CRS3035RES1000mN2028000E3145000,7222611268,
124,CRS3035RES1000mN2028000E3145000,7408961006,
125,CRS3035RES1000mN2028000E3145000,7619964683,
126,CRS3035RES1000mN2028000E3145000,7836562695,
127,CRS3035RES1000mN2028000E3145000,8493729364,90.0
128,CRS3035RES1000mN2028000E3145000,8557885377,
129,CRS3035RES1000mN2028000E3145000,8807212208,89.0
130,CRS3035RES1000mN2028000E3145000,8844229173,95.0
131,CRS3035RES1000mN2028000E3145000,8878422600,102.0
132,CRS3035RES1000mN2028000E3145000,9595709188,99.0
133,CRS3035RES1000mN2028000E3145000,9611387099,92.0
134,CRS3035RES1000mN2028000E3145000,9712656915,85.0
135,CRS3035RES1000mN2028000E3145000,9713142744,89.0
