,from_id,to_id,travel_time
0,CRS3035RES1000mN2027000E3170000,25526,92.0
1,CRS3035RES1000mN2027000E3170000,1774,65.0
2,CRS3035RES1000mN2027000E3170000,1770,85.0
3,CRS3035RES1000mN2027000E3170000,1773,59.0
4,CRS3035RES1000mN2027000E3170000,1771,74.0
5,CRS3035RES1000mN2027000E3170000,123303,83.0
6,CRS3035RES1000mN2027000E3170000,1764,65.0
7,CRS3035RES1000mN2027000E3170000,181101,54.0
8,CRS3035RES1000mN2027000E3170000,5765642,89.0
9,CRS3035RES1000mN2027000E3170000,86719,86.0
10,CRS3035RES1000mN2027000E3170000,1800,57.0
11,CRS3035RES1000mN2027000E3170000,1757,84.0
12,CRS3035RES1000mN2027000E3170000,1755,76.0
13,CRS3035RES1000mN2027000E3170000,1882,72.0
14,CRS3035RES1000mN2027000E3170000,1745,53.0
15,CRS3035RES1000mN2027000E3170000,1794,52.0
16,CRS3035RES1000mN2027000E3170000,1762,62.0
17,CRS3035RES1000mN2027000E3170000,51188,73.0
18,CRS3035RES1000mN2027000E3170000,6893633,61.0
19,CRS3035RES1000mN2027000E3170000,167128,44.0
20,CRS3035RES1000mN2027000E3170000,1760,67.0
21,CRS3035RES1000mN2027000E3170000,12773298,76.0
22,CRS3035RES1000mN2027000E3170000,1754,88.0
23,CRS3035RES1000mN2027000E3170000,1748,52.0
24,CRS3035RES1000mN2027000E3170000,79941,62.0
25,CRS3035RES1000mN2027000E3170000,1750,78.0
26,CRS3035RES1000mN2027000E3170000,5975465,71.0
27,CRS3035RES1000mN2027000E3170000,115056,41.0
28,CRS3035RES1000mN2027000E3170000,1790,78.0
29,CRS3035RES1000mN2027000E3170000,1756,84.0
30,CRS3035RES1000mN2027000E3170000,51849,55.0
31,CRS3035RES1000mN2027000E3170000,185595,67.0
32,CRS3035RES1000mN2027000E3170000,7697128,66.0
33,CRS3035RES1000mN2027000E3170000,10395362,92.0
34,CRS3035RES1000mN2027000E3170000,1759,74.0
35,CRS3035RES1000mN2027000E3170000,1752,52.0
36,CRS3035RES1000mN2027000E3170000,186714,46.0
37,CRS3035RES1000mN2027000E3170000,1753,59.0
38,CRS3035RES1000mN2027000E3170000,1792,54.0
39,CRS3035RES1000mN2027000E3170000,1763,73.0
40,CRS3035RES1000mN2027000E3170000,1746,44.0
41,CRS3035RES1000mN2027000E3170000,11572165,80.0
42,CRS3035RES1000mN2027000E3170000,1761,60.0
43,CRS3035RES1000mN2027000E3170000,1747,39.0
44,CRS3035RES1000mN2027000E3170000,5768564,87.0
45,CRS3035RES1000mN2027000E3170000,1798,69.0
46,CRS3035RES1000mN2027000E3170000,66904,80.0
47,CRS3035RES1000mN2027000E3170000,1777,64.0
48,CRS3035RES1000mN2027000E3170000,1765,59.0
49,CRS3035RES1000mN2027000E3170000,49416,60.0
50,CRS3035RES1000mN2027000E3170000,12734939,60.0
51,CRS3035RES1000mN2027000E3170000,167386167,62.0
52,CRS3035RES1000mN2027000E3170000,295933804,80.0
53,CRS3035RES1000mN2027000E3170000,303340017,99.0
54,CRS3035RES1000mN2027000E3170000,315355551,97.0
55,CRS3035RES1000mN2027000E3170000,339084977,66.0
56,CRS3035RES1000mN2027000E3170000,412911553,75.0
57,CRS3035RES1000mN2027000E3170000,558126037,104.0
58,CRS3035RES1000mN2027000E3170000,711789768,
59,CRS3035RES1000mN2027000E3170000,727666062,
60,CRS3035RES1000mN2027000E3170000,848085869,100.0
61,CRS3035RES1000mN2027000E3170000,1056098898,73.0
62,CRS3035RES1000mN2027000E3170000,1255438242,63.0
63,CRS3035RES1000mN2027000E3170000,1469985039,29.0
64,CRS3035RES1000mN2027000E3170000,1504302537,93.0
65,CRS3035RES1000mN2027000E3170000,1511617504,111.0
66,CRS3035RES1000mN2027000E3170000,1541601287,101.0
67,CRS3035RES1000mN2027000E3170000,1544591296,81.0
68,CRS3035RES1000mN2027000E3170000,1598174183,55.0
69,CRS3035RES1000mN2027000E3170000,1629887846,57.0
70,CRS3035RES1000mN2027000E3170000,1686660176,58.0
71,CRS3035RES1000mN2027000E3170000,1716927336,96.0
72,CRS3035RES1000mN2027000E3170000,1734554324,74.0
73,CRS3035RES1000mN2027000E3170000,1849109335,101.0
74,CRS3035RES1000mN2027000E3170000,2028408680,114.0
75,CRS3035RES1000mN2027000E3170000,2036887702,
76,CRS3035RES1000mN2027000E3170000,2061404218,90.0
77,CRS3035RES1000mN2027000E3170000,2134238030,77.0
78,CRS3035RES1000mN2027000E3170000,2261600754,
79,CRS3035RES1000mN2027000E3170000,2301402027,79.0
80,CRS3035RES1000mN2027000E3170000,2303966810,
81,CRS3035RES1000mN2027000E3170000,2312029862,57.0
82,CRS3035RES1000mN2027000E3170000,2408860250,116.0
83,CRS3035RES1000mN2027000E3170000,2620185829,73.0
84,CRS3035RES1000mN2027000E3170000,2622508931,71.0
85,CRS3035RES1000mN2027000E3170000,2672130951,
86,CRS3035RES1000mN2027000E3170000,2710518818,67.0
87,CRS3035RES1000mN2027000E3170000,3034026261,
88,CRS3035RES1000mN2027000E3170000,3179889751,95.0
89,CRS3035RES1000mN2027000E3170000,3206611978,
90,CRS3035RES1000mN2027000E3170000,3272828439,110.0
91,CRS3035RES1000mN2027000E3170000,3452364276,45.0
92,CRS3035RES1000mN2027000E3170000,3452364277,68.0
93,CRS3035RES1000mN2027000E3170000,3495733197,
94,CRS3035RES1000mN2027000E3170000,3497154853,
95,CRS3035RES1000mN2027000E3170000,3517755445,
96,CRS3035RES1000mN2027000E3170000,3522125657,
97,CRS3035RES1000mN2027000E3170000,3526751794,
98,CRS3035RES1000mN2027000E3170000,3839306060,69.0
99,CRS3035RES1000mN2027000E3170000,4214697664,80.0
100,CRS3035RES1000mN2027000E3170000,4338252586,
101,CRS3035RES1000mN2027000E3170000,4401271633,
102,CRS3035RES1000mN2027000E3170000,4515476768,
103,CRS3035RES1000mN2027000E3170000,4569910891,68.0
104,CRS3035RES1000mN2027000E3170000,4703730491,87.0
105,CRS3035RES1000mN2027000E3170000,4707870392,91.0
106,CRS3035RES1000mN2027000E3170000,4789037769,116.0
107,CRS3035RES1000mN2027000E3170000,4794233143,
108,CRS3035RES1000mN2027000E3170000,4870405674,88.0
109,CRS3035RES1000mN2027000E3170000,5139379922,
110,CRS3035RES1000mN2027000E3170000,5160337425,74.0
111,CRS3035RES1000mN2027000E3170000,5196199575,105.0
112,CRS3035RES1000mN2027000E3170000,5341570554,65.0
113,CRS3035RES1000mN2027000E3170000,5345949864,80.0
114,CRS3035RES1000mN2027000E3170000,5448507385,
115,CRS3035RES1000mN2027000E3170000,5604693894,
116,CRS3035RES1000mN2027000E3170000,5670401989,
117,CRS3035RES1000mN2027000E3170000,5942671299,66.0
118,CRS3035RES1000mN2027000E3170000,5943980960,109.0
119,CRS3035RES1000mN2027000E3170000,6185791451,
120,CRS3035RES1000mN2027000E3170000,6188948286,53.0
121,CRS3035RES1000mN2027000E3170000,6555800191,108.0
122,CRS3035RES1000mN2027000E3170000,6885254479,84.0
123,CRS3035RES1000mN2027000E3170000,7222611268,116.0
124,CRS3035RES1000mN2027000E3170000,7408961006,113.0
125,CRS3035RES1000mN2027000E3170000,7619964683,
126,CRS3035RES1000mN2027000E3170000,7836562695,102.0
127,CRS3035RES1000mN2027000E3170000,8493729364,68.0
128,CRS3035RES1000mN2027000E3170000,8557885377,
129,CRS3035RES1000mN2027000E3170000,8807212208,59.0
130,CRS3035RES1000mN2027000E3170000,8844229173,74.0
131,CRS3035RES1000mN2027000E3170000,8878422600,100.0
132,CRS3035RES1000mN2027000E3170000,9595709188,75.0
133,CRS3035RES1000mN2027000E3170000,9611387099,70.0
134,CRS3035RES1000mN2027000E3170000,9712656915,72.0
135,CRS3035RES1000mN2027000E3170000,9713142744,67.0
136,CRS3035RES1000mN2027000E3170000,9815746657,96.0
137,CRS3035RES1000mN2027000E3170000,10004871512,58.0
138,CRS3035RES1000mN2027000E3170000,10281174134,
139,CRS3035RES1000mN2027000E3170000,10580337411,73.0
140,CRS3035RES1000mN2027000E3170000,10899442604,106.0
141,CRS3035RES1000mN2027000E3170000,10922657146,103.0
142,CRS3035RES1000mN2027000E3170000,11127499928,84.0
143,CRS3035RES1000mN2027000E3170000,11143725881,95.0
144,CRS3035RES1000mN2027000E3170000,11243087140,83.0
145,CRS3035RES1000mN2027000E3170000,11269399969,88.0
146,CRS3035RES1000mN2027000E3170000,11287269362,61.0
147,CRS3035RES1000mN2027000E3170000,11287269363,77.0
148,CRS3035RES1000mN2027000E3170000,11369705764,79.0
149,CRS3035RES1000mN2027000E3170000,11387776374,60.0
150,CRS3035RES1000mN2027000E3170000,11461799040,
151,CRS3035RES1000mN2027000E3170000,11462802981,44.0
152,CRS3035RES1000mN2027000E3170000,11652077658,99.0
153,CRS3035RES1000mN2027000E3170000,11691390164,74.0
154,CRS3035RES1000mN2027000E3170000,11739757462,85.0
