,from_id,to_id,travel_time
0,CRS3035RES1000mN2039000E3147000,25526,63.0
1,CRS3035RES1000mN2039000E3147000,1774,52.0
2,CRS3035RES1000mN2039000E3147000,1770,64.0
3,CRS3035RES1000mN2039000E3147000,1773,64.0
4,CRS3035RES1000mN2039000E3147000,1771,30.0
5,CRS3035RES1000mN2039000E3147000,123303,65.0
6,CRS3035RES1000mN2039000E3147000,1764,42.0
7,CRS3035RES1000mN2039000E3147000,181101,70.0
8,CRS3035RES1000mN2039000E3147000,5765642,62.0
9,CRS3035RES1000mN2039000E3147000,86719,73.0
10,CRS3035RES1000mN2039000E3147000,1800,64.0
11,CRS3035RES1000mN2039000E3147000,1757,51.0
12,CRS3035RES1000mN2039000E3147000,1755,54.0
13,CRS3035RES1000mN2039000E3147000,1882,32.0
14,CRS3035RES1000mN2039000E3147000,1745,56.0
15,CRS3035RES1000mN2039000E3147000,1794,55.0
16,CRS3035RES1000mN2039000E3147000,1762,45.0
17,CRS3035RES1000mN2039000E3147000,51188,51.0
18,CRS3035RES1000mN2039000E3147000,6893633,48.0
19,CRS3035RES1000mN2039000E3147000,167128,60.0
20,CRS3035RES1000mN2039000E3147000,1760,53.0
21,CRS3035RES1000mN2039000E3147000,12773298,64.0
22,CRS3035RES1000mN2039000E3147000,1754,76.0
23,CRS3035RES1000mN2039000E3147000,1748,66.0
24,CRS3035RES1000mN2039000E3147000,79941,60.0
25,CRS3035RES1000mN2039000E3147000,1750,57.0
26,CRS3035RES1000mN2039000E3147000,5975465,41.0
27,CRS3035RES1000mN2039000E3147000,115056,63.0
28,CRS3035RES1000mN2039000E3147000,1790,47.0
29,CRS3035RES1000mN2039000E3147000,1756,59.0
30,CRS3035RES1000mN2039000E3147000,51849,54.0
31,CRS3035RES1000mN2039000E3147000,185595,42.0
32,CRS3035RES1000mN2039000E3147000,7697128,38.0
33,CRS3035RES1000mN2039000E3147000,10395362,67.0
34,CRS3035RES1000mN2039000E3147000,1759,54.0
35,CRS3035RES1000mN2039000E3147000,1752,54.0
36,CRS3035RES1000mN2039000E3147000,186714,55.0
37,CRS3035RES1000mN2039000E3147000,1753,58.0
38,CRS3035RES1000mN2039000E3147000,1792,66.0
39,CRS3035RES1000mN2039000E3147000,1763,53.0
40,CRS3035RES1000mN2039000E3147000,1746,61.0
41,CRS3035RES1000mN2039000E3147000,11572165,70.0
42,CRS3035RES1000mN2039000E3147000,1761,53.0
43,CRS3035RES1000mN2039000E3147000,1747,65.0
44,CRS3035RES1000mN2039000E3147000,5768564,56.0
45,CRS3035RES1000mN2039000E3147000,1798,41.0
46,CRS3035RES1000mN2039000E3147000,66904,54.0
47,CRS3035RES1000mN2039000E3147000,1777,34.0
48,CRS3035RES1000mN2039000E3147000,1765,47.0
49,CRS3035RES1000mN2039000E3147000,49416,66.0
50,CRS3035RES1000mN2039000E3147000,12734939,66.0
51,CRS3035RES1000mN2039000E3147000,167386167,39.0
52,CRS3035RES1000mN2039000E3147000,295933804,42.0
53,CRS3035RES1000mN2039000E3147000,303340017,32.0
54,CRS3035RES1000mN2039000E3147000,315355551,47.0
55,CRS3035RES1000mN2039000E3147000,339084977,51.0
56,CRS3035RES1000mN2039000E3147000,412911553,32.0
57,CRS3035RES1000mN2039000E3147000,558126037,64.0
58,CRS3035RES1000mN2039000E3147000,711789768,98.0
59,CRS3035RES1000mN2039000E3147000,727666062,
60,CRS3035RES1000mN2039000E3147000,848085869,74.0
61,CRS3035RES1000mN2039000E3147000,1056098898,46.0
62,CRS3035RES1000mN2039000E3147000,1255438242,91.0
