,from_id,to_id,travel_time
0,CRS3035RES1000mN2017000E3151000,25526,63.0
1,CRS3035RES1000mN2017000E3151000,1774,70.0
2,CRS3035RES1000mN2017000E3151000,1770,106.0
3,CRS3035RES1000mN2017000E3151000,1773,90.0
4,CRS3035RES1000mN2017000E3151000,1771,81.0
5,CRS3035RES1000mN2017000E3151000,123303,67.0
6,CRS3035RES1000mN2017000E3151000,1764,88.0
7,CRS3035RES1000mN2017000E3151000,181101,94.0
8,CRS3035RES1000mN2017000E3151000,5765642,53.0
9,CRS3035RES1000mN2017000E3151000,86719,67.0
10,CRS3035RES1000mN2017000E3151000,1800,89.0
11,CRS3035RES1000mN2017000E3151000,1757,66.0
12,CRS3035RES1000mN2017000E3151000,1755,71.0
13,CRS3035RES1000mN2017000E3151000,1882,84.0
14,CRS3035RES1000mN2017000E3151000,1745,96.0
15,CRS3035RES1000mN2017000E3151000,1794,92.0
16,CRS3035RES1000mN2017000E3151000,1762,80.0
17,CRS3035RES1000mN2017000E3151000,51188,94.0
18,CRS3035RES1000mN2017000E3151000,6893633,81.0
19,CRS3035RES1000mN2017000E3151000,167128,88.0
20,CRS3035RES1000mN2017000E3151000,1760,91.0
21,CRS3035RES1000mN2017000E3151000,12773298,67.0
22,CRS3035RES1000mN2017000E3151000,1754,74.0
23,CRS3035RES1000mN2017000E3151000,1748,90.0
24,CRS3035RES1000mN2017000E3151000,79941,100.0
25,CRS3035RES1000mN2017000E3151000,1750,98.0
26,CRS3035RES1000mN2017000E3151000,5975465,80.0
27,CRS3035RES1000mN2017000E3151000,115056,103.0
28,CRS3035RES1000mN2017000E3151000,1790,100.0
29,CRS3035RES1000mN2017000E3151000,1756,58.0
30,CRS3035RES1000mN2017000E3151000,51849,88.0
31,CRS3035RES1000mN2017000E3151000,185595,94.0
32,CRS3035RES1000mN2017000E3151000,7697128,80.0
33,CRS3035RES1000mN2017000E3151000,10395362,112.0
34,CRS3035RES1000mN2017000E3151000,1759,95.0
35,CRS3035RES1000mN2017000E3151000,1752,81.0
36,CRS3035RES1000mN2017000E3151000,186714,91.0
37,CRS3035RES1000mN2017000E3151000,1753,84.0
38,CRS3035RES1000mN2017000E3151000,1792,85.0
39,CRS3035RES1000mN2017000E3151000,1763,77.0
40,CRS3035RES1000mN2017000E3151000,1746,95.0
41,CRS3035RES1000mN2017000E3151000,11572165,75.0
42,CRS3035RES1000mN2017000E3151000,1761,79.0
43,CRS3035RES1000mN2017000E3151000,1747,92.0
44,CRS3035RES1000mN2017000E3151000,5768564,64.0
45,CRS3035RES1000mN2017000E3151000,1798,72.0
46,CRS3035RES1000mN2017000E3151000,66904,99.0
47,CRS3035RES1000mN2017000E3151000,1777,84.0
48,CRS3035RES1000mN2017000E3151000,1765,82.0
49,CRS3035RES1000mN2017000E3151000,49416,87.0
50,CRS3035RES1000mN2017000E3151000,12734939,87.0
51,CRS3035RES1000mN2017000E3151000,167386167,79.0
52,CRS3035RES1000mN2017000E3151000,295933804,97.0
53,CRS3035RES1000mN2017000E3151000,303340017,102.0
54,CRS3035RES1000mN2017000E3151000,315355551,102.0
55,CRS3035RES1000mN2017000E3151000,339084977,73.0
56,CRS3035RES1000mN2017000E3151000,412911553,87.0
57,CRS3035RES1000mN2017000E3151000,558126037,85.0
58,CRS3035RES1000mN2017000E3151000,711789768,89.0
59,CRS3035RES1000mN2017000E3151000,727666062,
60,CRS3035RES1000mN2017000E3151000,848085869,33.0
61,CRS3035RES1000mN2017000E3151000,1056098898,98.0
62,CRS3035RES1000mN2017000E3151000,1255438242,
63,CRS3035RES1000mN2017000E3151000,1469985039,100.0
64,CRS3035RES1000mN2017000E3151000,1504302537,
65,CRS3035RES1000mN2017000E3151000,1511617504,74.0
66,CRS3035RES1000mN2017000E3151000,1541601287,109.0
67,CRS3035RES1000mN2017000E3151000,1544591296,103.0
68,CRS3035RES1000mN2017000E3151000,1598174183,99.0
69,CRS3035RES1000mN2017000E3151000,1629887846,103.0
70,CRS3035RES1000mN2017000E3151000,1686660176,103.0
71,CRS3035RES1000mN2017000E3151000,1716927336,73.0
72,CRS3035RES1000mN2017000E3151000,1734554324,118.0
73,CRS3035RES1000mN2017000E3151000,1849109335,104.0
74,CRS3035RES1000mN2017000E3151000,2028408680,82.0
75,CRS3035RES1000mN2017000E3151000,2036887702,
76,CRS3035RES1000mN2017000E3151000,2061404218,107.0
77,CRS3035RES1000mN2017000E3151000,2134238030,113.0
78,CRS3035RES1000mN2017000E3151000,2261600754,
79,CRS3035RES1000mN2017000E3151000,2301402027,111.0
80,CRS3035RES1000mN2017000E3151000,2303966810,67.0
81,CRS3035RES1000mN2017000E3151000,2312029862,102.0
82,CRS3035RES1000mN2017000E3151000,2408860250,
83,CRS3035RES1000mN2017000E3151000,2620185829,90.0
84,CRS3035RES1000mN2017000E3151000,2622508931,87.0
85,CRS3035RES1000mN2017000E3151000,2672130951,101.0
86,CRS3035RES1000mN2017000E3151000,2710518818,107.0
87,CRS3035RES1000mN2017000E3151000,3034026261,101.0
88,CRS3035RES1000mN2017000E3151000,3179889751,
89,CRS3035RES1000mN2017000E3151000,3206611978,
90,CRS3035RES1000mN2017000E3151000,3272828439,49.0
91,CRS3035RES1000mN2017000E3151000,3452364276,108.0
92,CRS3035RES1000mN2017000E3151000,3452364277,90.0
93,CRS3035RES1000mN2017000E3151000,3495733197,
94,CRS3035RES1000mN2017000E3151000,3497154853,
