,from_id,to_id,travel_time
0,CRS3035RES1000mN2017000E3165000,25526,
1,CRS3035RES1000mN2017000E3165000,1774,
2,CRS3035RES1000mN2017000E3165000,1770,
3,CRS3035RES1000mN2017000E3165000,1773,
4,CRS3035RES1000mN2017000E3165000,1771,
5,CRS3035RES1000mN2017000E3165000,123303,
6,CRS3035RES1000mN2017000E3165000,1764,
7,CRS3035RES1000mN2017000E3165000,181101,
8,CRS3035RES1000mN2017000E3165000,5765642,
9,CRS3035RES1000mN2017000E3165000,86719,
10,CRS3035RES1000mN2017000E3165000,1800,
11,CRS3035RES1000mN2017000E3165000,1757,
12,CRS3035RES1000mN2017000E3165000,1755,
13,CRS3035RES1000mN2017000E3165000,1882,
14,CRS3035RES1000mN2017000E3165000,1745,
15,CRS3035RES1000mN2017000E3165000,1794,
16,CRS3035RES1000mN2017000E3165000,1762,
17,CRS3035RES1000mN2017000E3165000,51188,
18,CRS3035RES1000mN2017000E3165000,6893633,
19,CRS3035RES1000mN2017000E3165000,167128,
20,CRS3035RES1000mN2017000E3165000,1760,
21,CRS3035RES1000mN2017000E3165000,12773298,108.0
22,CRS3035RES1000mN2017000E3165000,1754,
23,CRS3035RES1000mN2017000E3165000,1748,
24,CRS3035RES1000mN2017000E3165000,79941,
25,CRS3035RES1000mN2017000E3165000,1750,
26,CRS3035RES1000mN2017000E3165000,5975465,
27,CRS3035RES1000mN2017000E3165000,115056,
28,CRS3035RES1000mN2017000E3165000,1790,
29,CRS3035RES1000mN2017000E3165000,1756,
30,CRS3035RES1000mN2017000E3165000,51849,
31,CRS3035RES1000mN2017000E3165000,185595,
32,CRS3035RES1000mN2017000E3165000,7697128,
33,CRS3035RES1000mN2017000E3165000,10395362,
34,CRS3035RES1000mN2017000E3165000,1759,
35,CRS3035RES1000mN2017000E3165000,1752,
36,CRS3035RES1000mN2017000E3165000,186714,
37,CRS3035RES1000mN2017000E3165000,1753,
38,CRS3035RES1000mN2017000E3165000,1792,
39,CRS3035RES1000mN2017000E3165000,1763,
40,CRS3035RES1000mN2017000E3165000,1746,
41,CRS3035RES1000mN2017000E3165000,11572165,
42,CRS3035RES1000mN2017000E3165000,1761,
43,CRS3035RES1000mN2017000E3165000,1747,
44,CRS3035RES1000mN2017000E3165000,5768564,
45,CRS3035RES1000mN2017000E3165000,1798,
46,CRS3035RES1000mN2017000E3165000,66904,
47,CRS3035RES1000mN2017000E3165000,1777,
48,CRS3035RES1000mN2017000E3165000,1765,
49,CRS3035RES1000mN2017000E3165000,49416,
