,from_id,to_id,travel_time
0,CRS3035RES1000mN2018000E3143000,25526,81.0
1,CRS3035RES1000mN2018000E3143000,1774,102.0
2,CRS3035RES1000mN2018000E3143000,1770,
3,CRS3035RES1000mN2018000E3143000,1773,
4,CRS3035RES1000mN2018000E3143000,1771,100.0
5,CRS3035RES1000mN2018000E3143000,123303,100.0
6,CRS3035RES1000mN2018000E3143000,1764,104.0
7,CRS3035RES1000mN2018000E3143000,181101,119.0
8,CRS3035RES1000mN2018000E3143000,5765642,83.0
9,CRS3035RES1000mN2018000E3143000,86719,96.0
10,CRS3035RES1000mN2018000E3143000,1800,116.0
11,CRS3035RES1000mN2018000E3143000,1757,89.0
12,CRS3035RES1000mN2018000E3143000,1755,96.0
13,CRS3035RES1000mN2018000E3143000,1882,98.0
14,CRS3035RES1000mN2018000E3143000,1745,118.0
15,CRS3035RES1000mN2018000E3143000,1794,116.0
16,CRS3035RES1000mN2018000E3143000,1762,108.0
17,CRS3035RES1000mN2018000E3143000,51188,108.0
18,CRS3035RES1000mN2018000E3143000,6893633,110.0
19,CRS3035RES1000mN2018000E3143000,167128,118.0
20,CRS3035RES1000mN2018000E3143000,1760,112.0
21,CRS3035RES1000mN2018000E3143000,12773298,94.0
22,CRS3035RES1000mN2018000E3143000,1754,107.0
23,CRS3035RES1000mN2018000E3143000,1748,115.0
24,CRS3035RES1000mN2018000E3143000,79941,
25,CRS3035RES1000mN2018000E3143000,1750,117.0
26,CRS3035RES1000mN2018000E3143000,5975465,100.0
27,CRS3035RES1000mN2018000E3143000,115056,
28,CRS3035RES1000mN2018000E3143000,1790,116.0
29,CRS3035RES1000mN2018000E3143000,1756,88.0
30,CRS3035RES1000mN2018000E3143000,51849,117.0
31,CRS3035RES1000mN2018000E3143000,185595,110.0
32,CRS3035RES1000mN2018000E3143000,7697128,94.0
33,CRS3035RES1000mN2018000E3143000,10395362,
34,CRS3035RES1000mN2018000E3143000,1759,112.0
35,CRS3035RES1000mN2018000E3143000,1752,112.0
36,CRS3035RES1000mN2018000E3143000,186714,114.0
37,CRS3035RES1000mN2018000E3143000,1753,111.0
38,CRS3035RES1000mN2018000E3143000,1792,111.0
39,CRS3035RES1000mN2018000E3143000,1763,98.0
40,CRS3035RES1000mN2018000E3143000,1746,
41,CRS3035RES1000mN2018000E3143000,11572165,104.0
42,CRS3035RES1000mN2018000E3143000,1761,106.0
43,CRS3035RES1000mN2018000E3143000,1747,119.0
44,CRS3035RES1000mN2018000E3143000,5768564,88.0
45,CRS3035RES1000mN2018000E3143000,1798,94.0
