,from_id,to_id,travel_time
0,CRS3035RES1000mN2025000E3181000,25526,
1,CRS3035RES1000mN2025000E3181000,1774,105.0
2,CRS3035RES1000mN2025000E3181000,1770,118.0
3,CRS3035RES1000mN2025000E3181000,1773,115.0
4,CRS3035RES1000mN2025000E3181000,1771,111.0
5,CRS3035RES1000mN2025000E3181000,123303,
6,CRS3035RES1000mN2025000E3181000,1764,105.0
7,CRS3035RES1000mN2025000E3181000,181101,
8,CRS3035RES1000mN2025000E3181000,5765642,
9,CRS3035RES1000mN2025000E3181000,86719,
10,CRS3035RES1000mN2025000E3181000,1800,
11,CRS3035RES1000mN2025000E3181000,1757,
12,CRS3035RES1000mN2025000E3181000,1755,
13,CRS3035RES1000mN2025000E3181000,1882,111.0
14,CRS3035RES1000mN2025000E3181000,1745,95.0
15,CRS3035RES1000mN2025000E3181000,1794,101.0
16,CRS3035RES1000mN2025000E3181000,1762,96.0
17,CRS3035RES1000mN2025000E3181000,51188,108.0
18,CRS3035RES1000mN2025000E3181000,6893633,101.0
19,CRS3035RES1000mN2025000E3181000,167128,111.0
20,CRS3035RES1000mN2025000E3181000,1760,101.0
21,CRS3035RES1000mN2025000E3181000,12773298,
22,CRS3035RES1000mN2025000E3181000,1754,
23,CRS3035RES1000mN2025000E3181000,1748,
24,CRS3035RES1000mN2025000E3181000,79941,99.0
25,CRS3035RES1000mN2025000E3181000,1750,111.0
26,CRS3035RES1000mN2025000E3181000,5975465,114.0
27,CRS3035RES1000mN2025000E3181000,115056,106.0
28,CRS3035RES1000mN2025000E3181000,1790,116.0
29,CRS3035RES1000mN2025000E3181000,1756,
30,CRS3035RES1000mN2025000E3181000,51849,109.0
31,CRS3035RES1000mN2025000E3181000,185595,108.0
32,CRS3035RES1000mN2025000E3181000,7697128,106.0
33,CRS3035RES1000mN2025000E3181000,10395362,
34,CRS3035RES1000mN2025000E3181000,1759,107.0
35,CRS3035RES1000mN2025000E3181000,1752,104.0
36,CRS3035RES1000mN2025000E3181000,186714,104.0
37,CRS3035RES1000mN2025000E3181000,1753,119.0
38,CRS3035RES1000mN2025000E3181000,1792,
39,CRS3035RES1000mN2025000E3181000,1763,
40,CRS3035RES1000mN2025000E3181000,1746,113.0
41,CRS3035RES1000mN2025000E3181000,11572165,
42,CRS3035RES1000mN2025000E3181000,1761,114.0
43,CRS3035RES1000mN2025000E3181000,1747,114.0
44,CRS3035RES1000mN2025000E3181000,5768564,
45,CRS3035RES1000mN2025000E3181000,1798,112.0
46,CRS3035RES1000mN2025000E3181000,66904,115.0
47,CRS3035RES1000mN2025000E3181000,1777,99.0
48,CRS3035RES1000mN2025000E3181000,1765,99.0
49,CRS3035RES1000mN2025000E3181000,49416,
50,CRS3035RES1000mN2025000E3181000,12734939,
51,CRS3035RES1000mN2025000E3181000,167386167,104.0
52,CRS3035RES1000mN2025000E3181000,295933804,
53,CRS3035RES1000mN2025000E3181000,303340017,117.0
54,CRS3035RES1000mN2025000E3181000,315355551,
55,CRS3035RES1000mN2025000E3181000,339084977,118.0
56,CRS3035RES1000mN2025000E3181000,412911553,109.0
57,CRS3035RES1000mN2025000E3181000,558126037,
58,CRS3035RES1000mN2025000E3181000,711789768,
59,CRS3035RES1000mN2025000E3181000,727666062,
60,CRS3035RES1000mN2025000E3181000,848085869,
61,CRS3035RES1000mN2025000E3181000,1056098898,113.0
62,CRS3035RES1000mN2025000E3181000,1255438242,117.0
63,CRS3035RES1000mN2025000E3181000,1469985039,113.0
64,CRS3035RES1000mN2025000E3181000,1504302537,
65,CRS3035RES1000mN2025000E3181000,1511617504,
66,CRS3035RES1000mN2025000E3181000,1541601287,
67,CRS3035RES1000mN2025000E3181000,1544591296,119.0
68,CRS3035RES1000mN2025000E3181000,1598174183,98.0
69,CRS3035RES1000mN2025000E3181000,1629887846,85.0
70,CRS3035RES1000mN2025000E3181000,1686660176,106.0
71,CRS3035RES1000mN2025000E3181000,1716927336,
72,CRS3035RES1000mN2025000E3181000,1734554324,117.0
73,CRS3035RES1000mN2025000E3181000,1849109335,
74,CRS3035RES1000mN2025000E3181000,2028408680,
75,CRS3035RES1000mN2025000E3181000,2036887702,88.0
76,CRS3035RES1000mN2025000E3181000,2061404218,
77,CRS3035RES1000mN2025000E3181000,2134238030,112.0
78,CRS3035RES1000mN2025000E3181000,2261600754,
79,CRS3035RES1000mN2025000E3181000,2301402027,105.0
80,CRS3035RES1000mN2025000E3181000,2303966810,
81,CRS3035RES1000mN2025000E3181000,2312029862,93.0
82,CRS3035RES1000mN2025000E3181000,2408860250,
83,CRS3035RES1000mN2025000E3181000,2620185829,110.0
84,CRS3035RES1000mN2025000E3181000,2622508931,111.0
85,CRS3035RES1000mN2025000E3181000,2672130951,
86,CRS3035RES1000mN2025000E3181000,2710518818,
87,CRS3035RES1000mN2025000E3181000,3034026261,
88,CRS3035RES1000mN2025000E3181000,3179889751,
89,CRS3035RES1000mN2025000E3181000,3206611978,
90,CRS3035RES1000mN2025000E3181000,3272828439,
91,CRS3035RES1000mN2025000E3181000,3452364276,107.0
92,CRS3035RES1000mN2025000E3181000,3452364277,102.0
93,CRS3035RES1000mN2025000E3181000,3495733197,
94,CRS3035RES1000mN2025000E3181000,3497154853,
95,CRS3035RES1000mN2025000E3181000,3517755445,
96,CRS3035RES1000mN2025000E3181000,3522125657,
97,CRS3035RES1000mN2025000E3181000,3526751794,
98,CRS3035RES1000mN2025000E3181000,3839306060,105.0
99,CRS3035RES1000mN2025000E3181000,4214697664,119.0
100,CRS3035RES1000mN2025000E3181000,4338252586,
101,CRS3035RES1000mN2025000E3181000,4401271633,
102,CRS3035RES1000mN2025000E3181000,4515476768,
103,CRS3035RES1000mN2025000E3181000,4569910891,108.0
104,CRS3035RES1000mN2025000E3181000,4703730491,
105,CRS3035RES1000mN2025000E3181000,4707870392,
106,CRS3035RES1000mN2025000E3181000,4789037769,
107,CRS3035RES1000mN2025000E3181000,4794233143,
