,from_id,to_id,travel_time
0,CRS3035RES1000mN2048000E3160000,25526,109.0
1,CRS3035RES1000mN2048000E3160000,1774,93.0
2,CRS3035RES1000mN2048000E3160000,1770,90.0
3,CRS3035RES1000mN2048000E3160000,1773,99.0
4,CRS3035RES1000mN2048000E3160000,1771,89.0
5,CRS3035RES1000mN2048000E3160000,123303,112.0
6,CRS3035RES1000mN2048000E3160000,1764,81.0
7,CRS3035RES1000mN2048000E3160000,181101,112.0
8,CRS3035RES1000mN2048000E3160000,5765642,112.0
9,CRS3035RES1000mN2048000E3160000,86719,117.0
10,CRS3035RES1000mN2048000E3160000,1800,107.0
11,CRS3035RES1000mN2048000E3160000,1757,97.0
12,CRS3035RES1000mN2048000E3160000,1755,102.0
13,CRS3035RES1000mN2048000E3160000,1882,85.0
14,CRS3035RES1000mN2048000E3160000,1745,95.0
15,CRS3035RES1000mN2048000E3160000,1794,94.0
16,CRS3035RES1000mN2048000E3160000,1762,85.0
17,CRS3035RES1000mN2048000E3160000,51188,65.0
18,CRS3035RES1000mN2048000E3160000,6893633,86.0
19,CRS3035RES1000mN2048000E3160000,167128,96.0
20,CRS3035RES1000mN2048000E3160000,1760,79.0
21,CRS3035RES1000mN2048000E3160000,12773298,106.0
22,CRS3035RES1000mN2048000E3160000,1754,116.0
23,CRS3035RES1000mN2048000E3160000,1748,108.0
24,CRS3035RES1000mN2048000E3160000,79941,97.0
25,CRS3035RES1000mN2048000E3160000,1750,86.0
26,CRS3035RES1000mN2048000E3160000,5975465,92.0
27,CRS3035RES1000mN2048000E3160000,115056,101.0
28,CRS3035RES1000mN2048000E3160000,1790,70.0
29,CRS3035RES1000mN2048000E3160000,1756,109.0
30,CRS3035RES1000mN2048000E3160000,51849,97.0
31,CRS3035RES1000mN2048000E3160000,185595,78.0
32,CRS3035RES1000mN2048000E3160000,7697128,79.0
33,CRS3035RES1000mN2048000E3160000,10395362,81.0
34,CRS3035RES1000mN2048000E3160000,1759,67.0
35,CRS3035RES1000mN2048000E3160000,1752,89.0
36,CRS3035RES1000mN2048000E3160000,186714,92.0
37,CRS3035RES1000mN2048000E3160000,1753,101.0
38,CRS3035RES1000mN2048000E3160000,1792,104.0
39,CRS3035RES1000mN2048000E3160000,1763,101.0
40,CRS3035RES1000mN2048000E3160000,1746,104.0
41,CRS3035RES1000mN2048000E3160000,11572165,107.0
42,CRS3035RES1000mN2048000E3160000,1761,96.0
43,CRS3035RES1000mN2048000E3160000,1747,100.0
44,CRS3035RES1000mN2048000E3160000,5768564,100.0
45,CRS3035RES1000mN2048000E3160000,1798,89.0
46,CRS3035RES1000mN2048000E3160000,66904,61.0
47,CRS3035RES1000mN2048000E3160000,1777,76.0
48,CRS3035RES1000mN2048000E3160000,1765,87.0
49,CRS3035RES1000mN2048000E3160000,49416,106.0
50,CRS3035RES1000mN2048000E3160000,12734939,106.0
51,CRS3035RES1000mN2048000E3160000,167386167,83.0
52,CRS3035RES1000mN2048000E3160000,295933804,98.0
53,CRS3035RES1000mN2048000E3160000,303340017,102.0
54,CRS3035RES1000mN2048000E3160000,315355551,117.0
55,CRS3035RES1000mN2048000E3160000,339084977,96.0
56,CRS3035RES1000mN2048000E3160000,412911553,88.0
57,CRS3035RES1000mN2048000E3160000,558126037,116.0
58,CRS3035RES1000mN2048000E3160000,711789768,
59,CRS3035RES1000mN2048000E3160000,727666062,
60,CRS3035RES1000mN2048000E3160000,848085869,
61,CRS3035RES1000mN2048000E3160000,1056098898,88.0
62,CRS3035RES1000mN2048000E3160000,1255438242,
63,CRS3035RES1000mN2048000E3160000,1469985039,114.0
64,CRS3035RES1000mN2048000E3160000,1504302537,
65,CRS3035RES1000mN2048000E3160000,1511617504,
66,CRS3035RES1000mN2048000E3160000,1541601287,107.0
67,CRS3035RES1000mN2048000E3160000,1544591296,65.0
