,from_id,to_id,travel_time
0,CRS3035RES1000mN2028000E3189000,28000054,56.0
1,CRS3035RES1000mN2028000E3189000,28000066,50.0
2,CRS3035RES1000mN2028000E3189000,28000078,43.0
3,CRS3035RES1000mN2028000E3189000,28000081,51.0
4,CRS3035RES1000mN2028000E3189000,28000157,48.0
5,CRS3035RES1000mN2028000E3189000,28000224,49.0
6,CRS3035RES1000mN2028000E3189000,28000303,38.0
7,CRS3035RES1000mN2028000E3189000,28000315,48.0
8,CRS3035RES1000mN2028000E3189000,28000327,48.0
9,CRS3035RES1000mN2028000E3189000,28000376,50.0
10,CRS3035RES1000mN2028000E3189000,28000388,45.0
11,CRS3035RES1000mN2028000E3189000,28000406,77.0
12,CRS3035RES1000mN2028000E3189000,28000421,57.0
13,CRS3035RES1000mN2028000E3189000,28000479,50.0
14,CRS3035RES1000mN2028000E3189000,28000492,42.0
15,CRS3035RES1000mN2028000E3189000,28000558,53.0
16,CRS3035RES1000mN2028000E3189000,28000595,91.0
17,CRS3035RES1000mN2028000E3189000,28000601,93.0
18,CRS3035RES1000mN2028000E3189000,28000625,85.0
19,CRS3035RES1000mN2028000E3189000,28000649,88.0
20,CRS3035RES1000mN2028000E3189000,28000698,110.0
21,CRS3035RES1000mN2028000E3189000,28000765,98.0
22,CRS3035RES1000mN2028000E3189000,28000777,96.0
23,CRS3035RES1000mN2028000E3189000,28000856,
24,CRS3035RES1000mN2028000E3189000,28000901,
25,CRS3035RES1000mN2028000E3189000,28000947,116.0
26,CRS3035RES1000mN2028000E3189000,28000960,
27,CRS3035RES1000mN2028000E3189000,28001010,
28,CRS3035RES1000mN2028000E3189000,28001022,117.0
29,CRS3035RES1000mN2028000E3189000,28001034,
30,CRS3035RES1000mN2028000E3189000,28001046,
31,CRS3035RES1000mN2028000E3189000,28001137,119.0
32,CRS3035RES1000mN2028000E3189000,28001149,
33,CRS3035RES1000mN2028000E3189000,28001681,76.0
34,CRS3035RES1000mN2028000E3189000,28001770,77.0
35,CRS3035RES1000mN2028000E3189000,28001848,
36,CRS3035RES1000mN2028000E3189000,28001851,
37,CRS3035RES1000mN2028000E3189000,28001861,
38,CRS3035RES1000mN2028000E3189000,28002270,
39,CRS3035RES1000mN2028000E3189000,28002282,
40,CRS3035RES1000mN2028000E3189000,28002464,90.0
41,CRS3035RES1000mN2028000E3189000,28002488,90.0
42,CRS3035RES1000mN2028000E3189000,28002506,84.0
43,CRS3035RES1000mN2028000E3189000,28002543,71.0
44,CRS3035RES1000mN2028000E3189000,28002804,
45,CRS3035RES1000mN2028000E3189000,28002944,117.0
46,CRS3035RES1000mN2028000E3189000,28002956,117.0
47,CRS3035RES1000mN2028000E3189000,28002968,119.0
48,CRS3035RES1000mN2028000E3189000,28002981,114.0
49,CRS3035RES1000mN2028000E3189000,28003021,114.0
50,CRS3035RES1000mN2028000E3189000,28003055,118.0
51,CRS3035RES1000mN2028000E3189000,28003092,
52,CRS3035RES1000mN2028000E3189000,28003110,
53,CRS3035RES1000mN2028000E3189000,28003134,113.0
54,CRS3035RES1000mN2028000E3189000,28003250,115.0
55,CRS3035RES1000mN2028000E3189000,28003262,109.0
56,CRS3035RES1000mN2028000E3189000,28003286,
57,CRS3035RES1000mN2028000E3189000,28003316,112.0
58,CRS3035RES1000mN2028000E3189000,28003328,118.0
59,CRS3035RES1000mN2028000E3189000,28003501,
60,CRS3035RES1000mN2028000E3189000,28003523,
61,CRS3035RES1000mN2028000E3189000,28003535,112.0
62,CRS3035RES1000mN2028000E3189000,28003584,115.0
63,CRS3035RES1000mN2028000E3189000,28003675,115.0
64,CRS3035RES1000mN2028000E3189000,28003742,112.0
65,CRS3035RES1000mN2028000E3189000,28003778,116.0
66,CRS3035RES1000mN2028000E3189000,28003791,110.0
67,CRS3035RES1000mN2028000E3189000,28003833,
68,CRS3035RES1000mN2028000E3189000,28003845,112.0
69,CRS3035RES1000mN2028000E3189000,28003857,115.0
70,CRS3035RES1000mN2028000E3189000,28004266,108.0
71,CRS3035RES1000mN2028000E3189000,28004291,102.0
72,CRS3035RES1000mN2028000E3189000,28004552,89.0
73,CRS3035RES1000mN2028000E3189000,28004904,106.0
74,CRS3035RES1000mN2028000E3189000,28004941,100.0
75,CRS3035RES1000mN2028000E3189000,28004965,88.0
76,CRS3035RES1000mN2028000E3189000,28004989,98.0
77,CRS3035RES1000mN2028000E3189000,28004990,81.0
78,CRS3035RES1000mN2028000E3189000,28005003,85.0
