,from_id,to_id,travel_time
0,CRS3035RES1000mN2022000E3146000,28000054,108.0
1,CRS3035RES1000mN2022000E3146000,28000066,107.0
2,CRS3035RES1000mN2022000E3146000,28000078,106.0
3,CRS3035RES1000mN2022000E3146000,28000081,104.0
4,CRS3035RES1000mN2022000E3146000,28000157,107.0
5,CRS3035RES1000mN2022000E3146000,28000224,106.0
6,CRS3035RES1000mN2022000E3146000,28000303,108.0
7,CRS3035RES1000mN2022000E3146000,28000315,106.0
8,CRS3035RES1000mN2022000E3146000,28000327,106.0
9,CRS3035RES1000mN2022000E3146000,28000376,115.0
10,CRS3035RES1000mN2022000E3146000,28000388,106.0
11,CRS3035RES1000mN2022000E3146000,28000406,
12,CRS3035RES1000mN2022000E3146000,28000421,
13,CRS3035RES1000mN2022000E3146000,28000479,104.0
14,CRS3035RES1000mN2022000E3146000,28000492,102.0
15,CRS3035RES1000mN2022000E3146000,28000558,112.0
16,CRS3035RES1000mN2022000E3146000,28000595,103.0
17,CRS3035RES1000mN2022000E3146000,28000601,97.0
18,CRS3035RES1000mN2022000E3146000,28000625,91.0
19,CRS3035RES1000mN2022000E3146000,28000649,94.0
20,CRS3035RES1000mN2022000E3146000,28000698,113.0
21,CRS3035RES1000mN2022000E3146000,28000765,112.0
22,CRS3035RES1000mN2022000E3146000,28000777,100.0
23,CRS3035RES1000mN2022000E3146000,28000856,33.0
24,CRS3035RES1000mN2022000E3146000,28000901,27.0
25,CRS3035RES1000mN2022000E3146000,28000947,45.0
26,CRS3035RES1000mN2022000E3146000,28000960,31.0
27,CRS3035RES1000mN2022000E3146000,28001010,42.0
28,CRS3035RES1000mN2022000E3146000,28001022,44.0
29,CRS3035RES1000mN2022000E3146000,28001034,39.0
30,CRS3035RES1000mN2022000E3146000,28001046,43.0
31,CRS3035RES1000mN2022000E3146000,28001137,43.0
32,CRS3035RES1000mN2022000E3146000,28001149,43.0
33,CRS3035RES1000mN2022000E3146000,28001681,117.0
34,CRS3035RES1000mN2022000E3146000,28001770,118.0
35,CRS3035RES1000mN2022000E3146000,28001848,90.0
36,CRS3035RES1000mN2022000E3146000,28001851,110.0
37,CRS3035RES1000mN2022000E3146000,28001861,
38,CRS3035RES1000mN2022000E3146000,28002270,
39,CRS3035RES1000mN2022000E3146000,28002282,
40,CRS3035RES1000mN2022000E3146000,28002464,110.0
41,CRS3035RES1000mN2022000E3146000,28002488,110.0
42,CRS3035RES1000mN2022000E3146000,28002506,106.0
43,CRS3035RES1000mN2022000E3146000,28002543,100.0
44,CRS3035RES1000mN2022000E3146000,28002804,66.0
45,CRS3035RES1000mN2022000E3146000,28002944,76.0
46,CRS3035RES1000mN2022000E3146000,28002956,68.0
47,CRS3035RES1000mN2022000E3146000,28002968,79.0
48,CRS3035RES1000mN2022000E3146000,28002981,75.0
49,CRS3035RES1000mN2022000E3146000,28003021,65.0
50,CRS3035RES1000mN2022000E3146000,28003055,73.0
51,CRS3035RES1000mN2022000E3146000,28003092,104.0
52,CRS3035RES1000mN2022000E3146000,28003110,79.0
53,CRS3035RES1000mN2022000E3146000,28003134,73.0
54,CRS3035RES1000mN2022000E3146000,28003250,74.0
55,CRS3035RES1000mN2022000E3146000,28003262,68.0
56,CRS3035RES1000mN2022000E3146000,28003286,72.0
57,CRS3035RES1000mN2022000E3146000,28003316,71.0
58,CRS3035RES1000mN2022000E3146000,28003328,78.0
59,CRS3035RES1000mN2022000E3146000,28003501,60.0
60,CRS3035RES1000mN2022000E3146000,28003523,57.0
61,CRS3035RES1000mN2022000E3146000,28003535,57.0
62,CRS3035RES1000mN2022000E3146000,28003584,56.0
63,CRS3035RES1000mN2022000E3146000,28003675,56.0
64,CRS3035RES1000mN2022000E3146000,28003742,60.0
65,CRS3035RES1000mN2022000E3146000,28003778,68.0
66,CRS3035RES1000mN2022000E3146000,28003791,57.0
67,CRS3035RES1000mN2022000E3146000,28003833,58.0
68,CRS3035RES1000mN2022000E3146000,28003845,60.0
69,CRS3035RES1000mN2022000E3146000,28003857,61.0
70,CRS3035RES1000mN2022000E3146000,28004266,73.0
71,CRS3035RES1000mN2022000E3146000,28004291,73.0
72,CRS3035RES1000mN2022000E3146000,28004552,94.0
73,CRS3035RES1000mN2022000E3146000,28004904,93.0
74,CRS3035RES1000mN2022000E3146000,28004941,98.0
75,CRS3035RES1000mN2022000E3146000,28004965,92.0
76,CRS3035RES1000mN2022000E3146000,28004989,97.0
77,CRS3035RES1000mN2022000E3146000,28004990,101.0
78,CRS3035RES1000mN2022000E3146000,28005003,100.0
79,CRS3035RES1000mN2022000E3146000,28005039,67.0
80,CRS3035RES1000mN2022000E3146000,28005076,86.0
81,CRS3035RES1000mN2022000E3146000,28005091,86.0
82,CRS3035RES1000mN2022000E3146000,28005106,88.0
83,CRS3035RES1000mN2022000E3146000,28005131,75.0
84,CRS3035RES1000mN2022000E3146000,28005155,63.0
85,CRS3035RES1000mN2022000E3146000,28005167,90.0
86,CRS3035RES1000mN2022000E3146000,28005179,74.0
87,CRS3035RES1000mN2022000E3146000,28005210,78.0
88,CRS3035RES1000mN2022000E3146000,28005234,90.0
89,CRS3035RES1000mN2022000E3146000,28005246,102.0
