,from_id,to_id,travel_time
0,CRS3035RES1000mN2027000E3170000,28000054,66.0
1,CRS3035RES1000mN2027000E3170000,28000066,70.0
2,CRS3035RES1000mN2027000E3170000,28000078,68.0
3,CRS3035RES1000mN2027000E3170000,28000081,57.0
4,CRS3035RES1000mN2027000E3170000,28000157,71.0
5,CRS3035RES1000mN2027000E3170000,28000224,70.0
6,CRS3035RES1000mN2027000E3170000,28000303,75.0
7,CRS3035RES1000mN2027000E3170000,28000315,78.0
8,CRS3035RES1000mN2027000E3170000,28000327,57.0
9,CRS3035RES1000mN2027000E3170000,28000376,83.0
10,CRS3035RES1000mN2027000E3170000,28000388,65.0
11,CRS3035RES1000mN2027000E3170000,28000406,81.0
12,CRS3035RES1000mN2027000E3170000,28000421,74.0
13,CRS3035RES1000mN2027000E3170000,28000479,67.0
14,CRS3035RES1000mN2027000E3170000,28000492,68.0
15,CRS3035RES1000mN2027000E3170000,28000558,79.0
16,CRS3035RES1000mN2027000E3170000,28000595,78.0
17,CRS3035RES1000mN2027000E3170000,28000601,82.0
18,CRS3035RES1000mN2027000E3170000,28000625,72.0
19,CRS3035RES1000mN2027000E3170000,28000649,75.0
20,CRS3035RES1000mN2027000E3170000,28000698,105.0
21,CRS3035RES1000mN2027000E3170000,28000765,85.0
22,CRS3035RES1000mN2027000E3170000,28000777,93.0
23,CRS3035RES1000mN2027000E3170000,28000856,113.0
24,CRS3035RES1000mN2027000E3170000,28000901,107.0
25,CRS3035RES1000mN2027000E3170000,28000947,100.0
26,CRS3035RES1000mN2027000E3170000,28000960,108.0
27,CRS3035RES1000mN2027000E3170000,28001010,104.0
28,CRS3035RES1000mN2027000E3170000,28001022,100.0
29,CRS3035RES1000mN2027000E3170000,28001034,103.0
30,CRS3035RES1000mN2027000E3170000,28001046,104.0
31,CRS3035RES1000mN2027000E3170000,28001137,103.0
32,CRS3035RES1000mN2027000E3170000,28001149,105.0
33,CRS3035RES1000mN2027000E3170000,28001681,64.0
34,CRS3035RES1000mN2027000E3170000,28001770,65.0
35,CRS3035RES1000mN2027000E3170000,28001848,118.0
36,CRS3035RES1000mN2027000E3170000,28001851,
37,CRS3035RES1000mN2027000E3170000,28001861,
38,CRS3035RES1000mN2027000E3170000,28002270,
39,CRS3035RES1000mN2027000E3170000,28002282,
40,CRS3035RES1000mN2027000E3170000,28002464,31.0
41,CRS3035RES1000mN2027000E3170000,28002488,31.0
42,CRS3035RES1000mN2027000E3170000,28002506,34.0
43,CRS3035RES1000mN2027000E3170000,28002543,44.0
44,CRS3035RES1000mN2027000E3170000,28002804,95.0
45,CRS3035RES1000mN2027000E3170000,28002944,89.0
46,CRS3035RES1000mN2027000E3170000,28002956,89.0
47,CRS3035RES1000mN2027000E3170000,28002968,88.0
48,CRS3035RES1000mN2027000E3170000,28002981,88.0
49,CRS3035RES1000mN2027000E3170000,28003021,86.0
50,CRS3035RES1000mN2027000E3170000,28003055,90.0
51,CRS3035RES1000mN2027000E3170000,28003092,104.0
52,CRS3035RES1000mN2027000E3170000,28003110,92.0
53,CRS3035RES1000mN2027000E3170000,28003134,85.0
54,CRS3035RES1000mN2027000E3170000,28003250,87.0
55,CRS3035RES1000mN2027000E3170000,28003262,81.0
56,CRS3035RES1000mN2027000E3170000,28003286,97.0
57,CRS3035RES1000mN2027000E3170000,28003316,84.0
58,CRS3035RES1000mN2027000E3170000,28003328,87.0
