,from_id,to_id,travel_time
0,CRS3035RES1000mN2039000E3147000,28000054,75.0
1,CRS3035RES1000mN2039000E3147000,28000066,67.0
2,CRS3035RES1000mN2039000E3147000,28000078,66.0
3,CRS3035RES1000mN2039000E3147000,28000081,66.0
4,CRS3035RES1000mN2039000E3147000,28000157,67.0
5,CRS3035RES1000mN2039000E3147000,28000224,66.0
6,CRS3035RES1000mN2039000E3147000,28000303,71.0
7,CRS3035RES1000mN2039000E3147000,28000315,73.0
8,CRS3035RES1000mN2039000E3147000,28000327,66.0
9,CRS3035RES1000mN2039000E3147000,28000376,77.0
10,CRS3035RES1000mN2039000E3147000,28000388,66.0
11,CRS3035RES1000mN2039000E3147000,28000406,86.0
12,CRS3035RES1000mN2039000E3147000,28000421,83.0
13,CRS3035RES1000mN2039000E3147000,28000479,64.0
14,CRS3035RES1000mN2039000E3147000,28000492,62.0
15,CRS3035RES1000mN2039000E3147000,28000558,72.0
16,CRS3035RES1000mN2039000E3147000,28000595,68.0
17,CRS3035RES1000mN2039000E3147000,28000601,67.0
18,CRS3035RES1000mN2039000E3147000,28000625,61.0
19,CRS3035RES1000mN2039000E3147000,28000649,63.0
20,CRS3035RES1000mN2039000E3147000,28000698,82.0
21,CRS3035RES1000mN2039000E3147000,28000765,78.0
22,CRS3035RES1000mN2039000E3147000,28000777,70.0
23,CRS3035RES1000mN2039000E3147000,28000856,79.0
24,CRS3035RES1000mN2039000E3147000,28000901,74.0
25,CRS3035RES1000mN2039000E3147000,28000947,65.0
26,CRS3035RES1000mN2039000E3147000,28000960,73.0
27,CRS3035RES1000mN2039000E3147000,28001010,72.0
28,CRS3035RES1000mN2039000E3147000,28001022,67.0
29,CRS3035RES1000mN2039000E3147000,28001034,69.0
30,CRS3035RES1000mN2039000E3147000,28001046,70.0
31,CRS3035RES1000mN2039000E3147000,28001137,70.0
32,CRS3035RES1000mN2039000E3147000,28001149,72.0
33,CRS3035RES1000mN2039000E3147000,28001681,92.0
34,CRS3035RES1000mN2039000E3147000,28001770,93.0
35,CRS3035RES1000mN2039000E3147000,28001848,81.0
36,CRS3035RES1000mN2039000E3147000,28001851,78.0
37,CRS3035RES1000mN2039000E3147000,28001861,57.0
38,CRS3035RES1000mN2039000E3147000,28002270,
39,CRS3035RES1000mN2039000E3147000,28002282,
40,CRS3035RES1000mN2039000E3147000,28002464,82.0
41,CRS3035RES1000mN2039000E3147000,28002488,83.0
42,CRS3035RES1000mN2039000E3147000,28002506,80.0
43,CRS3035RES1000mN2039000E3147000,28002543,62.0
44,CRS3035RES1000mN2039000E3147000,28002804,83.0
45,CRS3035RES1000mN2039000E3147000,28002944,77.0
46,CRS3035RES1000mN2039000E3147000,28002956,78.0
47,CRS3035RES1000mN2039000E3147000,28002968,79.0
48,CRS3035RES1000mN2039000E3147000,28002981,76.0
49,CRS3035RES1000mN2039000E3147000,28003021,75.0
