,from_id,to_id,travel_time
0,CRS3035RES1000mN2017000E3151000,28000054,108.0
1,CRS3035RES1000mN2017000E3151000,28000066,107.0
2,CRS3035RES1000mN2017000E3151000,28000078,106.0
3,CRS3035RES1000mN2017000E3151000,28000081,104.0
4,CRS3035RES1000mN2017000E3151000,28000157,107.0
5,CRS3035RES1000mN2017000E3151000,28000224,106.0
6,CRS3035RES1000mN2017000E3151000,28000303,108.0
7,CRS3035RES1000mN2017000E3151000,28000315,106.0
8,CRS3035RES1000mN2017000E3151000,28000327,106.0
9,CRS3035RES1000mN2017000E3151000,28000376,115.0
10,CRS3035RES1000mN2017000E3151000,28000388,106.0
11,CRS3035RES1000mN2017000E3151000,28000406,
12,CRS3035RES1000mN2017000E3151000,28000421,
13,CRS3035RES1000mN2017000E3151000,28000479,104.0
14,CRS3035RES1000mN2017000E3151000,28000492,102.0
15,CRS3035RES1000mN2017000E3151000,28000558,112.0
16,CRS3035RES1000mN2017000E3151000,28000595,115.0
17,CRS3035RES1000mN2017000E3151000,28000601,117.0
18,CRS3035RES1000mN2017000E3151000,28000625,109.0
19,CRS3035RES1000mN2017000E3151000,28000649,112.0
20,CRS3035RES1000mN2017000E3151000,28000698,
21,CRS3035RES1000mN2017000E3151000,28000765,
22,CRS3035RES1000mN2017000E3151000,28000777,119.0
23,CRS3035RES1000mN2017000E3151000,28000856,75.0
24,CRS3035RES1000mN2017000E3151000,28000901,70.0
25,CRS3035RES1000mN2017000E3151000,28000947,69.0
26,CRS3035RES1000mN2017000E3151000,28000960,71.0
27,CRS3035RES1000mN2017000E3151000,28001010,70.0
28,CRS3035RES1000mN2017000E3151000,28001022,68.0
29,CRS3035RES1000mN2017000E3151000,28001034,66.0
30,CRS3035RES1000mN2017000E3151000,28001046,68.0
31,CRS3035RES1000mN2017000E3151000,28001137,65.0
32,CRS3035RES1000mN2017000E3151000,28001149,67.0
33,CRS3035RES1000mN2017000E3151000,28001681,107.0
34,CRS3035RES1000mN2017000E3151000,28001770,109.0
35,CRS3035RES1000mN2017000E3151000,28001848,99.0
36,CRS3035RES1000mN2017000E3151000,28001851,110.0
37,CRS3035RES1000mN2017000E3151000,28001861,
38,CRS3035RES1000mN2017000E3151000,28002270,
39,CRS3035RES1000mN2017000E3151000,28002282,
40,CRS3035RES1000mN2017000E3151000,28002464,107.0
41,CRS3035RES1000mN2017000E3151000,28002488,107.0
42,CRS3035RES1000mN2017000E3151000,28002506,101.0
43,CRS3035RES1000mN2017000E3151000,28002543,96.0
44,CRS3035RES1000mN2017000E3151000,28002804,34.0
45,CRS3035RES1000mN2017000E3151000,28002944,53.0
46,CRS3035RES1000mN2017000E3151000,28002956,49.0
47,CRS3035RES1000mN2017000E3151000,28002968,60.0
48,CRS3035RES1000mN2017000E3151000,28002981,52.0
49,CRS3035RES1000mN2017000E3151000,28003021,46.0
50,CRS3035RES1000mN2017000E3151000,28003055,54.0
51,CRS3035RES1000mN2017000E3151000,28003092,84.0
52,CRS3035RES1000mN2017000E3151000,28003110,55.0
53,CRS3035RES1000mN2017000E3151000,28003134,50.0
54,CRS3035RES1000mN2017000E3151000,28003250,51.0
55,CRS3035RES1000mN2017000E3151000,28003262,45.0
56,CRS3035RES1000mN2017000E3151000,28003286,64.0
57,CRS3035RES1000mN2017000E3151000,28003316,49.0
58,CRS3035RES1000mN2017000E3151000,28003328,59.0
59,CRS3035RES1000mN2017000E3151000,28003501,49.0
60,CRS3035RES1000mN2017000E3151000,28003523,51.0
61,CRS3035RES1000mN2017000E3151000,28003535,40.0
62,CRS3035RES1000mN2017000E3151000,28003584,47.0
63,CRS3035RES1000mN2017000E3151000,28003675,45.0
64,CRS3035RES1000mN2017000E3151000,28003742,45.0
65,CRS3035RES1000mN2017000E3151000,28003778,62.0
66,CRS3035RES1000mN2017000E3151000,28003791,46.0
67,CRS3035RES1000mN2017000E3151000,28003833,56.0
68,CRS3035RES1000mN2017000E3151000,28003845,49.0
69,CRS3035RES1000mN2017000E3151000,28003857,51.0
70,CRS3035RES1000mN2017000E3151000,28004266,62.0
71,CRS3035RES1000mN2017000E3151000,28004291,65.0
72,CRS3035RES1000mN2017000E3151000,28004552,99.0
73,CRS3035RES1000mN2017000E3151000,28004904,79.0
74,CRS3035RES1000mN2017000E3151000,28004941,104.0
75,CRS3035RES1000mN2017000E3151000,28004965,82.0
76,CRS3035RES1000mN2017000E3151000,28004989,88.0
77,CRS3035RES1000mN2017000E3151000,28004990,102.0
78,CRS3035RES1000mN2017000E3151000,28005003,93.0
79,CRS3035RES1000mN2017000E3151000,28005039,48.0
80,CRS3035RES1000mN2017000E3151000,28005076,92.0
81,CRS3035RES1000mN2017000E3151000,28005091,79.0
82,CRS3035RES1000mN2017000E3151000,28005106,76.0
83,CRS3035RES1000mN2017000E3151000,28005131,69.0
84,CRS3035RES1000mN2017000E3151000,28005155,71.0
85,CRS3035RES1000mN2017000E3151000,28005167,96.0
86,CRS3035RES1000mN2017000E3151000,28005179,58.0
87,CRS3035RES1000mN2017000E3151000,28005210,83.0
88,CRS3035RES1000mN2017000E3151000,28005234,77.0
89,CRS3035RES1000mN2017000E3151000,28005246,97.0
90,CRS3035RES1000mN2017000E3151000,28005258,90.0
91,CRS3035RES1000mN2017000E3151000,28005261,92.0
92,CRS3035RES1000mN2017000E3151000,28005271,68.0
93,CRS3035RES1000mN2017000E3151000,28005295,97.0
94,CRS3035RES1000mN2017000E3151000,28005349,74.0
95,CRS3035RES1000mN2017000E3151000,28005350,92.0
96,CRS3035RES1000mN2017000E3151000,28005374,75.0
97,CRS3035RES1000mN2017000E3151000,28005386,84.0
98,CRS3035RES1000mN2017000E3151000,28005404,85.0
99,CRS3035RES1000mN2017000E3151000,28005431,86.0
100,CRS3035RES1000mN2017000E3151000,28005441,69.0
101,CRS3035RES1000mN2017000E3151000,28005465,89.0
102,CRS3035RES1000mN2017000E3151000,28005477,61.0
103,CRS3035RES1000mN2017000E3151000,28005489,68.0
104,CRS3035RES1000mN2017000E3151000,28005490,63.0
105,CRS3035RES1000mN2017000E3151000,28005519,89.0
106,CRS3035RES1000mN2017000E3151000,28005568,65.0
107,CRS3035RES1000mN2017000E3151000,28005571,86.0
108,CRS3035RES1000mN2017000E3151000,28005601,80.0
109,CRS3035RES1000mN2017000E3151000,28005623,88.0
110,CRS3035RES1000mN2017000E3151000,28005635,74.0
111,CRS3035RES1000mN2017000E3151000,28005660,83.0
112,CRS3035RES1000mN2017000E3151000,28005684,69.0
113,CRS3035RES1000mN2017000E3151000,28005696,71.0
114,CRS3035RES1000mN2017000E3151000,28005714,96.0
115,CRS3035RES1000mN2017000E3151000,28005726,66.0
116,CRS3035RES1000mN2017000E3151000,28005738,104.0
117,CRS3035RES1000mN2017000E3151000,28005741,100.0
118,CRS3035RES1000mN2017000E3151000,28005763,65.0
119,CRS3035RES1000mN2017000E3151000,28005787,89.0
120,CRS3035RES1000mN2017000E3151000,28005799,56.0
121,CRS3035RES1000mN2017000E3151000,28005805,93.0
