,from_id,to_id,travel_time
0,CRS3035RES1000mN2029000E3149000,28000054,86.0
1,CRS3035RES1000mN2029000E3149000,28000066,78.0
2,CRS3035RES1000mN2029000E3149000,28000078,77.0
3,CRS3035RES1000mN2029000E3149000,28000081,77.0
4,CRS3035RES1000mN2029000E3149000,28000157,78.0
5,CRS3035RES1000mN2029000E3149000,28000224,77.0
6,CRS3035RES1000mN2029000E3149000,28000303,82.0
7,CRS3035RES1000mN2029000E3149000,28000315,83.0
8,CRS3035RES1000mN2029000E3149000,28000327,77.0
9,CRS3035RES1000mN2029000E3149000,28000376,88.0
10,CRS3035RES1000mN2029000E3149000,28000388,77.0
11,CRS3035RES1000mN2029000E3149000,28000406,96.0
12,CRS3035RES1000mN2029000E3149000,28000421,94.0
13,CRS3035RES1000mN2029000E3149000,28000479,75.0
14,CRS3035RES1000mN2029000E3149000,28000492,73.0
15,CRS3035RES1000mN2029000E3149000,28000558,84.0
16,CRS3035RES1000mN2029000E3149000,28000595,72.0
17,CRS3035RES1000mN2029000E3149000,28000601,71.0
18,CRS3035RES1000mN2029000E3149000,28000625,65.0
19,CRS3035RES1000mN2029000E3149000,28000649,66.0
20,CRS3035RES1000mN2029000E3149000,28000698,87.0
21,CRS3035RES1000mN2029000E3149000,28000765,82.0
22,CRS3035RES1000mN2029000E3149000,28000777,74.0
23,CRS3035RES1000mN2029000E3149000,28000856,59.0
24,CRS3035RES1000mN2029000E3149000,28000901,54.0
25,CRS3035RES1000mN2029000E3149000,28000947,45.0
26,CRS3035RES1000mN2029000E3149000,28000960,53.0
27,CRS3035RES1000mN2029000E3149000,28001010,48.0
28,CRS3035RES1000mN2029000E3149000,28001022,44.0
29,CRS3035RES1000mN2029000E3149000,28001034,48.0
30,CRS3035RES1000mN2029000E3149000,28001046,49.0
31,CRS3035RES1000mN2029000E3149000,28001137,48.0
32,CRS3035RES1000mN2029000E3149000,28001149,50.0
33,CRS3035RES1000mN2029000E3149000,28001681,93.0
34,CRS3035RES1000mN2029000E3149000,28001770,94.0
35,CRS3035RES1000mN2029000E3149000,28001848,36.0
36,CRS3035RES1000mN2029000E3149000,28001851,50.0
37,CRS3035RES1000mN2029000E3149000,28001861,68.0
38,CRS3035RES1000mN2029000E3149000,28002270,
39,CRS3035RES1000mN2029000E3149000,28002282,
40,CRS3035RES1000mN2029000E3149000,28002464,87.0
41,CRS3035RES1000mN2029000E3149000,28002488,87.0
42,CRS3035RES1000mN2029000E3149000,28002506,85.0
43,CRS3035RES1000mN2029000E3149000,28002543,70.0
44,CRS3035RES1000mN2029000E3149000,28002804,54.0
45,CRS3035RES1000mN2029000E3149000,28002944,69.0
46,CRS3035RES1000mN2029000E3149000,28002956,66.0
47,CRS3035RES1000mN2029000E3149000,28002968,77.0
48,CRS3035RES1000mN2029000E3149000,28002981,67.0
49,CRS3035RES1000mN2029000E3149000,28003021,63.0
50,CRS3035RES1000mN2029000E3149000,28003055,71.0
51,CRS3035RES1000mN2029000E3149000,28003092,88.0
52,CRS3035RES1000mN2029000E3149000,28003110,70.0
