,from_id,to_id,travel_time
0,CRS3035RES1000mN2025000E3181000,28000054,107.0
1,CRS3035RES1000mN2025000E3181000,28000066,106.0
2,CRS3035RES1000mN2025000E3181000,28000078,105.0
3,CRS3035RES1000mN2025000E3181000,28000081,103.0
4,CRS3035RES1000mN2025000E3181000,28000157,106.0
5,CRS3035RES1000mN2025000E3181000,28000224,105.0
6,CRS3035RES1000mN2025000E3181000,28000303,102.0
7,CRS3035RES1000mN2025000E3181000,28000315,105.0
8,CRS3035RES1000mN2025000E3181000,28000327,105.0
9,CRS3035RES1000mN2025000E3181000,28000376,114.0
10,CRS3035RES1000mN2025000E3181000,28000388,105.0
11,CRS3035RES1000mN2025000E3181000,28000406,
12,CRS3035RES1000mN2025000E3181000,28000421,
13,CRS3035RES1000mN2025000E3181000,28000479,103.0
14,CRS3035RES1000mN2025000E3181000,28000492,101.0
15,CRS3035RES1000mN2025000E3181000,28000558,109.0
16,CRS3035RES1000mN2025000E3181000,28000595,115.0
17,CRS3035RES1000mN2025000E3181000,28000601,119.0
18,CRS3035RES1000mN2025000E3181000,28000625,109.0
19,CRS3035RES1000mN2025000E3181000,28000649,112.0
20,CRS3035RES1000mN2025000E3181000,28000698,
21,CRS3035RES1000mN2025000E3181000,28000765,
22,CRS3035RES1000mN2025000E3181000,28000777,
23,CRS3035RES1000mN2025000E3181000,28000856,
24,CRS3035RES1000mN2025000E3181000,28000901,
25,CRS3035RES1000mN2025000E3181000,28000947,
26,CRS3035RES1000mN2025000E3181000,28000960,
27,CRS3035RES1000mN2025000E3181000,28001010,
28,CRS3035RES1000mN2025000E3181000,28001022,
29,CRS3035RES1000mN2025000E3181000,28001034,
30,CRS3035RES1000mN2025000E3181000,28001046,
31,CRS3035RES1000mN2025000E3181000,28001137,
32,CRS3035RES1000mN2025000E3181000,28001149,
33,CRS3035RES1000mN2025000E3181000,28001681,
34,CRS3035RES1000mN2025000E3181000,28001770,
35,CRS3035RES1000mN2025000E3181000,28001848,
36,CRS3035RES1000mN2025000E3181000,28001851,
37,CRS3035RES1000mN2025000E3181000,28001861,
38,CRS3035RES1000mN2025000E3181000,28002270,
39,CRS3035RES1000mN2025000E3181000,28002282,
40,CRS3035RES1000mN2025000E3181000,28002464,
41,CRS3035RES1000mN2025000E3181000,28002488,
42,CRS3035RES1000mN2025000E3181000,28002506,114.0
43,CRS3035RES1000mN2025000E3181000,28002543,102.0
44,CRS3035RES1000mN2025000E3181000,28002804,
45,CRS3035RES1000mN2025000E3181000,28002944,
46,CRS3035RES1000mN2025000E3181000,28002956,
47,CRS3035RES1000mN2025000E3181000,28002968,
48,CRS3035RES1000mN2025000E3181000,28002981,
49,CRS3035RES1000mN2025000E3181000,28003021,
50,CRS3035RES1000mN2025000E3181000,28003055,
51,CRS3035RES1000mN2025000E3181000,28003092,
52,CRS3035RES1000mN2025000E3181000,28003110,
53,CRS3035RES1000mN2025000E3181000,28003134,
54,CRS3035RES1000mN2025000E3181000,28003250,
55,CRS3035RES1000mN2025000E3181000,28003262,
56,CRS3035RES1000mN2025000E3181000,28003286,
57,CRS3035RES1000mN2025000E3181000,28003316,
58,CRS3035RES1000mN2025000E3181000,28003328,
59,CRS3035RES1000mN2025000E3181000,28003501,
60,CRS3035RES1000mN2025000E3181000,28003523,
61,CRS3035RES1000mN2025000E3181000,28003535,
62,CRS3035RES1000mN2025000E3181000,28003584,
63,CRS3035RES1000mN2025000E3181000,28003675,
64,CRS3035RES1000mN2025000E3181000,28003742,
65,CRS3035RES1000mN2025000E3181000,28003778,
66,CRS3035RES1000mN2025000E3181000,28003791,
67,CRS3035RES1000mN2025000E3181000,28003833,
68,CRS3035RES1000mN2025000E3181000,28003845,
69,CRS3035RES1000mN2025000E3181000,28003857,
70,CRS3035RES1000mN2025000E3181000,28004266,
71,CRS3035RES1000mN2025000E3181000,28004291,
72,CRS3035RES1000mN2025000E3181000,28004552,111.0
73,CRS3035RES1000mN2025000E3181000,28004904,
74,CRS3035RES1000mN2025000E3181000,28004941,
75,CRS3035RES1000mN2025000E3181000,28004965,109.0
76,CRS3035RES1000mN2025000E3181000,28004989,
77,CRS3035RES1000mN2025000E3181000,28004990,105.0
78,CRS3035RES1000mN2025000E3181000,28005003,115.0
79,CRS3035RES1000mN2025000E3181000,28005039,
80,CRS3035RES1000mN2025000E3181000,28005076,102.0
81,CRS3035RES1000mN2025000E3181000,28005091,
