,from_id,to_id,travel_time
0,CRS3035RES1000mN2028000E3178000,28000054,59.0
1,CRS3035RES1000mN2028000E3178000,28000066,61.0
2,CRS3035RES1000mN2028000E3178000,28000078,60.0
3,CRS3035RES1000mN2028000E3178000,28000081,51.0
4,CRS3035RES1000mN2028000E3178000,28000157,61.0
5,CRS3035RES1000mN2028000E3178000,28000224,60.0
6,CRS3035RES1000mN2028000E3178000,28000303,65.0
7,CRS3035RES1000mN2028000E3178000,28000315,68.0
8,CRS3035RES1000mN2028000E3178000,28000327,51.0
9,CRS3035RES1000mN2028000E3178000,28000376,71.0
10,CRS3035RES1000mN2028000E3178000,28000388,59.0
11,CRS3035RES1000mN2028000E3178000,28000406,81.0
12,CRS3035RES1000mN2028000E3178000,28000421,68.0
13,CRS3035RES1000mN2028000E3178000,28000479,58.0
14,CRS3035RES1000mN2028000E3178000,28000492,56.0
15,CRS3035RES1000mN2028000E3178000,28000558,64.0
16,CRS3035RES1000mN2028000E3178000,28000595,75.0
17,CRS3035RES1000mN2028000E3178000,28000601,79.0
18,CRS3035RES1000mN2028000E3178000,28000625,69.0
19,CRS3035RES1000mN2028000E3178000,28000649,72.0
20,CRS3035RES1000mN2028000E3178000,28000698,102.0
21,CRS3035RES1000mN2028000E3178000,28000765,82.0
22,CRS3035RES1000mN2028000E3178000,28000777,90.0
23,CRS3035RES1000mN2028000E3178000,28000856,117.0
24,CRS3035RES1000mN2028000E3178000,28000901,112.0
25,CRS3035RES1000mN2028000E3178000,28000947,103.0
26,CRS3035RES1000mN2028000E3178000,28000960,111.0
27,CRS3035RES1000mN2028000E3178000,28001010,109.0
28,CRS3035RES1000mN2028000E3178000,28001022,104.0
29,CRS3035RES1000mN2028000E3178000,28001034,106.0
30,CRS3035RES1000mN2028000E3178000,28001046,108.0
31,CRS3035RES1000mN2028000E3178000,28001137,108.0
32,CRS3035RES1000mN2028000E3178000,28001149,110.0
33,CRS3035RES1000mN2028000E3178000,28001681,77.0
34,CRS3035RES1000mN2028000E3178000,28001770,78.0
35,CRS3035RES1000mN2028000E3178000,28001848,117.0
36,CRS3035RES1000mN2028000E3178000,28001851,
37,CRS3035RES1000mN2028000E3178000,28001861,
38,CRS3035RES1000mN2028000E3178000,28002270,
39,CRS3035RES1000mN2028000E3178000,28002282,
40,CRS3035RES1000mN2028000E3178000,28002464,60.0
41,CRS3035RES1000mN2028000E3178000,28002488,60.0
42,CRS3035RES1000mN2028000E3178000,28002506,54.0
43,CRS3035RES1000mN2028000E3178000,28002543,48.0
44,CRS3035RES1000mN2028000E3178000,28002804,103.0
45,CRS3035RES1000mN2028000E3178000,28002944,99.0
46,CRS3035RES1000mN2028000E3178000,28002956,93.0
47,CRS3035RES1000mN2028000E3178000,28002968,101.0
48,CRS3035RES1000mN2028000E3178000,28002981,98.0
49,CRS3035RES1000mN2028000E3178000,28003021,90.0
50,CRS3035RES1000mN2028000E3178000,28003055,98.0
51,CRS3035RES1000mN2028000E3178000,28003092,104.0
52,CRS3035RES1000mN2028000E3178000,28003110,102.0
53,CRS3035RES1000mN2028000E3178000,28003134,95.0
54,CRS3035RES1000mN2028000E3178000,28003250,97.0
55,CRS3035RES1000mN2028000E3178000,28003262,91.0
56,CRS3035RES1000mN2028000E3178000,28003286,105.0
57,CRS3035RES1000mN2028000E3178000,28003316,94.0
58,CRS3035RES1000mN2028000E3178000,28003328,100.0
59,CRS3035RES1000mN2028000E3178000,28003501,102.0
60,CRS3035RES1000mN2028000E3178000,28003523,104.0
61,CRS3035RES1000mN2028000E3178000,28003535,100.0
62,CRS3035RES1000mN2028000E3178000,28003584,100.0
63,CRS3035RES1000mN2028000E3178000,28003675,99.0
64,CRS3035RES1000mN2028000E3178000,28003742,100.0
65,CRS3035RES1000mN2028000E3178000,28003778,104.0
66,CRS3035RES1000mN2028000E3178000,28003791,96.0
67,CRS3035RES1000mN2028000E3178000,28003833,109.0
68,CRS3035RES1000mN2028000E3178000,28003845,97.0
69,CRS3035RES1000mN2028000E3178000,28003857,99.0
70,CRS3035RES1000mN2028000E3178000,28004266,91.0
71,CRS3035RES1000mN2028000E3178000,28004291,89.0
72,CRS3035RES1000mN2028000E3178000,28004552,75.0
73,CRS3035RES1000mN2028000E3178000,28004904,93.0
74,CRS3035RES1000mN2028000E3178000,28004941,89.0
75,CRS3035RES1000mN2028000E3178000,28004965,74.0
76,CRS3035RES1000mN2028000E3178000,28004989,68.0
77,CRS3035RES1000mN2028000E3178000,28004990,65.0
78,CRS3035RES1000mN2028000E3178000,28005003,55.0
79,CRS3035RES1000mN2028000E3178000,28005039,97.0
80,CRS3035RES1000mN2028000E3178000,28005076,68.0
81,CRS3035RES1000mN2028000E3178000,28005091,84.0
82,CRS3035RES1000mN2028000E3178000,28005106,91.0
83,CRS3035RES1000mN2028000E3178000,28005131,80.0
84,CRS3035RES1000mN2028000E3178000,28005155,83.0
85,CRS3035RES1000mN2028000E3178000,28005167,75.0
86,CRS3035RES1000mN2028000E3178000,28005179,95.0
87,CRS3035RES1000mN2028000E3178000,28005210,65.0
88,CRS3035RES1000mN2028000E3178000,28005234,94.0
89,CRS3035RES1000mN2028000E3178000,28005246,52.0
90,CRS3035RES1000mN2028000E3178000,28005258,67.0
91,CRS3035RES1000mN2028000E3178000,28005261,63.0
92,CRS3035RES1000mN2028000E3178000,28005271,93.0
93,CRS3035RES1000mN2028000E3178000,28005295,78.0
94,CRS3035RES1000mN2028000E3178000,28005349,83.0
95,CRS3035RES1000mN2028000E3178000,28005350,63.0
96,CRS3035RES1000mN2028000E3178000,28005374,73.0
97,CRS3035RES1000mN2028000E3178000,28005386,67.0
98,CRS3035RES1000mN2028000E3178000,28005404,72.0
99,CRS3035RES1000mN2028000E3178000,28005431,62.0
100,CRS3035RES1000mN2028000E3178000,28005441,89.0
101,CRS3035RES1000mN2028000E3178000,28005465,73.0
102,CRS3035RES1000mN2028000E3178000,28005477,93.0
103,CRS3035RES1000mN2028000E3178000,28005489,90.0
104,CRS3035RES1000mN2028000E3178000,28005490,98.0
105,CRS3035RES1000mN2028000E3178000,28005519,60.0
106,CRS3035RES1000mN2028000E3178000,28005568,87.0
107,CRS3035RES1000mN2028000E3178000,28005571,61.0
108,CRS3035RES1000mN2028000E3178000,28005601,68.0
109,CRS3035RES1000mN2028000E3178000,28005623,73.0
110,CRS3035RES1000mN2028000E3178000,28005635,91.0
111,CRS3035RES1000mN2028000E3178000,28005660,68.0
112,CRS3035RES1000mN2028000E3178000,28005684,99.0
113,CRS3035RES1000mN2028000E3178000,28005696,86.0
114,CRS3035RES1000mN2028000E3178000,28005714,79.0
115,CRS3035RES1000mN2028000E3178000,28005726,82.0
116,CRS3035RES1000mN2028000E3178000,28005738,67.0
117,CRS3035RES1000mN2028000E3178000,28005741,79.0
118,CRS3035RES1000mN2028000E3178000,28005763,94.0
119,CRS3035RES1000mN2028000E3178000,28005787,67.0
120,CRS3035RES1000mN2028000E3178000,28005799,99.0
