,from_id,to_id,travel_time
0,CRS3035RES1000mN2048000E3160000,28000054,108.0
1,CRS3035RES1000mN2048000E3160000,28000066,107.0
2,CRS3035RES1000mN2048000E3160000,28000078,106.0
3,CRS3035RES1000mN2048000E3160000,28000081,104.0
4,CRS3035RES1000mN2048000E3160000,28000157,107.0
5,CRS3035RES1000mN2048000E3160000,28000224,106.0
6,CRS3035RES1000mN2048000E3160000,28000303,108.0
7,CRS3035RES1000mN2048000E3160000,28000315,106.0
8,CRS3035RES1000mN2048000E3160000,28000327,106.0
9,CRS3035RES1000mN2048000E3160000,28000376,115.0
10,CRS3035RES1000mN2048000E3160000,28000388,106.0
11,CRS3035RES1000mN2048000E3160000,28000406,
12,CRS3035RES1000mN2048000E3160000,28000421,
13,CRS3035RES1000mN2048000E3160000,28000479,104.0
14,CRS3035RES1000mN2048000E3160000,28000492,102.0
15,CRS3035RES1000mN2048000E3160000,28000558,112.0
16,CRS3035RES1000mN2048000E3160000,28000595,88.0
17,CRS3035RES1000mN2048000E3160000,28000601,87.0
18,CRS3035RES1000mN2048000E3160000,28000625,81.0
19,CRS3035RES1000mN2048000E3160000,28000649,80.0
20,CRS3035RES1000mN2048000E3160000,28000698,101.0
21,CRS3035RES1000mN2048000E3160000,28000765,89.0
22,CRS3035RES1000mN2048000E3160000,28000777,90.0
23,CRS3035RES1000mN2048000E3160000,28000856,
24,CRS3035RES1000mN2048000E3160000,28000901,118.0
25,CRS3035RES1000mN2048000E3160000,28000947,111.0
26,CRS3035RES1000mN2048000E3160000,28000960,
27,CRS3035RES1000mN2048000E3160000,28001010,117.0
28,CRS3035RES1000mN2048000E3160000,28001022,112.0
29,CRS3035RES1000mN2048000E3160000,28001034,115.0
30,CRS3035RES1000mN2048000E3160000,28001046,116.0
31,CRS3035RES1000mN2048000E3160000,28001137,116.0
32,CRS3035RES1000mN2048000E3160000,28001149,118.0
33,CRS3035RES1000mN2048000E3160000,28001681,117.0
34,CRS3035RES1000mN2048000E3160000,28001770,118.0
35,CRS3035RES1000mN2048000E3160000,28001848,
36,CRS3035RES1000mN2048000E3160000,28001851,
37,CRS3035RES1000mN2048000E3160000,28001861,
38,CRS3035RES1000mN2048000E3160000,28002270,
39,CRS3035RES1000mN2048000E3160000,28002282,
40,CRS3035RES1000mN2048000E3160000,28002464,
41,CRS3035RES1000mN2048000E3160000,28002488,
42,CRS3035RES1000mN2048000E3160000,28002506,115.0
43,CRS3035RES1000mN2048000E3160000,28002543,97.0
44,CRS3035RES1000mN2048000E3160000,28002804,
45,CRS3035RES1000mN2048000E3160000,28002944,119.0
46,CRS3035RES1000mN2048000E3160000,28002956,
47,CRS3035RES1000mN2048000E3160000,28002968,
48,CRS3035RES1000mN2048000E3160000,28002981,116.0
49,CRS3035RES1000mN2048000E3160000,28003021,117.0
50,CRS3035RES1000mN2048000E3160000,28003055,
51,CRS3035RES1000mN2048000E3160000,28003092,
52,CRS3035RES1000mN2048000E3160000,28003110,
53,CRS3035RES1000mN2048000E3160000,28003134,115.0
54,CRS3035RES1000mN2048000E3160000,28003250,117.0
55,CRS3035RES1000mN2048000E3160000,28003262,111.0
56,CRS3035RES1000mN2048000E3160000,28003286,
57,CRS3035RES1000mN2048000E3160000,28003316,114.0
58,CRS3035RES1000mN2048000E3160000,28003328,
59,CRS3035RES1000mN2048000E3160000,28003501,
60,CRS3035RES1000mN2048000E3160000,28003523,
61,CRS3035RES1000mN2048000E3160000,28003535,
62,CRS3035RES1000mN2048000E3160000,28003584,
63,CRS3035RES1000mN2048000E3160000,28003675,
64,CRS3035RES1000mN2048000E3160000,28003742,
65,CRS3035RES1000mN2048000E3160000,28003778,
66,CRS3035RES1000mN2048000E3160000,28003791,
67,CRS3035RES1000mN2048000E3160000,28003833,
68,CRS3035RES1000mN2048000E3160000,28003845,
69,CRS3035RES1000mN2048000E3160000,28003857,
70,CRS3035RES1000mN2048000E3160000,28004266,111.0
71,CRS3035RES1000mN2048000E3160000,28004291,109.0
72,CRS3035RES1000mN2048000E3160000,28004552,75.0
73,CRS3035RES1000mN2048000E3160000,28004904,116.0
74,CRS3035RES1000mN2048000E3160000,28004941,75.0
75,CRS3035RES1000mN2048000E3160000,28004965,93.0
76,CRS3035RES1000mN2048000E3160000,28004989,106.0
77,CRS3035RES1000mN2048000E3160000,28004990,102.0
78,CRS3035RES1000mN2048000E3160000,28005003,102.0
79,CRS3035RES1000mN2048000E3160000,28005039,112.0
80,CRS3035RES1000mN2048000E3160000,28005076,86.0
81,CRS3035RES1000mN2048000E3160000,28005091,114.0
82,CRS3035RES1000mN2048000E3160000,28005106,112.0
83,CRS3035RES1000mN2048000E3160000,28005131,101.0
84,CRS3035RES1000mN2048000E3160000,28005155,90.0
85,CRS3035RES1000mN2048000E3160000,28005167,80.0
86,CRS3035RES1000mN2048000E3160000,28005179,114.0
87,CRS3035RES1000mN2048000E3160000,28005210,76.0
88,CRS3035RES1000mN2048000E3160000,28005234,116.0
89,CRS3035RES1000mN2048000E3160000,28005246,96.0
90,CRS3035RES1000mN2048000E3160000,28005258,86.0
91,CRS3035RES1000mN2048000E3160000,28005261,93.0
92,CRS3035RES1000mN2048000E3160000,28005271,115.0
93,CRS3035RES1000mN2048000E3160000,28005295,67.0
94,CRS3035RES1000mN2048000E3160000,28005349,99.0
95,CRS3035RES1000mN2048000E3160000,28005350,111.0
96,CRS3035RES1000mN2048000E3160000,28005374,92.0
97,CRS3035RES1000mN2048000E3160000,28005386,104.0
98,CRS3035RES1000mN2048000E3160000,28005404,103.0
99,CRS3035RES1000mN2048000E3160000,28005431,84.0
100,CRS3035RES1000mN2048000E3160000,28005441,96.0
101,CRS3035RES1000mN2048000E3160000,28005465,98.0
102,CRS3035RES1000mN2048000E3160000,28005477,106.0
103,CRS3035RES1000mN2048000E3160000,28005489,97.0
104,CRS3035RES1000mN2048000E3160000,28005490,106.0
105,CRS3035RES1000mN2048000E3160000,28005519,108.0
106,CRS3035RES1000mN2048000E3160000,28005568,106.0
107,CRS3035RES1000mN2048000E3160000,28005571,82.0
108,CRS3035RES1000mN2048000E3160000,28005601,102.0
109,CRS3035RES1000mN2048000E3160000,28005623,108.0
110,CRS3035RES1000mN2048000E3160000,28005635,99.0
111,CRS3035RES1000mN2048000E3160000,28005660,105.0
112,CRS3035RES1000mN2048000E3160000,28005684,107.0
113,CRS3035RES1000mN2048000E3160000,28005696,110.0
114,CRS3035RES1000mN2048000E3160000,28005714,72.0
115,CRS3035RES1000mN2048000E3160000,28005726,104.0
116,CRS3035RES1000mN2048000E3160000,28005738,104.0
117,CRS3035RES1000mN2048000E3160000,28005741,77.0
118,CRS3035RES1000mN2048000E3160000,28005763,114.0
119,CRS3035RES1000mN2048000E3160000,28005787,108.0
120,CRS3035RES1000mN2048000E3160000,28005799,112.0
121,CRS3035RES1000mN2048000E3160000,28005805,95.0
122,CRS3035RES1000mN2048000E3160000,28005817,102.0
123,CRS3035RES1000mN2048000E3160000,28005830,94.0
124,CRS3035RES1000mN2048000E3160000,28005842,107.0
125,CRS3035RES1000mN2048000E3160000,28005854,103.0
126,CRS3035RES1000mN2048000E3160000,28005866,94.0
127,CRS3035RES1000mN2048000E3160000,28005878,84.0
128,CRS3035RES1000mN2048000E3160000,28005881,89.0
129,CRS3035RES1000mN2048000E3160000,28005891,101.0
130,CRS3035RES1000mN2048000E3160000,28005908,105.0
131,CRS3035RES1000mN2048000E3160000,28005911,113.0
132,CRS3035RES1000mN2048000E3160000,28005933,105.0
133,CRS3035RES1000mN2048000E3160000,28005945,95.0
134,CRS3035RES1000mN2048000E3160000,28005994,96.0
135,CRS3035RES1000mN2048000E3160000,28006007,106.0
136,CRS3035RES1000mN2048000E3160000,28006020,82.0
137,CRS3035RES1000mN2048000E3160000,28006044,106.0
138,CRS3035RES1000mN2048000E3160000,28006056,103.0
139,CRS3035RES1000mN2048000E3160000,28006068,86.0
140,CRS3035RES1000mN2048000E3160000,28006071,61.0
141,CRS3035RES1000mN2048000E3160000,28006101,118.0
142,CRS3035RES1000mN2048000E3160000,28006111,106.0
143,CRS3035RES1000mN2048000E3160000,28006123,82.0
144,CRS3035RES1000mN2048000E3160000,28006135,97.0
145,CRS3035RES1000mN2048000E3160000,28006159,112.0
146,CRS3035RES1000mN2048000E3160000,28006160,110.0
147,CRS3035RES1000mN2048000E3160000,28006172,105.0
148,CRS3035RES1000mN2048000E3160000,28006184,72.0
149,CRS3035RES1000mN2048000E3160000,28006196,99.0
150,CRS3035RES1000mN2048000E3160000,28006202,109.0
151,CRS3035RES1000mN2048000E3160000,28006214,106.0
152,CRS3035RES1000mN2048000E3160000,28006238,84.0
153,CRS3035RES1000mN2048000E3160000,28006251,111.0
154,CRS3035RES1000mN2048000E3160000,28006263,108.0
155,CRS3035RES1000mN2048000E3160000,28006275,100.0
