,from_id,to_id,travel_time
0,CRS3035RES1000mN2021000E3136000,28000054,
1,CRS3035RES1000mN2021000E3136000,28000066,
2,CRS3035RES1000mN2021000E3136000,28000078,
3,CRS3035RES1000mN2021000E3136000,28000081,
4,CRS3035RES1000mN2021000E3136000,28000157,
5,CRS3035RES1000mN2021000E3136000,28000224,
6,CRS3035RES1000mN2021000E3136000,28000303,
7,CRS3035RES1000mN2021000E3136000,28000315,
8,CRS3035RES1000mN2021000E3136000,28000327,
9,CRS3035RES1000mN2021000E3136000,28000376,
10,CRS3035RES1000mN2021000E3136000,28000388,
11,CRS3035RES1000mN2021000E3136000,28000406,
12,CRS3035RES1000mN2021000E3136000,28000421,
13,CRS3035RES1000mN2021000E3136000,28000479,
14,CRS3035RES1000mN2021000E3136000,28000492,
15,CRS3035RES1000mN2021000E3136000,28000558,
16,CRS3035RES1000mN2021000E3136000,28000595,
17,CRS3035RES1000mN2021000E3136000,28000601,
18,CRS3035RES1000mN2021000E3136000,28000625,
19,CRS3035RES1000mN2021000E3136000,28000649,
20,CRS3035RES1000mN2021000E3136000,28000698,
21,CRS3035RES1000mN2021000E3136000,28000765,
22,CRS3035RES1000mN2021000E3136000,28000777,
23,CRS3035RES1000mN2021000E3136000,28000856,93.0
24,CRS3035RES1000mN2021000E3136000,28000901,86.0
25,CRS3035RES1000mN2021000E3136000,28000947,86.0
26,CRS3035RES1000mN2021000E3136000,28000960,89.0
27,CRS3035RES1000mN2021000E3136000,28001010,91.0
28,CRS3035RES1000mN2021000E3136000,28001022,94.0
29,CRS3035RES1000mN2021000E3136000,28001034,85.0
30,CRS3035RES1000mN2021000E3136000,28001046,85.0
31,CRS3035RES1000mN2021000E3136000,28001137,88.0
32,CRS3035RES1000mN2021000E3136000,28001149,92.0
33,CRS3035RES1000mN2021000E3136000,28001681,
34,CRS3035RES1000mN2021000E3136000,28001770,
35,CRS3035RES1000mN2021000E3136000,28001848,
36,CRS3035RES1000mN2021000E3136000,28001851,
37,CRS3035RES1000mN2021000E3136000,28001861,
38,CRS3035RES1000mN2021000E3136000,28002270,
39,CRS3035RES1000mN2021000E3136000,28002282,
40,CRS3035RES1000mN2021000E3136000,28002464,
41,CRS3035RES1000mN2021000E3136000,28002488,
42,CRS3035RES1000mN2021000E3136000,28002506,
43,CRS3035RES1000mN2021000E3136000,28002543,
44,CRS3035RES1000mN2021000E3136000,28002804,91.0
45,CRS3035RES1000mN2021000E3136000,28002944,107.0
46,CRS3035RES1000mN2021000E3136000,28002956,103.0
47,CRS3035RES1000mN2021000E3136000,28002968,115.0
48,CRS3035RES1000mN2021000E3136000,28002981,106.0
49,CRS3035RES1000mN2021000E3136000,28003021,100.0
50,CRS3035RES1000mN2021000E3136000,28003055,108.0
51,CRS3035RES1000mN2021000E3136000,28003092,
52,CRS3035RES1000mN2021000E3136000,28003110,109.0
53,CRS3035RES1000mN2021000E3136000,28003134,104.0
54,CRS3035RES1000mN2021000E3136000,28003250,105.0
55,CRS3035RES1000mN2021000E3136000,28003262,99.0
56,CRS3035RES1000mN2021000E3136000,28003286,116.0
57,CRS3035RES1000mN2021000E3136000,28003316,103.0
58,CRS3035RES1000mN2021000E3136000,28003328,113.0
59,CRS3035RES1000mN2021000E3136000,28003501,107.0
60,CRS3035RES1000mN2021000E3136000,28003523,104.0
61,CRS3035RES1000mN2021000E3136000,28003535,102.0
62,CRS3035RES1000mN2021000E3136000,28003584,102.0
63,CRS3035RES1000mN2021000E3136000,28003675,102.0
64,CRS3035RES1000mN2021000E3136000,28003742,106.0
65,CRS3035RES1000mN2021000E3136000,28003778,112.0
66,CRS3035RES1000mN2021000E3136000,28003791,104.0
67,CRS3035RES1000mN2021000E3136000,28003833,105.0
68,CRS3035RES1000mN2021000E3136000,28003845,106.0
69,CRS3035RES1000mN2021000E3136000,28003857,107.0
70,CRS3035RES1000mN2021000E3136000,28004266,115.0
71,CRS3035RES1000mN2021000E3136000,28004291,102.0
72,CRS3035RES1000mN2021000E3136000,28004552,
