,from_id,to_id,travel_time
0,CRS3035RES1000mN2022000E3146000,28000029,
1,CRS3035RES1000mN2022000E3146000,28000157,107.0
2,CRS3035RES1000mN2022000E3146000,28000224,106.0
3,CRS3035RES1000mN2022000E3146000,28000303,108.0
4,CRS3035RES1000mN2022000E3146000,28000327,106.0
5,CRS3035RES1000mN2022000E3146000,28000364,115.0
6,CRS3035RES1000mN2022000E3146000,28000406,
7,CRS3035RES1000mN2022000E3146000,28000421,
8,CRS3035RES1000mN2022000E3146000,28000467,113.0
9,CRS3035RES1000mN2022000E3146000,28000479,104.0
10,CRS3035RES1000mN2022000E3146000,28000492,102.0
11,CRS3035RES1000mN2022000E3146000,28000522,113.0
12,CRS3035RES1000mN2022000E3146000,28000698,113.0
13,CRS3035RES1000mN2022000E3146000,28000753,105.0
14,CRS3035RES1000mN2022000E3146000,28000777,100.0
15,CRS3035RES1000mN2022000E3146000,28000901,27.0
16,CRS3035RES1000mN2022000E3146000,28000947,45.0
17,CRS3035RES1000mN2022000E3146000,28000960,31.0
18,CRS3035RES1000mN2022000E3146000,28001010,42.0
19,CRS3035RES1000mN2022000E3146000,28001022,44.0
20,CRS3035RES1000mN2022000E3146000,28001034,39.0
21,CRS3035RES1000mN2022000E3146000,28001046,43.0
22,CRS3035RES1000mN2022000E3146000,28001514,
23,CRS3035RES1000mN2022000E3146000,28001563,118.0
24,CRS3035RES1000mN2022000E3146000,28001605,116.0
25,CRS3035RES1000mN2022000E3146000,28001629,117.0
26,CRS3035RES1000mN2022000E3146000,28001678,98.0
27,CRS3035RES1000mN2022000E3146000,28001769,118.0
28,CRS3035RES1000mN2022000E3146000,28001812,
29,CRS3035RES1000mN2022000E3146000,28001848,90.0
30,CRS3035RES1000mN2022000E3146000,28001851,110.0
31,CRS3035RES1000mN2022000E3146000,28001861,
32,CRS3035RES1000mN2022000E3146000,28001952,
33,CRS3035RES1000mN2022000E3146000,28001976,
34,CRS3035RES1000mN2022000E3146000,28002026,
35,CRS3035RES1000mN2022000E3146000,28002038,114.0
36,CRS3035RES1000mN2022000E3146000,28002105,
37,CRS3035RES1000mN2022000E3146000,28002181,
38,CRS3035RES1000mN2022000E3146000,28002211,
39,CRS3035RES1000mN2022000E3146000,28002312,
40,CRS3035RES1000mN2022000E3146000,28002397,106.0
41,CRS3035RES1000mN2022000E3146000,28002415,104.0
42,CRS3035RES1000mN2022000E3146000,28002427,102.0
43,CRS3035RES1000mN2022000E3146000,28002506,106.0
44,CRS3035RES1000mN2022000E3146000,28002580,111.0
45,CRS3035RES1000mN2022000E3146000,28002853,119.0
46,CRS3035RES1000mN2022000E3146000,28003092,104.0
