,from_id,to_id,travel_time
0,CRS3035RES1000mN2027000E3170000,28000029,71.0
1,CRS3035RES1000mN2027000E3170000,28000157,71.0
2,CRS3035RES1000mN2027000E3170000,28000224,70.0
3,CRS3035RES1000mN2027000E3170000,28000303,75.0
4,CRS3035RES1000mN2027000E3170000,28000327,57.0
5,CRS3035RES1000mN2027000E3170000,28000364,81.0
6,CRS3035RES1000mN2027000E3170000,28000406,81.0
7,CRS3035RES1000mN2027000E3170000,28000421,74.0
8,CRS3035RES1000mN2027000E3170000,28000467,82.0
9,CRS3035RES1000mN2027000E3170000,28000479,67.0
10,CRS3035RES1000mN2027000E3170000,28000492,68.0
11,CRS3035RES1000mN2027000E3170000,28000522,64.0
12,CRS3035RES1000mN2027000E3170000,28000698,105.0
13,CRS3035RES1000mN2027000E3170000,28000753,73.0
14,CRS3035RES1000mN2027000E3170000,28000777,93.0
15,CRS3035RES1000mN2027000E3170000,28000901,107.0
16,CRS3035RES1000mN2027000E3170000,28000947,99.0
17,CRS3035RES1000mN2027000E3170000,28000960,108.0
18,CRS3035RES1000mN2027000E3170000,28001010,104.0
19,CRS3035RES1000mN2027000E3170000,28001022,101.0
20,CRS3035RES1000mN2027000E3170000,28001034,103.0
21,CRS3035RES1000mN2027000E3170000,28001046,104.0
22,CRS3035RES1000mN2027000E3170000,28001514,
23,CRS3035RES1000mN2027000E3170000,28001563,118.0
24,CRS3035RES1000mN2027000E3170000,28001605,116.0
25,CRS3035RES1000mN2027000E3170000,28001629,117.0
26,CRS3035RES1000mN2027000E3170000,28001678,87.0
27,CRS3035RES1000mN2027000E3170000,28001769,66.0
28,CRS3035RES1000mN2027000E3170000,28001812,
29,CRS3035RES1000mN2027000E3170000,28001848,117.0
30,CRS3035RES1000mN2027000E3170000,28001851,
31,CRS3035RES1000mN2027000E3170000,28001861,
32,CRS3035RES1000mN2027000E3170000,28001952,
33,CRS3035RES1000mN2027000E3170000,28001976,
34,CRS3035RES1000mN2027000E3170000,28002026,
35,CRS3035RES1000mN2027000E3170000,28002038,77.0
36,CRS3035RES1000mN2027000E3170000,28002105,
37,CRS3035RES1000mN2027000E3170000,28002181,
38,CRS3035RES1000mN2027000E3170000,28002211,118.0
39,CRS3035RES1000mN2027000E3170000,28002312,
40,CRS3035RES1000mN2027000E3170000,28002397,104.0
41,CRS3035RES1000mN2027000E3170000,28002415,102.0
42,CRS3035RES1000mN2027000E3170000,28002427,100.0
43,CRS3035RES1000mN2027000E3170000,28002506,34.0
44,CRS3035RES1000mN2027000E3170000,28002580,43.0
45,CRS3035RES1000mN2027000E3170000,28002853,108.0
46,CRS3035RES1000mN2027000E3170000,28003092,104.0
47,CRS3035RES1000mN2027000E3170000,28003110,92.0
48,CRS3035RES1000mN2027000E3170000,28003134,85.0
49,CRS3035RES1000mN2027000E3170000,28003201,93.0
50,CRS3035RES1000mN2027000E3170000,28003250,87.0
51,CRS3035RES1000mN2027000E3170000,28003262,81.0
52,CRS3035RES1000mN2027000E3170000,28003304,92.0
53,CRS3035RES1000mN2027000E3170000,28003419,
54,CRS3035RES1000mN2027000E3170000,28003444,114.0
55,CRS3035RES1000mN2027000E3170000,28003584,90.0
56,CRS3035RES1000mN2027000E3170000,28003675,96.0
57,CRS3035RES1000mN2027000E3170000,28003742,97.0
58,CRS3035RES1000mN2027000E3170000,28003882,99.0
59,CRS3035RES1000mN2027000E3170000,28003894,98.0
60,CRS3035RES1000mN2027000E3170000,28003900,99.0
61,CRS3035RES1000mN2027000E3170000,28003973,79.0
62,CRS3035RES1000mN2027000E3170000,28004059,69.0
63,CRS3035RES1000mN2027000E3170000,28005131,72.0
64,CRS3035RES1000mN2027000E3170000,28005295,78.0
65,CRS3035RES1000mN2027000E3170000,28005738,44.0
66,CRS3035RES1000mN2027000E3170000,28005787,59.0
67,CRS3035RES1000mN2027000E3170000,28005799,92.0
68,CRS3035RES1000mN2027000E3170000,28005842,52.0
69,CRS3035RES1000mN2027000E3170000,28006019,78.0
70,CRS3035RES1000mN2027000E3170000,28006378,56.0
71,CRS3035RES1000mN2027000E3170000,28006457,79.0
72,CRS3035RES1000mN2027000E3170000,28006561,61.0
73,CRS3035RES1000mN2027000E3170000,28006779,63.0
74,CRS3035RES1000mN2027000E3170000,28006809,96.0
75,CRS3035RES1000mN2027000E3170000,28007103,72.0
76,CRS3035RES1000mN2027000E3170000,28007127,83.0
77,CRS3035RES1000mN2027000E3170000,28007139,79.0
78,CRS3035RES1000mN2027000E3170000,28007152,70.0
79,CRS3035RES1000mN2027000E3170000,28007191,77.0
80,CRS3035RES1000mN2027000E3170000,28007292,64.0
81,CRS3035RES1000mN2027000E3170000,28007309,59.0
82,CRS3035RES1000mN2027000E3170000,28007395,60.0
83,CRS3035RES1000mN2027000E3170000,28007607,65.0
84,CRS3035RES1000mN2027000E3170000,28007619,47.0
85,CRS3035RES1000mN2027000E3170000,28007826,68.0
86,CRS3035RES1000mN2027000E3170000,28007917,66.0
87,CRS3035RES1000mN2027000E3170000,28007942,47.0
88,CRS3035RES1000mN2027000E3170000,28007954,91.0
89,CRS3035RES1000mN2027000E3170000,28007978,62.0
90,CRS3035RES1000mN2027000E3170000,28007991,60.0
91,CRS3035RES1000mN2027000E3170000,28008053,45.0
92,CRS3035RES1000mN2027000E3170000,28008107,64.0
93,CRS3035RES1000mN2027000E3170000,28008211,64.0
94,CRS3035RES1000mN2027000E3170000,28008223,65.0
95,CRS3035RES1000mN2027000E3170000,28008351,70.0
96,CRS3035RES1000mN2027000E3170000,28008387,93.0
97,CRS3035RES1000mN2027000E3170000,28008405,51.0
98,CRS3035RES1000mN2027000E3170000,28008508,70.0
99,CRS3035RES1000mN2027000E3170000,28008511,66.0
100,CRS3035RES1000mN2027000E3170000,28008703,68.0
101,CRS3035RES1000mN2027000E3170000,28008715,84.0
102,CRS3035RES1000mN2027000E3170000,28008806,70.0
103,CRS3035RES1000mN2027000E3170000,28008892,72.0
104,CRS3035RES1000mN2027000E3170000,28008909,73.0
105,CRS3035RES1000mN2027000E3170000,28008910,48.0
106,CRS3035RES1000mN2027000E3170000,28008922,81.0
107,CRS3035RES1000mN2027000E3170000,28008934,80.0
108,CRS3035RES1000mN2027000E3170000,28008946,76.0
109,CRS3035RES1000mN2027000E3170000,28008958,92.0
110,CRS3035RES1000mN2027000E3170000,28009033,83.0
111,CRS3035RES1000mN2027000E3170000,28009069,62.0
112,CRS3035RES1000mN2027000E3170000,28009082,54.0
113,CRS3035RES1000mN2027000E3170000,28009185,75.0
114,CRS3035RES1000mN2027000E3170000,28009203,71.0
115,CRS3035RES1000mN2027000E3170000,28009215,64.0
