,from_id,to_id,travel_time
0,CRS3035RES1000mN2039000E3147000,28000029,99.0
1,CRS3035RES1000mN2039000E3147000,28000157,68.0
2,CRS3035RES1000mN2039000E3147000,28000224,67.0
3,CRS3035RES1000mN2039000E3147000,28000303,72.0
4,CRS3035RES1000mN2039000E3147000,28000327,67.0
5,CRS3035RES1000mN2039000E3147000,28000364,76.0
6,CRS3035RES1000mN2039000E3147000,28000406,86.0
7,CRS3035RES1000mN2039000E3147000,28000421,83.0
8,CRS3035RES1000mN2039000E3147000,28000467,77.0
9,CRS3035RES1000mN2039000E3147000,28000479,65.0
10,CRS3035RES1000mN2039000E3147000,28000492,63.0
11,CRS3035RES1000mN2039000E3147000,28000522,77.0
12,CRS3035RES1000mN2039000E3147000,28000698,82.0
13,CRS3035RES1000mN2039000E3147000,28000753,69.0
14,CRS3035RES1000mN2039000E3147000,28000777,70.0
15,CRS3035RES1000mN2039000E3147000,28000901,74.0
16,CRS3035RES1000mN2039000E3147000,28000947,65.0
17,CRS3035RES1000mN2039000E3147000,28000960,74.0
18,CRS3035RES1000mN2039000E3147000,28001010,73.0
19,CRS3035RES1000mN2039000E3147000,28001022,68.0
20,CRS3035RES1000mN2039000E3147000,28001034,70.0
21,CRS3035RES1000mN2039000E3147000,28001046,70.0
22,CRS3035RES1000mN2039000E3147000,28001514,117.0
23,CRS3035RES1000mN2039000E3147000,28001563,116.0
24,CRS3035RES1000mN2039000E3147000,28001605,114.0
25,CRS3035RES1000mN2039000E3147000,28001629,115.0
26,CRS3035RES1000mN2039000E3147000,28001678,62.0
27,CRS3035RES1000mN2039000E3147000,28001769,91.0
28,CRS3035RES1000mN2039000E3147000,28001812,78.0
29,CRS3035RES1000mN2039000E3147000,28001848,81.0
30,CRS3035RES1000mN2039000E3147000,28001851,78.0
31,CRS3035RES1000mN2039000E3147000,28001861,57.0
32,CRS3035RES1000mN2039000E3147000,28001952,101.0
33,CRS3035RES1000mN2039000E3147000,28001976,101.0
34,CRS3035RES1000mN2039000E3147000,28002026,
35,CRS3035RES1000mN2039000E3147000,28002038,82.0
36,CRS3035RES1000mN2039000E3147000,28002105,
37,CRS3035RES1000mN2039000E3147000,28002181,119.0
38,CRS3035RES1000mN2039000E3147000,28002211,102.0
39,CRS3035RES1000mN2039000E3147000,28002312,
40,CRS3035RES1000mN2039000E3147000,28002397,56.0
41,CRS3035RES1000mN2039000E3147000,28002415,51.0
42,CRS3035RES1000mN2039000E3147000,28002427,47.0
43,CRS3035RES1000mN2039000E3147000,28002506,81.0
44,CRS3035RES1000mN2039000E3147000,28002580,69.0
45,CRS3035RES1000mN2039000E3147000,28002853,94.0
46,CRS3035RES1000mN2039000E3147000,28003092,86.0
47,CRS3035RES1000mN2039000E3147000,28003110,82.0
48,CRS3035RES1000mN2039000E3147000,28003134,75.0
49,CRS3035RES1000mN2039000E3147000,28003201,82.0
50,CRS3035RES1000mN2039000E3147000,28003250,77.0
51,CRS3035RES1000mN2039000E3147000,28003262,71.0
52,CRS3035RES1000mN2039000E3147000,28003304,82.0
53,CRS3035RES1000mN2039000E3147000,28003419,
54,CRS3035RES1000mN2039000E3147000,28003444,41.0
55,CRS3035RES1000mN2039000E3147000,28003584,72.0
56,CRS3035RES1000mN2039000E3147000,28003675,70.0
57,CRS3035RES1000mN2039000E3147000,28003742,69.0
58,CRS3035RES1000mN2039000E3147000,28003882,72.0
59,CRS3035RES1000mN2039000E3147000,28003894,78.0
60,CRS3035RES1000mN2039000E3147000,28003900,76.0
61,CRS3035RES1000mN2039000E3147000,28003973,92.0
62,CRS3035RES1000mN2039000E3147000,28004059,48.0
63,CRS3035RES1000mN2039000E3147000,28005131,56.0
64,CRS3035RES1000mN2039000E3147000,28005295,53.0
65,CRS3035RES1000mN2039000E3147000,28005738,65.0
66,CRS3035RES1000mN2039000E3147000,28005787,69.0
67,CRS3035RES1000mN2039000E3147000,28005799,65.0
68,CRS3035RES1000mN2039000E3147000,28005842,66.0
69,CRS3035RES1000mN2039000E3147000,28006019,55.0
70,CRS3035RES1000mN2039000E3147000,28006378,45.0
71,CRS3035RES1000mN2039000E3147000,28006457,69.0
72,CRS3035RES1000mN2039000E3147000,28006561,60.0
73,CRS3035RES1000mN2039000E3147000,28006779,56.0
74,CRS3035RES1000mN2039000E3147000,28006809,63.0
75,CRS3035RES1000mN2039000E3147000,28007103,27.0
76,CRS3035RES1000mN2039000E3147000,28007127,61.0
77,CRS3035RES1000mN2039000E3147000,28007139,38.0
78,CRS3035RES1000mN2039000E3147000,28007152,55.0
79,CRS3035RES1000mN2039000E3147000,28007191,52.0
80,CRS3035RES1000mN2039000E3147000,28007292,40.0
81,CRS3035RES1000mN2039000E3147000,28007309,60.0
82,CRS3035RES1000mN2039000E3147000,28007395,50.0
83,CRS3035RES1000mN2039000E3147000,28007607,34.0
84,CRS3035RES1000mN2039000E3147000,28007619,59.0
85,CRS3035RES1000mN2039000E3147000,28007826,53.0
86,CRS3035RES1000mN2039000E3147000,28007917,40.0
87,CRS3035RES1000mN2039000E3147000,28007942,56.0
88,CRS3035RES1000mN2039000E3147000,28007954,78.0
89,CRS3035RES1000mN2039000E3147000,28007978,59.0
90,CRS3035RES1000mN2039000E3147000,28007991,58.0
91,CRS3035RES1000mN2039000E3147000,28008053,54.0
92,CRS3035RES1000mN2039000E3147000,28008107,40.0
93,CRS3035RES1000mN2039000E3147000,28008211,33.0
94,CRS3035RES1000mN2039000E3147000,28008223,58.0
95,CRS3035RES1000mN2039000E3147000,28008351,45.0
96,CRS3035RES1000mN2039000E3147000,28008387,79.0
97,CRS3035RES1000mN2039000E3147000,28008405,57.0
98,CRS3035RES1000mN2039000E3147000,28008508,47.0
99,CRS3035RES1000mN2039000E3147000,28008511,44.0
100,CRS3035RES1000mN2039000E3147000,28008703,38.0
101,CRS3035RES1000mN2039000E3147000,28008715,61.0
102,CRS3035RES1000mN2039000E3147000,28008806,54.0
103,CRS3035RES1000mN2039000E3147000,28008892,54.0
104,CRS3035RES1000mN2039000E3147000,28008909,52.0
105,CRS3035RES1000mN2039000E3147000,28008910,66.0
106,CRS3035RES1000mN2039000E3147000,28008922,48.0
107,CRS3035RES1000mN2039000E3147000,28008934,48.0
108,CRS3035RES1000mN2039000E3147000,28008946,27.0
109,CRS3035RES1000mN2039000E3147000,28008958,58.0
110,CRS3035RES1000mN2039000E3147000,28009033,45.0
111,CRS3035RES1000mN2039000E3147000,28009069,56.0
112,CRS3035RES1000mN2039000E3147000,28009082,70.0
113,CRS3035RES1000mN2039000E3147000,28009185,65.0
114,CRS3035RES1000mN2039000E3147000,28009203,53.0
115,CRS3035RES1000mN2039000E3147000,28009215,66.0
116,CRS3035RES1000mN2039000E3147000,28009264,43.0
117,CRS3035RES1000mN2039000E3147000,28009291,42.0
118,CRS3035RES1000mN2039000E3147000,28009446,53.0
119,CRS3035RES1000mN2039000E3147000,28009458,69.0
120,CRS3035RES1000mN2039000E3147000,28009525,57.0
121,CRS3035RES1000mN2039000E3147000,28009549,49.0
122,CRS3035RES1000mN2039000E3147000,28009586,65.0
123,CRS3035RES1000mN2039000E3147000,28009604,59.0
124,CRS3035RES1000mN2039000E3147000,28009641,53.0
125,CRS3035RES1000mN2039000E3147000,28009653,69.0
126,CRS3035RES1000mN2039000E3147000,28009677,45.0
127,CRS3035RES1000mN2039000E3147000,28009781,46.0
128,CRS3035RES1000mN2039000E3147000,28009793,54.0
129,CRS3035RES1000mN2039000E3147000,28009801,66.0
130,CRS3035RES1000mN2039000E3147000,28009823,56.0
131,CRS3035RES1000mN2039000E3147000,28010436,72.0
132,CRS3035RES1000mN2039000E3147000,28010448,65.0
133,CRS3035RES1000mN2039000E3147000,28010540,40.0
134,CRS3035RES1000mN2039000E3147000,28011209,62.0
135,CRS3035RES1000mN2039000E3147000,28011246,59.0
136,CRS3035RES1000mN2039000E3147000,28011258,33.0
137,CRS3035RES1000mN2039000E3147000,28011261,63.0
138,CRS3035RES1000mN2039000E3147000,28011428,59.0
139,CRS3035RES1000mN2039000E3147000,28011477,55.0
140,CRS3035RES1000mN2039000E3147000,28011490,63.0
141,CRS3035RES1000mN2039000E3147000,28011544,46.0
142,CRS3035RES1000mN2039000E3147000,28011593,59.0
143,CRS3035RES1000mN2039000E3147000,28011623,61.0
144,CRS3035RES1000mN2039000E3147000,28011635,49.0
145,CRS3035RES1000mN2039000E3147000,28011647,56.0
146,CRS3035RES1000mN2039000E3147000,28011726,34.0
147,CRS3035RES1000mN2039000E3147000,28011763,54.0
