,from_id,to_id,travel_time
0,CRS3035RES1000mN2017000E3151000,28000029,
1,CRS3035RES1000mN2017000E3151000,28000157,107.0
2,CRS3035RES1000mN2017000E3151000,28000224,106.0
3,CRS3035RES1000mN2017000E3151000,28000303,108.0
4,CRS3035RES1000mN2017000E3151000,28000327,106.0
5,CRS3035RES1000mN2017000E3151000,28000364,115.0
6,CRS3035RES1000mN2017000E3151000,28000406,
7,CRS3035RES1000mN2017000E3151000,28000421,
8,CRS3035RES1000mN2017000E3151000,28000467,113.0
9,CRS3035RES1000mN2017000E3151000,28000479,104.0
10,CRS3035RES1000mN2017000E3151000,28000492,102.0
11,CRS3035RES1000mN2017000E3151000,28000522,113.0
12,CRS3035RES1000mN2017000E3151000,28000698,
13,CRS3035RES1000mN2017000E3151000,28000753,110.0
14,CRS3035RES1000mN2017000E3151000,28000777,119.0
15,CRS3035RES1000mN2017000E3151000,28000901,70.0
16,CRS3035RES1000mN2017000E3151000,28000947,69.0
17,CRS3035RES1000mN2017000E3151000,28000960,70.0
18,CRS3035RES1000mN2017000E3151000,28001010,70.0
19,CRS3035RES1000mN2017000E3151000,28001022,68.0
20,CRS3035RES1000mN2017000E3151000,28001034,66.0
21,CRS3035RES1000mN2017000E3151000,28001046,68.0
22,CRS3035RES1000mN2017000E3151000,28001514,93.0
23,CRS3035RES1000mN2017000E3151000,28001563,89.0
24,CRS3035RES1000mN2017000E3151000,28001605,89.0
25,CRS3035RES1000mN2017000E3151000,28001629,90.0
26,CRS3035RES1000mN2017000E3151000,28001678,102.0
27,CRS3035RES1000mN2017000E3151000,28001769,111.0
28,CRS3035RES1000mN2017000E3151000,28001812,
29,CRS3035RES1000mN2017000E3151000,28001848,99.0
30,CRS3035RES1000mN2017000E3151000,28001851,110.0
31,CRS3035RES1000mN2017000E3151000,28001861,
32,CRS3035RES1000mN2017000E3151000,28001952,
33,CRS3035RES1000mN2017000E3151000,28001976,
34,CRS3035RES1000mN2017000E3151000,28002026,
35,CRS3035RES1000mN2017000E3151000,28002038,114.0
36,CRS3035RES1000mN2017000E3151000,28002105,
37,CRS3035RES1000mN2017000E3151000,28002181,94.0
38,CRS3035RES1000mN2017000E3151000,28002211,
39,CRS3035RES1000mN2017000E3151000,28002312,
40,CRS3035RES1000mN2017000E3151000,28002397,109.0
41,CRS3035RES1000mN2017000E3151000,28002415,107.0
42,CRS3035RES1000mN2017000E3151000,28002427,105.0
43,CRS3035RES1000mN2017000E3151000,28002506,102.0
44,CRS3035RES1000mN2017000E3151000,28002580,97.0
45,CRS3035RES1000mN2017000E3151000,28002853,
46,CRS3035RES1000mN2017000E3151000,28003092,84.0
47,CRS3035RES1000mN2017000E3151000,28003110,56.0
48,CRS3035RES1000mN2017000E3151000,28003134,51.0
49,CRS3035RES1000mN2017000E3151000,28003201,49.0
50,CRS3035RES1000mN2017000E3151000,28003250,52.0
51,CRS3035RES1000mN2017000E3151000,28003262,46.0
52,CRS3035RES1000mN2017000E3151000,28003304,48.0
53,CRS3035RES1000mN2017000E3151000,28003419,85.0
54,CRS3035RES1000mN2017000E3151000,28003444,119.0
55,CRS3035RES1000mN2017000E3151000,28003584,47.0
56,CRS3035RES1000mN2017000E3151000,28003675,45.0
57,CRS3035RES1000mN2017000E3151000,28003742,45.0
58,CRS3035RES1000mN2017000E3151000,28003882,46.0
59,CRS3035RES1000mN2017000E3151000,28003894,57.0
60,CRS3035RES1000mN2017000E3151000,28003900,54.0
61,CRS3035RES1000mN2017000E3151000,28003973,117.0
62,CRS3035RES1000mN2017000E3151000,28004059,68.0
63,CRS3035RES1000mN2017000E3151000,28005131,69.0
64,CRS3035RES1000mN2017000E3151000,28005295,98.0
65,CRS3035RES1000mN2017000E3151000,28005738,104.0
66,CRS3035RES1000mN2017000E3151000,28005787,90.0
67,CRS3035RES1000mN2017000E3151000,28005799,56.0
68,CRS3035RES1000mN2017000E3151000,28005842,88.0
69,CRS3035RES1000mN2017000E3151000,28006019,97.0
70,CRS3035RES1000mN2017000E3151000,28006378,75.0
71,CRS3035RES1000mN2017000E3151000,28006457,60.0
72,CRS3035RES1000mN2017000E3151000,28006561,98.0
73,CRS3035RES1000mN2017000E3151000,28006779,80.0
74,CRS3035RES1000mN2017000E3151000,28006809,66.0
75,CRS3035RES1000mN2017000E3151000,28007103,79.0
76,CRS3035RES1000mN2017000E3151000,28007127,103.0
77,CRS3035RES1000mN2017000E3151000,28007139,74.0
78,CRS3035RES1000mN2017000E3151000,28007152,71.0
79,CRS3035RES1000mN2017000E3151000,28007191,64.0
80,CRS3035RES1000mN2017000E3151000,28007292,84.0
81,CRS3035RES1000mN2017000E3151000,28007309,98.0
82,CRS3035RES1000mN2017000E3151000,28007395,84.0
83,CRS3035RES1000mN2017000E3151000,28007607,89.0
84,CRS3035RES1000mN2017000E3151000,28007619,97.0
85,CRS3035RES1000mN2017000E3151000,28007826,93.0
86,CRS3035RES1000mN2017000E3151000,28007917,86.0
87,CRS3035RES1000mN2017000E3151000,28007942,91.0
88,CRS3035RES1000mN2017000E3151000,28007954,78.0
89,CRS3035RES1000mN2017000E3151000,28007978,82.0
90,CRS3035RES1000mN2017000E3151000,28007991,98.0
91,CRS3035RES1000mN2017000E3151000,28008053,91.0
92,CRS3035RES1000mN2017000E3151000,28008107,86.0
93,CRS3035RES1000mN2017000E3151000,28008211,83.0
94,CRS3035RES1000mN2017000E3151000,28008223,97.0
95,CRS3035RES1000mN2017000E3151000,28008351,87.0
96,CRS3035RES1000mN2017000E3151000,28008387,78.0
97,CRS3035RES1000mN2017000E3151000,28008405,95.0
98,CRS3035RES1000mN2017000E3151000,28008508,90.0
99,CRS3035RES1000mN2017000E3151000,28008511,86.0
100,CRS3035RES1000mN2017000E3151000,28008703,87.0
101,CRS3035RES1000mN2017000E3151000,28008715,103.0
102,CRS3035RES1000mN2017000E3151000,28008806,95.0
103,CRS3035RES1000mN2017000E3151000,28008892,95.0
104,CRS3035RES1000mN2017000E3151000,28008909,94.0
105,CRS3035RES1000mN2017000E3151000,28008910,87.0
106,CRS3035RES1000mN2017000E3151000,28008922,66.0
107,CRS3035RES1000mN2017000E3151000,28008934,103.0
108,CRS3035RES1000mN2017000E3151000,28008946,83.0
109,CRS3035RES1000mN2017000E3151000,28008958,64.0
110,CRS3035RES1000mN2017000E3151000,28009033,72.0
111,CRS3035RES1000mN2017000E3151000,28009069,94.0
112,CRS3035RES1000mN2017000E3151000,28009082,92.0
113,CRS3035RES1000mN2017000E3151000,28009185,66.0
114,CRS3035RES1000mN2017000E3151000,28009203,66.0
115,CRS3035RES1000mN2017000E3151000,28009215,82.0
116,CRS3035RES1000mN2017000E3151000,28009264,80.0
117,CRS3035RES1000mN2017000E3151000,28009291,89.0
118,CRS3035RES1000mN2017000E3151000,28009446,54.0
119,CRS3035RES1000mN2017000E3151000,28009458,103.0
120,CRS3035RES1000mN2017000E3151000,28009525,69.0
121,CRS3035RES1000mN2017000E3151000,28009549,78.0
122,CRS3035RES1000mN2017000E3151000,28009586,64.0
123,CRS3035RES1000mN2017000E3151000,28009604,50.0
124,CRS3035RES1000mN2017000E3151000,28009641,80.0
125,CRS3035RES1000mN2017000E3151000,28009653,94.0
126,CRS3035RES1000mN2017000E3151000,28009677,86.0
127,CRS3035RES1000mN2017000E3151000,28009781,94.0
128,CRS3035RES1000mN2017000E3151000,28009793,95.0
129,CRS3035RES1000mN2017000E3151000,28009801,86.0
130,CRS3035RES1000mN2017000E3151000,28009823,94.0
131,CRS3035RES1000mN2017000E3151000,28010436,117.0
132,CRS3035RES1000mN2017000E3151000,28010448,84.0
133,CRS3035RES1000mN2017000E3151000,28010540,69.0
134,CRS3035RES1000mN2017000E3151000,28011209,101.0
