,from_id,to_id,travel_time
0,CRS3035RES1000mN2035000E3146000,28000029,
1,CRS3035RES1000mN2035000E3146000,28000157,103.0
2,CRS3035RES1000mN2035000E3146000,28000224,102.0
3,CRS3035RES1000mN2035000E3146000,28000303,104.0
4,CRS3035RES1000mN2035000E3146000,28000327,102.0
5,CRS3035RES1000mN2035000E3146000,28000364,111.0
6,CRS3035RES1000mN2035000E3146000,28000406,118.0
7,CRS3035RES1000mN2035000E3146000,28000421,117.0
8,CRS3035RES1000mN2035000E3146000,28000467,109.0
9,CRS3035RES1000mN2035000E3146000,28000479,100.0
10,CRS3035RES1000mN2035000E3146000,28000492,98.0
11,CRS3035RES1000mN2035000E3146000,28000522,109.0
12,CRS3035RES1000mN2035000E3146000,28000698,113.0
13,CRS3035RES1000mN2035000E3146000,28000753,104.0
14,CRS3035RES1000mN2035000E3146000,28000777,100.0
15,CRS3035RES1000mN2035000E3146000,28000901,103.0
16,CRS3035RES1000mN2035000E3146000,28000947,96.0
17,CRS3035RES1000mN2035000E3146000,28000960,104.0
18,CRS3035RES1000mN2035000E3146000,28001010,101.0
19,CRS3035RES1000mN2035000E3146000,28001022,97.0
20,CRS3035RES1000mN2035000E3146000,28001034,98.0
21,CRS3035RES1000mN2035000E3146000,28001046,96.0
22,CRS3035RES1000mN2035000E3146000,28001514,
23,CRS3035RES1000mN2035000E3146000,28001563,
24,CRS3035RES1000mN2035000E3146000,28001605,
25,CRS3035RES1000mN2035000E3146000,28001629,
26,CRS3035RES1000mN2035000E3146000,28001678,98.0
27,CRS3035RES1000mN2035000E3146000,28001769,117.0
28,CRS3035RES1000mN2035000E3146000,28001812,117.0
29,CRS3035RES1000mN2035000E3146000,28001848,70.0
30,CRS3035RES1000mN2035000E3146000,28001851,63.0
31,CRS3035RES1000mN2035000E3146000,28001861,53.0
32,CRS3035RES1000mN2035000E3146000,28001952,
33,CRS3035RES1000mN2035000E3146000,28001976,
34,CRS3035RES1000mN2035000E3146000,28002026,
35,CRS3035RES1000mN2035000E3146000,28002038,110.0
36,CRS3035RES1000mN2035000E3146000,28002105,
37,CRS3035RES1000mN2035000E3146000,28002181,
38,CRS3035RES1000mN2035000E3146000,28002211,
39,CRS3035RES1000mN2035000E3146000,28002312,
40,CRS3035RES1000mN2035000E3146000,28002397,73.0
41,CRS3035RES1000mN2035000E3146000,28002415,86.0
42,CRS3035RES1000mN2035000E3146000,28002427,83.0
43,CRS3035RES1000mN2035000E3146000,28002506,111.0
44,CRS3035RES1000mN2035000E3146000,28002580,93.0
45,CRS3035RES1000mN2035000E3146000,28002853,119.0
46,CRS3035RES1000mN2035000E3146000,28003092,
47,CRS3035RES1000mN2035000E3146000,28003110,112.0
48,CRS3035RES1000mN2035000E3146000,28003134,105.0
49,CRS3035RES1000mN2035000E3146000,28003201,111.0
50,CRS3035RES1000mN2035000E3146000,28003250,107.0
51,CRS3035RES1000mN2035000E3146000,28003262,101.0
52,CRS3035RES1000mN2035000E3146000,28003304,111.0
53,CRS3035RES1000mN2035000E3146000,28003419,
54,CRS3035RES1000mN2035000E3146000,28003444,86.0
55,CRS3035RES1000mN2035000E3146000,28003584,100.0
56,CRS3035RES1000mN2035000E3146000,28003675,99.0
57,CRS3035RES1000mN2035000E3146000,28003742,97.0
58,CRS3035RES1000mN2035000E3146000,28003882,103.0
59,CRS3035RES1000mN2035000E3146000,28003894,105.0
60,CRS3035RES1000mN2035000E3146000,28003900,100.0
61,CRS3035RES1000mN2035000E3146000,28003973,116.0
62,CRS3035RES1000mN2035000E3146000,28004059,79.0
63,CRS3035RES1000mN2035000E3146000,28005131,85.0
64,CRS3035RES1000mN2035000E3146000,28005295,85.0
65,CRS3035RES1000mN2035000E3146000,28005738,99.0
66,CRS3035RES1000mN2035000E3146000,28005787,99.0
67,CRS3035RES1000mN2035000E3146000,28005799,94.0
68,CRS3035RES1000mN2035000E3146000,28005842,96.0
69,CRS3035RES1000mN2035000E3146000,28006019,86.0
70,CRS3035RES1000mN2035000E3146000,28006378,77.0
