,from_id,to_id,travel_time
0,CRS3035RES1000mN2022000E3176000,28000029,
1,CRS3035RES1000mN2022000E3176000,28000157,91.0
2,CRS3035RES1000mN2022000E3176000,28000224,90.0
3,CRS3035RES1000mN2022000E3176000,28000303,95.0
4,CRS3035RES1000mN2022000E3176000,28000327,90.0
5,CRS3035RES1000mN2022000E3176000,28000364,99.0
6,CRS3035RES1000mN2022000E3176000,28000406,99.0
7,CRS3035RES1000mN2022000E3176000,28000421,100.0
8,CRS3035RES1000mN2022000E3176000,28000467,100.0
9,CRS3035RES1000mN2022000E3176000,28000479,88.0
10,CRS3035RES1000mN2022000E3176000,28000492,86.0
11,CRS3035RES1000mN2022000E3176000,28000522,100.0
12,CRS3035RES1000mN2022000E3176000,28000698,
13,CRS3035RES1000mN2022000E3176000,28000753,110.0
14,CRS3035RES1000mN2022000E3176000,28000777,
15,CRS3035RES1000mN2022000E3176000,28000901,
16,CRS3035RES1000mN2022000E3176000,28000947,
17,CRS3035RES1000mN2022000E3176000,28000960,
18,CRS3035RES1000mN2022000E3176000,28001010,
19,CRS3035RES1000mN2022000E3176000,28001022,
20,CRS3035RES1000mN2022000E3176000,28001034,
21,CRS3035RES1000mN2022000E3176000,28001046,
22,CRS3035RES1000mN2022000E3176000,28001514,
23,CRS3035RES1000mN2022000E3176000,28001563,
24,CRS3035RES1000mN2022000E3176000,28001605,
25,CRS3035RES1000mN2022000E3176000,28001629,
26,CRS3035RES1000mN2022000E3176000,28001678,118.0
27,CRS3035RES1000mN2022000E3176000,28001769,88.0
28,CRS3035RES1000mN2022000E3176000,28001812,
29,CRS3035RES1000mN2022000E3176000,28001848,
30,CRS3035RES1000mN2022000E3176000,28001851,
31,CRS3035RES1000mN2022000E3176000,28001861,
32,CRS3035RES1000mN2022000E3176000,28001952,
33,CRS3035RES1000mN2022000E3176000,28001976,
34,CRS3035RES1000mN2022000E3176000,28002026,
35,CRS3035RES1000mN2022000E3176000,28002038,95.0
36,CRS3035RES1000mN2022000E3176000,28002105,
37,CRS3035RES1000mN2022000E3176000,28002181,
38,CRS3035RES1000mN2022000E3176000,28002211,
39,CRS3035RES1000mN2022000E3176000,28002312,
40,CRS3035RES1000mN2022000E3176000,28002397,
41,CRS3035RES1000mN2022000E3176000,28002415,
42,CRS3035RES1000mN2022000E3176000,28002427,
43,CRS3035RES1000mN2022000E3176000,28002506,77.0
44,CRS3035RES1000mN2022000E3176000,28002580,74.0
45,CRS3035RES1000mN2022000E3176000,28002853,
46,CRS3035RES1000mN2022000E3176000,28003092,
47,CRS3035RES1000mN2022000E3176000,28003110,
48,CRS3035RES1000mN2022000E3176000,28003134,
49,CRS3035RES1000mN2022000E3176000,28003201,
50,CRS3035RES1000mN2022000E3176000,28003250,
51,CRS3035RES1000mN2022000E3176000,28003262,
52,CRS3035RES1000mN2022000E3176000,28003304,
53,CRS3035RES1000mN2022000E3176000,28003419,
54,CRS3035RES1000mN2022000E3176000,28003444,
55,CRS3035RES1000mN2022000E3176000,28003584,
56,CRS3035RES1000mN2022000E3176000,28003675,
57,CRS3035RES1000mN2022000E3176000,28003742,
58,CRS3035RES1000mN2022000E3176000,28003882,
59,CRS3035RES1000mN2022000E3176000,28003894,
60,CRS3035RES1000mN2022000E3176000,28003900,
61,CRS3035RES1000mN2022000E3176000,28003973,77.0
62,CRS3035RES1000mN2022000E3176000,28004059,106.0
63,CRS3035RES1000mN2022000E3176000,28005131,107.0
64,CRS3035RES1000mN2022000E3176000,28005295,106.0
65,CRS3035RES1000mN2022000E3176000,28005738,87.0
66,CRS3035RES1000mN2022000E3176000,28005787,97.0
67,CRS3035RES1000mN2022000E3176000,28005799,
68,CRS3035RES1000mN2022000E3176000,28005842,89.0
69,CRS3035RES1000mN2022000E3176000,28006019,107.0
70,CRS3035RES1000mN2022000E3176000,28006378,93.0
71,CRS3035RES1000mN2022000E3176000,28006457,119.0
72,CRS3035RES1000mN2022000E3176000,28006561,83.0
73,CRS3035RES1000mN2022000E3176000,28006779,98.0
74,CRS3035RES1000mN2022000E3176000,28006809,
75,CRS3035RES1000mN2022000E3176000,28007103,103.0
76,CRS3035RES1000mN2022000E3176000,28007127,107.0
77,CRS3035RES1000mN2022000E3176000,28007139,112.0
78,CRS3035RES1000mN2022000E3176000,28007152,109.0
79,CRS3035RES1000mN2022000E3176000,28007191,114.0
80,CRS3035RES1000mN2022000E3176000,28007292,98.0
81,CRS3035RES1000mN2022000E3176000,28007309,91.0
82,CRS3035RES1000mN2022000E3176000,28007395,97.0
83,CRS3035RES1000mN2022000E3176000,28007607,99.0
84,CRS3035RES1000mN2022000E3176000,28007619,90.0
85,CRS3035RES1000mN2022000E3176000,28007826,90.0
86,CRS3035RES1000mN2022000E3176000,28007917,99.0
87,CRS3035RES1000mN2022000E3176000,28007942,91.0
88,CRS3035RES1000mN2022000E3176000,28007954,
89,CRS3035RES1000mN2022000E3176000,28007978,97.0
90,CRS3035RES1000mN2022000E3176000,28007991,88.0
91,CRS3035RES1000mN2022000E3176000,28008053,89.0
92,CRS3035RES1000mN2022000E3176000,28008107,98.0
93,CRS3035RES1000mN2022000E3176000,28008211,95.0
94,CRS3035RES1000mN2022000E3176000,28008223,87.0
95,CRS3035RES1000mN2022000E3176000,28008351,97.0
96,CRS3035RES1000mN2022000E3176000,28008387,
97,CRS3035RES1000mN2022000E3176000,28008405,84.0
98,CRS3035RES1000mN2022000E3176000,28008508,99.0
99,CRS3035RES1000mN2022000E3176000,28008511,93.0
100,CRS3035RES1000mN2022000E3176000,28008703,97.0
101,CRS3035RES1000mN2022000E3176000,28008715,116.0
102,CRS3035RES1000mN2022000E3176000,28008806,92.0
103,CRS3035RES1000mN2022000E3176000,28008892,99.0
104,CRS3035RES1000mN2022000E3176000,28008909,100.0
105,CRS3035RES1000mN2022000E3176000,28008910,86.0
106,CRS3035RES1000mN2022000E3176000,28008922,115.0
107,CRS3035RES1000mN2022000E3176000,28008934,111.0
108,CRS3035RES1000mN2022000E3176000,28008946,106.0
109,CRS3035RES1000mN2022000E3176000,28008958,
110,CRS3035RES1000mN2022000E3176000,28009033,115.0
111,CRS3035RES1000mN2022000E3176000,28009069,83.0
112,CRS3035RES1000mN2022000E3176000,28009082,92.0
113,CRS3035RES1000mN2022000E3176000,28009185,115.0
114,CRS3035RES1000mN2022000E3176000,28009203,111.0
115,CRS3035RES1000mN2022000E3176000,28009215,105.0
116,CRS3035RES1000mN2022000E3176000,28009264,113.0
117,CRS3035RES1000mN2022000E3176000,28009291,100.0
118,CRS3035RES1000mN2022000E3176000,28009446,107.0
119,CRS3035RES1000mN2022000E3176000,28009458,92.0
120,CRS3035RES1000mN2022000E3176000,28009525,
121,CRS3035RES1000mN2022000E3176000,28009549,103.0
122,CRS3035RES1000mN2022000E3176000,28009586,119.0
123,CRS3035RES1000mN2022000E3176000,28009604,
124,CRS3035RES1000mN2022000E3176000,28009641,95.0
125,CRS3035RES1000mN2022000E3176000,28009653,92.0
126,CRS3035RES1000mN2022000E3176000,28009677,96.0
127,CRS3035RES1000mN2022000E3176000,28009781,105.0
128,CRS3035RES1000mN2022000E3176000,28009793,92.0
129,CRS3035RES1000mN2022000E3176000,28009801,101.0
130,CRS3035RES1000mN2022000E3176000,28009823,83.0
131,CRS3035RES1000mN2022000E3176000,28010436,
132,CRS3035RES1000mN2022000E3176000,28010448,101.0
133,CRS3035RES1000mN2022000E3176000,28010540,114.0
134,CRS3035RES1000mN2022000E3176000,28011209,94.0
135,CRS3035RES1000mN2022000E3176000,28011246,84.0
136,CRS3035RES1000mN2022000E3176000,28011258,99.0
137,CRS3035RES1000mN2022000E3176000,28011261,
138,CRS3035RES1000mN2022000E3176000,28011428,116.0
139,CRS3035RES1000mN2022000E3176000,28011477,100.0
140,CRS3035RES1000mN2022000E3176000,28011490,
141,CRS3035RES1000mN2022000E3176000,28011544,112.0
142,CRS3035RES1000mN2022000E3176000,28011593,95.0
143,CRS3035RES1000mN2022000E3176000,28011623,96.0
144,CRS3035RES1000mN2022000E3176000,28011635,89.0
145,CRS3035RES1000mN2022000E3176000,28011647,94.0
146,CRS3035RES1000mN2022000E3176000,28011726,98.0
147,CRS3035RES1000mN2022000E3176000,28011763,98.0
148,CRS3035RES1000mN2022000E3176000,28011775,103.0
149,CRS3035RES1000mN2022000E3176000,28011891,100.0
150,CRS3035RES1000mN2022000E3176000,28011908,86.0
151,CRS3035RES1000mN2022000E3176000,28011911,94.0
152,CRS3035RES1000mN2022000E3176000,28011921,80.0
153,CRS3035RES1000mN2022000E3176000,28011945,104.0
154,CRS3035RES1000mN2022000E3176000,28011970,
155,CRS3035RES1000mN2022000E3176000,28012032,
156,CRS3035RES1000mN2022000E3176000,28012196,95.0
157,CRS3035RES1000mN2022000E3176000,28012354,95.0
158,CRS3035RES1000mN2022000E3176000,28012585,115.0
159,CRS3035RES1000mN2022000E3176000,28012603,112.0
160,CRS3035RES1000mN2022000E3176000,28012640,104.0
