,from_id,to_id,travel_time
0,CRS3035RES1000mN2018000E3143000,28000029,
1,CRS3035RES1000mN2018000E3143000,28000157,
2,CRS3035RES1000mN2018000E3143000,28000224,
3,CRS3035RES1000mN2018000E3143000,28000303,
4,CRS3035RES1000mN2018000E3143000,28000327,
5,CRS3035RES1000mN2018000E3143000,28000364,
6,CRS3035RES1000mN2018000E3143000,28000406,
7,CRS3035RES1000mN2018000E3143000,28000421,
8,CRS3035RES1000mN2018000E3143000,28000467,
9,CRS3035RES1000mN2018000E3143000,28000479,
10,CRS3035RES1000mN2018000E3143000,28000492,
11,CRS3035RES1000mN2018000E3143000,28000522,
12,CRS3035RES1000mN2018000E3143000,28000698,
13,CRS3035RES1000mN2018000E3143000,28000753,
14,CRS3035RES1000mN2018000E3143000,28000777,
15,CRS3035RES1000mN2018000E3143000,28000901,74.0
16,CRS3035RES1000mN2018000E3143000,28000947,75.0
17,CRS3035RES1000mN2018000E3143000,28000960,74.0
18,CRS3035RES1000mN2018000E3143000,28001010,76.0
19,CRS3035RES1000mN2018000E3143000,28001022,80.0
20,CRS3035RES1000mN2018000E3143000,28001034,70.0
21,CRS3035RES1000mN2018000E3143000,28001046,71.0
22,CRS3035RES1000mN2018000E3143000,28001514,
23,CRS3035RES1000mN2018000E3143000,28001563,119.0
24,CRS3035RES1000mN2018000E3143000,28001605,117.0
25,CRS3035RES1000mN2018000E3143000,28001629,118.0
26,CRS3035RES1000mN2018000E3143000,28001678,118.0
27,CRS3035RES1000mN2018000E3143000,28001769,
28,CRS3035RES1000mN2018000E3143000,28001812,
29,CRS3035RES1000mN2018000E3143000,28001848,116.0
30,CRS3035RES1000mN2018000E3143000,28001851,
31,CRS3035RES1000mN2018000E3143000,28001861,
32,CRS3035RES1000mN2018000E3143000,28001952,
33,CRS3035RES1000mN2018000E3143000,28001976,
34,CRS3035RES1000mN2018000E3143000,28002026,
35,CRS3035RES1000mN2018000E3143000,28002038,
36,CRS3035RES1000mN2018000E3143000,28002105,
37,CRS3035RES1000mN2018000E3143000,28002181,
38,CRS3035RES1000mN2018000E3143000,28002211,
39,CRS3035RES1000mN2018000E3143000,28002312,
40,CRS3035RES1000mN2018000E3143000,28002397,
41,CRS3035RES1000mN2018000E3143000,28002415,
42,CRS3035RES1000mN2018000E3143000,28002427,
43,CRS3035RES1000mN2018000E3143000,28002506,
44,CRS3035RES1000mN2018000E3143000,28002580,
45,CRS3035RES1000mN2018000E3143000,28002853,
46,CRS3035RES1000mN2018000E3143000,28003092,105.0
47,CRS3035RES1000mN2018000E3143000,28003110,82.0
48,CRS3035RES1000mN2018000E3143000,28003134,78.0
49,CRS3035RES1000mN2018000E3143000,28003201,76.0
50,CRS3035RES1000mN2018000E3143000,28003250,79.0
51,CRS3035RES1000mN2018000E3143000,28003262,73.0
52,CRS3035RES1000mN2018000E3143000,28003304,75.0
53,CRS3035RES1000mN2018000E3143000,28003419,94.0
54,CRS3035RES1000mN2018000E3143000,28003444,
55,CRS3035RES1000mN2018000E3143000,28003584,75.0
56,CRS3035RES1000mN2018000E3143000,28003675,74.0
57,CRS3035RES1000mN2018000E3143000,28003742,74.0
58,CRS3035RES1000mN2018000E3143000,28003882,76.0
59,CRS3035RES1000mN2018000E3143000,28003894,85.0
60,CRS3035RES1000mN2018000E3143000,28003900,84.0
61,CRS3035RES1000mN2018000E3143000,28003973,
62,CRS3035RES1000mN2018000E3143000,28004059,87.0
63,CRS3035RES1000mN2018000E3143000,28005131,97.0
64,CRS3035RES1000mN2018000E3143000,28005295,113.0
65,CRS3035RES1000mN2018000E3143000,28005738,
66,CRS3035RES1000mN2018000E3143000,28005787,115.0
67,CRS3035RES1000mN2018000E3143000,28005799,85.0
68,CRS3035RES1000mN2018000E3143000,28005842,115.0
69,CRS3035RES1000mN2018000E3143000,28006019,113.0
70,CRS3035RES1000mN2018000E3143000,28006378,104.0
71,CRS3035RES1000mN2018000E3143000,28006457,89.0
72,CRS3035RES1000mN2018000E3143000,28006561,
73,CRS3035RES1000mN2018000E3143000,28006779,109.0
74,CRS3035RES1000mN2018000E3143000,28006809,82.0
75,CRS3035RES1000mN2018000E3143000,28007103,97.0
76,CRS3035RES1000mN2018000E3143000,28007127,
77,CRS3035RES1000mN2018000E3143000,28007139,93.0
78,CRS3035RES1000mN2018000E3143000,28007152,95.0
79,CRS3035RES1000mN2018000E3143000,28007191,90.0
80,CRS3035RES1000mN2018000E3143000,28007292,101.0
81,CRS3035RES1000mN2018000E3143000,28007309,
82,CRS3035RES1000mN2018000E3143000,28007395,113.0
83,CRS3035RES1000mN2018000E3143000,28007607,109.0
84,CRS3035RES1000mN2018000E3143000,28007619,118.0
85,CRS3035RES1000mN2018000E3143000,28007826,119.0
86,CRS3035RES1000mN2018000E3143000,28007917,104.0
87,CRS3035RES1000mN2018000E3143000,28007942,116.0
88,CRS3035RES1000mN2018000E3143000,28007954,109.0
89,CRS3035RES1000mN2018000E3143000,28007978,112.0
90,CRS3035RES1000mN2018000E3143000,28007991,
91,CRS3035RES1000mN2018000E3143000,28008053,113.0
92,CRS3035RES1000mN2018000E3143000,28008107,101.0
93,CRS3035RES1000mN2018000E3143000,28008211,103.0
94,CRS3035RES1000mN2018000E3143000,28008223,
95,CRS3035RES1000mN2018000E3143000,28008351,106.0
96,CRS3035RES1000mN2018000E3143000,28008387,110.0
97,CRS3035RES1000mN2018000E3143000,28008405,
98,CRS3035RES1000mN2018000E3143000,28008508,105.0
99,CRS3035RES1000mN2018000E3143000,28008511,110.0
100,CRS3035RES1000mN2018000E3143000,28008703,106.0
101,CRS3035RES1000mN2018000E3143000,28008715,
102,CRS3035RES1000mN2018000E3143000,28008806,116.0
103,CRS3035RES1000mN2018000E3143000,28008892,113.0
104,CRS3035RES1000mN2018000E3143000,28008909,113.0
105,CRS3035RES1000mN2018000E3143000,28008910,112.0
106,CRS3035RES1000mN2018000E3143000,28008922,87.0
107,CRS3035RES1000mN2018000E3143000,28008934,
108,CRS3035RES1000mN2018000E3143000,28008946,102.0
109,CRS3035RES1000mN2018000E3143000,28008958,75.0
110,CRS3035RES1000mN2018000E3143000,28009033,90.0
111,CRS3035RES1000mN2018000E3143000,28009069,119.0
112,CRS3035RES1000mN2018000E3143000,28009082,118.0
113,CRS3035RES1000mN2018000E3143000,28009185,93.0
114,CRS3035RES1000mN2018000E3143000,28009203,94.0
115,CRS3035RES1000mN2018000E3143000,28009215,113.0
116,CRS3035RES1000mN2018000E3143000,28009264,99.0
117,CRS3035RES1000mN2018000E3143000,28009291,107.0
118,CRS3035RES1000mN2018000E3143000,28009446,88.0
119,CRS3035RES1000mN2018000E3143000,28009458,
120,CRS3035RES1000mN2018000E3143000,28009525,94.0
121,CRS3035RES1000mN2018000E3143000,28009549,99.0
122,CRS3035RES1000mN2018000E3143000,28009586,96.0
123,CRS3035RES1000mN2018000E3143000,28009604,79.0
124,CRS3035RES1000mN2018000E3143000,28009641,107.0
125,CRS3035RES1000mN2018000E3143000,28009653,
126,CRS3035RES1000mN2018000E3143000,28009677,107.0
127,CRS3035RES1000mN2018000E3143000,28009781,114.0
128,CRS3035RES1000mN2018000E3143000,28009793,115.0
129,CRS3035RES1000mN2018000E3143000,28009801,112.0
130,CRS3035RES1000mN2018000E3143000,28009823,119.0
131,CRS3035RES1000mN2018000E3143000,28010436,
132,CRS3035RES1000mN2018000E3143000,28010448,111.0
133,CRS3035RES1000mN2018000E3143000,28010540,88.0
134,CRS3035RES1000mN2018000E3143000,28011209,
135,CRS3035RES1000mN2018000E3143000,28011246,
136,CRS3035RES1000mN2018000E3143000,28011258,107.0
137,CRS3035RES1000mN2018000E3143000,28011261,81.0
138,CRS3035RES1000mN2018000E3143000,28011428,90.0
139,CRS3035RES1000mN2018000E3143000,28011477,116.0
140,CRS3035RES1000mN2018000E3143000,28011490,80.0
141,CRS3035RES1000mN2018000E3143000,28011544,117.0
142,CRS3035RES1000mN2018000E3143000,28011593,111.0
143,CRS3035RES1000mN2018000E3143000,28011623,107.0
144,CRS3035RES1000mN2018000E3143000,28011635,113.0
145,CRS3035RES1000mN2018000E3143000,28011647,118.0
146,CRS3035RES1000mN2018000E3143000,28011726,108.0
147,CRS3035RES1000mN2018000E3143000,28011763,107.0
148,CRS3035RES1000mN2018000E3143000,28011775,95.0
149,CRS3035RES1000mN2018000E3143000,28011891,107.0
150,CRS3035RES1000mN2018000E3143000,28011908,114.0
151,CRS3035RES1000mN2018000E3143000,28011911,113.0
152,CRS3035RES1000mN2018000E3143000,28011921,
153,CRS3035RES1000mN2018000E3143000,28011945,99.0
154,CRS3035RES1000mN2018000E3143000,28011970,85.0
155,CRS3035RES1000mN2018000E3143000,28012032,118.0
156,CRS3035RES1000mN2018000E3143000,28012196,104.0
157,CRS3035RES1000mN2018000E3143000,28012354,104.0
158,CRS3035RES1000mN2018000E3143000,28012585,91.0
159,CRS3035RES1000mN2018000E3143000,28012603,97.0
160,CRS3035RES1000mN2018000E3143000,28012640,91.0
161,CRS3035RES1000mN2018000E3143000,28012688,113.0
162,CRS3035RES1000mN2018000E3143000,28012767,111.0
163,CRS3035RES1000mN2018000E3143000,28012779,101.0
164,CRS3035RES1000mN2018000E3143000,28012871,
165,CRS3035RES1000mN2018000E3143000,28012901,109.0
166,CRS3035RES1000mN2018000E3143000,28012949,107.0
167,CRS3035RES1000mN2018000E3143000,28012962,111.0
168,CRS3035RES1000mN2018000E3143000,28013036,93.0
169,CRS3035RES1000mN2018000E3143000,28013048,87.0
170,CRS3035RES1000mN2018000E3143000,28013051,110.0
171,CRS3035RES1000mN2018000E3143000,28013097,88.0
172,CRS3035RES1000mN2018000E3143000,28013103,107.0
173,CRS3035RES1000mN2018000E3143000,28013115,79.0
174,CRS3035RES1000mN2018000E3143000,28013140,102.0
175,CRS3035RES1000mN2018000E3143000,28013188,115.0
176,CRS3035RES1000mN2018000E3143000,28013191,103.0
177,CRS3035RES1000mN2018000E3143000,28013255,111.0
178,CRS3035RES1000mN2018000E3143000,28013280,116.0
179,CRS3035RES1000mN2018000E3143000,28013292,112.0
180,CRS3035RES1000mN2018000E3143000,28013371,112.0
181,CRS3035RES1000mN2018000E3143000,28013383,119.0
182,CRS3035RES1000mN2018000E3143000,28013395,113.0
183,CRS3035RES1000mN2018000E3143000,28013401,90.0
184,CRS3035RES1000mN2018000E3143000,28013413,
185,CRS3035RES1000mN2018000E3143000,28013450,114.0
186,CRS3035RES1000mN2018000E3143000,28013504,108.0
187,CRS3035RES1000mN2018000E3143000,28013565,107.0
188,CRS3035RES1000mN2018000E3143000,28013590,101.0
189,CRS3035RES1000mN2018000E3143000,28013607,110.0
