,from_id,to_id,travel_time
0,CRS3035RES1000mN2029000E3149000,28000029,104.0
1,CRS3035RES1000mN2029000E3149000,28000157,79.0
2,CRS3035RES1000mN2029000E3149000,28000224,78.0
3,CRS3035RES1000mN2029000E3149000,28000303,83.0
4,CRS3035RES1000mN2029000E3149000,28000327,78.0
5,CRS3035RES1000mN2029000E3149000,28000364,87.0
6,CRS3035RES1000mN2029000E3149000,28000406,96.0
7,CRS3035RES1000mN2029000E3149000,28000421,95.0
8,CRS3035RES1000mN2029000E3149000,28000467,88.0
9,CRS3035RES1000mN2029000E3149000,28000479,76.0
10,CRS3035RES1000mN2029000E3149000,28000492,74.0
11,CRS3035RES1000mN2029000E3149000,28000522,88.0
12,CRS3035RES1000mN2029000E3149000,28000698,87.0
13,CRS3035RES1000mN2029000E3149000,28000753,69.0
14,CRS3035RES1000mN2029000E3149000,28000777,74.0
15,CRS3035RES1000mN2029000E3149000,28000901,53.0
16,CRS3035RES1000mN2029000E3149000,28000947,44.0
17,CRS3035RES1000mN2029000E3149000,28000960,53.0
18,CRS3035RES1000mN2029000E3149000,28001010,47.0
19,CRS3035RES1000mN2029000E3149000,28001022,44.0
20,CRS3035RES1000mN2029000E3149000,28001034,48.0
21,CRS3035RES1000mN2029000E3149000,28001046,49.0
22,CRS3035RES1000mN2029000E3149000,28001514,105.0
23,CRS3035RES1000mN2029000E3149000,28001563,111.0
24,CRS3035RES1000mN2029000E3149000,28001605,111.0
25,CRS3035RES1000mN2029000E3149000,28001629,111.0
26,CRS3035RES1000mN2029000E3149000,28001678,62.0
27,CRS3035RES1000mN2029000E3149000,28001769,93.0
28,CRS3035RES1000mN2029000E3149000,28001812,105.0
29,CRS3035RES1000mN2029000E3149000,28001848,36.0
30,CRS3035RES1000mN2029000E3149000,28001851,50.0
31,CRS3035RES1000mN2029000E3149000,28001861,68.0
32,CRS3035RES1000mN2029000E3149000,28001952,101.0
33,CRS3035RES1000mN2029000E3149000,28001976,101.0
34,CRS3035RES1000mN2029000E3149000,28002026,
35,CRS3035RES1000mN2029000E3149000,28002038,94.0
36,CRS3035RES1000mN2029000E3149000,28002105,
37,CRS3035RES1000mN2029000E3149000,28002181,117.0
38,CRS3035RES1000mN2029000E3149000,28002211,106.0
39,CRS3035RES1000mN2029000E3149000,28002312,
40,CRS3035RES1000mN2029000E3149000,28002397,76.0
41,CRS3035RES1000mN2029000E3149000,28002415,75.0
42,CRS3035RES1000mN2029000E3149000,28002427,71.0
43,CRS3035RES1000mN2029000E3149000,28002506,85.0
