,from_id,to_id,travel_time
0,CRS3035RES1000mN2028000E3178000,28000029,71.0
1,CRS3035RES1000mN2028000E3178000,28000157,61.0
2,CRS3035RES1000mN2028000E3178000,28000224,60.0
3,CRS3035RES1000mN2028000E3178000,28000303,65.0
4,CRS3035RES1000mN2028000E3178000,28000327,51.0
5,CRS3035RES1000mN2028000E3178000,28000364,68.0
6,CRS3035RES1000mN2028000E3178000,28000406,81.0
7,CRS3035RES1000mN2028000E3178000,28000421,68.0
8,CRS3035RES1000mN2028000E3178000,28000467,70.0
9,CRS3035RES1000mN2028000E3178000,28000479,58.0
10,CRS3035RES1000mN2028000E3178000,28000492,56.0
11,CRS3035RES1000mN2028000E3178000,28000522,58.0
12,CRS3035RES1000mN2028000E3178000,28000698,102.0
13,CRS3035RES1000mN2028000E3178000,28000753,70.0
14,CRS3035RES1000mN2028000E3178000,28000777,90.0
15,CRS3035RES1000mN2028000E3178000,28000901,114.0
16,CRS3035RES1000mN2028000E3178000,28000947,106.0
17,CRS3035RES1000mN2028000E3178000,28000960,114.0
18,CRS3035RES1000mN2028000E3178000,28001010,111.0
19,CRS3035RES1000mN2028000E3178000,28001022,105.0
20,CRS3035RES1000mN2028000E3178000,28001034,107.0
21,CRS3035RES1000mN2028000E3178000,28001046,111.0
22,CRS3035RES1000mN2028000E3178000,28001514,
23,CRS3035RES1000mN2028000E3178000,28001563,118.0
24,CRS3035RES1000mN2028000E3178000,28001605,116.0
25,CRS3035RES1000mN2028000E3178000,28001629,117.0
26,CRS3035RES1000mN2028000E3178000,28001678,89.0
27,CRS3035RES1000mN2028000E3178000,28001769,78.0
28,CRS3035RES1000mN2028000E3178000,28001812,
29,CRS3035RES1000mN2028000E3178000,28001848,118.0
30,CRS3035RES1000mN2028000E3178000,28001851,
31,CRS3035RES1000mN2028000E3178000,28001861,
32,CRS3035RES1000mN2028000E3178000,28001952,
33,CRS3035RES1000mN2028000E3178000,28001976,
34,CRS3035RES1000mN2028000E3178000,28002026,
35,CRS3035RES1000mN2028000E3178000,28002038,77.0
36,CRS3035RES1000mN2028000E3178000,28002105,
37,CRS3035RES1000mN2028000E3178000,28002181,
38,CRS3035RES1000mN2028000E3178000,28002211,118.0
39,CRS3035RES1000mN2028000E3178000,28002312,
40,CRS3035RES1000mN2028000E3178000,28002397,106.0
41,CRS3035RES1000mN2028000E3178000,28002415,104.0
42,CRS3035RES1000mN2028000E3178000,28002427,102.0
43,CRS3035RES1000mN2028000E3178000,28002506,54.0
44,CRS3035RES1000mN2028000E3178000,28002580,53.0
45,CRS3035RES1000mN2028000E3178000,28002853,106.0
46,CRS3035RES1000mN2028000E3178000,28003092,104.0
47,CRS3035RES1000mN2028000E3178000,28003110,102.0
48,CRS3035RES1000mN2028000E3178000,28003134,95.0
49,CRS3035RES1000mN2028000E3178000,28003201,100.0
50,CRS3035RES1000mN2028000E3178000,28003250,97.0
51,CRS3035RES1000mN2028000E3178000,28003262,91.0
52,CRS3035RES1000mN2028000E3178000,28003304,100.0
53,CRS3035RES1000mN2028000E3178000,28003419,
54,CRS3035RES1000mN2028000E3178000,28003444,116.0
55,CRS3035RES1000mN2028000E3178000,28003584,100.0
56,CRS3035RES1000mN2028000E3178000,28003675,99.0
57,CRS3035RES1000mN2028000E3178000,28003742,100.0
58,CRS3035RES1000mN2028000E3178000,28003882,104.0
59,CRS3035RES1000mN2028000E3178000,28003894,105.0
60,CRS3035RES1000mN2028000E3178000,28003900,101.0
61,CRS3035RES1000mN2028000E3178000,28003973,57.0
62,CRS3035RES1000mN2028000E3178000,28004059,78.0
63,CRS3035RES1000mN2028000E3178000,28005131,81.0
64,CRS3035RES1000mN2028000E3178000,28005295,79.0
