,from_id,to_id,travel_time
0,CRS3035RES1000mN2048000E3160000,28000029,
1,CRS3035RES1000mN2048000E3160000,28000157,107.0
2,CRS3035RES1000mN2048000E3160000,28000224,106.0
3,CRS3035RES1000mN2048000E3160000,28000303,108.0
4,CRS3035RES1000mN2048000E3160000,28000327,106.0
5,CRS3035RES1000mN2048000E3160000,28000364,115.0
6,CRS3035RES1000mN2048000E3160000,28000406,
7,CRS3035RES1000mN2048000E3160000,28000421,
8,CRS3035RES1000mN2048000E3160000,28000467,113.0
9,CRS3035RES1000mN2048000E3160000,28000479,104.0
10,CRS3035RES1000mN2048000E3160000,28000492,102.0
11,CRS3035RES1000mN2048000E3160000,28000522,113.0
12,CRS3035RES1000mN2048000E3160000,28000698,101.0
13,CRS3035RES1000mN2048000E3160000,28000753,85.0
14,CRS3035RES1000mN2048000E3160000,28000777,90.0
15,CRS3035RES1000mN2048000E3160000,28000901,118.0
16,CRS3035RES1000mN2048000E3160000,28000947,111.0
17,CRS3035RES1000mN2048000E3160000,28000960,
18,CRS3035RES1000mN2048000E3160000,28001010,117.0
19,CRS3035RES1000mN2048000E3160000,28001022,112.0
20,CRS3035RES1000mN2048000E3160000,28001034,116.0
21,CRS3035RES1000mN2048000E3160000,28001046,116.0
22,CRS3035RES1000mN2048000E3160000,28001514,
23,CRS3035RES1000mN2048000E3160000,28001563,
24,CRS3035RES1000mN2048000E3160000,28001605,
25,CRS3035RES1000mN2048000E3160000,28001629,
26,CRS3035RES1000mN2048000E3160000,28001678,60.0
27,CRS3035RES1000mN2048000E3160000,28001769,118.0
28,CRS3035RES1000mN2048000E3160000,28001812,
29,CRS3035RES1000mN2048000E3160000,28001848,
30,CRS3035RES1000mN2048000E3160000,28001851,
31,CRS3035RES1000mN2048000E3160000,28001861,
32,CRS3035RES1000mN2048000E3160000,28001952,101.0
33,CRS3035RES1000mN2048000E3160000,28001976,101.0
34,CRS3035RES1000mN2048000E3160000,28002026,
35,CRS3035RES1000mN2048000E3160000,28002038,114.0
36,CRS3035RES1000mN2048000E3160000,28002105,
37,CRS3035RES1000mN2048000E3160000,28002181,
38,CRS3035RES1000mN2048000E3160000,28002211,
39,CRS3035RES1000mN2048000E3160000,28002312,
40,CRS3035RES1000mN2048000E3160000,28002397,107.0
41,CRS3035RES1000mN2048000E3160000,28002415,102.0
42,CRS3035RES1000mN2048000E3160000,28002427,97.0
43,CRS3035RES1000mN2048000E3160000,28002506,115.0
44,CRS3035RES1000mN2048000E3160000,28002580,94.0
45,CRS3035RES1000mN2048000E3160000,28002853,96.0
46,CRS3035RES1000mN2048000E3160000,28003092,
47,CRS3035RES1000mN2048000E3160000,28003110,
48,CRS3035RES1000mN2048000E3160000,28003134,115.0
49,CRS3035RES1000mN2048000E3160000,28003201,
50,CRS3035RES1000mN2048000E3160000,28003250,117.0
51,CRS3035RES1000mN2048000E3160000,28003262,111.0
52,CRS3035RES1000mN2048000E3160000,28003304,
53,CRS3035RES1000mN2048000E3160000,28003419,
54,CRS3035RES1000mN2048000E3160000,28003444,117.0
55,CRS3035RES1000mN2048000E3160000,28003584,
56,CRS3035RES1000mN2048000E3160000,28003675,
57,CRS3035RES1000mN2048000E3160000,28003742,
58,CRS3035RES1000mN2048000E3160000,28003882,
59,CRS3035RES1000mN2048000E3160000,28003894,
60,CRS3035RES1000mN2048000E3160000,28003900,
61,CRS3035RES1000mN2048000E3160000,28003973,117.0
62,CRS3035RES1000mN2048000E3160000,28004059,98.0
63,CRS3035RES1000mN2048000E3160000,28005131,101.0
64,CRS3035RES1000mN2048000E3160000,28005295,67.0
65,CRS3035RES1000mN2048000E3160000,28005738,104.0
66,CRS3035RES1000mN2048000E3160000,28005787,108.0
67,CRS3035RES1000mN2048000E3160000,28005799,113.0
68,CRS3035RES1000mN2048000E3160000,28005842,107.0
69,CRS3035RES1000mN2048000E3160000,28006019,67.0
70,CRS3035RES1000mN2048000E3160000,28006378,87.0
71,CRS3035RES1000mN2048000E3160000,28006457,109.0
72,CRS3035RES1000mN2048000E3160000,28006561,95.0
73,CRS3035RES1000mN2048000E3160000,28006779,99.0
74,CRS3035RES1000mN2048000E3160000,28006809,112.0
75,CRS3035RES1000mN2048000E3160000,28007103,84.0
76,CRS3035RES1000mN2048000E3160000,28007127,82.0
77,CRS3035RES1000mN2048000E3160000,28007139,92.0
78,CRS3035RES1000mN2048000E3160000,28007152,99.0
79,CRS3035RES1000mN2048000E3160000,28007191,104.0
80,CRS3035RES1000mN2048000E3160000,28007292,79.0
81,CRS3035RES1000mN2048000E3160000,28007309,93.0
82,CRS3035RES1000mN2048000E3160000,28007395,91.0
83,CRS3035RES1000mN2048000E3160000,28007607,86.0
84,CRS3035RES1000mN2048000E3160000,28007619,96.0
85,CRS3035RES1000mN2048000E3160000,28007826,83.0
86,CRS3035RES1000mN2048000E3160000,28007917,81.0
87,CRS3035RES1000mN2048000E3160000,28007942,93.0
88,CRS3035RES1000mN2048000E3160000,28007954,119.0
89,CRS3035RES1000mN2048000E3160000,28007978,102.0
90,CRS3035RES1000mN2048000E3160000,28007991,92.0
91,CRS3035RES1000mN2048000E3160000,28008053,91.0
92,CRS3035RES1000mN2048000E3160000,28008107,82.0
93,CRS3035RES1000mN2048000E3160000,28008211,80.0
94,CRS3035RES1000mN2048000E3160000,28008223,90.0
95,CRS3035RES1000mN2048000E3160000,28008351,80.0
96,CRS3035RES1000mN2048000E3160000,28008387,
97,CRS3035RES1000mN2048000E3160000,28008405,95.0
