,from_id,to_id,travel_time
0,CRS3035RES1000mN2028000E3189000,3557,90.0
1,CRS3035RES1000mN2028000E3189000,3394,81.0
2,CRS3035RES1000mN2028000E3189000,3371,93.0
3,CRS3035RES1000mN2028000E3189000,18319,89.0
4,CRS3035RES1000mN2028000E3189000,11242837,97.0
5,CRS3035RES1000mN2028000E3189000,60210,85.0
6,CRS3035RES1000mN2028000E3189000,3361,94.0
7,CRS3035RES1000mN2028000E3189000,3355,83.0
8,CRS3035RES1000mN2028000E3189000,3354,88.0
9,CRS3035RES1000mN2028000E3189000,3687,85.0
10,CRS3035RES1000mN2028000E3189000,6079820,103.0
11,CRS3035RES1000mN2028000E3189000,3357,92.0
12,CRS3035RES1000mN2028000E3189000,3356,93.0
13,CRS3035RES1000mN2028000E3189000,3734,
14,CRS3035RES1000mN2028000E3189000,3480,90.0
15,CRS3035RES1000mN2028000E3189000,18320,91.0
16,CRS3035RES1000mN2028000E3189000,3573,84.0
17,CRS3035RES1000mN2028000E3189000,3743,86.0
18,CRS3035RES1000mN2028000E3189000,3514,96.0
19,CRS3035RES1000mN2028000E3189000,3729,86.0
20,CRS3035RES1000mN2028000E3189000,3736,82.0
21,CRS3035RES1000mN2028000E3189000,190377,80.0
22,CRS3035RES1000mN2028000E3189000,3577,100.0
23,CRS3035RES1000mN2028000E3189000,60211,85.0
24,CRS3035RES1000mN2028000E3189000,3365,88.0
25,CRS3035RES1000mN2028000E3189000,60228,82.0
26,CRS3035RES1000mN2028000E3189000,3346,95.0
27,CRS3035RES1000mN2028000E3189000,3732,85.0
28,CRS3035RES1000mN2028000E3189000,3368,93.0
29,CRS3035RES1000mN2028000E3189000,3348,89.0
30,CRS3035RES1000mN2028000E3189000,18314,75.0
31,CRS3035RES1000mN2028000E3189000,3364,88.0
32,CRS3035RES1000mN2028000E3189000,3363,92.0
33,CRS3035RES1000mN2028000E3189000,8182988,88.0
34,CRS3035RES1000mN2028000E3189000,3737,84.0
35,CRS3035RES1000mN2028000E3189000,60230,82.0
36,CRS3035RES1000mN2028000E3189000,3428,102.0
37,CRS3035RES1000mN2028000E3189000,3429,78.0
38,CRS3035RES1000mN2028000E3189000,3437,104.0
39,CRS3035RES1000mN2028000E3189000,3591,95.0
40,CRS3035RES1000mN2028000E3189000,45867,98.0
41,CRS3035RES1000mN2028000E3189000,60184,111.0
42,CRS3035RES1000mN2028000E3189000,3465,76.0
43,CRS3035RES1000mN2028000E3189000,3478,100.0
44,CRS3035RES1000mN2028000E3189000,3479,98.0
45,CRS3035RES1000mN2028000E3189000,3481,95.0
46,CRS3035RES1000mN2028000E3189000,189085,81.0
47,CRS3035RES1000mN2028000E3189000,3483,94.0
48,CRS3035RES1000mN2028000E3189000,3485,99.0
49,CRS3035RES1000mN2028000E3189000,60216,88.0
50,CRS3035RES1000mN2028000E3189000,3430,108.0
51,CRS3035RES1000mN2028000E3189000,3494,93.0
52,CRS3035RES1000mN2028000E3189000,189087,99.0
53,CRS3035RES1000mN2028000E3189000,3680,91.0
54,CRS3035RES1000mN2028000E3189000,3499,84.0
55,CRS3035RES1000mN2028000E3189000,3502,106.0
56,CRS3035RES1000mN2028000E3189000,3504,81.0
57,CRS3035RES1000mN2028000E3189000,3505,80.0
58,CRS3035RES1000mN2028000E3189000,3540,85.0
59,CRS3035RES1000mN2028000E3189000,3544,111.0
60,CRS3035RES1000mN2028000E3189000,3545,91.0
61,CRS3035RES1000mN2028000E3189000,3558,93.0
62,CRS3035RES1000mN2028000E3189000,3555,84.0
63,CRS3035RES1000mN2028000E3189000,3556,111.0
64,CRS3035RES1000mN2028000E3189000,3462,93.0
65,CRS3035RES1000mN2028000E3189000,3490,81.0
66,CRS3035RES1000mN2028000E3189000,3584,100.0
67,CRS3035RES1000mN2028000E3189000,3593,96.0
68,CRS3035RES1000mN2028000E3189000,3603,87.0
69,CRS3035RES1000mN2028000E3189000,3604,99.0
70,CRS3035RES1000mN2028000E3189000,3609,91.0
71,CRS3035RES1000mN2028000E3189000,59882,81.0
72,CRS3035RES1000mN2028000E3189000,3632,91.0
73,CRS3035RES1000mN2028000E3189000,3586,82.0
74,CRS3035RES1000mN2028000E3189000,3403,105.0
