,from_id,to_id,travel_time
0,CRS3035RES1000mN2038000E3169000,3557,88.0
1,CRS3035RES1000mN2038000E3169000,3394,84.0
2,CRS3035RES1000mN2038000E3169000,3371,96.0
3,CRS3035RES1000mN2038000E3169000,18319,91.0
4,CRS3035RES1000mN2038000E3169000,11242837,99.0
5,CRS3035RES1000mN2038000E3169000,60210,94.0
6,CRS3035RES1000mN2038000E3169000,3361,93.0
7,CRS3035RES1000mN2038000E3169000,3355,85.0
8,CRS3035RES1000mN2038000E3169000,3354,87.0
9,CRS3035RES1000mN2038000E3169000,3687,83.0
10,CRS3035RES1000mN2038000E3169000,6079820,101.0
11,CRS3035RES1000mN2038000E3169000,3357,90.0
12,CRS3035RES1000mN2038000E3169000,3356,94.0
13,CRS3035RES1000mN2038000E3169000,3734,
14,CRS3035RES1000mN2038000E3169000,3480,92.0
15,CRS3035RES1000mN2038000E3169000,18320,92.0
16,CRS3035RES1000mN2038000E3169000,3573,82.0
17,CRS3035RES1000mN2038000E3169000,3743,88.0
18,CRS3035RES1000mN2038000E3169000,3514,99.0
19,CRS3035RES1000mN2038000E3169000,3729,90.0
20,CRS3035RES1000mN2038000E3169000,3736,87.0
21,CRS3035RES1000mN2038000E3169000,190377,88.0
22,CRS3035RES1000mN2038000E3169000,3577,98.0
23,CRS3035RES1000mN2038000E3169000,60211,88.0
24,CRS3035RES1000mN2038000E3169000,3365,87.0
25,CRS3035RES1000mN2038000E3169000,60228,85.0
26,CRS3035RES1000mN2038000E3169000,3346,97.0
27,CRS3035RES1000mN2038000E3169000,3732,83.0
28,CRS3035RES1000mN2038000E3169000,3368,91.0
29,CRS3035RES1000mN2038000E3169000,3348,92.0
30,CRS3035RES1000mN2038000E3169000,18314,84.0
31,CRS3035RES1000mN2038000E3169000,3364,87.0
32,CRS3035RES1000mN2038000E3169000,3363,96.0
33,CRS3035RES1000mN2038000E3169000,8182988,74.0
34,CRS3035RES1000mN2038000E3169000,3737,86.0
35,CRS3035RES1000mN2038000E3169000,60230,91.0
36,CRS3035RES1000mN2038000E3169000,3428,105.0
37,CRS3035RES1000mN2038000E3169000,3429,82.0
38,CRS3035RES1000mN2038000E3169000,3437,92.0
39,CRS3035RES1000mN2038000E3169000,3591,100.0
40,CRS3035RES1000mN2038000E3169000,45867,80.0
41,CRS3035RES1000mN2038000E3169000,60184,109.0
42,CRS3035RES1000mN2038000E3169000,3465,84.0
43,CRS3035RES1000mN2038000E3169000,3478,105.0
44,CRS3035RES1000mN2038000E3169000,3479,96.0
45,CRS3035RES1000mN2038000E3169000,3481,101.0
46,CRS3035RES1000mN2038000E3169000,189085,85.0
47,CRS3035RES1000mN2038000E3169000,3483,70.0
48,CRS3035RES1000mN2038000E3169000,3485,98.0
49,CRS3035RES1000mN2038000E3169000,60216,78.0
50,CRS3035RES1000mN2038000E3169000,3430,109.0
51,CRS3035RES1000mN2038000E3169000,3494,101.0
52,CRS3035RES1000mN2038000E3169000,189087,77.0
53,CRS3035RES1000mN2038000E3169000,3680,90.0
54,CRS3035RES1000mN2038000E3169000,3499,86.0
55,CRS3035RES1000mN2038000E3169000,3502,109.0
56,CRS3035RES1000mN2038000E3169000,3504,85.0
57,CRS3035RES1000mN2038000E3169000,3505,73.0
58,CRS3035RES1000mN2038000E3169000,3540,82.0
59,CRS3035RES1000mN2038000E3169000,3544,106.0
60,CRS3035RES1000mN2038000E3169000,3545,93.0
61,CRS3035RES1000mN2038000E3169000,3558,74.0
62,CRS3035RES1000mN2038000E3169000,3555,88.0
63,CRS3035RES1000mN2038000E3169000,3556,110.0
64,CRS3035RES1000mN2038000E3169000,3462,92.0
65,CRS3035RES1000mN2038000E3169000,3490,88.0
66,CRS3035RES1000mN2038000E3169000,3584,107.0
67,CRS3035RES1000mN2038000E3169000,3593,93.0
