,from_id,to_id,travel_time
0,CRS3035RES1000mN2022000E3146000,3557,81.0
1,CRS3035RES1000mN2022000E3146000,3394,79.0
2,CRS3035RES1000mN2022000E3146000,3371,78.0
3,CRS3035RES1000mN2022000E3146000,18319,81.0
4,CRS3035RES1000mN2022000E3146000,11242837,76.0
5,CRS3035RES1000mN2022000E3146000,60210,90.0
6,CRS3035RES1000mN2022000E3146000,3361,77.0
7,CRS3035RES1000mN2022000E3146000,3355,77.0
8,CRS3035RES1000mN2022000E3146000,3354,73.0
9,CRS3035RES1000mN2022000E3146000,3687,68.0
10,CRS3035RES1000mN2022000E3146000,6079820,75.0
11,CRS3035RES1000mN2022000E3146000,3357,72.0
12,CRS3035RES1000mN2022000E3146000,3356,78.0
13,CRS3035RES1000mN2022000E3146000,3734,116.0
14,CRS3035RES1000mN2022000E3146000,3480,78.0
15,CRS3035RES1000mN2022000E3146000,18320,81.0
16,CRS3035RES1000mN2022000E3146000,3573,70.0
17,CRS3035RES1000mN2022000E3146000,3743,76.0
18,CRS3035RES1000mN2022000E3146000,3514,90.0
19,CRS3035RES1000mN2022000E3146000,3729,75.0
20,CRS3035RES1000mN2022000E3146000,3736,77.0
21,CRS3035RES1000mN2022000E3146000,190377,84.0
22,CRS3035RES1000mN2022000E3146000,3577,64.0
23,CRS3035RES1000mN2022000E3146000,60211,74.0
24,CRS3035RES1000mN2022000E3146000,3365,75.0
25,CRS3035RES1000mN2022000E3146000,60228,75.0
26,CRS3035RES1000mN2022000E3146000,3346,77.0
27,CRS3035RES1000mN2022000E3146000,3732,81.0
28,CRS3035RES1000mN2022000E3146000,3368,84.0
29,CRS3035RES1000mN2022000E3146000,3348,78.0
30,CRS3035RES1000mN2022000E3146000,18314,83.0
31,CRS3035RES1000mN2022000E3146000,3364,75.0
32,CRS3035RES1000mN2022000E3146000,3363,79.0
33,CRS3035RES1000mN2022000E3146000,8182988,85.0
34,CRS3035RES1000mN2022000E3146000,3737,79.0
35,CRS3035RES1000mN2022000E3146000,60230,87.0
36,CRS3035RES1000mN2022000E3146000,3428,66.0
37,CRS3035RES1000mN2022000E3146000,3429,90.0
38,CRS3035RES1000mN2022000E3146000,3437,96.0
39,CRS3035RES1000mN2022000E3146000,3591,74.0
40,CRS3035RES1000mN2022000E3146000,45867,93.0
41,CRS3035RES1000mN2022000E3146000,60184,57.0
42,CRS3035RES1000mN2022000E3146000,3465,79.0
43,CRS3035RES1000mN2022000E3146000,3478,71.0
44,CRS3035RES1000mN2022000E3146000,3479,64.0
45,CRS3035RES1000mN2022000E3146000,3481,75.0
46,CRS3035RES1000mN2022000E3146000,189085,103.0
47,CRS3035RES1000mN2022000E3146000,3483,98.0
48,CRS3035RES1000mN2022000E3146000,3485,59.0
49,CRS3035RES1000mN2022000E3146000,60216,96.0
50,CRS3035RES1000mN2022000E3146000,3430,87.0
51,CRS3035RES1000mN2022000E3146000,3494,93.0
52,CRS3035RES1000mN2022000E3146000,189087,95.0
53,CRS3035RES1000mN2022000E3146000,3680,79.0
54,CRS3035RES1000mN2022000E3146000,3499,94.0
55,CRS3035RES1000mN2022000E3146000,3502,64.0
56,CRS3035RES1000mN2022000E3146000,3504,88.0
57,CRS3035RES1000mN2022000E3146000,3505,83.0
58,CRS3035RES1000mN2022000E3146000,3540,83.0
59,CRS3035RES1000mN2022000E3146000,3544,101.0
60,CRS3035RES1000mN2022000E3146000,3545,79.0
61,CRS3035RES1000mN2022000E3146000,3558,97.0
62,CRS3035RES1000mN2022000E3146000,3555,94.0
63,CRS3035RES1000mN2022000E3146000,3556,63.0
64,CRS3035RES1000mN2022000E3146000,3462,96.0
65,CRS3035RES1000mN2022000E3146000,3490,81.0
66,CRS3035RES1000mN2022000E3146000,3584,84.0
67,CRS3035RES1000mN2022000E3146000,3593,70.0
68,CRS3035RES1000mN2022000E3146000,3603,81.0
69,CRS3035RES1000mN2022000E3146000,3604,80.0
70,CRS3035RES1000mN2022000E3146000,3609,94.0
71,CRS3035RES1000mN2022000E3146000,59882,94.0
72,CRS3035RES1000mN2022000E3146000,3632,100.0
73,CRS3035RES1000mN2022000E3146000,3586,89.0
74,CRS3035RES1000mN2022000E3146000,3403,72.0
75,CRS3035RES1000mN2022000E3146000,3410,96.0
76,CRS3035RES1000mN2022000E3146000,3427,91.0
77,CRS3035RES1000mN2022000E3146000,3439,94.0
78,CRS3035RES1000mN2022000E3146000,3440,96.0
79,CRS3035RES1000mN2022000E3146000,3470,84.0
80,CRS3035RES1000mN2022000E3146000,3511,73.0
81,CRS3035RES1000mN2022000E3146000,3536,88.0
82,CRS3035RES1000mN2022000E3146000,3434,93.0
83,CRS3035RES1000mN2022000E3146000,3466,92.0
84,CRS3035RES1000mN2022000E3146000,3467,89.0
85,CRS3035RES1000mN2022000E3146000,3507,83.0
86,CRS3035RES1000mN2022000E3146000,3527,79.0
87,CRS3035RES1000mN2022000E3146000,3535,103.0
88,CRS3035RES1000mN2022000E3146000,3537,87.0
89,CRS3035RES1000mN2022000E3146000,3583,90.0
90,CRS3035RES1000mN2022000E3146000,3636,100.0
91,CRS3035RES1000mN2022000E3146000,3628,92.0
92,CRS3035RES1000mN2022000E3146000,3630,97.0
93,CRS3035RES1000mN2022000E3146000,18323,102.0
94,CRS3035RES1000mN2022000E3146000,3640,85.0
95,CRS3035RES1000mN2022000E3146000,3647,89.0
96,CRS3035RES1000mN2022000E3146000,3685,83.0
97,CRS3035RES1000mN2022000E3146000,3696,96.0
98,CRS3035RES1000mN2022000E3146000,3413,103.0
99,CRS3035RES1000mN2022000E3146000,3420,77.0
100,CRS3035RES1000mN2022000E3146000,3487,76.0
101,CRS3035RES1000mN2022000E3146000,3528,93.0
102,CRS3035RES1000mN2022000E3146000,3633,99.0
103,CRS3035RES1000mN2022000E3146000,59885,101.0
104,CRS3035RES1000mN2022000E3146000,3699,91.0
105,CRS3035RES1000mN2022000E3146000,3378,101.0
106,CRS3035RES1000mN2022000E3146000,3419,80.0
107,CRS3035RES1000mN2022000E3146000,3426,101.0
108,CRS3035RES1000mN2022000E3146000,3488,90.0
109,CRS3035RES1000mN2022000E3146000,3400,77.0
110,CRS3035RES1000mN2022000E3146000,3582,95.0
111,CRS3035RES1000mN2022000E3146000,3587,83.0
112,CRS3035RES1000mN2022000E3146000,3631,96.0
113,CRS3035RES1000mN2022000E3146000,3686,92.0
114,CRS3035RES1000mN2022000E3146000,3405,65.0
115,CRS3035RES1000mN2022000E3146000,3351,77.0
116,CRS3035RES1000mN2022000E3146000,3468,73.0
