,from_id,to_id,travel_time
0,CRS3035RES1000mN2028000E3145000,3557,95.0
1,CRS3035RES1000mN2028000E3145000,3394,87.0
2,CRS3035RES1000mN2028000E3145000,3371,89.0
3,CRS3035RES1000mN2028000E3145000,18319,91.0
4,CRS3035RES1000mN2028000E3145000,11242837,92.0
5,CRS3035RES1000mN2028000E3145000,60210,101.0
6,CRS3035RES1000mN2028000E3145000,3361,87.0
7,CRS3035RES1000mN2028000E3145000,3355,86.0
8,CRS3035RES1000mN2028000E3145000,3354,81.0
9,CRS3035RES1000mN2028000E3145000,3687,77.0
10,CRS3035RES1000mN2028000E3145000,6079820,91.0
11,CRS3035RES1000mN2028000E3145000,3357,81.0
12,CRS3035RES1000mN2028000E3145000,3356,88.0
13,CRS3035RES1000mN2028000E3145000,3734,
14,CRS3035RES1000mN2028000E3145000,3480,88.0
15,CRS3035RES1000mN2028000E3145000,18320,90.0
16,CRS3035RES1000mN2028000E3145000,3573,79.0
17,CRS3035RES1000mN2028000E3145000,3743,85.0
18,CRS3035RES1000mN2028000E3145000,3514,102.0
19,CRS3035RES1000mN2028000E3145000,3729,82.0
20,CRS3035RES1000mN2028000E3145000,3736,86.0
21,CRS3035RES1000mN2028000E3145000,190377,95.0
22,CRS3035RES1000mN2028000E3145000,3577,72.0
23,CRS3035RES1000mN2028000E3145000,60211,83.0
24,CRS3035RES1000mN2028000E3145000,3365,83.0
25,CRS3035RES1000mN2028000E3145000,60228,84.0
26,CRS3035RES1000mN2028000E3145000,3346,88.0
27,CRS3035RES1000mN2028000E3145000,3732,91.0
28,CRS3035RES1000mN2028000E3145000,3368,93.0
29,CRS3035RES1000mN2028000E3145000,3348,86.0
30,CRS3035RES1000mN2028000E3145000,18314,91.0
31,CRS3035RES1000mN2028000E3145000,3364,83.0
32,CRS3035RES1000mN2028000E3145000,3363,88.0
33,CRS3035RES1000mN2028000E3145000,8182988,93.0
34,CRS3035RES1000mN2028000E3145000,3737,88.0
35,CRS3035RES1000mN2028000E3145000,60230,100.0
36,CRS3035RES1000mN2028000E3145000,3428,81.0
37,CRS3035RES1000mN2028000E3145000,3429,98.0
38,CRS3035RES1000mN2028000E3145000,3437,105.0
39,CRS3035RES1000mN2028000E3145000,3591,95.0
40,CRS3035RES1000mN2028000E3145000,45867,101.0
41,CRS3035RES1000mN2028000E3145000,60184,77.0
42,CRS3035RES1000mN2028000E3145000,3465,88.0
43,CRS3035RES1000mN2028000E3145000,3478,87.0
44,CRS3035RES1000mN2028000E3145000,3479,74.0
45,CRS3035RES1000mN2028000E3145000,3481,91.0
46,CRS3035RES1000mN2028000E3145000,189085,111.0
47,CRS3035RES1000mN2028000E3145000,3483,108.0
48,CRS3035RES1000mN2028000E3145000,3485,80.0
49,CRS3035RES1000mN2028000E3145000,60216,104.0
50,CRS3035RES1000mN2028000E3145000,3430,94.0
51,CRS3035RES1000mN2028000E3145000,3494,105.0
52,CRS3035RES1000mN2028000E3145000,189087,104.0
53,CRS3035RES1000mN2028000E3145000,3680,88.0
54,CRS3035RES1000mN2028000E3145000,3499,102.0
55,CRS3035RES1000mN2028000E3145000,3502,74.0
56,CRS3035RES1000mN2028000E3145000,3504,96.0
57,CRS3035RES1000mN2028000E3145000,3505,92.0
58,CRS3035RES1000mN2028000E3145000,3540,92.0
59,CRS3035RES1000mN2028000E3145000,3544,110.0
60,CRS3035RES1000mN2028000E3145000,3545,88.0
61,CRS3035RES1000mN2028000E3145000,3558,107.0
62,CRS3035RES1000mN2028000E3145000,3555,102.0
63,CRS3035RES1000mN2028000E3145000,3556,69.0
64,CRS3035RES1000mN2028000E3145000,3462,104.0
65,CRS3035RES1000mN2028000E3145000,3490,90.0
66,CRS3035RES1000mN2028000E3145000,3584,101.0
67,CRS3035RES1000mN2028000E3145000,3593,91.0
68,CRS3035RES1000mN2028000E3145000,3603,90.0
69,CRS3035RES1000mN2028000E3145000,3604,104.0
70,CRS3035RES1000mN2028000E3145000,3609,105.0
71,CRS3035RES1000mN2028000E3145000,59882,102.0
72,CRS3035RES1000mN2028000E3145000,3632,112.0
73,CRS3035RES1000mN2028000E3145000,3586,98.0
74,CRS3035RES1000mN2028000E3145000,3403,87.0
75,CRS3035RES1000mN2028000E3145000,3410,105.0
76,CRS3035RES1000mN2028000E3145000,3427,100.0
77,CRS3035RES1000mN2028000E3145000,3439,103.0
78,CRS3035RES1000mN2028000E3145000,3440,109.0
79,CRS3035RES1000mN2028000E3145000,3470,93.0
80,CRS3035RES1000mN2028000E3145000,3511,88.0
81,CRS3035RES1000mN2028000E3145000,3536,96.0
82,CRS3035RES1000mN2028000E3145000,3434,105.0
83,CRS3035RES1000mN2028000E3145000,3466,100.0
84,CRS3035RES1000mN2028000E3145000,3467,102.0
85,CRS3035RES1000mN2028000E3145000,3507,99.0
86,CRS3035RES1000mN2028000E3145000,3527,97.0
87,CRS3035RES1000mN2028000E3145000,3535,111.0
88,CRS3035RES1000mN2028000E3145000,3537,96.0
89,CRS3035RES1000mN2028000E3145000,3583,98.0
90,CRS3035RES1000mN2028000E3145000,3636,113.0
91,CRS3035RES1000mN2028000E3145000,3628,103.0
92,CRS3035RES1000mN2028000E3145000,3630,110.0
93,CRS3035RES1000mN2028000E3145000,18323,115.0
94,CRS3035RES1000mN2028000E3145000,3640,100.0
95,CRS3035RES1000mN2028000E3145000,3647,100.0
96,CRS3035RES1000mN2028000E3145000,3685,99.0
97,CRS3035RES1000mN2028000E3145000,3696,104.0
98,CRS3035RES1000mN2028000E3145000,3413,113.0
99,CRS3035RES1000mN2028000E3145000,3420,95.0
100,CRS3035RES1000mN2028000E3145000,3487,88.0
101,CRS3035RES1000mN2028000E3145000,3528,102.0
102,CRS3035RES1000mN2028000E3145000,3633,107.0
103,CRS3035RES1000mN2028000E3145000,59885,110.0
104,CRS3035RES1000mN2028000E3145000,3699,100.0
105,CRS3035RES1000mN2028000E3145000,3378,109.0
106,CRS3035RES1000mN2028000E3145000,3419,89.0
107,CRS3035RES1000mN2028000E3145000,3426,114.0
108,CRS3035RES1000mN2028000E3145000,3488,111.0
109,CRS3035RES1000mN2028000E3145000,3400,85.0
110,CRS3035RES1000mN2028000E3145000,3582,103.0
111,CRS3035RES1000mN2028000E3145000,3587,91.0
112,CRS3035RES1000mN2028000E3145000,3631,108.0
113,CRS3035RES1000mN2028000E3145000,3686,101.0
114,CRS3035RES1000mN2028000E3145000,3405,71.0
115,CRS3035RES1000mN2028000E3145000,3351,88.0
116,CRS3035RES1000mN2028000E3145000,3468,83.0
117,CRS3035RES1000mN2028000E3145000,3453,112.0
118,CRS3035RES1000mN2028000E3145000,3456,86.0
119,CRS3035RES1000mN2028000E3145000,3455,102.0
120,CRS3035RES1000mN2028000E3145000,18329,112.0
121,CRS3035RES1000mN2028000E3145000,3500,94.0
122,CRS3035RES1000mN2028000E3145000,3503,93.0
123,CRS3035RES1000mN2028000E3145000,3538,95.0
124,CRS3035RES1000mN2028000E3145000,3398,83.0
125,CRS3035RES1000mN2028000E3145000,3651,62.0
126,CRS3035RES1000mN2028000E3145000,3650,94.0
127,CRS3035RES1000mN2028000E3145000,3652,99.0
128,CRS3035RES1000mN2028000E3145000,3688,111.0
129,CRS3035RES1000mN2028000E3145000,3662,112.0
130,CRS3035RES1000mN2028000E3145000,3670,73.0
131,CRS3035RES1000mN2028000E3145000,18322,100.0
132,CRS3035RES1000mN2028000E3145000,3671,92.0
133,CRS3035RES1000mN2028000E3145000,3675,93.0
134,CRS3035RES1000mN2028000E3145000,3679,79.0
135,CRS3035RES1000mN2028000E3145000,3673,101.0
136,CRS3035RES1000mN2028000E3145000,3692,104.0
137,CRS3035RES1000mN2028000E3145000,3695,100.0
138,CRS3035RES1000mN2028000E3145000,3520,100.0
139,CRS3035RES1000mN2028000E3145000,3744,104.0
140,CRS3035RES1000mN2028000E3145000,3377,111.0
141,CRS3035RES1000mN2028000E3145000,3638,111.0
142,CRS3035RES1000mN2028000E3145000,3654,98.0
143,CRS3035RES1000mN2028000E3145000,3655,106.0
144,CRS3035RES1000mN2028000E3145000,3657,77.0
145,CRS3035RES1000mN2028000E3145000,3658,89.0
146,CRS3035RES1000mN2028000E3145000,3664,85.0
147,CRS3035RES1000mN2028000E3145000,3674,97.0
148,CRS3035RES1000mN2028000E3145000,3677,93.0
149,CRS3035RES1000mN2028000E3145000,3676,96.0
150,CRS3035RES1000mN2028000E3145000,3678,90.0
151,CRS3035RES1000mN2028000E3145000,3404,88.0
152,CRS3035RES1000mN2028000E3145000,3407,106.0
153,CRS3035RES1000mN2028000E3145000,3408,103.0
154,CRS3035RES1000mN2028000E3145000,3409,67.0
155,CRS3035RES1000mN2028000E3145000,3412,109.0
156,CRS3035RES1000mN2028000E3145000,3416,106.0
157,CRS3035RES1000mN2028000E3145000,3415,90.0
158,CRS3035RES1000mN2028000E3145000,3421,89.0
159,CRS3035RES1000mN2028000E3145000,59892,108.0
160,CRS3035RES1000mN2028000E3145000,3423,93.0
161,CRS3035RES1000mN2028000E3145000,3424,96.0
162,CRS3035RES1000mN2028000E3145000,3425,73.0
163,CRS3035RES1000mN2028000E3145000,3435,90.0
164,CRS3035RES1000mN2028000E3145000,3436,95.0
165,CRS3035RES1000mN2028000E3145000,3441,85.0
166,CRS3035RES1000mN2028000E3145000,8096441,85.0
167,CRS3035RES1000mN2028000E3145000,3442,106.0
168,CRS3035RES1000mN2028000E3145000,3445,109.0
169,CRS3035RES1000mN2028000E3145000,3446,96.0
170,CRS3035RES1000mN2028000E3145000,3448,92.0
171,CRS3035RES1000mN2028000E3145000,3452,106.0
172,CRS3035RES1000mN2028000E3145000,3464,111.0
173,CRS3035RES1000mN2028000E3145000,3484,109.0
174,CRS3035RES1000mN2028000E3145000,3391,90.0
175,CRS3035RES1000mN2028000E3145000,3489,106.0
176,CRS3035RES1000mN2028000E3145000,3495,93.0
177,CRS3035RES1000mN2028000E3145000,3497,109.0
178,CRS3035RES1000mN2028000E3145000,3498,104.0
179,CRS3035RES1000mN2028000E3145000,3506,97.0
180,CRS3035RES1000mN2028000E3145000,3510,115.0
181,CRS3035RES1000mN2028000E3145000,3512,102.0
182,CRS3035RES1000mN2028000E3145000,3516,108.0
183,CRS3035RES1000mN2028000E3145000,3517,104.0
184,CRS3035RES1000mN2028000E3145000,3374,87.0
185,CRS3035RES1000mN2028000E3145000,3518,89.0
186,CRS3035RES1000mN2028000E3145000,3522,102.0
187,CRS3035RES1000mN2028000E3145000,3523,91.0
188,CRS3035RES1000mN2028000E3145000,3525,106.0
189,CRS3035RES1000mN2028000E3145000,3526,92.0
190,CRS3035RES1000mN2028000E3145000,3524,96.0
191,CRS3035RES1000mN2028000E3145000,3529,92.0
192,CRS3035RES1000mN2028000E3145000,3530,101.0
193,CRS3035RES1000mN2028000E3145000,3531,110.0
194,CRS3035RES1000mN2028000E3145000,3533,66.0
195,CRS3035RES1000mN2028000E3145000,3534,90.0
196,CRS3035RES1000mN2028000E3145000,3352,84.0
197,CRS3035RES1000mN2028000E3145000,59899,114.0
198,CRS3035RES1000mN2028000E3145000,3539,88.0
199,CRS3035RES1000mN2028000E3145000,189083,67.0
200,CRS3035RES1000mN2028000E3145000,3541,99.0
201,CRS3035RES1000mN2028000E3145000,3542,81.0
202,CRS3035RES1000mN2028000E3145000,3548,103.0
203,CRS3035RES1000mN2028000E3145000,3549,100.0
204,CRS3035RES1000mN2028000E3145000,3550,77.0
205,CRS3035RES1000mN2028000E3145000,3552,107.0
206,CRS3035RES1000mN2028000E3145000,3553,106.0
207,CRS3035RES1000mN2028000E3145000,3554,99.0
208,CRS3035RES1000mN2028000E3145000,3559,106.0
209,CRS3035RES1000mN2028000E3145000,3560,90.0
210,CRS3035RES1000mN2028000E3145000,3370,87.0
211,CRS3035RES1000mN2028000E3145000,3561,106.0
212,CRS3035RES1000mN2028000E3145000,4914933,101.0
213,CRS3035RES1000mN2028000E3145000,3656,
214,CRS3035RES1000mN2028000E3145000,3562,86.0
215,CRS3035RES1000mN2028000E3145000,3564,102.0
216,CRS3035RES1000mN2028000E3145000,107401,75.0
217,CRS3035RES1000mN2028000E3145000,3565,79.0
218,CRS3035RES1000mN2028000E3145000,3393,93.0
219,CRS3035RES1000mN2028000E3145000,3563,93.0
220,CRS3035RES1000mN2028000E3145000,3566,116.0
221,CRS3035RES1000mN2028000E3145000,3401,97.0
222,CRS3035RES1000mN2028000E3145000,18324,111.0
223,CRS3035RES1000mN2028000E3145000,3569,94.0
224,CRS3035RES1000mN2028000E3145000,3567,97.0
225,CRS3035RES1000mN2028000E3145000,3574,76.0
226,CRS3035RES1000mN2028000E3145000,3575,90.0
227,CRS3035RES1000mN2028000E3145000,3576,78.0
228,CRS3035RES1000mN2028000E3145000,3384,96.0
229,CRS3035RES1000mN2028000E3145000,3578,109.0
230,CRS3035RES1000mN2028000E3145000,3381,91.0
231,CRS3035RES1000mN2028000E3145000,3375,91.0
232,CRS3035RES1000mN2028000E3145000,3372,79.0
233,CRS3035RES1000mN2028000E3145000,3620,108.0
234,CRS3035RES1000mN2028000E3145000,3621,109.0
235,CRS3035RES1000mN2028000E3145000,3622,101.0
236,CRS3035RES1000mN2028000E3145000,3624,84.0
237,CRS3035RES1000mN2028000E3145000,3625,99.0
238,CRS3035RES1000mN2028000E3145000,3626,95.0
239,CRS3035RES1000mN2028000E3145000,3627,94.0
