,from_id,to_id,travel_time
0,CRS3035RES1000mN2027000E3170000,3557,68.0
1,CRS3035RES1000mN2027000E3170000,3394,65.0
2,CRS3035RES1000mN2027000E3170000,3371,70.0
3,CRS3035RES1000mN2027000E3170000,18319,65.0
4,CRS3035RES1000mN2027000E3170000,11242837,74.0
5,CRS3035RES1000mN2027000E3170000,60210,65.0
6,CRS3035RES1000mN2027000E3170000,3361,75.0
7,CRS3035RES1000mN2027000E3170000,3355,63.0
8,CRS3035RES1000mN2027000E3170000,3354,72.0
9,CRS3035RES1000mN2027000E3170000,3687,68.0
10,CRS3035RES1000mN2027000E3170000,6079820,81.0
11,CRS3035RES1000mN2027000E3170000,3357,75.0
12,CRS3035RES1000mN2027000E3170000,3356,73.0
13,CRS3035RES1000mN2027000E3170000,3734,115.0
14,CRS3035RES1000mN2027000E3170000,3480,76.0
15,CRS3035RES1000mN2027000E3170000,18320,65.0
16,CRS3035RES1000mN2027000E3170000,3573,67.0
17,CRS3035RES1000mN2027000E3170000,3743,68.0
18,CRS3035RES1000mN2027000E3170000,3514,66.0
19,CRS3035RES1000mN2027000E3170000,3729,67.0
20,CRS3035RES1000mN2027000E3170000,3736,66.0
21,CRS3035RES1000mN2027000E3170000,190377,57.0
22,CRS3035RES1000mN2027000E3170000,3577,83.0
23,CRS3035RES1000mN2027000E3170000,60211,69.0
24,CRS3035RES1000mN2027000E3170000,3365,70.0
25,CRS3035RES1000mN2027000E3170000,60228,66.0
26,CRS3035RES1000mN2027000E3170000,3346,71.0
27,CRS3035RES1000mN2027000E3170000,3732,63.0
28,CRS3035RES1000mN2027000E3170000,3368,68.0
29,CRS3035RES1000mN2027000E3170000,3348,68.0
30,CRS3035RES1000mN2027000E3170000,18314,61.0
31,CRS3035RES1000mN2027000E3170000,3364,71.0
32,CRS3035RES1000mN2027000E3170000,3363,71.0
33,CRS3035RES1000mN2027000E3170000,8182988,73.0
34,CRS3035RES1000mN2027000E3170000,3737,66.0
35,CRS3035RES1000mN2027000E3170000,60230,61.0
36,CRS3035RES1000mN2027000E3170000,3428,81.0
37,CRS3035RES1000mN2027000E3170000,3429,67.0
38,CRS3035RES1000mN2027000E3170000,3437,87.0
39,CRS3035RES1000mN2027000E3170000,3591,72.0
40,CRS3035RES1000mN2027000E3170000,45867,82.0
41,CRS3035RES1000mN2027000E3170000,60184,94.0
42,CRS3035RES1000mN2027000E3170000,3465,63.0
43,CRS3035RES1000mN2027000E3170000,3478,78.0
44,CRS3035RES1000mN2027000E3170000,3479,81.0
45,CRS3035RES1000mN2027000E3170000,3481,74.0
46,CRS3035RES1000mN2027000E3170000,189085,68.0
47,CRS3035RES1000mN2027000E3170000,3483,84.0
48,CRS3035RES1000mN2027000E3170000,3485,80.0
49,CRS3035RES1000mN2027000E3170000,60216,78.0
50,CRS3035RES1000mN2027000E3170000,3430,85.0
51,CRS3035RES1000mN2027000E3170000,3494,63.0
52,CRS3035RES1000mN2027000E3170000,189087,84.0
53,CRS3035RES1000mN2027000E3170000,3680,63.0
54,CRS3035RES1000mN2027000E3170000,3499,47.0
55,CRS3035RES1000mN2027000E3170000,3502,83.0
56,CRS3035RES1000mN2027000E3170000,3504,56.0
57,CRS3035RES1000mN2027000E3170000,3505,68.0
58,CRS3035RES1000mN2027000E3170000,3540,69.0
59,CRS3035RES1000mN2027000E3170000,3544,100.0
60,CRS3035RES1000mN2027000E3170000,3545,77.0
61,CRS3035RES1000mN2027000E3170000,3558,83.0
62,CRS3035RES1000mN2027000E3170000,3555,43.0
63,CRS3035RES1000mN2027000E3170000,3556,91.0
64,CRS3035RES1000mN2027000E3170000,3462,76.0
65,CRS3035RES1000mN2027000E3170000,3490,61.0
66,CRS3035RES1000mN2027000E3170000,3584,80.0
67,CRS3035RES1000mN2027000E3170000,3593,66.0
68,CRS3035RES1000mN2027000E3170000,3603,70.0
69,CRS3035RES1000mN2027000E3170000,3604,71.0
70,CRS3035RES1000mN2027000E3170000,3609,53.0
71,CRS3035RES1000mN2027000E3170000,59882,72.0
72,CRS3035RES1000mN2027000E3170000,3632,60.0
73,CRS3035RES1000mN2027000E3170000,3586,61.0
74,CRS3035RES1000mN2027000E3170000,3403,81.0
75,CRS3035RES1000mN2027000E3170000,3410,77.0
76,CRS3035RES1000mN2027000E3170000,3427,72.0
77,CRS3035RES1000mN2027000E3170000,3439,83.0
78,CRS3035RES1000mN2027000E3170000,3440,61.0
79,CRS3035RES1000mN2027000E3170000,3470,58.0
80,CRS3035RES1000mN2027000E3170000,3511,69.0
81,CRS3035RES1000mN2027000E3170000,3536,67.0
82,CRS3035RES1000mN2027000E3170000,3434,63.0
83,CRS3035RES1000mN2027000E3170000,3466,54.0
84,CRS3035RES1000mN2027000E3170000,3467,63.0
85,CRS3035RES1000mN2027000E3170000,3507,65.0
86,CRS3035RES1000mN2027000E3170000,3527,75.0
87,CRS3035RES1000mN2027000E3170000,3535,50.0
88,CRS3035RES1000mN2027000E3170000,3537,76.0
89,CRS3035RES1000mN2027000E3170000,3583,71.0
90,CRS3035RES1000mN2027000E3170000,3636,59.0
91,CRS3035RES1000mN2027000E3170000,3628,62.0
92,CRS3035RES1000mN2027000E3170000,3630,58.0
93,CRS3035RES1000mN2027000E3170000,18323,55.0
94,CRS3035RES1000mN2027000E3170000,3640,68.0
95,CRS3035RES1000mN2027000E3170000,3647,62.0
96,CRS3035RES1000mN2027000E3170000,3685,81.0
97,CRS3035RES1000mN2027000E3170000,3696,80.0
98,CRS3035RES1000mN2027000E3170000,3413,65.0
99,CRS3035RES1000mN2027000E3170000,3420,62.0
100,CRS3035RES1000mN2027000E3170000,3487,63.0
101,CRS3035RES1000mN2027000E3170000,3528,81.0
102,CRS3035RES1000mN2027000E3170000,3633,85.0
103,CRS3035RES1000mN2027000E3170000,59885,44.0
104,CRS3035RES1000mN2027000E3170000,3699,80.0
105,CRS3035RES1000mN2027000E3170000,3378,66.0
106,CRS3035RES1000mN2027000E3170000,3419,66.0
107,CRS3035RES1000mN2027000E3170000,3426,54.0
108,CRS3035RES1000mN2027000E3170000,3488,89.0
109,CRS3035RES1000mN2027000E3170000,3400,67.0
110,CRS3035RES1000mN2027000E3170000,3582,76.0
111,CRS3035RES1000mN2027000E3170000,3587,72.0
112,CRS3035RES1000mN2027000E3170000,3631,57.0
113,CRS3035RES1000mN2027000E3170000,3686,53.0
114,CRS3035RES1000mN2027000E3170000,3405,92.0
115,CRS3035RES1000mN2027000E3170000,3351,67.0
116,CRS3035RES1000mN2027000E3170000,3468,72.0
117,CRS3035RES1000mN2027000E3170000,3453,45.0
118,CRS3035RES1000mN2027000E3170000,3456,66.0
119,CRS3035RES1000mN2027000E3170000,3455,95.0
120,CRS3035RES1000mN2027000E3170000,18329,62.0
121,CRS3035RES1000mN2027000E3170000,3500,73.0
122,CRS3035RES1000mN2027000E3170000,3503,74.0
123,CRS3035RES1000mN2027000E3170000,3538,60.0
124,CRS3035RES1000mN2027000E3170000,3398,69.0
125,CRS3035RES1000mN2027000E3170000,3651,84.0
126,CRS3035RES1000mN2027000E3170000,3650,62.0
127,CRS3035RES1000mN2027000E3170000,3652,78.0
128,CRS3035RES1000mN2027000E3170000,3688,50.0
129,CRS3035RES1000mN2027000E3170000,3662,43.0
130,CRS3035RES1000mN2027000E3170000,3670,81.0
131,CRS3035RES1000mN2027000E3170000,18322,56.0
132,CRS3035RES1000mN2027000E3170000,3671,62.0
133,CRS3035RES1000mN2027000E3170000,3675,67.0
134,CRS3035RES1000mN2027000E3170000,3679,90.0
135,CRS3035RES1000mN2027000E3170000,3673,59.0
136,CRS3035RES1000mN2027000E3170000,3692,76.0
137,CRS3035RES1000mN2027000E3170000,3695,67.0
138,CRS3035RES1000mN2027000E3170000,3520,78.0
139,CRS3035RES1000mN2027000E3170000,3744,64.0
140,CRS3035RES1000mN2027000E3170000,3377,59.0
141,CRS3035RES1000mN2027000E3170000,3638,66.0
142,CRS3035RES1000mN2027000E3170000,3654,89.0
143,CRS3035RES1000mN2027000E3170000,3655,60.0
144,CRS3035RES1000mN2027000E3170000,3657,81.0
145,CRS3035RES1000mN2027000E3170000,3658,67.0
146,CRS3035RES1000mN2027000E3170000,3664,85.0
147,CRS3035RES1000mN2027000E3170000,3674,62.0
148,CRS3035RES1000mN2027000E3170000,3677,79.0
149,CRS3035RES1000mN2027000E3170000,3676,62.0
150,CRS3035RES1000mN2027000E3170000,3678,70.0
151,CRS3035RES1000mN2027000E3170000,3404,67.0
152,CRS3035RES1000mN2027000E3170000,3407,60.0
153,CRS3035RES1000mN2027000E3170000,3408,59.0
154,CRS3035RES1000mN2027000E3170000,3409,84.0
155,CRS3035RES1000mN2027000E3170000,3412,59.0
156,CRS3035RES1000mN2027000E3170000,3416,85.0
157,CRS3035RES1000mN2027000E3170000,3415,72.0
158,CRS3035RES1000mN2027000E3170000,3421,70.0
159,CRS3035RES1000mN2027000E3170000,59892,84.0
160,CRS3035RES1000mN2027000E3170000,3423,61.0
161,CRS3035RES1000mN2027000E3170000,3424,57.0
162,CRS3035RES1000mN2027000E3170000,3425,90.0
163,CRS3035RES1000mN2027000E3170000,3435,86.0
164,CRS3035RES1000mN2027000E3170000,3436,73.0
165,CRS3035RES1000mN2027000E3170000,3441,84.0
166,CRS3035RES1000mN2027000E3170000,8096441,85.0
167,CRS3035RES1000mN2027000E3170000,3442,58.0
168,CRS3035RES1000mN2027000E3170000,3445,47.0
169,CRS3035RES1000mN2027000E3170000,3446,56.0
170,CRS3035RES1000mN2027000E3170000,3448,68.0
171,CRS3035RES1000mN2027000E3170000,3452,83.0
172,CRS3035RES1000mN2027000E3170000,3464,82.0
173,CRS3035RES1000mN2027000E3170000,3484,56.0
174,CRS3035RES1000mN2027000E3170000,3391,63.0
175,CRS3035RES1000mN2027000E3170000,3489,59.0
176,CRS3035RES1000mN2027000E3170000,3495,74.0
177,CRS3035RES1000mN2027000E3170000,3497,84.0
178,CRS3035RES1000mN2027000E3170000,3498,58.0
179,CRS3035RES1000mN2027000E3170000,3506,57.0
180,CRS3035RES1000mN2027000E3170000,3510,55.0
181,CRS3035RES1000mN2027000E3170000,3512,74.0
182,CRS3035RES1000mN2027000E3170000,3516,89.0
183,CRS3035RES1000mN2027000E3170000,3517,80.0
184,CRS3035RES1000mN2027000E3170000,3374,62.0
185,CRS3035RES1000mN2027000E3170000,3518,69.0
186,CRS3035RES1000mN2027000E3170000,3522,62.0
187,CRS3035RES1000mN2027000E3170000,3523,66.0
188,CRS3035RES1000mN2027000E3170000,3525,59.0
189,CRS3035RES1000mN2027000E3170000,3526,72.0
190,CRS3035RES1000mN2027000E3170000,3524,77.0
191,CRS3035RES1000mN2027000E3170000,3529,78.0
192,CRS3035RES1000mN2027000E3170000,3530,77.0
193,CRS3035RES1000mN2027000E3170000,3531,88.0
194,CRS3035RES1000mN2027000E3170000,3533,88.0
195,CRS3035RES1000mN2027000E3170000,3534,71.0
196,CRS3035RES1000mN2027000E3170000,3352,68.0
197,CRS3035RES1000mN2027000E3170000,59899,47.0
198,CRS3035RES1000mN2027000E3170000,3539,77.0
199,CRS3035RES1000mN2027000E3170000,189083,90.0
200,CRS3035RES1000mN2027000E3170000,3541,76.0
201,CRS3035RES1000mN2027000E3170000,3542,69.0
202,CRS3035RES1000mN2027000E3170000,3548,59.0
203,CRS3035RES1000mN2027000E3170000,3549,80.0
204,CRS3035RES1000mN2027000E3170000,3550,91.0
205,CRS3035RES1000mN2027000E3170000,3552,75.0
206,CRS3035RES1000mN2027000E3170000,3553,56.0
207,CRS3035RES1000mN2027000E3170000,3554,68.0
208,CRS3035RES1000mN2027000E3170000,3559,45.0
209,CRS3035RES1000mN2027000E3170000,3560,70.0
210,CRS3035RES1000mN2027000E3170000,3370,64.0
211,CRS3035RES1000mN2027000E3170000,3561,55.0
212,CRS3035RES1000mN2027000E3170000,4914933,92.0
213,CRS3035RES1000mN2027000E3170000,3656,33.0
214,CRS3035RES1000mN2027000E3170000,3562,82.0
215,CRS3035RES1000mN2027000E3170000,3564,68.0
216,CRS3035RES1000mN2027000E3170000,107401,88.0
217,CRS3035RES1000mN2027000E3170000,3565,80.0
218,CRS3035RES1000mN2027000E3170000,3393,67.0
219,CRS3035RES1000mN2027000E3170000,3563,82.0
220,CRS3035RES1000mN2027000E3170000,3566,54.0
221,CRS3035RES1000mN2027000E3170000,3401,64.0
222,CRS3035RES1000mN2027000E3170000,18324,85.0
223,CRS3035RES1000mN2027000E3170000,3569,67.0
224,CRS3035RES1000mN2027000E3170000,3567,57.0
225,CRS3035RES1000mN2027000E3170000,3574,91.0
226,CRS3035RES1000mN2027000E3170000,3575,71.0
227,CRS3035RES1000mN2027000E3170000,3576,82.0
228,CRS3035RES1000mN2027000E3170000,3384,70.0
