,from_id,to_id,travel_time
0,CRS3035RES1000mN2039000E3147000,3557,46.0
1,CRS3035RES1000mN2039000E3147000,3394,44.0
2,CRS3035RES1000mN2039000E3147000,3371,42.0
3,CRS3035RES1000mN2039000E3147000,18319,43.0
4,CRS3035RES1000mN2039000E3147000,11242837,43.0
5,CRS3035RES1000mN2039000E3147000,60210,51.0
6,CRS3035RES1000mN2039000E3147000,3361,37.0
7,CRS3035RES1000mN2039000E3147000,3355,36.0
8,CRS3035RES1000mN2039000E3147000,3354,35.0
9,CRS3035RES1000mN2039000E3147000,3687,29.0
10,CRS3035RES1000mN2039000E3147000,6079820,47.0
11,CRS3035RES1000mN2039000E3147000,3357,38.0
12,CRS3035RES1000mN2039000E3147000,3356,39.0
13,CRS3035RES1000mN2039000E3147000,3734,59.0
14,CRS3035RES1000mN2039000E3147000,3480,27.0
15,CRS3035RES1000mN2039000E3147000,18320,45.0
16,CRS3035RES1000mN2039000E3147000,3573,38.0
17,CRS3035RES1000mN2039000E3147000,3743,40.0
18,CRS3035RES1000mN2039000E3147000,3514,58.0
19,CRS3035RES1000mN2039000E3147000,3729,34.0
20,CRS3035RES1000mN2039000E3147000,3736,40.0
21,CRS3035RES1000mN2039000E3147000,190377,45.0
22,CRS3035RES1000mN2039000E3147000,3577,50.0
23,CRS3035RES1000mN2039000E3147000,60211,35.0
24,CRS3035RES1000mN2039000E3147000,3365,38.0
25,CRS3035RES1000mN2039000E3147000,60228,41.0
26,CRS3035RES1000mN2039000E3147000,3346,43.0
27,CRS3035RES1000mN2039000E3147000,3732,41.0
28,CRS3035RES1000mN2039000E3147000,3368,48.0
29,CRS3035RES1000mN2039000E3147000,3348,36.0
30,CRS3035RES1000mN2039000E3147000,18314,41.0
31,CRS3035RES1000mN2039000E3147000,3364,36.0
32,CRS3035RES1000mN2039000E3147000,3363,42.0
33,CRS3035RES1000mN2039000E3147000,8182988,50.0
34,CRS3035RES1000mN2039000E3147000,3737,42.0
35,CRS3035RES1000mN2039000E3147000,60230,51.0
36,CRS3035RES1000mN2039000E3147000,3428,48.0
37,CRS3035RES1000mN2039000E3147000,3429,54.0
38,CRS3035RES1000mN2039000E3147000,3437,39.0
39,CRS3035RES1000mN2039000E3147000,3591,56.0
40,CRS3035RES1000mN2039000E3147000,45867,58.0
41,CRS3035RES1000mN2039000E3147000,60184,61.0
42,CRS3035RES1000mN2039000E3147000,3465,37.0
43,CRS3035RES1000mN2039000E3147000,3478,54.0
44,CRS3035RES1000mN2039000E3147000,3479,40.0
45,CRS3035RES1000mN2039000E3147000,3481,58.0
46,CRS3035RES1000mN2039000E3147000,189085,64.0
47,CRS3035RES1000mN2039000E3147000,3483,62.0
48,CRS3035RES1000mN2039000E3147000,3485,41.0
49,CRS3035RES1000mN2039000E3147000,60216,59.0
50,CRS3035RES1000mN2039000E3147000,3430,27.0
51,CRS3035RES1000mN2039000E3147000,3494,61.0
52,CRS3035RES1000mN2039000E3147000,189087,61.0
53,CRS3035RES1000mN2039000E3147000,3680,44.0
54,CRS3035RES1000mN2039000E3147000,3499,59.0
55,CRS3035RES1000mN2039000E3147000,3502,57.0
56,CRS3035RES1000mN2039000E3147000,3504,49.0
57,CRS3035RES1000mN2039000E3147000,3505,46.0
58,CRS3035RES1000mN2039000E3147000,3540,43.0
59,CRS3035RES1000mN2039000E3147000,3544,44.0
60,CRS3035RES1000mN2039000E3147000,3545,32.0
61,CRS3035RES1000mN2039000E3147000,3558,64.0
62,CRS3035RES1000mN2039000E3147000,3555,58.0
63,CRS3035RES1000mN2039000E3147000,3556,60.0
64,CRS3035RES1000mN2039000E3147000,3462,48.0
65,CRS3035RES1000mN2039000E3147000,3490,43.0
66,CRS3035RES1000mN2039000E3147000,3584,68.0
67,CRS3035RES1000mN2039000E3147000,3593,51.0
68,CRS3035RES1000mN2039000E3147000,3603,47.0
69,CRS3035RES1000mN2039000E3147000,3604,61.0
70,CRS3035RES1000mN2039000E3147000,3609,61.0
71,CRS3035RES1000mN2039000E3147000,59882,57.0
