,from_id,to_id,travel_time
0,CRS3035RES1000mN2035000E3146000,3557,77.0
1,CRS3035RES1000mN2035000E3146000,3394,76.0
2,CRS3035RES1000mN2035000E3146000,3371,74.0
3,CRS3035RES1000mN2035000E3146000,18319,74.0
4,CRS3035RES1000mN2035000E3146000,11242837,76.0
5,CRS3035RES1000mN2035000E3146000,60210,83.0
6,CRS3035RES1000mN2035000E3146000,3361,70.0
7,CRS3035RES1000mN2035000E3146000,3355,68.0
8,CRS3035RES1000mN2035000E3146000,3354,67.0
9,CRS3035RES1000mN2035000E3146000,3687,61.0
10,CRS3035RES1000mN2035000E3146000,6079820,79.0
11,CRS3035RES1000mN2035000E3146000,3357,70.0
12,CRS3035RES1000mN2035000E3146000,3356,71.0
13,CRS3035RES1000mN2035000E3146000,3734,92.0
14,CRS3035RES1000mN2035000E3146000,3480,58.0
15,CRS3035RES1000mN2035000E3146000,18320,76.0
16,CRS3035RES1000mN2035000E3146000,3573,70.0
17,CRS3035RES1000mN2035000E3146000,3743,72.0
18,CRS3035RES1000mN2035000E3146000,3514,89.0
19,CRS3035RES1000mN2035000E3146000,3729,66.0
20,CRS3035RES1000mN2035000E3146000,3736,72.0
21,CRS3035RES1000mN2035000E3146000,190377,76.0
22,CRS3035RES1000mN2035000E3146000,3577,81.0
23,CRS3035RES1000mN2035000E3146000,60211,66.0
24,CRS3035RES1000mN2035000E3146000,3365,70.0
25,CRS3035RES1000mN2035000E3146000,60228,72.0
26,CRS3035RES1000mN2035000E3146000,3346,75.0
27,CRS3035RES1000mN2035000E3146000,3732,73.0
28,CRS3035RES1000mN2035000E3146000,3368,79.0
29,CRS3035RES1000mN2035000E3146000,3348,67.0
30,CRS3035RES1000mN2035000E3146000,18314,72.0
31,CRS3035RES1000mN2035000E3146000,3364,68.0
32,CRS3035RES1000mN2035000E3146000,3363,73.0
33,CRS3035RES1000mN2035000E3146000,8182988,83.0
34,CRS3035RES1000mN2035000E3146000,3737,73.0
35,CRS3035RES1000mN2035000E3146000,60230,82.0
36,CRS3035RES1000mN2035000E3146000,3428,80.0
37,CRS3035RES1000mN2035000E3146000,3429,85.0
38,CRS3035RES1000mN2035000E3146000,3437,72.0
39,CRS3035RES1000mN2035000E3146000,3591,85.0
40,CRS3035RES1000mN2035000E3146000,45867,92.0
41,CRS3035RES1000mN2035000E3146000,60184,91.0
42,CRS3035RES1000mN2035000E3146000,3465,69.0
43,CRS3035RES1000mN2035000E3146000,3478,86.0
44,CRS3035RES1000mN2035000E3146000,3479,73.0
45,CRS3035RES1000mN2035000E3146000,3481,90.0
46,CRS3035RES1000mN2035000E3146000,189085,96.0
47,CRS3035RES1000mN2035000E3146000,3483,93.0
48,CRS3035RES1000mN2035000E3146000,3485,73.0
49,CRS3035RES1000mN2035000E3146000,60216,91.0
50,CRS3035RES1000mN2035000E3146000,3430,59.0
51,CRS3035RES1000mN2035000E3146000,3494,92.0
52,CRS3035RES1000mN2035000E3146000,189087,89.0
53,CRS3035RES1000mN2035000E3146000,3680,75.0
54,CRS3035RES1000mN2035000E3146000,3499,90.0
55,CRS3035RES1000mN2035000E3146000,3502,87.0
56,CRS3035RES1000mN2035000E3146000,3504,81.0
57,CRS3035RES1000mN2035000E3146000,3505,78.0
58,CRS3035RES1000mN2035000E3146000,3540,75.0
59,CRS3035RES1000mN2035000E3146000,3544,78.0
60,CRS3035RES1000mN2035000E3146000,3545,63.0
61,CRS3035RES1000mN2035000E3146000,3558,95.0
