,from_id,to_id,travel_time
0,CRS3035RES1000mN2022000E3176000,3557,105.0
1,CRS3035RES1000mN2022000E3176000,3394,97.0
2,CRS3035RES1000mN2022000E3176000,3371,109.0
3,CRS3035RES1000mN2022000E3176000,18319,104.0
4,CRS3035RES1000mN2022000E3176000,11242837,112.0
5,CRS3035RES1000mN2022000E3176000,60210,97.0
6,CRS3035RES1000mN2022000E3176000,3361,109.0
7,CRS3035RES1000mN2022000E3176000,3355,99.0
8,CRS3035RES1000mN2022000E3176000,3354,104.0
9,CRS3035RES1000mN2022000E3176000,3687,100.0
10,CRS3035RES1000mN2022000E3176000,6079820,119.0
11,CRS3035RES1000mN2022000E3176000,3357,107.0
12,CRS3035RES1000mN2022000E3176000,3356,110.0
13,CRS3035RES1000mN2022000E3176000,3734,
14,CRS3035RES1000mN2022000E3176000,3480,106.0
15,CRS3035RES1000mN2022000E3176000,18320,103.0
16,CRS3035RES1000mN2022000E3176000,3573,99.0
17,CRS3035RES1000mN2022000E3176000,3743,102.0
18,CRS3035RES1000mN2022000E3176000,3514,98.0
19,CRS3035RES1000mN2022000E3176000,3729,102.0
20,CRS3035RES1000mN2022000E3176000,3736,98.0
21,CRS3035RES1000mN2022000E3176000,190377,95.0
22,CRS3035RES1000mN2022000E3176000,3577,115.0
23,CRS3035RES1000mN2022000E3176000,60211,101.0
24,CRS3035RES1000mN2022000E3176000,3365,103.0
25,CRS3035RES1000mN2022000E3176000,60228,98.0
26,CRS3035RES1000mN2022000E3176000,3346,110.0
27,CRS3035RES1000mN2022000E3176000,3732,101.0
28,CRS3035RES1000mN2022000E3176000,3368,106.0
29,CRS3035RES1000mN2022000E3176000,3348,104.0
30,CRS3035RES1000mN2022000E3176000,18314,91.0
31,CRS3035RES1000mN2022000E3176000,3364,104.0
32,CRS3035RES1000mN2022000E3176000,3363,107.0
33,CRS3035RES1000mN2022000E3176000,8182988,102.0
34,CRS3035RES1000mN2022000E3176000,3737,99.0
35,CRS3035RES1000mN2022000E3176000,60230,95.0
36,CRS3035RES1000mN2022000E3176000,3428,116.0
