,from_id,to_id,travel_time
0,CRS3035RES1000mN2025000E3181000,3557,111.0
1,CRS3035RES1000mN2025000E3181000,3394,102.0
2,CRS3035RES1000mN2025000E3181000,3371,114.0
3,CRS3035RES1000mN2025000E3181000,18319,111.0
4,CRS3035RES1000mN2025000E3181000,11242837,118.0
5,CRS3035RES1000mN2025000E3181000,60210,107.0
6,CRS3035RES1000mN2025000E3181000,3361,115.0
7,CRS3035RES1000mN2025000E3181000,3355,104.0
8,CRS3035RES1000mN2025000E3181000,3354,110.0
9,CRS3035RES1000mN2025000E3181000,3687,106.0
10,CRS3035RES1000mN2025000E3181000,6079820,
11,CRS3035RES1000mN2025000E3181000,3357,113.0
12,CRS3035RES1000mN2025000E3181000,3356,115.0
13,CRS3035RES1000mN2025000E3181000,3734,
14,CRS3035RES1000mN2025000E3181000,3480,111.0
15,CRS3035RES1000mN2025000E3181000,18320,113.0
16,CRS3035RES1000mN2025000E3181000,3573,105.0
17,CRS3035RES1000mN2025000E3181000,3743,107.0
18,CRS3035RES1000mN2025000E3181000,3514,116.0
19,CRS3035RES1000mN2025000E3181000,3729,107.0
20,CRS3035RES1000mN2025000E3181000,3736,102.0
21,CRS3035RES1000mN2025000E3181000,190377,102.0
22,CRS3035RES1000mN2025000E3181000,3577,
23,CRS3035RES1000mN2025000E3181000,60211,106.0
24,CRS3035RES1000mN2025000E3181000,3365,109.0
25,CRS3035RES1000mN2025000E3181000,60228,103.0
26,CRS3035RES1000mN2025000E3181000,3346,116.0
27,CRS3035RES1000mN2025000E3181000,3732,106.0
28,CRS3035RES1000mN2025000E3181000,3368,114.0
29,CRS3035RES1000mN2025000E3181000,3348,110.0
30,CRS3035RES1000mN2025000E3181000,18314,98.0
31,CRS3035RES1000mN2025000E3181000,3364,109.0
32,CRS3035RES1000mN2025000E3181000,3363,113.0
33,CRS3035RES1000mN2025000E3181000,8182988,109.0
34,CRS3035RES1000mN2025000E3181000,3737,104.0
35,CRS3035RES1000mN2025000E3181000,60230,104.0
36,CRS3035RES1000mN2025000E3181000,3428,
37,CRS3035RES1000mN2025000E3181000,3429,100.0
38,CRS3035RES1000mN2025000E3181000,3437,
39,CRS3035RES1000mN2025000E3181000,3591,115.0
40,CRS3035RES1000mN2025000E3181000,45867,
41,CRS3035RES1000mN2025000E3181000,60184,
42,CRS3035RES1000mN2025000E3181000,3465,98.0
43,CRS3035RES1000mN2025000E3181000,3478,
44,CRS3035RES1000mN2025000E3181000,3479,119.0
45,CRS3035RES1000mN2025000E3181000,3481,115.0
46,CRS3035RES1000mN2025000E3181000,189085,103.0
47,CRS3035RES1000mN2025000E3181000,3483,117.0
48,CRS3035RES1000mN2025000E3181000,3485,
49,CRS3035RES1000mN2025000E3181000,60216,110.0
50,CRS3035RES1000mN2025000E3181000,3430,
51,CRS3035RES1000mN2025000E3181000,3494,115.0
52,CRS3035RES1000mN2025000E3181000,189087,
53,CRS3035RES1000mN2025000E3181000,3680,113.0
54,CRS3035RES1000mN2025000E3181000,3499,106.0
55,CRS3035RES1000mN2025000E3181000,3502,
56,CRS3035RES1000mN2025000E3181000,3504,104.0
57,CRS3035RES1000mN2025000E3181000,3505,101.0
58,CRS3035RES1000mN2025000E3181000,3540,106.0
59,CRS3035RES1000mN2025000E3181000,3544,
60,CRS3035RES1000mN2025000E3181000,3545,113.0
61,CRS3035RES1000mN2025000E3181000,3558,115.0
62,CRS3035RES1000mN2025000E3181000,3555,106.0
