,from_id,to_id,travel_time
0,CRS3035RES1000mN2028000E3178000,3557,77.0
1,CRS3035RES1000mN2028000E3178000,3394,69.0
2,CRS3035RES1000mN2028000E3178000,3371,80.0
3,CRS3035RES1000mN2028000E3178000,18319,75.0
4,CRS3035RES1000mN2028000E3178000,11242837,84.0
5,CRS3035RES1000mN2028000E3178000,60210,73.0
6,CRS3035RES1000mN2028000E3178000,3361,81.0
7,CRS3035RES1000mN2028000E3178000,3355,71.0
8,CRS3035RES1000mN2028000E3178000,3354,76.0
9,CRS3035RES1000mN2028000E3178000,3687,72.0
10,CRS3035RES1000mN2028000E3178000,6079820,91.0
11,CRS3035RES1000mN2028000E3178000,3357,80.0
12,CRS3035RES1000mN2028000E3178000,3356,81.0
13,CRS3035RES1000mN2028000E3178000,3734,115.0
14,CRS3035RES1000mN2028000E3178000,3480,78.0
15,CRS3035RES1000mN2028000E3178000,18320,75.0
16,CRS3035RES1000mN2028000E3178000,3573,71.0
17,CRS3035RES1000mN2028000E3178000,3743,74.0
18,CRS3035RES1000mN2028000E3178000,3514,75.0
19,CRS3035RES1000mN2028000E3178000,3729,73.0
20,CRS3035RES1000mN2028000E3178000,3736,70.0
21,CRS3035RES1000mN2028000E3178000,190377,67.0
22,CRS3035RES1000mN2028000E3178000,3577,88.0
23,CRS3035RES1000mN2028000E3178000,60211,72.0
24,CRS3035RES1000mN2028000E3178000,3365,76.0
25,CRS3035RES1000mN2028000E3178000,60228,70.0
26,CRS3035RES1000mN2028000E3178000,3346,81.0
27,CRS3035RES1000mN2028000E3178000,3732,73.0
28,CRS3035RES1000mN2028000E3178000,3368,77.0
29,CRS3035RES1000mN2028000E3178000,3348,76.0
30,CRS3035RES1000mN2028000E3178000,18314,64.0
31,CRS3035RES1000mN2028000E3178000,3364,76.0
32,CRS3035RES1000mN2028000E3178000,3363,79.0
33,CRS3035RES1000mN2028000E3178000,8182988,75.0
34,CRS3035RES1000mN2028000E3178000,3737,71.0
35,CRS3035RES1000mN2028000E3178000,60230,70.0
36,CRS3035RES1000mN2028000E3178000,3428,88.0
37,CRS3035RES1000mN2028000E3178000,3429,65.0
38,CRS3035RES1000mN2028000E3178000,3437,91.0
39,CRS3035RES1000mN2028000E3178000,3591,80.0
40,CRS3035RES1000mN2028000E3178000,45867,85.0
41,CRS3035RES1000mN2028000E3178000,60184,99.0
42,CRS3035RES1000mN2028000E3178000,3465,64.0
43,CRS3035RES1000mN2028000E3178000,3478,85.0
44,CRS3035RES1000mN2028000E3178000,3479,86.0
45,CRS3035RES1000mN2028000E3178000,3481,81.0
46,CRS3035RES1000mN2028000E3178000,189085,65.0
47,CRS3035RES1000mN2028000E3178000,3483,80.0
48,CRS3035RES1000mN2028000E3178000,3485,86.0
49,CRS3035RES1000mN2028000E3178000,60216,74.0
50,CRS3035RES1000mN2028000E3178000,3430,102.0
51,CRS3035RES1000mN2028000E3178000,3494,75.0
52,CRS3035RES1000mN2028000E3178000,189087,88.0
53,CRS3035RES1000mN2028000E3178000,3680,73.0
54,CRS3035RES1000mN2028000E3178000,3499,67.0
55,CRS3035RES1000mN2028000E3178000,3502,94.0
56,CRS3035RES1000mN2028000E3178000,3504,65.0
57,CRS3035RES1000mN2028000E3178000,3505,67.0
58,CRS3035RES1000mN2028000E3178000,3540,72.0
59,CRS3035RES1000mN2028000E3178000,3544,101.0
60,CRS3035RES1000mN2028000E3178000,3545,79.0
61,CRS3035RES1000mN2028000E3178000,3558,79.0
62,CRS3035RES1000mN2028000E3178000,3555,67.0
63,CRS3035RES1000mN2028000E3178000,3556,98.0
64,CRS3035RES1000mN2028000E3178000,3462,81.0
65,CRS3035RES1000mN2028000E3178000,3490,68.0
66,CRS3035RES1000mN2028000E3178000,3584,85.0
67,CRS3035RES1000mN2028000E3178000,3593,75.0
68,CRS3035RES1000mN2028000E3178000,3603,74.0
69,CRS3035RES1000mN2028000E3178000,3604,77.0
70,CRS3035RES1000mN2028000E3178000,3609,61.0
71,CRS3035RES1000mN2028000E3178000,59882,66.0
72,CRS3035RES1000mN2028000E3178000,3632,73.0
73,CRS3035RES1000mN2028000E3178000,3586,68.0
74,CRS3035RES1000mN2028000E3178000,3403,91.0
75,CRS3035RES1000mN2028000E3178000,3410,82.0
76,CRS3035RES1000mN2028000E3178000,3427,77.0
77,CRS3035RES1000mN2028000E3178000,3439,86.0
78,CRS3035RES1000mN2028000E3178000,3440,74.0
79,CRS3035RES1000mN2028000E3178000,3470,62.0
80,CRS3035RES1000mN2028000E3178000,3511,83.0
81,CRS3035RES1000mN2028000E3178000,3536,66.0
82,CRS3035RES1000mN2028000E3178000,3434,72.0
83,CRS3035RES1000mN2028000E3178000,3466,60.0
84,CRS3035RES1000mN2028000E3178000,3467,72.0
85,CRS3035RES1000mN2028000E3178000,3507,69.0
86,CRS3035RES1000mN2028000E3178000,3527,82.0
87,CRS3035RES1000mN2028000E3178000,3535,73.0
88,CRS3035RES1000mN2028000E3178000,3537,80.0
89,CRS3035RES1000mN2028000E3178000,3583,69.0
90,CRS3035RES1000mN2028000E3178000,3636,71.0
