,from_id,to_id,travel_time
0,CRS3035RES1000mN2048000E3160000,3557,90.0
1,CRS3035RES1000mN2048000E3160000,3394,81.0
2,CRS3035RES1000mN2048000E3160000,3371,91.0
3,CRS3035RES1000mN2048000E3160000,18319,89.0
4,CRS3035RES1000mN2048000E3160000,11242837,95.0
5,CRS3035RES1000mN2048000E3160000,60210,91.0
6,CRS3035RES1000mN2048000E3160000,3361,90.0
7,CRS3035RES1000mN2048000E3160000,3355,86.0
8,CRS3035RES1000mN2048000E3160000,3354,84.0
9,CRS3035RES1000mN2048000E3160000,3687,80.0
10,CRS3035RES1000mN2048000E3160000,6079820,98.0
11,CRS3035RES1000mN2048000E3160000,3357,87.0
12,CRS3035RES1000mN2048000E3160000,3356,91.0
13,CRS3035RES1000mN2048000E3160000,3734,109.0
14,CRS3035RES1000mN2048000E3160000,3480,91.0
15,CRS3035RES1000mN2048000E3160000,18320,88.0
16,CRS3035RES1000mN2048000E3160000,3573,79.0
17,CRS3035RES1000mN2048000E3160000,3743,85.0
18,CRS3035RES1000mN2048000E3160000,3514,100.0
19,CRS3035RES1000mN2048000E3160000,3729,86.0
20,CRS3035RES1000mN2048000E3160000,3736,79.0
21,CRS3035RES1000mN2048000E3160000,190377,88.0
22,CRS3035RES1000mN2048000E3160000,3577,95.0
23,CRS3035RES1000mN2048000E3160000,60211,84.0
24,CRS3035RES1000mN2048000E3160000,3365,84.0
25,CRS3035RES1000mN2048000E3160000,60228,82.0
26,CRS3035RES1000mN2048000E3160000,3346,92.0
27,CRS3035RES1000mN2048000E3160000,3732,85.0
28,CRS3035RES1000mN2048000E3160000,3368,91.0
29,CRS3035RES1000mN2048000E3160000,3348,87.0
30,CRS3035RES1000mN2048000E3160000,18314,82.0
31,CRS3035RES1000mN2048000E3160000,3364,84.0
32,CRS3035RES1000mN2048000E3160000,3363,92.0
33,CRS3035RES1000mN2048000E3160000,8182988,66.0
34,CRS3035RES1000mN2048000E3160000,3737,84.0
35,CRS3035RES1000mN2048000E3160000,60230,89.0
36,CRS3035RES1000mN2048000E3160000,3428,102.0
37,CRS3035RES1000mN2048000E3160000,3429,81.0
38,CRS3035RES1000mN2048000E3160000,3437,80.0
39,CRS3035RES1000mN2048000E3160000,3591,101.0
40,CRS3035RES1000mN2048000E3160000,45867,71.0
41,CRS3035RES1000mN2048000E3160000,60184,106.0
42,CRS3035RES1000mN2048000E3160000,3465,83.0
43,CRS3035RES1000mN2048000E3160000,3478,106.0
44,CRS3035RES1000mN2048000E3160000,3479,93.0
45,CRS3035RES1000mN2048000E3160000,3481,103.0
46,CRS3035RES1000mN2048000E3160000,189085,101.0
47,CRS3035RES1000mN2048000E3160000,3483,94.0
48,CRS3035RES1000mN2048000E3160000,3485,95.0
49,CRS3035RES1000mN2048000E3160000,60216,77.0
50,CRS3035RES1000mN2048000E3160000,3430,104.0
51,CRS3035RES1000mN2048000E3160000,3494,99.0
52,CRS3035RES1000mN2048000E3160000,189087,70.0
53,CRS3035RES1000mN2048000E3160000,3680,86.0
54,CRS3035RES1000mN2048000E3160000,3499,96.0
