,from_id,to_id,travel_time
0,CRS3035RES1000mN2021000E3136000,3557,114.0
1,CRS3035RES1000mN2021000E3136000,3394,118.0
2,CRS3035RES1000mN2021000E3136000,3371,113.0
3,CRS3035RES1000mN2021000E3136000,18319,116.0
4,CRS3035RES1000mN2021000E3136000,11242837,111.0
5,CRS3035RES1000mN2021000E3136000,60210,119.0
6,CRS3035RES1000mN2021000E3136000,3361,112.0
7,CRS3035RES1000mN2021000E3136000,3355,114.0
8,CRS3035RES1000mN2021000E3136000,3354,113.0
9,CRS3035RES1000mN2021000E3136000,3687,108.0
10,CRS3035RES1000mN2021000E3136000,6079820,109.0
11,CRS3035RES1000mN2021000E3136000,3357,110.0
12,CRS3035RES1000mN2021000E3136000,3356,113.0
13,CRS3035RES1000mN2021000E3136000,3734,
14,CRS3035RES1000mN2021000E3136000,3480,115.0
15,CRS3035RES1000mN2021000E3136000,18320,115.0
16,CRS3035RES1000mN2021000E3136000,3573,110.0
17,CRS3035RES1000mN2021000E3136000,3743,116.0
18,CRS3035RES1000mN2021000E3136000,3514,117.0
19,CRS3035RES1000mN2021000E3136000,3729,111.0
20,CRS3035RES1000mN2021000E3136000,3736,117.0
21,CRS3035RES1000mN2021000E3136000,190377,115.0
22,CRS3035RES1000mN2021000E3136000,3577,103.0
23,CRS3035RES1000mN2021000E3136000,60211,114.0
24,CRS3035RES1000mN2021000E3136000,3365,114.0
25,CRS3035RES1000mN2021000E3136000,60228,115.0
26,CRS3035RES1000mN2021000E3136000,3346,112.0
27,CRS3035RES1000mN2021000E3136000,3732,117.0
28,CRS3035RES1000mN2021000E3136000,3368,118.0
29,CRS3035RES1000mN2021000E3136000,3348,114.0
30,CRS3035RES1000mN2021000E3136000,18314,118.0
31,CRS3035RES1000mN2021000E3136000,3364,114.0
32,CRS3035RES1000mN2021000E3136000,3363,113.0
33,CRS3035RES1000mN2021000E3136000,8182988,
34,CRS3035RES1000mN2021000E3136000,3737,118.0
35,CRS3035RES1000mN2021000E3136000,60230,114.0
36,CRS3035RES1000mN2021000E3136000,3428,99.0
37,CRS3035RES1000mN2021000E3136000,3429,
38,CRS3035RES1000mN2021000E3136000,3437,
39,CRS3035RES1000mN2021000E3136000,3591,106.0
40,CRS3035RES1000mN2021000E3136000,45867,
41,CRS3035RES1000mN2021000E3136000,60184,91.0
42,CRS3035RES1000mN2021000E3136000,3465,117.0
43,CRS3035RES1000mN2021000E3136000,3478,102.0
44,CRS3035RES1000mN2021000E3136000,3479,99.0
45,CRS3035RES1000mN2021000E3136000,3481,102.0
46,CRS3035RES1000mN2021000E3136000,189085,
47,CRS3035RES1000mN2021000E3136000,3483,
48,CRS3035RES1000mN2021000E3136000,3485,93.0
49,CRS3035RES1000mN2021000E3136000,60216,
50,CRS3035RES1000mN2021000E3136000,3430,
51,CRS3035RES1000mN2021000E3136000,3494,
52,CRS3035RES1000mN2021000E3136000,189087,
53,CRS3035RES1000mN2021000E3136000,3680,113.0
54,CRS3035RES1000mN2021000E3136000,3499,
55,CRS3035RES1000mN2021000E3136000,3502,98.0
56,CRS3035RES1000mN2021000E3136000,3504,
57,CRS3035RES1000mN2021000E3136000,3505,
58,CRS3035RES1000mN2021000E3136000,3540,
59,CRS3035RES1000mN2021000E3136000,3544,
60,CRS3035RES1000mN2021000E3136000,3545,115.0
61,CRS3035RES1000mN2021000E3136000,3558,
62,CRS3035RES1000mN2021000E3136000,3555,
