,from_id,to_id,travel_time
0,CRS3035RES1000mN2028000E3189000,28027618,89.0
1,CRS3035RES1000mN2028000E3189000,28027591,86.0
2,CRS3035RES1000mN2028000E3189000,28027606,98.0
3,CRS3035RES1000mN2028000E3189000,28027898,49.0
4,CRS3035RES1000mN2028000E3189000,28041810,116.0
5,CRS3035RES1000mN2028000E3189000,AM_1,
6,CRS3035RES1000mN2028000E3189000,AM_2,91.0
7,CRS3035RES1000mN2028000E3189000,AM_3,
8,CRS3035RES1000mN2028000E3189000,AM_5,86.0
9,CRS3035RES1000mN2028000E3189000,AM_8,
10,CRS3035RES1000mN2028000E3189000,AM_9,
11,CRS3035RES1000mN2028000E3189000,AM_10,81.0
12,CRS3035RES1000mN2028000E3189000,AM_11,83.0
13,CRS3035RES1000mN2028000E3189000,AM_12,100.0
14,CRS3035RES1000mN2028000E3189000,AM_13,98.0
15,CRS3035RES1000mN2028000E3189000,AM_14,87.0
16,CRS3035RES1000mN2028000E3189000,AM_15,98.0
17,CRS3035RES1000mN2028000E3189000,AM_16,95.0
18,CRS3035RES1000mN2028000E3189000,AM_17,118.0
19,CRS3035RES1000mN2028000E3189000,AM_19,82.0
20,CRS3035RES1000mN2028000E3189000,AM_20,84.0
21,CRS3035RES1000mN2028000E3189000,AM_21,90.0
22,CRS3035RES1000mN2028000E3189000,AM_22,88.0
23,CRS3035RES1000mN2028000E3189000,AM_23,75.0
24,CRS3035RES1000mN2028000E3189000,AM_24,
25,CRS3035RES1000mN2028000E3189000,AM_25,92.0
26,CRS3035RES1000mN2028000E3189000,AM_27,
27,CRS3035RES1000mN2028000E3189000,AM_28,91.0
28,CRS3035RES1000mN2028000E3189000,AM_29,
29,CRS3035RES1000mN2028000E3189000,AM_30,
30,CRS3035RES1000mN2028000E3189000,AM_32,85.0
31,CRS3035RES1000mN2028000E3189000,AM_33,80.0
32,CRS3035RES1000mN2028000E3189000,AM_34,91.0
33,CRS3035RES1000mN2028000E3189000,AM_35,84.0
34,CRS3035RES1000mN2028000E3189000,AM_36,87.0
35,CRS3035RES1000mN2028000E3189000,AM_37,
36,CRS3035RES1000mN2028000E3189000,AM_38,
