,from_id,to_id,travel_time
0,CRS3035RES1000mN2038000E3169000,28027618,89.0
1,CRS3035RES1000mN2038000E3169000,28027591,86.0
2,CRS3035RES1000mN2038000E3169000,28027606,62.0
3,CRS3035RES1000mN2038000E3169000,28027898,92.0
4,CRS3035RES1000mN2038000E3169000,28041810,118.0
5,CRS3035RES1000mN2038000E3169000,AM_1,
6,CRS3035RES1000mN2038000E3169000,AM_2,91.0
7,CRS3035RES1000mN2038000E3169000,AM_3,
8,CRS3035RES1000mN2038000E3169000,AM_5,89.0
9,CRS3035RES1000mN2038000E3169000,AM_8,
10,CRS3035RES1000mN2038000E3169000,AM_9,
11,CRS3035RES1000mN2038000E3169000,AM_10,79.0
12,CRS3035RES1000mN2038000E3169000,AM_11,89.0
13,CRS3035RES1000mN2038000E3169000,AM_12,84.0
14,CRS3035RES1000mN2038000E3169000,AM_13,62.0
15,CRS3035RES1000mN2038000E3169000,AM_14,90.0
16,CRS3035RES1000mN2038000E3169000,AM_15,108.0
17,CRS3035RES1000mN2038000E3169000,AM_16,99.0
18,CRS3035RES1000mN2038000E3169000,AM_17,
19,CRS3035RES1000mN2038000E3169000,AM_19,91.0
20,CRS3035RES1000mN2038000E3169000,AM_20,100.0
21,CRS3035RES1000mN2038000E3169000,AM_21,92.0
22,CRS3035RES1000mN2038000E3169000,AM_22,101.0
23,CRS3035RES1000mN2038000E3169000,AM_23,84.0
24,CRS3035RES1000mN2038000E3169000,AM_24,
25,CRS3035RES1000mN2038000E3169000,AM_25,93.0
26,CRS3035RES1000mN2038000E3169000,AM_27,
27,CRS3035RES1000mN2038000E3169000,AM_28,95.0
28,CRS3035RES1000mN2038000E3169000,AM_29,
29,CRS3035RES1000mN2038000E3169000,AM_30,
30,CRS3035RES1000mN2038000E3169000,AM_32,81.0
31,CRS3035RES1000mN2038000E3169000,AM_33,83.0
32,CRS3035RES1000mN2038000E3169000,AM_34,55.0
33,CRS3035RES1000mN2038000E3169000,AM_35,81.0
34,CRS3035RES1000mN2038000E3169000,AM_36,90.0
35,CRS3035RES1000mN2038000E3169000,AM_37,118.0
36,CRS3035RES1000mN2038000E3169000,AM_38,119.0
37,CRS3035RES1000mN2038000E3170000,28027618,90.0
38,CRS3035RES1000mN2038000E3170000,28027591,87.0
39,CRS3035RES1000mN2038000E3170000,28027606,62.0
40,CRS3035RES1000mN2038000E3170000,28027898,92.0
41,CRS3035RES1000mN2038000E3170000,28041810,118.0
42,CRS3035RES1000mN2038000E3170000,AM_1,
43,CRS3035RES1000mN2038000E3170000,AM_2,92.0
44,CRS3035RES1000mN2038000E3170000,AM_3,
45,CRS3035RES1000mN2038000E3170000,AM_5,90.0
46,CRS3035RES1000mN2038000E3170000,AM_8,
47,CRS3035RES1000mN2038000E3170000,AM_9,
48,CRS3035RES1000mN2038000E3170000,AM_10,81.0
49,CRS3035RES1000mN2038000E3170000,AM_11,90.0
50,CRS3035RES1000mN2038000E3170000,AM_12,84.0
51,CRS3035RES1000mN2038000E3170000,AM_13,62.0
52,CRS3035RES1000mN2038000E3170000,AM_14,90.0
53,CRS3035RES1000mN2038000E3170000,AM_15,109.0
54,CRS3035RES1000mN2038000E3170000,AM_16,100.0
55,CRS3035RES1000mN2038000E3170000,AM_17,
56,CRS3035RES1000mN2038000E3170000,AM_19,91.0
57,CRS3035RES1000mN2038000E3170000,AM_20,102.0
58,CRS3035RES1000mN2038000E3170000,AM_21,93.0
59,CRS3035RES1000mN2038000E3170000,AM_22,102.0
60,CRS3035RES1000mN2038000E3170000,AM_23,85.0
61,CRS3035RES1000mN2038000E3170000,AM_24,
62,CRS3035RES1000mN2038000E3170000,AM_25,94.0
63,CRS3035RES1000mN2038000E3170000,AM_27,
64,CRS3035RES1000mN2038000E3170000,AM_28,95.0
65,CRS3035RES1000mN2038000E3170000,AM_29,
66,CRS3035RES1000mN2038000E3170000,AM_30,
67,CRS3035RES1000mN2038000E3170000,AM_32,82.0
68,CRS3035RES1000mN2038000E3170000,AM_33,84.0
69,CRS3035RES1000mN2038000E3170000,AM_34,55.0
70,CRS3035RES1000mN2038000E3170000,AM_35,81.0
