,from_id,to_id,travel_time
0,CRS3035RES1000mN2022000E3146000,28027618,82.0
1,CRS3035RES1000mN2022000E3146000,28027591,84.0
2,CRS3035RES1000mN2022000E3146000,28027606,105.0
3,CRS3035RES1000mN2022000E3146000,28027898,107.0
4,CRS3035RES1000mN2022000E3146000,28041810,76.0
5,CRS3035RES1000mN2022000E3146000,AM_1,48.0
6,CRS3035RES1000mN2022000E3146000,AM_2,90.0
7,CRS3035RES1000mN2022000E3146000,AM_3,85.0
8,CRS3035RES1000mN2022000E3146000,AM_5,75.0
9,CRS3035RES1000mN2022000E3146000,AM_8,88.0
10,CRS3035RES1000mN2022000E3146000,AM_9,104.0
11,CRS3035RES1000mN2022000E3146000,AM_10,89.0
12,CRS3035RES1000mN2022000E3146000,AM_11,79.0
13,CRS3035RES1000mN2022000E3146000,AM_12,99.0
14,CRS3035RES1000mN2022000E3146000,AM_13,112.0
15,CRS3035RES1000mN2022000E3146000,AM_14,85.0
16,CRS3035RES1000mN2022000E3146000,AM_15,107.0
17,CRS3035RES1000mN2022000E3146000,AM_16,72.0
18,CRS3035RES1000mN2022000E3146000,AM_17,62.0
19,CRS3035RES1000mN2022000E3146000,AM_19,92.0
20,CRS3035RES1000mN2022000E3146000,AM_20,99.0
21,CRS3035RES1000mN2022000E3146000,AM_21,79.0
22,CRS3035RES1000mN2022000E3146000,AM_22,102.0
23,CRS3035RES1000mN2022000E3146000,AM_23,85.0
24,CRS3035RES1000mN2022000E3146000,AM_24,69.0
25,CRS3035RES1000mN2022000E3146000,AM_25,77.0
26,CRS3035RES1000mN2022000E3146000,AM_27,49.0
27,CRS3035RES1000mN2022000E3146000,AM_28,94.0
28,CRS3035RES1000mN2022000E3146000,AM_29,80.0
29,CRS3035RES1000mN2022000E3146000,AM_30,57.0
30,CRS3035RES1000mN2022000E3146000,AM_32,81.0
31,CRS3035RES1000mN2022000E3146000,AM_33,73.0
32,CRS3035RES1000mN2022000E3146000,AM_34,103.0
33,CRS3035RES1000mN2022000E3146000,AM_35,88.0
34,CRS3035RES1000mN2022000E3146000,AM_36,77.0
35,CRS3035RES1000mN2022000E3146000,AM_37,78.0
36,CRS3035RES1000mN2022000E3146000,AM_38,79.0
37,CRS3035RES1000mN2022000E3147000,28027618,78.0
38,CRS3035RES1000mN2022000E3147000,28027591,80.0
39,CRS3035RES1000mN2022000E3147000,28027606,100.0
40,CRS3035RES1000mN2022000E3147000,28027898,103.0
41,CRS3035RES1000mN2022000E3147000,28041810,72.0
42,CRS3035RES1000mN2022000E3147000,AM_1,43.0
43,CRS3035RES1000mN2022000E3147000,AM_2,85.0
44,CRS3035RES1000mN2022000E3147000,AM_3,79.0
45,CRS3035RES1000mN2022000E3147000,AM_5,71.0
46,CRS3035RES1000mN2022000E3147000,AM_8,88.0
47,CRS3035RES1000mN2022000E3147000,AM_9,98.0
48,CRS3035RES1000mN2022000E3147000,AM_10,85.0
49,CRS3035RES1000mN2022000E3147000,AM_11,74.0
50,CRS3035RES1000mN2022000E3147000,AM_12,95.0
51,CRS3035RES1000mN2022000E3147000,AM_13,108.0
52,CRS3035RES1000mN2022000E3147000,AM_14,82.0
53,CRS3035RES1000mN2022000E3147000,AM_15,104.0
54,CRS3035RES1000mN2022000E3147000,AM_16,70.0
55,CRS3035RES1000mN2022000E3147000,AM_17,57.0
56,CRS3035RES1000mN2022000E3147000,AM_19,88.0
57,CRS3035RES1000mN2022000E3147000,AM_20,96.0
58,CRS3035RES1000mN2022000E3147000,AM_21,75.0
59,CRS3035RES1000mN2022000E3147000,AM_22,99.0
60,CRS3035RES1000mN2022000E3147000,AM_23,81.0
61,CRS3035RES1000mN2022000E3147000,AM_24,64.0
62,CRS3035RES1000mN2022000E3147000,AM_25,74.0
63,CRS3035RES1000mN2022000E3147000,AM_27,49.0
64,CRS3035RES1000mN2022000E3147000,AM_28,89.0
65,CRS3035RES1000mN2022000E3147000,AM_29,76.0
66,CRS3035RES1000mN2022000E3147000,AM_30,52.0
67,CRS3035RES1000mN2022000E3147000,AM_32,77.0
68,CRS3035RES1000mN2022000E3147000,AM_33,68.0
69,CRS3035RES1000mN2022000E3147000,AM_34,99.0
70,CRS3035RES1000mN2022000E3147000,AM_35,83.0
71,CRS3035RES1000mN2022000E3147000,AM_36,72.0
72,CRS3035RES1000mN2022000E3147000,AM_37,74.0
73,CRS3035RES1000mN2022000E3147000,AM_38,75.0
74,CRS3035RES1000mN2022000E3148000,28027618,76.0
75,CRS3035RES1000mN2022000E3148000,28027591,78.0
76,CRS3035RES1000mN2022000E3148000,28027606,101.0
77,CRS3035RES1000mN2022000E3148000,28027898,103.0
78,CRS3035RES1000mN2022000E3148000,28041810,64.0
79,CRS3035RES1000mN2022000E3148000,AM_1,45.0
80,CRS3035RES1000mN2022000E3148000,AM_2,84.0
81,CRS3035RES1000mN2022000E3148000,AM_3,79.0
82,CRS3035RES1000mN2022000E3148000,AM_5,69.0
83,CRS3035RES1000mN2022000E3148000,AM_8,93.0
84,CRS3035RES1000mN2022000E3148000,AM_9,101.0
85,CRS3035RES1000mN2022000E3148000,AM_10,83.0
86,CRS3035RES1000mN2022000E3148000,AM_11,73.0
87,CRS3035RES1000mN2022000E3148000,AM_12,95.0
88,CRS3035RES1000mN2022000E3148000,AM_13,111.0
89,CRS3035RES1000mN2022000E3148000,AM_14,79.0
90,CRS3035RES1000mN2022000E3148000,AM_15,104.0
91,CRS3035RES1000mN2022000E3148000,AM_16,73.0
92,CRS3035RES1000mN2022000E3148000,AM_17,54.0
93,CRS3035RES1000mN2022000E3148000,AM_19,85.0
94,CRS3035RES1000mN2022000E3148000,AM_20,98.0
95,CRS3035RES1000mN2022000E3148000,AM_21,72.0
96,CRS3035RES1000mN2022000E3148000,AM_22,101.0
97,CRS3035RES1000mN2022000E3148000,AM_23,79.0
98,CRS3035RES1000mN2022000E3148000,AM_24,67.0
99,CRS3035RES1000mN2022000E3148000,AM_25,71.0
100,CRS3035RES1000mN2022000E3148000,AM_27,53.0
101,CRS3035RES1000mN2022000E3148000,AM_28,88.0
102,CRS3035RES1000mN2022000E3148000,AM_29,77.0
103,CRS3035RES1000mN2022000E3148000,AM_30,48.0
104,CRS3035RES1000mN2022000E3148000,AM_32,74.0
105,CRS3035RES1000mN2022000E3148000,AM_33,66.0
106,CRS3035RES1000mN2022000E3148000,AM_34,103.0
107,CRS3035RES1000mN2022000E3148000,AM_35,81.0
108,CRS3035RES1000mN2022000E3148000,AM_36,70.0
109,CRS3035RES1000mN2022000E3148000,AM_37,75.0
110,CRS3035RES1000mN2022000E3148000,AM_38,73.0
111,CRS3035RES1000mN2023000E3145000,28027618,70.0
112,CRS3035RES1000mN2023000E3145000,28027591,72.0
113,CRS3035RES1000mN2023000E3145000,28027606,98.0
114,CRS3035RES1000mN2023000E3145000,28027898,98.0
115,CRS3035RES1000mN2023000E3145000,28041810,67.0
116,CRS3035RES1000mN2023000E3145000,AM_1,31.0
117,CRS3035RES1000mN2023000E3145000,AM_2,77.0
118,CRS3035RES1000mN2023000E3145000,AM_3,79.0
119,CRS3035RES1000mN2023000E3145000,AM_5,63.0
120,CRS3035RES1000mN2023000E3145000,AM_8,89.0
121,CRS3035RES1000mN2023000E3145000,AM_9,98.0
122,CRS3035RES1000mN2023000E3145000,AM_10,81.0
123,CRS3035RES1000mN2023000E3145000,AM_11,71.0
124,CRS3035RES1000mN2023000E3145000,AM_12,93.0
125,CRS3035RES1000mN2023000E3145000,AM_13,108.0
126,CRS3035RES1000mN2023000E3145000,AM_14,74.0
127,CRS3035RES1000mN2023000E3145000,AM_15,95.0
128,CRS3035RES1000mN2023000E3145000,AM_16,59.0
129,CRS3035RES1000mN2023000E3145000,AM_17,58.0
130,CRS3035RES1000mN2023000E3145000,AM_19,83.0
131,CRS3035RES1000mN2023000E3145000,AM_20,88.0
132,CRS3035RES1000mN2023000E3145000,AM_21,66.0
133,CRS3035RES1000mN2023000E3145000,AM_22,91.0
134,CRS3035RES1000mN2023000E3145000,AM_23,74.0
135,CRS3035RES1000mN2023000E3145000,AM_24,53.0
136,CRS3035RES1000mN2023000E3145000,AM_25,68.0
137,CRS3035RES1000mN2023000E3145000,AM_27,45.0
138,CRS3035RES1000mN2023000E3145000,AM_28,83.0
139,CRS3035RES1000mN2023000E3145000,AM_29,77.0
140,CRS3035RES1000mN2023000E3145000,AM_30,51.0
141,CRS3035RES1000mN2023000E3145000,AM_32,72.0
142,CRS3035RES1000mN2023000E3145000,AM_33,64.0
143,CRS3035RES1000mN2023000E3145000,AM_34,102.0
144,CRS3035RES1000mN2023000E3145000,AM_35,79.0
145,CRS3035RES1000mN2023000E3145000,AM_36,64.0
146,CRS3035RES1000mN2023000E3145000,AM_37,74.0
147,CRS3035RES1000mN2023000E3145000,AM_38,71.0
148,CRS3035RES1000mN2023000E3146000,28027618,64.0
149,CRS3035RES1000mN2023000E3146000,28027591,66.0
150,CRS3035RES1000mN2023000E3146000,28027606,88.0
151,CRS3035RES1000mN2023000E3146000,28027898,92.0
152,CRS3035RES1000mN2023000E3146000,28041810,65.0
153,CRS3035RES1000mN2023000E3146000,AM_1,33.0
154,CRS3035RES1000mN2023000E3146000,AM_2,71.0
155,CRS3035RES1000mN2023000E3146000,AM_3,74.0
156,CRS3035RES1000mN2023000E3146000,AM_5,57.0
157,CRS3035RES1000mN2023000E3146000,AM_8,72.0
158,CRS3035RES1000mN2023000E3146000,AM_9,93.0
159,CRS3035RES1000mN2023000E3146000,AM_10,75.0
160,CRS3035RES1000mN2023000E3146000,AM_11,64.0
161,CRS3035RES1000mN2023000E3146000,AM_12,83.0
162,CRS3035RES1000mN2023000E3146000,AM_13,92.0
163,CRS3035RES1000mN2023000E3146000,AM_14,68.0
164,CRS3035RES1000mN2023000E3146000,AM_15,87.0
165,CRS3035RES1000mN2023000E3146000,AM_16,53.0
166,CRS3035RES1000mN2023000E3146000,AM_17,57.0
167,CRS3035RES1000mN2023000E3146000,AM_19,76.0
168,CRS3035RES1000mN2023000E3146000,AM_20,80.0
169,CRS3035RES1000mN2023000E3146000,AM_21,60.0
170,CRS3035RES1000mN2023000E3146000,AM_22,84.0
171,CRS3035RES1000mN2023000E3146000,AM_23,67.0
172,CRS3035RES1000mN2023000E3146000,AM_24,51.0
173,CRS3035RES1000mN2023000E3146000,AM_25,62.0
174,CRS3035RES1000mN2023000E3146000,AM_27,41.0
175,CRS3035RES1000mN2023000E3146000,AM_28,76.0
176,CRS3035RES1000mN2023000E3146000,AM_29,76.0
177,CRS3035RES1000mN2023000E3146000,AM_30,52.0
178,CRS3035RES1000mN2023000E3146000,AM_32,66.0
179,CRS3035RES1000mN2023000E3146000,AM_33,58.0
180,CRS3035RES1000mN2023000E3146000,AM_34,98.0
181,CRS3035RES1000mN2023000E3146000,AM_35,73.0
182,CRS3035RES1000mN2023000E3146000,AM_36,58.0
183,CRS3035RES1000mN2023000E3146000,AM_37,64.0
184,CRS3035RES1000mN2023000E3146000,AM_38,65.0
185,CRS3035RES1000mN2023000E3147000,28027618,65.0
186,CRS3035RES1000mN2023000E3147000,28027591,67.0
187,CRS3035RES1000mN2023000E3147000,28027606,86.0
188,CRS3035RES1000mN2023000E3147000,28027898,89.0
189,CRS3035RES1000mN2023000E3147000,28041810,57.0
190,CRS3035RES1000mN2023000E3147000,AM_1,34.0
191,CRS3035RES1000mN2023000E3147000,AM_2,72.0
192,CRS3035RES1000mN2023000E3147000,AM_3,75.0
193,CRS3035RES1000mN2023000E3147000,AM_5,58.0
194,CRS3035RES1000mN2023000E3147000,AM_8,74.0
195,CRS3035RES1000mN2023000E3147000,AM_9,84.0
196,CRS3035RES1000mN2023000E3147000,AM_10,73.0
197,CRS3035RES1000mN2023000E3147000,AM_11,62.0
198,CRS3035RES1000mN2023000E3147000,AM_12,81.0
199,CRS3035RES1000mN2023000E3147000,AM_13,92.0
200,CRS3035RES1000mN2023000E3147000,AM_14,68.0
201,CRS3035RES1000mN2023000E3147000,AM_15,93.0
202,CRS3035RES1000mN2023000E3147000,AM_16,62.0
203,CRS3035RES1000mN2023000E3147000,AM_17,46.0
204,CRS3035RES1000mN2023000E3147000,AM_19,75.0
205,CRS3035RES1000mN2023000E3147000,AM_20,88.0
206,CRS3035RES1000mN2023000E3147000,AM_21,61.0
207,CRS3035RES1000mN2023000E3147000,AM_22,91.0
208,CRS3035RES1000mN2023000E3147000,AM_23,68.0
209,CRS3035RES1000mN2023000E3147000,AM_24,56.0
210,CRS3035RES1000mN2023000E3147000,AM_25,61.0
211,CRS3035RES1000mN2023000E3147000,AM_27,40.0
212,CRS3035RES1000mN2023000E3147000,AM_28,78.0
213,CRS3035RES1000mN2023000E3147000,AM_29,74.0
214,CRS3035RES1000mN2023000E3147000,AM_30,39.0
215,CRS3035RES1000mN2023000E3147000,AM_32,64.0
216,CRS3035RES1000mN2023000E3147000,AM_33,56.0
217,CRS3035RES1000mN2023000E3147000,AM_34,94.0
218,CRS3035RES1000mN2023000E3147000,AM_35,70.0
219,CRS3035RES1000mN2023000E3147000,AM_36,59.0
220,CRS3035RES1000mN2023000E3147000,AM_37,65.0
221,CRS3035RES1000mN2023000E3147000,AM_38,63.0
222,CRS3035RES1000mN2023000E3148000,28027618,59.0
223,CRS3035RES1000mN2023000E3148000,28027591,61.0
224,CRS3035RES1000mN2023000E3148000,28027606,81.0
225,CRS3035RES1000mN2023000E3148000,28027898,85.0
226,CRS3035RES1000mN2023000E3148000,28041810,48.0
227,CRS3035RES1000mN2023000E3148000,AM_1,28.0
228,CRS3035RES1000mN2023000E3148000,AM_2,66.0
229,CRS3035RES1000mN2023000E3148000,AM_3,65.0
230,CRS3035RES1000mN2023000E3148000,AM_5,52.0
231,CRS3035RES1000mN2023000E3148000,AM_8,73.0
232,CRS3035RES1000mN2023000E3148000,AM_9,80.0
233,CRS3035RES1000mN2023000E3148000,AM_10,66.0
234,CRS3035RES1000mN2023000E3148000,AM_11,56.0
235,CRS3035RES1000mN2023000E3148000,AM_12,76.0
236,CRS3035RES1000mN2023000E3148000,AM_13,88.0
237,CRS3035RES1000mN2023000E3148000,AM_14,62.0
238,CRS3035RES1000mN2023000E3148000,AM_15,88.0
239,CRS3035RES1000mN2023000E3148000,AM_16,56.0
240,CRS3035RES1000mN2023000E3148000,AM_17,38.0
241,CRS3035RES1000mN2023000E3148000,AM_19,69.0
242,CRS3035RES1000mN2023000E3148000,AM_20,82.0
243,CRS3035RES1000mN2023000E3148000,AM_21,55.0
244,CRS3035RES1000mN2023000E3148000,AM_22,85.0
245,CRS3035RES1000mN2023000E3148000,AM_23,62.0
246,CRS3035RES1000mN2023000E3148000,AM_24,50.0
247,CRS3035RES1000mN2023000E3148000,AM_25,55.0
248,CRS3035RES1000mN2023000E3148000,AM_27,40.0
249,CRS3035RES1000mN2023000E3148000,AM_28,71.0
250,CRS3035RES1000mN2023000E3148000,AM_29,72.0
251,CRS3035RES1000mN2023000E3148000,AM_30,30.0
252,CRS3035RES1000mN2023000E3148000,AM_32,57.0
253,CRS3035RES1000mN2023000E3148000,AM_33,49.0
254,CRS3035RES1000mN2023000E3148000,AM_34,88.0
255,CRS3035RES1000mN2023000E3148000,AM_35,64.0
256,CRS3035RES1000mN2023000E3148000,AM_36,53.0
257,CRS3035RES1000mN2023000E3148000,AM_37,56.0
258,CRS3035RES1000mN2023000E3148000,AM_38,56.0
259,CRS3035RES1000mN2023000E3149000,28027618,60.0
260,CRS3035RES1000mN2023000E3149000,28027591,62.0
261,CRS3035RES1000mN2023000E3149000,28027606,81.0
262,CRS3035RES1000mN2023000E3149000,28027898,86.0
263,CRS3035RES1000mN2023000E3149000,28041810,49.0
264,CRS3035RES1000mN2023000E3149000,AM_1,29.0
265,CRS3035RES1000mN2023000E3149000,AM_2,67.0
266,CRS3035RES1000mN2023000E3149000,AM_3,66.0
267,CRS3035RES1000mN2023000E3149000,AM_5,53.0
268,CRS3035RES1000mN2023000E3149000,AM_8,71.0
269,CRS3035RES1000mN2023000E3149000,AM_9,80.0
270,CRS3035RES1000mN2023000E3149000,AM_10,66.0
271,CRS3035RES1000mN2023000E3149000,AM_11,56.0
272,CRS3035RES1000mN2023000E3149000,AM_12,77.0
273,CRS3035RES1000mN2023000E3149000,AM_13,88.0
274,CRS3035RES1000mN2023000E3149000,AM_14,63.0
275,CRS3035RES1000mN2023000E3149000,AM_15,88.0
276,CRS3035RES1000mN2023000E3149000,AM_16,56.0
277,CRS3035RES1000mN2023000E3149000,AM_17,37.0
278,CRS3035RES1000mN2023000E3149000,AM_19,69.0
279,CRS3035RES1000mN2023000E3149000,AM_20,82.0
280,CRS3035RES1000mN2023000E3149000,AM_21,56.0
281,CRS3035RES1000mN2023000E3149000,AM_22,85.0
282,CRS3035RES1000mN2023000E3149000,AM_23,63.0
283,CRS3035RES1000mN2023000E3149000,AM_24,51.0
284,CRS3035RES1000mN2023000E3149000,AM_25,55.0
285,CRS3035RES1000mN2023000E3149000,AM_27,38.0
286,CRS3035RES1000mN2023000E3149000,AM_28,71.0
287,CRS3035RES1000mN2023000E3149000,AM_29,72.0
288,CRS3035RES1000mN2023000E3149000,AM_30,30.0
289,CRS3035RES1000mN2023000E3149000,AM_32,58.0
290,CRS3035RES1000mN2023000E3149000,AM_33,50.0
291,CRS3035RES1000mN2023000E3149000,AM_34,88.0
292,CRS3035RES1000mN2023000E3149000,AM_35,64.0
293,CRS3035RES1000mN2023000E3149000,AM_36,53.0
294,CRS3035RES1000mN2023000E3149000,AM_37,56.0
295,CRS3035RES1000mN2023000E3149000,AM_38,56.0
296,CRS3035RES1000mN2024000E3145000,28027618,65.0
297,CRS3035RES1000mN2024000E3145000,28027591,67.0
298,CRS3035RES1000mN2024000E3145000,28027606,87.0
299,CRS3035RES1000mN2024000E3145000,28027898,91.0
300,CRS3035RES1000mN2024000E3145000,28041810,58.0
