,from_id,to_id,travel_time
0,CRS3035RES1000mN2007000E3182000,28027618,
1,CRS3035RES1000mN2007000E3182000,28027591,
2,CRS3035RES1000mN2007000E3182000,28027606,
3,CRS3035RES1000mN2007000E3182000,28027898,
4,CRS3035RES1000mN2007000E3182000,28041810,
5,CRS3035RES1000mN2007000E3182000,AM_1,
6,CRS3035RES1000mN2007000E3182000,AM_2,
7,CRS3035RES1000mN2007000E3182000,AM_3,
8,CRS3035RES1000mN2007000E3182000,AM_5,
9,CRS3035RES1000mN2007000E3182000,AM_8,
10,CRS3035RES1000mN2007000E3182000,AM_9,
11,CRS3035RES1000mN2007000E3182000,AM_10,
12,CRS3035RES1000mN2007000E3182000,AM_11,
13,CRS3035RES1000mN2007000E3182000,AM_12,
14,CRS3035RES1000mN2007000E3182000,AM_13,
15,CRS3035RES1000mN2007000E3182000,AM_14,
16,CRS3035RES1000mN2007000E3182000,AM_15,
17,CRS3035RES1000mN2007000E3182000,AM_16,
18,CRS3035RES1000mN2007000E3182000,AM_17,
19,CRS3035RES1000mN2007000E3182000,AM_19,
20,CRS3035RES1000mN2007000E3182000,AM_20,106.0
21,CRS3035RES1000mN2007000E3182000,AM_21,
22,CRS3035RES1000mN2007000E3182000,AM_22,110.0
23,CRS3035RES1000mN2007000E3182000,AM_23,
24,CRS3035RES1000mN2007000E3182000,AM_24,
25,CRS3035RES1000mN2007000E3182000,AM_25,
26,CRS3035RES1000mN2007000E3182000,AM_27,
27,CRS3035RES1000mN2007000E3182000,AM_28,
28,CRS3035RES1000mN2007000E3182000,AM_29,
29,CRS3035RES1000mN2007000E3182000,AM_30,
30,CRS3035RES1000mN2007000E3182000,AM_32,
31,CRS3035RES1000mN2007000E3182000,AM_33,
32,CRS3035RES1000mN2007000E3182000,AM_34,
33,CRS3035RES1000mN2007000E3182000,AM_35,
34,CRS3035RES1000mN2007000E3182000,AM_36,
35,CRS3035RES1000mN2007000E3182000,AM_37,
36,CRS3035RES1000mN2007000E3182000,AM_38,
37,CRS3035RES1000mN2007000E3183000,28027618,80.0
38,CRS3035RES1000mN2007000E3183000,28027591,77.0
39,CRS3035RES1000mN2007000E3183000,28027606,94.0
40,CRS3035RES1000mN2007000E3183000,28027898,89.0
41,CRS3035RES1000mN2007000E3183000,28041810,87.0
42,CRS3035RES1000mN2007000E3183000,AM_1,94.0
43,CRS3035RES1000mN2007000E3183000,AM_2,83.0
44,CRS3035RES1000mN2007000E3183000,AM_3,90.0
45,CRS3035RES1000mN2007000E3183000,AM_5,75.0
46,CRS3035RES1000mN2007000E3183000,AM_8,
47,CRS3035RES1000mN2007000E3183000,AM_9,112.0
48,CRS3035RES1000mN2007000E3183000,AM_10,78.0
49,CRS3035RES1000mN2007000E3183000,AM_11,77.0
50,CRS3035RES1000mN2007000E3183000,AM_12,89.0
51,CRS3035RES1000mN2007000E3183000,AM_13,94.0
52,CRS3035RES1000mN2007000E3183000,AM_14,81.0
53,CRS3035RES1000mN2007000E3183000,AM_15,54.0
54,CRS3035RES1000mN2007000E3183000,AM_16,70.0
55,CRS3035RES1000mN2007000E3183000,AM_17,85.0
56,CRS3035RES1000mN2007000E3183000,AM_19,71.0
57,CRS3035RES1000mN2007000E3183000,AM_20,55.0
58,CRS3035RES1000mN2007000E3183000,AM_21,79.0
59,CRS3035RES1000mN2007000E3183000,AM_22,59.0
60,CRS3035RES1000mN2007000E3183000,AM_23,61.0
61,CRS3035RES1000mN2007000E3183000,AM_24,106.0
62,CRS3035RES1000mN2007000E3183000,AM_25,80.0
63,CRS3035RES1000mN2007000E3183000,AM_27,115.0
64,CRS3035RES1000mN2007000E3183000,AM_28,85.0
65,CRS3035RES1000mN2007000E3183000,AM_29,89.0
66,CRS3035RES1000mN2007000E3183000,AM_30,84.0
67,CRS3035RES1000mN2007000E3183000,AM_32,75.0
68,CRS3035RES1000mN2007000E3183000,AM_33,70.0
69,CRS3035RES1000mN2007000E3183000,AM_34,98.0
70,CRS3035RES1000mN2007000E3183000,AM_35,78.0
71,CRS3035RES1000mN2007000E3183000,AM_36,76.0
72,CRS3035RES1000mN2007000E3183000,AM_37,106.0
73,CRS3035RES1000mN2007000E3183000,AM_38,88.0
74,CRS3035RES1000mN2008000E3179000,28027618,
75,CRS3035RES1000mN2008000E3179000,28027591,
76,CRS3035RES1000mN2008000E3179000,28027606,
77,CRS3035RES1000mN2008000E3179000,28027898,
78,CRS3035RES1000mN2008000E3179000,28041810,
79,CRS3035RES1000mN2008000E3179000,AM_1,
80,CRS3035RES1000mN2008000E3179000,AM_2,
81,CRS3035RES1000mN2008000E3179000,AM_3,
82,CRS3035RES1000mN2008000E3179000,AM_5,
83,CRS3035RES1000mN2008000E3179000,AM_8,
84,CRS3035RES1000mN2008000E3179000,AM_9,
85,CRS3035RES1000mN2008000E3179000,AM_10,
86,CRS3035RES1000mN2008000E3179000,AM_11,
87,CRS3035RES1000mN2008000E3179000,AM_12,
88,CRS3035RES1000mN2008000E3179000,AM_13,
89,CRS3035RES1000mN2008000E3179000,AM_14,
90,CRS3035RES1000mN2008000E3179000,AM_15,
91,CRS3035RES1000mN2008000E3179000,AM_16,
92,CRS3035RES1000mN2008000E3179000,AM_17,
93,CRS3035RES1000mN2008000E3179000,AM_19,
94,CRS3035RES1000mN2008000E3179000,AM_20,114.0
95,CRS3035RES1000mN2008000E3179000,AM_21,
96,CRS3035RES1000mN2008000E3179000,AM_22,118.0
97,CRS3035RES1000mN2008000E3179000,AM_23,
98,CRS3035RES1000mN2008000E3179000,AM_24,
99,CRS3035RES1000mN2008000E3179000,AM_25,
100,CRS3035RES1000mN2008000E3179000,AM_27,
101,CRS3035RES1000mN2008000E3179000,AM_28,
102,CRS3035RES1000mN2008000E3179000,AM_29,
103,CRS3035RES1000mN2008000E3179000,AM_30,
104,CRS3035RES1000mN2008000E3179000,AM_32,
105,CRS3035RES1000mN2008000E3179000,AM_33,
106,CRS3035RES1000mN2008000E3179000,AM_34,
107,CRS3035RES1000mN2008000E3179000,AM_35,
108,CRS3035RES1000mN2008000E3179000,AM_36,
