,from_id,to_id,travel_time
0,CRS3035RES1000mN2028000E3145000,28027618,90.0
1,CRS3035RES1000mN2028000E3145000,28027591,92.0
2,CRS3035RES1000mN2028000E3145000,28027606,111.0
3,CRS3035RES1000mN2028000E3145000,28027898,117.0
4,CRS3035RES1000mN2028000E3145000,28041810,106.0
5,CRS3035RES1000mN2028000E3145000,AM_1,90.0
6,CRS3035RES1000mN2028000E3145000,AM_2,97.0
7,CRS3035RES1000mN2028000E3145000,AM_3,89.0
8,CRS3035RES1000mN2028000E3145000,AM_5,83.0
9,CRS3035RES1000mN2028000E3145000,AM_8,104.0
10,CRS3035RES1000mN2028000E3145000,AM_9,
11,CRS3035RES1000mN2028000E3145000,AM_10,99.0
12,CRS3035RES1000mN2028000E3145000,AM_11,87.0
13,CRS3035RES1000mN2028000E3145000,AM_12,108.0
14,CRS3035RES1000mN2028000E3145000,AM_13,113.0
15,CRS3035RES1000mN2028000E3145000,AM_14,93.0
16,CRS3035RES1000mN2028000E3145000,AM_15,
17,CRS3035RES1000mN2028000E3145000,AM_16,89.0
18,CRS3035RES1000mN2028000E3145000,AM_17,83.0
19,CRS3035RES1000mN2028000E3145000,AM_19,100.0
20,CRS3035RES1000mN2028000E3145000,AM_20,114.0
21,CRS3035RES1000mN2028000E3145000,AM_21,86.0
22,CRS3035RES1000mN2028000E3145000,AM_22,117.0
23,CRS3035RES1000mN2028000E3145000,AM_23,94.0
24,CRS3035RES1000mN2028000E3145000,AM_24,105.0
25,CRS3035RES1000mN2028000E3145000,AM_25,86.0
26,CRS3035RES1000mN2028000E3145000,AM_27,83.0
27,CRS3035RES1000mN2028000E3145000,AM_28,103.0
28,CRS3035RES1000mN2028000E3145000,AM_29,95.0
29,CRS3035RES1000mN2028000E3145000,AM_30,82.0
30,CRS3035RES1000mN2028000E3145000,AM_32,89.0
31,CRS3035RES1000mN2028000E3145000,AM_33,81.0
32,CRS3035RES1000mN2028000E3145000,AM_34,
33,CRS3035RES1000mN2028000E3145000,AM_35,96.0
34,CRS3035RES1000mN2028000E3145000,AM_36,84.0
35,CRS3035RES1000mN2028000E3145000,AM_37,56.0
36,CRS3035RES1000mN2028000E3145000,AM_38,83.0
37,CRS3035RES1000mN2029000E3144000,28027618,91.0
38,CRS3035RES1000mN2029000E3144000,28027591,97.0
39,CRS3035RES1000mN2029000E3144000,28027606,115.0
40,CRS3035RES1000mN2029000E3144000,28027898,
41,CRS3035RES1000mN2029000E3144000,28041810,111.0
42,CRS3035RES1000mN2029000E3144000,AM_1,77.0
43,CRS3035RES1000mN2029000E3144000,AM_2,102.0
44,CRS3035RES1000mN2029000E3144000,AM_3,93.0
45,CRS3035RES1000mN2029000E3144000,AM_5,88.0
46,CRS3035RES1000mN2029000E3144000,AM_8,64.0
47,CRS3035RES1000mN2029000E3144000,AM_9,106.0
48,CRS3035RES1000mN2029000E3144000,AM_10,102.0
49,CRS3035RES1000mN2029000E3144000,AM_11,91.0
50,CRS3035RES1000mN2029000E3144000,AM_12,111.0
51,CRS3035RES1000mN2029000E3144000,AM_13,
52,CRS3035RES1000mN2029000E3144000,AM_14,98.0
53,CRS3035RES1000mN2029000E3144000,AM_15,
54,CRS3035RES1000mN2029000E3144000,AM_16,93.0
55,CRS3035RES1000mN2029000E3144000,AM_17,87.0
56,CRS3035RES1000mN2029000E3144000,AM_19,104.0
57,CRS3035RES1000mN2029000E3144000,AM_20,118.0
58,CRS3035RES1000mN2029000E3144000,AM_21,91.0
59,CRS3035RES1000mN2029000E3144000,AM_22,
60,CRS3035RES1000mN2029000E3144000,AM_23,98.0
61,CRS3035RES1000mN2029000E3144000,AM_24,105.0
62,CRS3035RES1000mN2029000E3144000,AM_25,90.0
63,CRS3035RES1000mN2029000E3144000,AM_27,96.0
64,CRS3035RES1000mN2029000E3144000,AM_28,106.0
65,CRS3035RES1000mN2029000E3144000,AM_29,100.0
66,CRS3035RES1000mN2029000E3144000,AM_30,86.0
67,CRS3035RES1000mN2029000E3144000,AM_32,93.0
68,CRS3035RES1000mN2029000E3144000,AM_33,85.0
69,CRS3035RES1000mN2029000E3144000,AM_34,
70,CRS3035RES1000mN2029000E3144000,AM_35,99.0
71,CRS3035RES1000mN2029000E3144000,AM_36,88.0
72,CRS3035RES1000mN2029000E3144000,AM_37,56.0
73,CRS3035RES1000mN2029000E3144000,AM_38,86.0
74,CRS3035RES1000mN2029000E3145000,28027618,90.0
75,CRS3035RES1000mN2029000E3145000,28027591,92.0
76,CRS3035RES1000mN2029000E3145000,28027606,111.0
77,CRS3035RES1000mN2029000E3145000,28027898,117.0
78,CRS3035RES1000mN2029000E3145000,28041810,107.0
79,CRS3035RES1000mN2029000E3145000,AM_1,90.0
80,CRS3035RES1000mN2029000E3145000,AM_2,97.0
81,CRS3035RES1000mN2029000E3145000,AM_3,89.0
82,CRS3035RES1000mN2029000E3145000,AM_5,84.0
83,CRS3035RES1000mN2029000E3145000,AM_8,107.0
84,CRS3035RES1000mN2029000E3145000,AM_9,
85,CRS3035RES1000mN2029000E3145000,AM_10,97.0
86,CRS3035RES1000mN2029000E3145000,AM_11,87.0
87,CRS3035RES1000mN2029000E3145000,AM_12,107.0
88,CRS3035RES1000mN2029000E3145000,AM_13,114.0
89,CRS3035RES1000mN2029000E3145000,AM_14,94.0
90,CRS3035RES1000mN2029000E3145000,AM_15,
91,CRS3035RES1000mN2029000E3145000,AM_16,90.0
92,CRS3035RES1000mN2029000E3145000,AM_17,83.0
93,CRS3035RES1000mN2029000E3145000,AM_19,100.0
94,CRS3035RES1000mN2029000E3145000,AM_20,114.0
95,CRS3035RES1000mN2029000E3145000,AM_21,86.0
96,CRS3035RES1000mN2029000E3145000,AM_22,117.0
97,CRS3035RES1000mN2029000E3145000,AM_23,94.0
98,CRS3035RES1000mN2029000E3145000,AM_24,105.0
99,CRS3035RES1000mN2029000E3145000,AM_25,86.0
100,CRS3035RES1000mN2029000E3145000,AM_27,97.0
