,from_id,to_id,travel_time
0,CRS3035RES1000mN2027000E3170000,28027618,76.0
1,CRS3035RES1000mN2027000E3170000,28027591,74.0
2,CRS3035RES1000mN2027000E3170000,28027606,85.0
3,CRS3035RES1000mN2027000E3170000,28027898,71.0
4,CRS3035RES1000mN2027000E3170000,28041810,87.0
5,CRS3035RES1000mN2027000E3170000,AM_1,95.0
6,CRS3035RES1000mN2027000E3170000,AM_2,75.0
7,CRS3035RES1000mN2027000E3170000,AM_3,90.0
8,CRS3035RES1000mN2027000E3170000,AM_5,69.0
9,CRS3035RES1000mN2027000E3170000,AM_8,
10,CRS3035RES1000mN2027000E3170000,AM_9,110.0
11,CRS3035RES1000mN2027000E3170000,AM_10,69.0
12,CRS3035RES1000mN2027000E3170000,AM_11,66.0
13,CRS3035RES1000mN2027000E3170000,AM_12,86.0
14,CRS3035RES1000mN2027000E3170000,AM_13,85.0
15,CRS3035RES1000mN2027000E3170000,AM_14,69.0
16,CRS3035RES1000mN2027000E3170000,AM_15,55.0
17,CRS3035RES1000mN2027000E3170000,AM_16,73.0
18,CRS3035RES1000mN2027000E3170000,AM_17,97.0
19,CRS3035RES1000mN2027000E3170000,AM_19,61.0
20,CRS3035RES1000mN2027000E3170000,AM_20,39.0
21,CRS3035RES1000mN2027000E3170000,AM_21,76.0
22,CRS3035RES1000mN2027000E3170000,AM_22,39.0
23,CRS3035RES1000mN2027000E3170000,AM_23,58.0
24,CRS3035RES1000mN2027000E3170000,AM_24,106.0
25,CRS3035RES1000mN2027000E3170000,AM_25,77.0
26,CRS3035RES1000mN2027000E3170000,AM_27,
27,CRS3035RES1000mN2027000E3170000,AM_28,74.0
28,CRS3035RES1000mN2027000E3170000,AM_29,95.0
29,CRS3035RES1000mN2027000E3170000,AM_30,94.0
30,CRS3035RES1000mN2027000E3170000,AM_32,71.0
31,CRS3035RES1000mN2027000E3170000,AM_33,63.0
32,CRS3035RES1000mN2027000E3170000,AM_34,78.0
33,CRS3035RES1000mN2027000E3170000,AM_35,73.0
34,CRS3035RES1000mN2027000E3170000,AM_36,71.0
35,CRS3035RES1000mN2027000E3170000,AM_37,105.0
36,CRS3035RES1000mN2027000E3170000,AM_38,95.0
37,CRS3035RES1000mN2027000E3171000,28027618,73.0
38,CRS3035RES1000mN2027000E3171000,28027591,71.0
39,CRS3035RES1000mN2027000E3171000,28027606,83.0
40,CRS3035RES1000mN2027000E3171000,28027898,66.0
41,CRS3035RES1000mN2027000E3171000,28041810,83.0
42,CRS3035RES1000mN2027000E3171000,AM_1,92.0
43,CRS3035RES1000mN2027000E3171000,AM_2,74.0
44,CRS3035RES1000mN2027000E3171000,AM_3,86.0
45,CRS3035RES1000mN2027000E3171000,AM_5,67.0
46,CRS3035RES1000mN2027000E3171000,AM_8,
47,CRS3035RES1000mN2027000E3171000,AM_9,102.0
48,CRS3035RES1000mN2027000E3171000,AM_10,68.0
49,CRS3035RES1000mN2027000E3171000,AM_11,67.0
50,CRS3035RES1000mN2027000E3171000,AM_12,84.0
51,CRS3035RES1000mN2027000E3171000,AM_13,83.0
52,CRS3035RES1000mN2027000E3171000,AM_14,70.0
53,CRS3035RES1000mN2027000E3171000,AM_15,56.0
54,CRS3035RES1000mN2027000E3171000,AM_16,67.0
55,CRS3035RES1000mN2027000E3171000,AM_17,88.0
56,CRS3035RES1000mN2027000E3171000,AM_19,63.0
57,CRS3035RES1000mN2027000E3171000,AM_20,39.0
58,CRS3035RES1000mN2027000E3171000,AM_21,72.0
59,CRS3035RES1000mN2027000E3171000,AM_22,43.0
60,CRS3035RES1000mN2027000E3171000,AM_23,60.0
61,CRS3035RES1000mN2027000E3171000,AM_24,100.0
62,CRS3035RES1000mN2027000E3171000,AM_25,73.0
63,CRS3035RES1000mN2027000E3171000,AM_27,101.0
