,from_id,to_id,travel_time
0,CRS3035RES1000mN2013000E3148000,28027618,118.0
1,CRS3035RES1000mN2013000E3148000,28027591,115.0
2,CRS3035RES1000mN2013000E3148000,28027606,
3,CRS3035RES1000mN2013000E3148000,28027898,
4,CRS3035RES1000mN2013000E3148000,28041810,82.0
5,CRS3035RES1000mN2013000E3148000,AM_1,95.0
6,CRS3035RES1000mN2013000E3148000,AM_2,
7,CRS3035RES1000mN2013000E3148000,AM_3,
8,CRS3035RES1000mN2013000E3148000,AM_5,110.0
9,CRS3035RES1000mN2013000E3148000,AM_8,
10,CRS3035RES1000mN2013000E3148000,AM_9,
11,CRS3035RES1000mN2013000E3148000,AM_10,118.0
12,CRS3035RES1000mN2013000E3148000,AM_11,110.0
13,CRS3035RES1000mN2013000E3148000,AM_12,
14,CRS3035RES1000mN2013000E3148000,AM_13,
15,CRS3035RES1000mN2013000E3148000,AM_14,118.0
16,CRS3035RES1000mN2013000E3148000,AM_15,
17,CRS3035RES1000mN2013000E3148000,AM_16,108.0
18,CRS3035RES1000mN2013000E3148000,AM_17,95.0
19,CRS3035RES1000mN2013000E3148000,AM_19,118.0
20,CRS3035RES1000mN2013000E3148000,AM_20,115.0
21,CRS3035RES1000mN2013000E3148000,AM_21,115.0
22,CRS3035RES1000mN2013000E3148000,AM_22,119.0
23,CRS3035RES1000mN2013000E3148000,AM_23,106.0
24,CRS3035RES1000mN2013000E3148000,AM_24,82.0
25,CRS3035RES1000mN2013000E3148000,AM_25,115.0
26,CRS3035RES1000mN2013000E3148000,AM_27,118.0
27,CRS3035RES1000mN2013000E3148000,AM_28,
28,CRS3035RES1000mN2013000E3148000,AM_29,
29,CRS3035RES1000mN2013000E3148000,AM_30,88.0
30,CRS3035RES1000mN2013000E3148000,AM_32,112.0
31,CRS3035RES1000mN2013000E3148000,AM_33,105.0
32,CRS3035RES1000mN2013000E3148000,AM_34,
33,CRS3035RES1000mN2013000E3148000,AM_35,118.0
34,CRS3035RES1000mN2013000E3148000,AM_36,110.0
35,CRS3035RES1000mN2013000E3148000,AM_37,
36,CRS3035RES1000mN2013000E3148000,AM_38,
37,CRS3035RES1000mN2013000E3149000,28027618,
38,CRS3035RES1000mN2013000E3149000,28027591,
39,CRS3035RES1000mN2013000E3149000,28027606,
40,CRS3035RES1000mN2013000E3149000,28027898,
41,CRS3035RES1000mN2013000E3149000,28041810,95.0
42,CRS3035RES1000mN2013000E3149000,AM_1,93.0
43,CRS3035RES1000mN2013000E3149000,AM_2,
44,CRS3035RES1000mN2013000E3149000,AM_3,
45,CRS3035RES1000mN2013000E3149000,AM_5,
46,CRS3035RES1000mN2013000E3149000,AM_8,
47,CRS3035RES1000mN2013000E3149000,AM_9,
48,CRS3035RES1000mN2013000E3149000,AM_10,
49,CRS3035RES1000mN2013000E3149000,AM_11,
50,CRS3035RES1000mN2013000E3149000,AM_12,
51,CRS3035RES1000mN2013000E3149000,AM_13,
52,CRS3035RES1000mN2013000E3149000,AM_14,
53,CRS3035RES1000mN2013000E3149000,AM_15,
54,CRS3035RES1000mN2013000E3149000,AM_16,116.0
55,CRS3035RES1000mN2013000E3149000,AM_17,94.0
56,CRS3035RES1000mN2013000E3149000,AM_19,
57,CRS3035RES1000mN2013000E3149000,AM_20,
58,CRS3035RES1000mN2013000E3149000,AM_21,
59,CRS3035RES1000mN2013000E3149000,AM_22,
60,CRS3035RES1000mN2013000E3149000,AM_23,117.0
61,CRS3035RES1000mN2013000E3149000,AM_24,82.0
62,CRS3035RES1000mN2013000E3149000,AM_25,
63,CRS3035RES1000mN2013000E3149000,AM_27,117.0
64,CRS3035RES1000mN2013000E3149000,AM_28,
65,CRS3035RES1000mN2013000E3149000,AM_29,
66,CRS3035RES1000mN2013000E3149000,AM_30,85.0
67,CRS3035RES1000mN2013000E3149000,AM_32,
68,CRS3035RES1000mN2013000E3149000,AM_33,119.0
69,CRS3035RES1000mN2013000E3149000,AM_34,
70,CRS3035RES1000mN2013000E3149000,AM_35,
71,CRS3035RES1000mN2013000E3149000,AM_36,
72,CRS3035RES1000mN2013000E3149000,AM_37,
73,CRS3035RES1000mN2013000E3149000,AM_38,
74,CRS3035RES1000mN2013000E3150000,28027618,105.0
75,CRS3035RES1000mN2013000E3150000,28027591,102.0
76,CRS3035RES1000mN2013000E3150000,28027606,
77,CRS3035RES1000mN2013000E3150000,28027898,
78,CRS3035RES1000mN2013000E3150000,28041810,75.0
79,CRS3035RES1000mN2013000E3150000,AM_1,92.0
80,CRS3035RES1000mN2013000E3150000,AM_2,107.0
81,CRS3035RES1000mN2013000E3150000,AM_3,116.0
82,CRS3035RES1000mN2013000E3150000,AM_5,99.0
83,CRS3035RES1000mN2013000E3150000,AM_8,
84,CRS3035RES1000mN2013000E3150000,AM_9,
85,CRS3035RES1000mN2013000E3150000,AM_10,104.0
86,CRS3035RES1000mN2013000E3150000,AM_11,99.0
87,CRS3035RES1000mN2013000E3150000,AM_12,119.0
88,CRS3035RES1000mN2013000E3150000,AM_13,
89,CRS3035RES1000mN2013000E3150000,AM_14,106.0
90,CRS3035RES1000mN2013000E3150000,AM_15,119.0
91,CRS3035RES1000mN2013000E3150000,AM_16,98.0
92,CRS3035RES1000mN2013000E3150000,AM_17,80.0
93,CRS3035RES1000mN2013000E3150000,AM_19,106.0
94,CRS3035RES1000mN2013000E3150000,AM_20,110.0
95,CRS3035RES1000mN2013000E3150000,AM_21,103.0
96,CRS3035RES1000mN2013000E3150000,AM_22,113.0
97,CRS3035RES1000mN2013000E3150000,AM_23,96.0
98,CRS3035RES1000mN2013000E3150000,AM_24,83.0
99,CRS3035RES1000mN2013000E3150000,AM_25,104.0
100,CRS3035RES1000mN2013000E3150000,AM_27,114.0
101,CRS3035RES1000mN2013000E3150000,AM_28,111.0
102,CRS3035RES1000mN2013000E3150000,AM_29,
103,CRS3035RES1000mN2013000E3150000,AM_30,76.0
104,CRS3035RES1000mN2013000E3150000,AM_32,99.0
105,CRS3035RES1000mN2013000E3150000,AM_33,92.0
106,CRS3035RES1000mN2013000E3150000,AM_34,
