,from_id,to_id,travel_time
0,CRS3035RES1000mN2039000E3147000,28027618,23.0
1,CRS3035RES1000mN2039000E3147000,28027591,36.0
2,CRS3035RES1000mN2039000E3147000,28027606,69.0
3,CRS3035RES1000mN2039000E3147000,28027898,72.0
4,CRS3035RES1000mN2039000E3147000,28041810,78.0
5,CRS3035RES1000mN2039000E3147000,AM_1,74.0
6,CRS3035RES1000mN2039000E3147000,AM_2,42.0
7,CRS3035RES1000mN2039000E3147000,AM_3,54.0
8,CRS3035RES1000mN2039000E3147000,AM_5,28.0
9,CRS3035RES1000mN2039000E3147000,AM_8,113.0
10,CRS3035RES1000mN2039000E3147000,AM_9,54.0
11,CRS3035RES1000mN2039000E3147000,AM_10,52.0
12,CRS3035RES1000mN2039000E3147000,AM_11,38.0
13,CRS3035RES1000mN2039000E3147000,AM_12,63.0
14,CRS3035RES1000mN2039000E3147000,AM_13,74.0
15,CRS3035RES1000mN2039000E3147000,AM_14,34.0
16,CRS3035RES1000mN2039000E3147000,AM_15,70.0
17,CRS3035RES1000mN2039000E3147000,AM_16,45.0
18,CRS3035RES1000mN2039000E3147000,AM_17,71.0
19,CRS3035RES1000mN2039000E3147000,AM_19,52.0
20,CRS3035RES1000mN2039000E3147000,AM_20,65.0
21,CRS3035RES1000mN2039000E3147000,AM_21,30.0
22,CRS3035RES1000mN2039000E3147000,AM_22,69.0
23,CRS3035RES1000mN2039000E3147000,AM_23,45.0
24,CRS3035RES1000mN2039000E3147000,AM_24,90.0
25,CRS3035RES1000mN2039000E3147000,AM_25,32.0
26,CRS3035RES1000mN2039000E3147000,AM_27,87.0
27,CRS3035RES1000mN2039000E3147000,AM_28,47.0
28,CRS3035RES1000mN2039000E3147000,AM_29,43.0
29,CRS3035RES1000mN2039000E3147000,AM_30,70.0
30,CRS3035RES1000mN2039000E3147000,AM_32,47.0
31,CRS3035RES1000mN2039000E3147000,AM_33,35.0
32,CRS3035RES1000mN2039000E3147000,AM_34,73.0
33,CRS3035RES1000mN2039000E3147000,AM_35,54.0
34,CRS3035RES1000mN2039000E3147000,AM_36,30.0
