,from_id,to_id,travel_time
0,CRS3035RES1000mN2017000E3151000,28027618,85.0
1,CRS3035RES1000mN2017000E3151000,28027591,87.0
2,CRS3035RES1000mN2017000E3151000,28027606,111.0
3,CRS3035RES1000mN2017000E3151000,28027898,108.0
4,CRS3035RES1000mN2017000E3151000,28041810,54.0
5,CRS3035RES1000mN2017000E3151000,AM_1,56.0
6,CRS3035RES1000mN2017000E3151000,AM_2,93.0
7,CRS3035RES1000mN2017000E3151000,AM_3,95.0
8,CRS3035RES1000mN2017000E3151000,AM_5,78.0
9,CRS3035RES1000mN2017000E3151000,AM_8,119.0
10,CRS3035RES1000mN2017000E3151000,AM_9,113.0
11,CRS3035RES1000mN2017000E3151000,AM_10,95.0
12,CRS3035RES1000mN2017000E3151000,AM_11,85.0
13,CRS3035RES1000mN2017000E3151000,AM_12,104.0
14,CRS3035RES1000mN2017000E3151000,AM_13,113.0
15,CRS3035RES1000mN2017000E3151000,AM_14,89.0
16,CRS3035RES1000mN2017000E3151000,AM_15,97.0
17,CRS3035RES1000mN2017000E3151000,AM_16,74.0
18,CRS3035RES1000mN2017000E3151000,AM_17,48.0
19,CRS3035RES1000mN2017000E3151000,AM_19,86.0
20,CRS3035RES1000mN2017000E3151000,AM_20,91.0
21,CRS3035RES1000mN2017000E3151000,AM_21,82.0
22,CRS3035RES1000mN2017000E3151000,AM_22,95.0
23,CRS3035RES1000mN2017000E3151000,AM_23,76.0
24,CRS3035RES1000mN2017000E3151000,AM_24,49.0
25,CRS3035RES1000mN2017000E3151000,AM_25,84.0
26,CRS3035RES1000mN2017000E3151000,AM_27,84.0
27,CRS3035RES1000mN2017000E3151000,AM_28,98.0
28,CRS3035RES1000mN2017000E3151000,AM_29,105.0
29,CRS3035RES1000mN2017000E3151000,AM_30,43.0
30,CRS3035RES1000mN2017000E3151000,AM_32,90.0
31,CRS3035RES1000mN2017000E3151000,AM_33,80.0
32,CRS3035RES1000mN2017000E3151000,AM_34,116.0
33,CRS3035RES1000mN2017000E3151000,AM_35,95.0
34,CRS3035RES1000mN2017000E3151000,AM_36,80.0
35,CRS3035RES1000mN2017000E3151000,AM_37,83.0
36,CRS3035RES1000mN2017000E3151000,AM_38,86.0
37,CRS3035RES1000mN2018000E3149000,28027618,77.0
38,CRS3035RES1000mN2018000E3149000,28027591,76.0
39,CRS3035RES1000mN2018000E3149000,28027606,96.0
40,CRS3035RES1000mN2018000E3149000,28027898,91.0
41,CRS3035RES1000mN2018000E3149000,28041810,49.0
42,CRS3035RES1000mN2018000E3149000,AM_1,45.0
43,CRS3035RES1000mN2018000E3149000,AM_2,81.0
44,CRS3035RES1000mN2018000E3149000,AM_3,80.0
45,CRS3035RES1000mN2018000E3149000,AM_5,70.0
46,CRS3035RES1000mN2018000E3149000,AM_8,105.0
47,CRS3035RES1000mN2018000E3149000,AM_9,87.0
48,CRS3035RES1000mN2018000E3149000,AM_10,78.0
49,CRS3035RES1000mN2018000E3149000,AM_11,72.0
50,CRS3035RES1000mN2018000E3149000,AM_12,91.0
51,CRS3035RES1000mN2018000E3149000,AM_13,96.0
52,CRS3035RES1000mN2018000E3149000,AM_14,79.0
53,CRS3035RES1000mN2018000E3149000,AM_15,82.0
54,CRS3035RES1000mN2018000E3149000,AM_16,62.0
55,CRS3035RES1000mN2018000E3149000,AM_17,35.0
56,CRS3035RES1000mN2018000E3149000,AM_19,71.0
57,CRS3035RES1000mN2018000E3149000,AM_20,76.0
58,CRS3035RES1000mN2018000E3149000,AM_21,74.0
59,CRS3035RES1000mN2018000E3149000,AM_22,80.0
60,CRS3035RES1000mN2018000E3149000,AM_23,61.0
61,CRS3035RES1000mN2018000E3149000,AM_24,38.0
62,CRS3035RES1000mN2018000E3149000,AM_25,72.0
63,CRS3035RES1000mN2018000E3149000,AM_27,67.0
64,CRS3035RES1000mN2018000E3149000,AM_28,84.0
65,CRS3035RES1000mN2018000E3149000,AM_29,77.0
66,CRS3035RES1000mN2018000E3149000,AM_30,32.0
67,CRS3035RES1000mN2018000E3149000,AM_32,73.0
68,CRS3035RES1000mN2018000E3149000,AM_33,66.0
69,CRS3035RES1000mN2018000E3149000,AM_34,99.0
70,CRS3035RES1000mN2018000E3149000,AM_35,79.0
71,CRS3035RES1000mN2018000E3149000,AM_36,71.0
72,CRS3035RES1000mN2018000E3149000,AM_37,70.0
73,CRS3035RES1000mN2018000E3149000,AM_38,73.0
74,CRS3035RES1000mN2018000E3150000,28027618,81.0
75,CRS3035RES1000mN2018000E3150000,28027591,83.0
76,CRS3035RES1000mN2018000E3150000,28027606,106.0
77,CRS3035RES1000mN2018000E3150000,28027898,104.0
78,CRS3035RES1000mN2018000E3150000,28041810,53.0
79,CRS3035RES1000mN2018000E3150000,AM_1,49.0
80,CRS3035RES1000mN2018000E3150000,AM_2,88.0
81,CRS3035RES1000mN2018000E3150000,AM_3,92.0
82,CRS3035RES1000mN2018000E3150000,AM_5,74.0
83,CRS3035RES1000mN2018000E3150000,AM_8,109.0
84,CRS3035RES1000mN2018000E3150000,AM_9,109.0
85,CRS3035RES1000mN2018000E3150000,AM_10,90.0
86,CRS3035RES1000mN2018000E3150000,AM_11,81.0
87,CRS3035RES1000mN2018000E3150000,AM_12,100.0
88,CRS3035RES1000mN2018000E3150000,AM_13,111.0
89,CRS3035RES1000mN2018000E3150000,AM_14,84.0
90,CRS3035RES1000mN2018000E3150000,AM_15,93.0
91,CRS3035RES1000mN2018000E3150000,AM_16,70.0
92,CRS3035RES1000mN2018000E3150000,AM_17,40.0
93,CRS3035RES1000mN2018000E3150000,AM_19,83.0
94,CRS3035RES1000mN2018000E3150000,AM_20,86.0
95,CRS3035RES1000mN2018000E3150000,AM_21,77.0
96,CRS3035RES1000mN2018000E3150000,AM_22,90.0
97,CRS3035RES1000mN2018000E3150000,AM_23,73.0
98,CRS3035RES1000mN2018000E3150000,AM_24,41.0
99,CRS3035RES1000mN2018000E3150000,AM_25,79.0
100,CRS3035RES1000mN2018000E3150000,AM_27,71.0
101,CRS3035RES1000mN2018000E3150000,AM_28,93.0
102,CRS3035RES1000mN2018000E3150000,AM_29,102.0
103,CRS3035RES1000mN2018000E3150000,AM_30,34.0
104,CRS3035RES1000mN2018000E3150000,AM_32,85.0
105,CRS3035RES1000mN2018000E3150000,AM_33,76.0
106,CRS3035RES1000mN2018000E3150000,AM_34,111.0
107,CRS3035RES1000mN2018000E3150000,AM_35,91.0
108,CRS3035RES1000mN2018000E3150000,AM_36,75.0
109,CRS3035RES1000mN2018000E3150000,AM_37,79.0
110,CRS3035RES1000mN2018000E3150000,AM_38,82.0
111,CRS3035RES1000mN2018000E3151000,28027618,81.0
112,CRS3035RES1000mN2018000E3151000,28027591,83.0
113,CRS3035RES1000mN2018000E3151000,28027606,107.0
114,CRS3035RES1000mN2018000E3151000,28027898,104.0
115,CRS3035RES1000mN2018000E3151000,28041810,53.0
116,CRS3035RES1000mN2018000E3151000,AM_1,52.0
117,CRS3035RES1000mN2018000E3151000,AM_2,88.0
118,CRS3035RES1000mN2018000E3151000,AM_3,92.0
119,CRS3035RES1000mN2018000E3151000,AM_5,74.0
120,CRS3035RES1000mN2018000E3151000,AM_8,116.0
121,CRS3035RES1000mN2018000E3151000,AM_9,109.0
122,CRS3035RES1000mN2018000E3151000,AM_10,91.0
123,CRS3035RES1000mN2018000E3151000,AM_11,82.0
124,CRS3035RES1000mN2018000E3151000,AM_12,100.0
125,CRS3035RES1000mN2018000E3151000,AM_13,109.0
126,CRS3035RES1000mN2018000E3151000,AM_14,85.0
127,CRS3035RES1000mN2018000E3151000,AM_15,93.0
128,CRS3035RES1000mN2018000E3151000,AM_16,70.0
129,CRS3035RES1000mN2018000E3151000,AM_17,40.0
130,CRS3035RES1000mN2018000E3151000,AM_19,83.0
