,from_id,to_id,travel_time
0,CRS3035RES1000mN2035000E3146000,28027618,55.0
1,CRS3035RES1000mN2035000E3146000,28027591,68.0
2,CRS3035RES1000mN2035000E3146000,28027606,102.0
3,CRS3035RES1000mN2035000E3146000,28027898,104.0
4,CRS3035RES1000mN2035000E3146000,28041810,109.0
5,CRS3035RES1000mN2035000E3146000,AM_1,104.0
6,CRS3035RES1000mN2035000E3146000,AM_2,73.0
7,CRS3035RES1000mN2035000E3146000,AM_3,59.0
8,CRS3035RES1000mN2035000E3146000,AM_5,60.0
9,CRS3035RES1000mN2035000E3146000,AM_8,113.0
10,CRS3035RES1000mN2035000E3146000,AM_9,46.0
11,CRS3035RES1000mN2035000E3146000,AM_10,84.0
12,CRS3035RES1000mN2035000E3146000,AM_11,70.0
13,CRS3035RES1000mN2035000E3146000,AM_12,86.0
14,CRS3035RES1000mN2035000E3146000,AM_13,111.0
15,CRS3035RES1000mN2035000E3146000,AM_14,66.0
16,CRS3035RES1000mN2035000E3146000,AM_15,101.0
17,CRS3035RES1000mN2035000E3146000,AM_16,77.0
18,CRS3035RES1000mN2035000E3146000,AM_17,104.0
19,CRS3035RES1000mN2035000E3146000,AM_19,83.0
20,CRS3035RES1000mN2035000E3146000,AM_20,96.0
21,CRS3035RES1000mN2035000E3146000,AM_21,62.0
22,CRS3035RES1000mN2035000E3146000,AM_22,99.0
23,CRS3035RES1000mN2035000E3146000,AM_23,76.0
24,CRS3035RES1000mN2035000E3146000,AM_24,
25,CRS3035RES1000mN2035000E3146000,AM_25,64.0
26,CRS3035RES1000mN2035000E3146000,AM_27,101.0
27,CRS3035RES1000mN2035000E3146000,AM_28,79.0
28,CRS3035RES1000mN2035000E3146000,AM_29,55.0
29,CRS3035RES1000mN2035000E3146000,AM_30,104.0
30,CRS3035RES1000mN2035000E3146000,AM_32,79.0
31,CRS3035RES1000mN2035000E3146000,AM_33,67.0
32,CRS3035RES1000mN2035000E3146000,AM_34,103.0
33,CRS3035RES1000mN2035000E3146000,AM_35,85.0
34,CRS3035RES1000mN2035000E3146000,AM_36,62.0
35,CRS3035RES1000mN2035000E3146000,AM_37,85.0
36,CRS3035RES1000mN2035000E3146000,AM_38,69.0
37,CRS3035RES1000mN2035000E3147000,28027618,49.0
38,CRS3035RES1000mN2035000E3147000,28027591,61.0
39,CRS3035RES1000mN2035000E3147000,28027606,91.0
40,CRS3035RES1000mN2035000E3147000,28027898,91.0
41,CRS3035RES1000mN2035000E3147000,28041810,99.0
42,CRS3035RES1000mN2035000E3147000,AM_1,97.0
43,CRS3035RES1000mN2035000E3147000,AM_2,66.0
44,CRS3035RES1000mN2035000E3147000,AM_3,56.0
45,CRS3035RES1000mN2035000E3147000,AM_5,53.0
46,CRS3035RES1000mN2035000E3147000,AM_8,113.0
47,CRS3035RES1000mN2035000E3147000,AM_9,36.0
48,CRS3035RES1000mN2035000E3147000,AM_10,76.0
49,CRS3035RES1000mN2035000E3147000,AM_11,62.0
50,CRS3035RES1000mN2035000E3147000,AM_12,83.0
51,CRS3035RES1000mN2035000E3147000,AM_13,92.0
52,CRS3035RES1000mN2035000E3147000,AM_14,58.0
53,CRS3035RES1000mN2035000E3147000,AM_15,94.0
54,CRS3035RES1000mN2035000E3147000,AM_16,70.0
55,CRS3035RES1000mN2035000E3147000,AM_17,100.0
56,CRS3035RES1000mN2035000E3147000,AM_19,75.0
57,CRS3035RES1000mN2035000E3147000,AM_20,89.0
58,CRS3035RES1000mN2035000E3147000,AM_21,54.0
59,CRS3035RES1000mN2035000E3147000,AM_22,92.0
60,CRS3035RES1000mN2035000E3147000,AM_23,68.0
61,CRS3035RES1000mN2035000E3147000,AM_24,115.0
62,CRS3035RES1000mN2035000E3147000,AM_25,56.0
63,CRS3035RES1000mN2035000E3147000,AM_27,98.0
64,CRS3035RES1000mN2035000E3147000,AM_28,71.0
65,CRS3035RES1000mN2035000E3147000,AM_29,52.0
66,CRS3035RES1000mN2035000E3147000,AM_30,102.0
67,CRS3035RES1000mN2035000E3147000,AM_32,72.0
68,CRS3035RES1000mN2035000E3147000,AM_33,60.0
69,CRS3035RES1000mN2035000E3147000,AM_34,99.0
70,CRS3035RES1000mN2035000E3147000,AM_35,78.0
71,CRS3035RES1000mN2035000E3147000,AM_36,54.0
72,CRS3035RES1000mN2035000E3147000,AM_37,86.0
73,CRS3035RES1000mN2035000E3147000,AM_38,66.0
74,CRS3035RES1000mN2036000E3141000,28027618,92.0
75,CRS3035RES1000mN2036000E3141000,28027591,100.0
76,CRS3035RES1000mN2036000E3141000,28027606,
77,CRS3035RES1000mN2036000E3141000,28027898,
78,CRS3035RES1000mN2036000E3141000,28041810,
79,CRS3035RES1000mN2036000E3141000,AM_1,111.0
80,CRS3035RES1000mN2036000E3141000,AM_2,106.0
81,CRS3035RES1000mN2036000E3141000,AM_3,114.0
82,CRS3035RES1000mN2036000E3141000,AM_5,93.0
83,CRS3035RES1000mN2036000E3141000,AM_8,117.0
84,CRS3035RES1000mN2036000E3141000,AM_9,105.0
85,CRS3035RES1000mN2036000E3141000,AM_10,116.0
86,CRS3035RES1000mN2036000E3141000,AM_11,103.0
87,CRS3035RES1000mN2036000E3141000,AM_12,
88,CRS3035RES1000mN2036000E3141000,AM_13,
89,CRS3035RES1000mN2036000E3141000,AM_14,98.0
90,CRS3035RES1000mN2036000E3141000,AM_15,
91,CRS3035RES1000mN2036000E3141000,AM_16,109.0
92,CRS3035RES1000mN2036000E3141000,AM_17,109.0
93,CRS3035RES1000mN2036000E3141000,AM_19,115.0
94,CRS3035RES1000mN2036000E3141000,AM_20,
95,CRS3035RES1000mN2036000E3141000,AM_21,94.0
96,CRS3035RES1000mN2036000E3141000,AM_22,
97,CRS3035RES1000mN2036000E3141000,AM_23,109.0
98,CRS3035RES1000mN2036000E3141000,AM_24,
99,CRS3035RES1000mN2036000E3141000,AM_25,97.0
100,CRS3035RES1000mN2036000E3141000,AM_27,
101,CRS3035RES1000mN2036000E3141000,AM_28,111.0
102,CRS3035RES1000mN2036000E3141000,AM_29,
103,CRS3035RES1000mN2036000E3141000,AM_30,108.0
104,CRS3035RES1000mN2036000E3141000,AM_32,109.0
105,CRS3035RES1000mN2036000E3141000,AM_33,99.0
106,CRS3035RES1000mN2036000E3141000,AM_34,
107,CRS3035RES1000mN2036000E3141000,AM_35,115.0
108,CRS3035RES1000mN2036000E3141000,AM_36,94.0
109,CRS3035RES1000mN2036000E3141000,AM_37,82.0
110,CRS3035RES1000mN2036000E3141000,AM_38,102.0
111,CRS3035RES1000mN2036000E3142000,28027618,93.0
112,CRS3035RES1000mN2036000E3142000,28027591,106.0
113,CRS3035RES1000mN2036000E3142000,28027606,
114,CRS3035RES1000mN2036000E3142000,28027898,
115,CRS3035RES1000mN2036000E3142000,28041810,
116,CRS3035RES1000mN2036000E3142000,AM_1,114.0
117,CRS3035RES1000mN2036000E3142000,AM_2,111.0
118,CRS3035RES1000mN2036000E3142000,AM_3,117.0
119,CRS3035RES1000mN2036000E3142000,AM_5,97.0
120,CRS3035RES1000mN2036000E3142000,AM_8,117.0
121,CRS3035RES1000mN2036000E3142000,AM_9,105.0
122,CRS3035RES1000mN2036000E3142000,AM_10,
123,CRS3035RES1000mN2036000E3142000,AM_11,107.0
124,CRS3035RES1000mN2036000E3142000,AM_12,
125,CRS3035RES1000mN2036000E3142000,AM_13,
126,CRS3035RES1000mN2036000E3142000,AM_14,102.0
127,CRS3035RES1000mN2036000E3142000,AM_15,
128,CRS3035RES1000mN2036000E3142000,AM_16,111.0
129,CRS3035RES1000mN2036000E3142000,AM_17,112.0
130,CRS3035RES1000mN2036000E3142000,AM_19,119.0
131,CRS3035RES1000mN2036000E3142000,AM_20,
132,CRS3035RES1000mN2036000E3142000,AM_21,98.0
133,CRS3035RES1000mN2036000E3142000,AM_22,
134,CRS3035RES1000mN2036000E3142000,AM_23,113.0
135,CRS3035RES1000mN2036000E3142000,AM_24,
136,CRS3035RES1000mN2036000E3142000,AM_25,101.0
137,CRS3035RES1000mN2036000E3142000,AM_27,
138,CRS3035RES1000mN2036000E3142000,AM_28,116.0
139,CRS3035RES1000mN2036000E3142000,AM_29,112.0
140,CRS3035RES1000mN2036000E3142000,AM_30,111.0
141,CRS3035RES1000mN2036000E3142000,AM_32,111.0
142,CRS3035RES1000mN2036000E3142000,AM_33,102.0
143,CRS3035RES1000mN2036000E3142000,AM_34,
144,CRS3035RES1000mN2036000E3142000,AM_35,118.0
145,CRS3035RES1000mN2036000E3142000,AM_36,98.0
146,CRS3035RES1000mN2036000E3142000,AM_37,85.0
147,CRS3035RES1000mN2036000E3142000,AM_38,105.0
148,CRS3035RES1000mN2036000E3144000,28027618,49.0
149,CRS3035RES1000mN2036000E3144000,28027591,60.0
150,CRS3035RES1000mN2036000E3144000,28027606,93.0
151,CRS3035RES1000mN2036000E3144000,28027898,92.0
152,CRS3035RES1000mN2036000E3144000,28041810,100.0
153,CRS3035RES1000mN2036000E3144000,AM_1,81.0
154,CRS3035RES1000mN2036000E3144000,AM_2,66.0
155,CRS3035RES1000mN2036000E3144000,AM_3,74.0
156,CRS3035RES1000mN2036000E3144000,AM_5,52.0
157,CRS3035RES1000mN2036000E3144000,AM_8,68.0
158,CRS3035RES1000mN2036000E3144000,AM_9,52.0
159,CRS3035RES1000mN2036000E3144000,AM_10,76.0
160,CRS3035RES1000mN2036000E3144000,AM_11,62.0
161,CRS3035RES1000mN2036000E3144000,AM_12,85.0
162,CRS3035RES1000mN2036000E3144000,AM_13,93.0
163,CRS3035RES1000mN2036000E3144000,AM_14,58.0
164,CRS3035RES1000mN2036000E3144000,AM_15,95.0
165,CRS3035RES1000mN2036000E3144000,AM_16,69.0
166,CRS3035RES1000mN2036000E3144000,AM_17,91.0
167,CRS3035RES1000mN2036000E3144000,AM_19,75.0
168,CRS3035RES1000mN2036000E3144000,AM_20,89.0
169,CRS3035RES1000mN2036000E3144000,AM_21,54.0
170,CRS3035RES1000mN2036000E3144000,AM_22,92.0
171,CRS3035RES1000mN2036000E3144000,AM_23,69.0
172,CRS3035RES1000mN2036000E3144000,AM_24,109.0
173,CRS3035RES1000mN2036000E3144000,AM_25,57.0
174,CRS3035RES1000mN2036000E3144000,AM_27,98.0
175,CRS3035RES1000mN2036000E3144000,AM_28,71.0
176,CRS3035RES1000mN2036000E3144000,AM_29,66.0
177,CRS3035RES1000mN2036000E3144000,AM_30,90.0
178,CRS3035RES1000mN2036000E3144000,AM_32,72.0
179,CRS3035RES1000mN2036000E3144000,AM_33,60.0
180,CRS3035RES1000mN2036000E3144000,AM_34,101.0
181,CRS3035RES1000mN2036000E3144000,AM_35,78.0
182,CRS3035RES1000mN2036000E3144000,AM_36,54.0
183,CRS3035RES1000mN2036000E3144000,AM_37,60.0
184,CRS3035RES1000mN2036000E3144000,AM_38,73.0
185,CRS3035RES1000mN2036000E3145000,28027618,52.0
186,CRS3035RES1000mN2036000E3145000,28027591,63.0
187,CRS3035RES1000mN2036000E3145000,28027606,95.0
188,CRS3035RES1000mN2036000E3145000,28027898,95.0
189,CRS3035RES1000mN2036000E3145000,28041810,103.0
190,CRS3035RES1000mN2036000E3145000,AM_1,81.0
191,CRS3035RES1000mN2036000E3145000,AM_2,69.0
192,CRS3035RES1000mN2036000E3145000,AM_3,59.0
193,CRS3035RES1000mN2036000E3145000,AM_5,56.0
194,CRS3035RES1000mN2036000E3145000,AM_8,68.0
195,CRS3035RES1000mN2036000E3145000,AM_9,46.0
196,CRS3035RES1000mN2036000E3145000,AM_10,80.0
197,CRS3035RES1000mN2036000E3145000,AM_11,66.0
198,CRS3035RES1000mN2036000E3145000,AM_12,86.0
199,CRS3035RES1000mN2036000E3145000,AM_13,96.0
200,CRS3035RES1000mN2036000E3145000,AM_14,61.0
201,CRS3035RES1000mN2036000E3145000,AM_15,97.0
202,CRS3035RES1000mN2036000E3145000,AM_16,73.0
203,CRS3035RES1000mN2036000E3145000,AM_17,92.0
204,CRS3035RES1000mN2036000E3145000,AM_19,79.0
205,CRS3035RES1000mN2036000E3145000,AM_20,91.0
206,CRS3035RES1000mN2036000E3145000,AM_21,57.0
207,CRS3035RES1000mN2036000E3145000,AM_22,94.0
208,CRS3035RES1000mN2036000E3145000,AM_23,72.0
209,CRS3035RES1000mN2036000E3145000,AM_24,109.0
210,CRS3035RES1000mN2036000E3145000,AM_25,60.0
211,CRS3035RES1000mN2036000E3145000,AM_27,98.0
212,CRS3035RES1000mN2036000E3145000,AM_28,74.0
213,CRS3035RES1000mN2036000E3145000,AM_29,55.0
214,CRS3035RES1000mN2036000E3145000,AM_30,91.0
215,CRS3035RES1000mN2036000E3145000,AM_32,74.0
216,CRS3035RES1000mN2036000E3145000,AM_33,62.0
217,CRS3035RES1000mN2036000E3145000,AM_34,102.0
218,CRS3035RES1000mN2036000E3145000,AM_35,80.0
219,CRS3035RES1000mN2036000E3145000,AM_36,57.0
220,CRS3035RES1000mN2036000E3145000,AM_37,60.0
221,CRS3035RES1000mN2036000E3145000,AM_38,69.0
222,CRS3035RES1000mN2036000E3146000,28027618,42.0
223,CRS3035RES1000mN2036000E3146000,28027591,56.0
224,CRS3035RES1000mN2036000E3146000,28027606,74.0
225,CRS3035RES1000mN2036000E3146000,28027898,90.0
226,CRS3035RES1000mN2036000E3146000,28041810,92.0
227,CRS3035RES1000mN2036000E3146000,AM_1,77.0
228,CRS3035RES1000mN2036000E3146000,AM_2,61.0
229,CRS3035RES1000mN2036000E3146000,AM_3,58.0
230,CRS3035RES1000mN2036000E3146000,AM_5,48.0
231,CRS3035RES1000mN2036000E3146000,AM_8,64.0
232,CRS3035RES1000mN2036000E3146000,AM_9,46.0
233,CRS3035RES1000mN2036000E3146000,AM_10,72.0
234,CRS3035RES1000mN2036000E3146000,AM_11,57.0
235,CRS3035RES1000mN2036000E3146000,AM_12,59.0
236,CRS3035RES1000mN2036000E3146000,AM_13,76.0
237,CRS3035RES1000mN2036000E3146000,AM_14,53.0
238,CRS3035RES1000mN2036000E3146000,AM_15,90.0
239,CRS3035RES1000mN2036000E3146000,AM_16,64.0
240,CRS3035RES1000mN2036000E3146000,AM_17,86.0
241,CRS3035RES1000mN2036000E3146000,AM_19,71.0
242,CRS3035RES1000mN2036000E3146000,AM_20,84.0
243,CRS3035RES1000mN2036000E3146000,AM_21,50.0
244,CRS3035RES1000mN2036000E3146000,AM_22,88.0
245,CRS3035RES1000mN2036000E3146000,AM_23,64.0
246,CRS3035RES1000mN2036000E3146000,AM_24,104.0
247,CRS3035RES1000mN2036000E3146000,AM_25,52.0
248,CRS3035RES1000mN2036000E3146000,AM_27,96.0
249,CRS3035RES1000mN2036000E3146000,AM_28,67.0
250,CRS3035RES1000mN2036000E3146000,AM_29,55.0
251,CRS3035RES1000mN2036000E3146000,AM_30,85.0
252,CRS3035RES1000mN2036000E3146000,AM_32,68.0
253,CRS3035RES1000mN2036000E3146000,AM_33,55.0
254,CRS3035RES1000mN2036000E3146000,AM_34,92.0
255,CRS3035RES1000mN2036000E3146000,AM_35,70.0
256,CRS3035RES1000mN2036000E3146000,AM_36,49.0
257,CRS3035RES1000mN2036000E3146000,AM_37,56.0
258,CRS3035RES1000mN2036000E3146000,AM_38,66.0
259,CRS3035RES1000mN2036000E3147000,28027618,50.0
260,CRS3035RES1000mN2036000E3147000,28027591,61.0
261,CRS3035RES1000mN2036000E3147000,28027606,94.0
262,CRS3035RES1000mN2036000E3147000,28027898,93.0
263,CRS3035RES1000mN2036000E3147000,28041810,103.0
264,CRS3035RES1000mN2036000E3147000,AM_1,98.0
265,CRS3035RES1000mN2036000E3147000,AM_2,66.0
266,CRS3035RES1000mN2036000E3147000,AM_3,59.0
267,CRS3035RES1000mN2036000E3147000,AM_5,53.0
268,CRS3035RES1000mN2036000E3147000,AM_8,114.0
269,CRS3035RES1000mN2036000E3147000,AM_9,46.0
270,CRS3035RES1000mN2036000E3147000,AM_10,78.0
271,CRS3035RES1000mN2036000E3147000,AM_11,63.0
272,CRS3035RES1000mN2036000E3147000,AM_12,86.0
273,CRS3035RES1000mN2036000E3147000,AM_13,94.0
274,CRS3035RES1000mN2036000E3147000,AM_14,59.0
275,CRS3035RES1000mN2036000E3147000,AM_15,95.0
276,CRS3035RES1000mN2036000E3147000,AM_16,71.0
277,CRS3035RES1000mN2036000E3147000,AM_17,102.0
278,CRS3035RES1000mN2036000E3147000,AM_19,76.0
279,CRS3035RES1000mN2036000E3147000,AM_20,90.0
280,CRS3035RES1000mN2036000E3147000,AM_21,55.0
281,CRS3035RES1000mN2036000E3147000,AM_22,93.0
282,CRS3035RES1000mN2036000E3147000,AM_23,69.0
283,CRS3035RES1000mN2036000E3147000,AM_24,117.0
284,CRS3035RES1000mN2036000E3147000,AM_25,57.0
285,CRS3035RES1000mN2036000E3147000,AM_27,101.0
286,CRS3035RES1000mN2036000E3147000,AM_28,71.0
287,CRS3035RES1000mN2036000E3147000,AM_29,55.0
288,CRS3035RES1000mN2036000E3147000,AM_30,103.0
289,CRS3035RES1000mN2036000E3147000,AM_32,73.0
290,CRS3035RES1000mN2036000E3147000,AM_33,61.0
291,CRS3035RES1000mN2036000E3147000,AM_34,102.0
292,CRS3035RES1000mN2036000E3147000,AM_35,78.0
293,CRS3035RES1000mN2036000E3147000,AM_36,55.0
294,CRS3035RES1000mN2036000E3147000,AM_37,89.0
295,CRS3035RES1000mN2036000E3147000,AM_38,69.0
296,CRS3035RES1000mN2037000E3140000,28027618,54.0
297,CRS3035RES1000mN2037000E3140000,28027591,65.0
298,CRS3035RES1000mN2037000E3140000,28027606,98.0
299,CRS3035RES1000mN2037000E3140000,28027898,96.0
300,CRS3035RES1000mN2037000E3140000,28041810,106.0
301,CRS3035RES1000mN2037000E3140000,AM_1,102.0
302,CRS3035RES1000mN2037000E3140000,AM_2,71.0
303,CRS3035RES1000mN2037000E3140000,AM_3,83.0
304,CRS3035RES1000mN2037000E3140000,AM_5,58.0
305,CRS3035RES1000mN2037000E3140000,AM_8,114.0
306,CRS3035RES1000mN2037000E3140000,AM_9,56.0
