,from_id,to_id,travel_time
0,CRS3035RES1000mN2022000E3176000,28027618,104.0
1,CRS3035RES1000mN2022000E3176000,28027591,101.0
2,CRS3035RES1000mN2022000E3176000,28027606,
3,CRS3035RES1000mN2022000E3176000,28027898,92.0
4,CRS3035RES1000mN2022000E3176000,28041810,
5,CRS3035RES1000mN2022000E3176000,AM_1,
6,CRS3035RES1000mN2022000E3176000,AM_2,106.0
7,CRS3035RES1000mN2022000E3176000,AM_3,
8,CRS3035RES1000mN2022000E3176000,AM_5,101.0
9,CRS3035RES1000mN2022000E3176000,AM_8,
10,CRS3035RES1000mN2022000E3176000,AM_9,
11,CRS3035RES1000mN2022000E3176000,AM_10,95.0
12,CRS3035RES1000mN2022000E3176000,AM_11,100.0
13,CRS3035RES1000mN2022000E3176000,AM_12,117.0
14,CRS3035RES1000mN2022000E3176000,AM_13,
15,CRS3035RES1000mN2022000E3176000,AM_14,102.0
16,CRS3035RES1000mN2022000E3176000,AM_15,89.0
17,CRS3035RES1000mN2022000E3176000,AM_16,110.0
18,CRS3035RES1000mN2022000E3176000,AM_17,
19,CRS3035RES1000mN2022000E3176000,AM_19,98.0
20,CRS3035RES1000mN2022000E3176000,AM_20,88.0
21,CRS3035RES1000mN2022000E3176000,AM_21,105.0
22,CRS3035RES1000mN2022000E3176000,AM_22,92.0
23,CRS3035RES1000mN2022000E3176000,AM_23,92.0
24,CRS3035RES1000mN2022000E3176000,AM_24,
25,CRS3035RES1000mN2022000E3176000,AM_25,107.0
26,CRS3035RES1000mN2022000E3176000,AM_27,
27,CRS3035RES1000mN2022000E3176000,AM_28,107.0
28,CRS3035RES1000mN2022000E3176000,AM_29,
29,CRS3035RES1000mN2022000E3176000,AM_30,
30,CRS3035RES1000mN2022000E3176000,AM_32,102.0
31,CRS3035RES1000mN2022000E3176000,AM_33,95.0
32,CRS3035RES1000mN2022000E3176000,AM_34,115.0
33,CRS3035RES1000mN2022000E3176000,AM_35,100.0
34,CRS3035RES1000mN2022000E3176000,AM_36,103.0
35,CRS3035RES1000mN2022000E3176000,AM_37,
36,CRS3035RES1000mN2022000E3176000,AM_38,
37,CRS3035RES1000mN2022000E3177000,28027618,
38,CRS3035RES1000mN2022000E3177000,28027591,
39,CRS3035RES1000mN2022000E3177000,28027606,
40,CRS3035RES1000mN2022000E3177000,28027898,
41,CRS3035RES1000mN2022000E3177000,28041810,
42,CRS3035RES1000mN2022000E3177000,AM_1,
43,CRS3035RES1000mN2022000E3177000,AM_2,
44,CRS3035RES1000mN2022000E3177000,AM_3,
45,CRS3035RES1000mN2022000E3177000,AM_5,
46,CRS3035RES1000mN2022000E3177000,AM_8,
47,CRS3035RES1000mN2022000E3177000,AM_9,
48,CRS3035RES1000mN2022000E3177000,AM_10,
49,CRS3035RES1000mN2022000E3177000,AM_11,
50,CRS3035RES1000mN2022000E3177000,AM_12,
51,CRS3035RES1000mN2022000E3177000,AM_13,
52,CRS3035RES1000mN2022000E3177000,AM_14,
53,CRS3035RES1000mN2022000E3177000,AM_15,
54,CRS3035RES1000mN2022000E3177000,AM_16,
55,CRS3035RES1000mN2022000E3177000,AM_17,
56,CRS3035RES1000mN2022000E3177000,AM_19,
57,CRS3035RES1000mN2022000E3177000,AM_20,
58,CRS3035RES1000mN2022000E3177000,AM_21,
59,CRS3035RES1000mN2022000E3177000,AM_22,
60,CRS3035RES1000mN2022000E3177000,AM_23,
61,CRS3035RES1000mN2022000E3177000,AM_24,
62,CRS3035RES1000mN2022000E3177000,AM_25,
63,CRS3035RES1000mN2022000E3177000,AM_27,
64,CRS3035RES1000mN2022000E3177000,AM_28,
65,CRS3035RES1000mN2022000E3177000,AM_29,
66,CRS3035RES1000mN2022000E3177000,AM_30,
67,CRS3035RES1000mN2022000E3177000,AM_32,
68,CRS3035RES1000mN2022000E3177000,AM_33,
69,CRS3035RES1000mN2022000E3177000,AM_34,
70,CRS3035RES1000mN2022000E3177000,AM_35,
71,CRS3035RES1000mN2022000E3177000,AM_36,
72,CRS3035RES1000mN2022000E3177000,AM_37,
73,CRS3035RES1000mN2022000E3177000,AM_38,
74,CRS3035RES1000mN2023000E3176000,28027618,104.0
75,CRS3035RES1000mN2023000E3176000,28027591,101.0
76,CRS3035RES1000mN2023000E3176000,28027606,
77,CRS3035RES1000mN2023000E3176000,28027898,92.0
78,CRS3035RES1000mN2023000E3176000,28041810,
79,CRS3035RES1000mN2023000E3176000,AM_1,
80,CRS3035RES1000mN2023000E3176000,AM_2,106.0
81,CRS3035RES1000mN2023000E3176000,AM_3,
82,CRS3035RES1000mN2023000E3176000,AM_5,101.0
83,CRS3035RES1000mN2023000E3176000,AM_8,
84,CRS3035RES1000mN2023000E3176000,AM_9,
85,CRS3035RES1000mN2023000E3176000,AM_10,95.0
86,CRS3035RES1000mN2023000E3176000,AM_11,99.0
