,from_id,to_id,travel_time
0,CRS3035RES1000mN2018000E3143000,28027618,104.0
1,CRS3035RES1000mN2018000E3143000,28027591,106.0
2,CRS3035RES1000mN2018000E3143000,28027606,
3,CRS3035RES1000mN2018000E3143000,28027898,
4,CRS3035RES1000mN2018000E3143000,28041810,84.0
5,CRS3035RES1000mN2018000E3143000,AM_1,59.0
6,CRS3035RES1000mN2018000E3143000,AM_2,111.0
7,CRS3035RES1000mN2018000E3143000,AM_3,115.0
8,CRS3035RES1000mN2018000E3143000,AM_5,97.0
9,CRS3035RES1000mN2018000E3143000,AM_8,119.0
10,CRS3035RES1000mN2018000E3143000,AM_9,
11,CRS3035RES1000mN2018000E3143000,AM_10,114.0
12,CRS3035RES1000mN2018000E3143000,AM_11,103.0
13,CRS3035RES1000mN2018000E3143000,AM_12,
14,CRS3035RES1000mN2018000E3143000,AM_13,
15,CRS3035RES1000mN2018000E3143000,AM_14,107.0
16,CRS3035RES1000mN2018000E3143000,AM_15,
17,CRS3035RES1000mN2018000E3143000,AM_16,93.0
18,CRS3035RES1000mN2018000E3143000,AM_17,77.0
19,CRS3035RES1000mN2018000E3143000,AM_19,115.0
20,CRS3035RES1000mN2018000E3143000,AM_20,
21,CRS3035RES1000mN2018000E3143000,AM_21,100.0
22,CRS3035RES1000mN2018000E3143000,AM_22,
23,CRS3035RES1000mN2018000E3143000,AM_23,107.0
24,CRS3035RES1000mN2018000E3143000,AM_24,66.0
25,CRS3035RES1000mN2018000E3143000,AM_25,101.0
26,CRS3035RES1000mN2018000E3143000,AM_27,86.0
27,CRS3035RES1000mN2018000E3143000,AM_28,117.0
28,CRS3035RES1000mN2018000E3143000,AM_29,
29,CRS3035RES1000mN2018000E3143000,AM_30,73.0
30,CRS3035RES1000mN2018000E3143000,AM_32,105.0
31,CRS3035RES1000mN2018000E3143000,AM_33,97.0
32,CRS3035RES1000mN2018000E3143000,AM_34,
33,CRS3035RES1000mN2018000E3143000,AM_35,111.0
34,CRS3035RES1000mN2018000E3143000,AM_36,98.0
35,CRS3035RES1000mN2018000E3143000,AM_37,104.0
36,CRS3035RES1000mN2018000E3143000,AM_38,103.0
37,CRS3035RES1000mN2018000E3144000,28027618,98.0
38,CRS3035RES1000mN2018000E3144000,28027591,100.0
39,CRS3035RES1000mN2018000E3144000,28027606,
40,CRS3035RES1000mN2018000E3144000,28027898,
41,CRS3035RES1000mN2018000E3144000,28041810,66.0
42,CRS3035RES1000mN2018000E3144000,AM_1,50.0
43,CRS3035RES1000mN2018000E3144000,AM_2,105.0
44,CRS3035RES1000mN2018000E3144000,AM_3,100.0
45,CRS3035RES1000mN2018000E3144000,AM_5,91.0
46,CRS3035RES1000mN2018000E3144000,AM_8,117.0
47,CRS3035RES1000mN2018000E3144000,AM_9,
48,CRS3035RES1000mN2018000E3144000,AM_10,105.0
49,CRS3035RES1000mN2018000E3144000,AM_11,96.0
50,CRS3035RES1000mN2018000E3144000,AM_12,117.0
51,CRS3035RES1000mN2018000E3144000,AM_13,
52,CRS3035RES1000mN2018000E3144000,AM_14,101.0
53,CRS3035RES1000mN2018000E3144000,AM_15,115.0
54,CRS3035RES1000mN2018000E3144000,AM_16,87.0
55,CRS3035RES1000mN2018000E3144000,AM_17,58.0
56,CRS3035RES1000mN2018000E3144000,AM_19,104.0
57,CRS3035RES1000mN2018000E3144000,AM_20,108.0
58,CRS3035RES1000mN2018000E3144000,AM_21,95.0
59,CRS3035RES1000mN2018000E3144000,AM_22,112.0
60,CRS3035RES1000mN2018000E3144000,AM_23,93.0
61,CRS3035RES1000mN2018000E3144000,AM_24,51.0
62,CRS3035RES1000mN2018000E3144000,AM_25,96.0
63,CRS3035RES1000mN2018000E3144000,AM_27,78.0
64,CRS3035RES1000mN2018000E3144000,AM_28,109.0
65,CRS3035RES1000mN2018000E3144000,AM_29,110.0
66,CRS3035RES1000mN2018000E3144000,AM_30,54.0
67,CRS3035RES1000mN2018000E3144000,AM_32,98.0
68,CRS3035RES1000mN2018000E3144000,AM_33,90.0
69,CRS3035RES1000mN2018000E3144000,AM_34,
70,CRS3035RES1000mN2018000E3144000,AM_35,105.0
71,CRS3035RES1000mN2018000E3144000,AM_36,93.0
72,CRS3035RES1000mN2018000E3144000,AM_37,96.0
73,CRS3035RES1000mN2018000E3144000,AM_38,97.0
74,CRS3035RES1000mN2019000E3142000,28027618,104.0
75,CRS3035RES1000mN2019000E3142000,28027591,106.0
76,CRS3035RES1000mN2019000E3142000,28027606,
77,CRS3035RES1000mN2019000E3142000,28027898,
78,CRS3035RES1000mN2019000E3142000,28041810,84.0
79,CRS3035RES1000mN2019000E3142000,AM_1,54.0
80,CRS3035RES1000mN2019000E3142000,AM_2,111.0
81,CRS3035RES1000mN2019000E3142000,AM_3,115.0
82,CRS3035RES1000mN2019000E3142000,AM_5,97.0
83,CRS3035RES1000mN2019000E3142000,AM_8,119.0
84,CRS3035RES1000mN2019000E3142000,AM_9,
85,CRS3035RES1000mN2019000E3142000,AM_10,112.0
86,CRS3035RES1000mN2019000E3142000,AM_11,102.0
87,CRS3035RES1000mN2019000E3142000,AM_12,
88,CRS3035RES1000mN2019000E3142000,AM_13,
89,CRS3035RES1000mN2019000E3142000,AM_14,107.0
90,CRS3035RES1000mN2019000E3142000,AM_15,
91,CRS3035RES1000mN2019000E3142000,AM_16,93.0
92,CRS3035RES1000mN2019000E3142000,AM_17,87.0
93,CRS3035RES1000mN2019000E3142000,AM_19,115.0
94,CRS3035RES1000mN2019000E3142000,AM_20,
95,CRS3035RES1000mN2019000E3142000,AM_21,100.0
96,CRS3035RES1000mN2019000E3142000,AM_22,
97,CRS3035RES1000mN2019000E3142000,AM_23,107.0
98,CRS3035RES1000mN2019000E3142000,AM_24,66.0
99,CRS3035RES1000mN2019000E3142000,AM_25,101.0
100,CRS3035RES1000mN2019000E3142000,AM_27,81.0
101,CRS3035RES1000mN2019000E3142000,AM_28,116.0
102,CRS3035RES1000mN2019000E3142000,AM_29,
103,CRS3035RES1000mN2019000E3142000,AM_30,81.0
104,CRS3035RES1000mN2019000E3142000,AM_32,104.0
105,CRS3035RES1000mN2019000E3142000,AM_33,96.0
106,CRS3035RES1000mN2019000E3142000,AM_34,
107,CRS3035RES1000mN2019000E3142000,AM_35,110.0
108,CRS3035RES1000mN2019000E3142000,AM_36,98.0
109,CRS3035RES1000mN2019000E3142000,AM_37,104.0
110,CRS3035RES1000mN2019000E3142000,AM_38,102.0
111,CRS3035RES1000mN2019000E3143000,28027618,92.0
112,CRS3035RES1000mN2019000E3143000,28027591,94.0
113,CRS3035RES1000mN2019000E3143000,28027606,117.0
114,CRS3035RES1000mN2019000E3143000,28027898,
115,CRS3035RES1000mN2019000E3143000,28041810,69.0
116,CRS3035RES1000mN2019000E3143000,AM_1,44.0
117,CRS3035RES1000mN2019000E3143000,AM_2,99.0
118,CRS3035RES1000mN2019000E3143000,AM_3,100.0
119,CRS3035RES1000mN2019000E3143000,AM_5,85.0
120,CRS3035RES1000mN2019000E3143000,AM_8,106.0
121,CRS3035RES1000mN2019000E3143000,AM_9,
122,CRS3035RES1000mN2019000E3143000,AM_10,103.0
123,CRS3035RES1000mN2019000E3143000,AM_11,92.0
124,CRS3035RES1000mN2019000E3143000,AM_12,113.0
125,CRS3035RES1000mN2019000E3143000,AM_13,
126,CRS3035RES1000mN2019000E3143000,AM_14,96.0
127,CRS3035RES1000mN2019000E3143000,AM_15,116.0
128,CRS3035RES1000mN2019000E3143000,AM_16,82.0
129,CRS3035RES1000mN2019000E3143000,AM_17,75.0
130,CRS3035RES1000mN2019000E3143000,AM_19,105.0
131,CRS3035RES1000mN2019000E3143000,AM_20,109.0
132,CRS3035RES1000mN2019000E3143000,AM_21,89.0
133,CRS3035RES1000mN2019000E3143000,AM_22,113.0
134,CRS3035RES1000mN2019000E3143000,AM_23,95.0
135,CRS3035RES1000mN2019000E3143000,AM_24,52.0
136,CRS3035RES1000mN2019000E3143000,AM_25,90.0
137,CRS3035RES1000mN2019000E3143000,AM_27,68.0
138,CRS3035RES1000mN2019000E3143000,AM_28,104.0
139,CRS3035RES1000mN2019000E3143000,AM_29,109.0
140,CRS3035RES1000mN2019000E3143000,AM_30,70.0
141,CRS3035RES1000mN2019000E3143000,AM_32,94.0
142,CRS3035RES1000mN2019000E3143000,AM_33,86.0
143,CRS3035RES1000mN2019000E3143000,AM_34,
144,CRS3035RES1000mN2019000E3143000,AM_35,101.0
145,CRS3035RES1000mN2019000E3143000,AM_36,86.0
146,CRS3035RES1000mN2019000E3143000,AM_37,93.0
147,CRS3035RES1000mN2019000E3143000,AM_38,93.0
148,CRS3035RES1000mN2019000E3144000,28027618,89.0
149,CRS3035RES1000mN2019000E3144000,28027591,91.0
150,CRS3035RES1000mN2019000E3144000,28027606,112.0
