,from_id,to_id,travel_time
0,CRS3035RES1000mN2033000E3175000,28027618,101.0
1,CRS3035RES1000mN2033000E3175000,28027591,98.0
2,CRS3035RES1000mN2033000E3175000,28027606,98.0
3,CRS3035RES1000mN2033000E3175000,28027898,92.0
4,CRS3035RES1000mN2033000E3175000,28041810,
5,CRS3035RES1000mN2033000E3175000,AM_1,
6,CRS3035RES1000mN2033000E3175000,AM_2,103.0
7,CRS3035RES1000mN2033000E3175000,AM_3,
8,CRS3035RES1000mN2033000E3175000,AM_5,97.0
9,CRS3035RES1000mN2033000E3175000,AM_8,
10,CRS3035RES1000mN2033000E3175000,AM_9,
11,CRS3035RES1000mN2033000E3175000,AM_10,92.0
12,CRS3035RES1000mN2033000E3175000,AM_11,95.0
13,CRS3035RES1000mN2033000E3175000,AM_12,112.0
14,CRS3035RES1000mN2033000E3175000,AM_13,98.0
15,CRS3035RES1000mN2033000E3175000,AM_14,98.0
16,CRS3035RES1000mN2033000E3175000,AM_15,110.0
17,CRS3035RES1000mN2033000E3175000,AM_16,108.0
18,CRS3035RES1000mN2033000E3175000,AM_17,
19,CRS3035RES1000mN2033000E3175000,AM_19,93.0
20,CRS3035RES1000mN2033000E3175000,AM_20,95.0
21,CRS3035RES1000mN2033000E3175000,AM_21,101.0
22,CRS3035RES1000mN2033000E3175000,AM_22,99.0
23,CRS3035RES1000mN2033000E3175000,AM_23,88.0
24,CRS3035RES1000mN2033000E3175000,AM_24,
25,CRS3035RES1000mN2033000E3175000,AM_25,103.0
26,CRS3035RES1000mN2033000E3175000,AM_27,
27,CRS3035RES1000mN2033000E3175000,AM_28,103.0
28,CRS3035RES1000mN2033000E3175000,AM_29,
29,CRS3035RES1000mN2033000E3175000,AM_30,
30,CRS3035RES1000mN2033000E3175000,AM_32,97.0
31,CRS3035RES1000mN2033000E3175000,AM_33,92.0
32,CRS3035RES1000mN2033000E3175000,AM_34,91.0
33,CRS3035RES1000mN2033000E3175000,AM_35,95.0
34,CRS3035RES1000mN2033000E3175000,AM_36,99.0
35,CRS3035RES1000mN2033000E3175000,AM_37,
36,CRS3035RES1000mN2033000E3175000,AM_38,
37,CRS3035RES1000mN2033000E3176000,28027618,94.0
38,CRS3035RES1000mN2033000E3176000,28027591,91.0
39,CRS3035RES1000mN2033000E3176000,28027606,82.0
40,CRS3035RES1000mN2033000E3176000,28027898,89.0
41,CRS3035RES1000mN2033000E3176000,28041810,
42,CRS3035RES1000mN2033000E3176000,AM_1,
43,CRS3035RES1000mN2033000E3176000,AM_2,96.0
44,CRS3035RES1000mN2033000E3176000,AM_3,
45,CRS3035RES1000mN2033000E3176000,AM_5,91.0
46,CRS3035RES1000mN2033000E3176000,AM_8,
47,CRS3035RES1000mN2033000E3176000,AM_9,
48,CRS3035RES1000mN2033000E3176000,AM_10,86.0
49,CRS3035RES1000mN2033000E3176000,AM_11,90.0
50,CRS3035RES1000mN2033000E3176000,AM_12,103.0
51,CRS3035RES1000mN2033000E3176000,AM_13,82.0
52,CRS3035RES1000mN2033000E3176000,AM_14,92.0
53,CRS3035RES1000mN2033000E3176000,AM_15,104.0
54,CRS3035RES1000mN2033000E3176000,AM_16,101.0
55,CRS3035RES1000mN2033000E3176000,AM_17,
56,CRS3035RES1000mN2033000E3176000,AM_19,87.0
57,CRS3035RES1000mN2033000E3176000,AM_20,96.0
58,CRS3035RES1000mN2033000E3176000,AM_21,95.0
59,CRS3035RES1000mN2033000E3176000,AM_22,100.0
60,CRS3035RES1000mN2033000E3176000,AM_23,81.0
61,CRS3035RES1000mN2033000E3176000,AM_24,
62,CRS3035RES1000mN2033000E3176000,AM_25,97.0
63,CRS3035RES1000mN2033000E3176000,AM_27,
64,CRS3035RES1000mN2033000E3176000,AM_28,97.0
65,CRS3035RES1000mN2033000E3176000,AM_29,
66,CRS3035RES1000mN2033000E3176000,AM_30,
67,CRS3035RES1000mN2033000E3176000,AM_32,91.0
68,CRS3035RES1000mN2033000E3176000,AM_33,85.0
69,CRS3035RES1000mN2033000E3176000,AM_34,75.0
70,CRS3035RES1000mN2033000E3176000,AM_35,89.0
71,CRS3035RES1000mN2033000E3176000,AM_36,92.0
72,CRS3035RES1000mN2033000E3176000,AM_37,
73,CRS3035RES1000mN2033000E3176000,AM_38,
74,CRS3035RES1000mN2033000E3177000,28027618,94.0
75,CRS3035RES1000mN2033000E3177000,28027591,92.0
76,CRS3035RES1000mN2033000E3177000,28027606,102.0
77,CRS3035RES1000mN2033000E3177000,28027898,89.0
78,CRS3035RES1000mN2033000E3177000,28041810,
79,CRS3035RES1000mN2033000E3177000,AM_1,
80,CRS3035RES1000mN2033000E3177000,AM_2,96.0
81,CRS3035RES1000mN2033000E3177000,AM_3,
82,CRS3035RES1000mN2033000E3177000,AM_5,91.0
83,CRS3035RES1000mN2033000E3177000,AM_8,
84,CRS3035RES1000mN2033000E3177000,AM_9,
85,CRS3035RES1000mN2033000E3177000,AM_10,88.0
86,CRS3035RES1000mN2033000E3177000,AM_11,89.0
87,CRS3035RES1000mN2033000E3177000,AM_12,106.0
88,CRS3035RES1000mN2033000E3177000,AM_13,102.0
89,CRS3035RES1000mN2033000E3177000,AM_14,92.0
90,CRS3035RES1000mN2033000E3177000,AM_15,104.0
91,CRS3035RES1000mN2033000E3177000,AM_16,101.0
92,CRS3035RES1000mN2033000E3177000,AM_17,
93,CRS3035RES1000mN2033000E3177000,AM_19,88.0
94,CRS3035RES1000mN2033000E3177000,AM_20,91.0
95,CRS3035RES1000mN2033000E3177000,AM_21,95.0
96,CRS3035RES1000mN2033000E3177000,AM_22,95.0
97,CRS3035RES1000mN2033000E3177000,AM_23,82.0
98,CRS3035RES1000mN2033000E3177000,AM_24,
99,CRS3035RES1000mN2033000E3177000,AM_25,97.0
100,CRS3035RES1000mN2033000E3177000,AM_27,
101,CRS3035RES1000mN2033000E3177000,AM_28,97.0
102,CRS3035RES1000mN2033000E3177000,AM_29,
103,CRS3035RES1000mN2033000E3177000,AM_30,
104,CRS3035RES1000mN2033000E3177000,AM_32,92.0
105,CRS3035RES1000mN2033000E3177000,AM_33,86.0
106,CRS3035RES1000mN2033000E3177000,AM_34,95.0
107,CRS3035RES1000mN2033000E3177000,AM_35,90.0
108,CRS3035RES1000mN2033000E3177000,AM_36,93.0
109,CRS3035RES1000mN2033000E3177000,AM_37,
110,CRS3035RES1000mN2033000E3177000,AM_38,
111,CRS3035RES1000mN2033000E3178000,28027618,77.0
112,CRS3035RES1000mN2033000E3178000,28027591,74.0
113,CRS3035RES1000mN2033000E3178000,28027606,84.0
114,CRS3035RES1000mN2033000E3178000,28027898,64.0
115,CRS3035RES1000mN2033000E3178000,28041810,107.0
116,CRS3035RES1000mN2033000E3178000,AM_1,111.0
117,CRS3035RES1000mN2033000E3178000,AM_2,79.0
118,CRS3035RES1000mN2033000E3178000,AM_3,115.0
119,CRS3035RES1000mN2033000E3178000,AM_5,74.0
120,CRS3035RES1000mN2033000E3178000,AM_8,
121,CRS3035RES1000mN2033000E3178000,AM_9,112.0
122,CRS3035RES1000mN2033000E3178000,AM_10,68.0
123,CRS3035RES1000mN2033000E3178000,AM_11,72.0
124,CRS3035RES1000mN2033000E3178000,AM_12,89.0
125,CRS3035RES1000mN2033000E3178000,AM_13,84.0
126,CRS3035RES1000mN2033000E3178000,AM_14,74.0
127,CRS3035RES1000mN2033000E3178000,AM_15,83.0
128,CRS3035RES1000mN2033000E3178000,AM_16,83.0
129,CRS3035RES1000mN2033000E3178000,AM_17,107.0
130,CRS3035RES1000mN2033000E3178000,AM_19,70.0
131,CRS3035RES1000mN2033000E3178000,AM_20,67.0
132,CRS3035RES1000mN2033000E3178000,AM_21,77.0
133,CRS3035RES1000mN2033000E3178000,AM_22,70.0
134,CRS3035RES1000mN2033000E3178000,AM_23,64.0
135,CRS3035RES1000mN2033000E3178000,AM_24,
136,CRS3035RES1000mN2033000E3178000,AM_25,80.0
137,CRS3035RES1000mN2033000E3178000,AM_27,
138,CRS3035RES1000mN2033000E3178000,AM_28,79.0
139,CRS3035RES1000mN2033000E3178000,AM_29,113.0
140,CRS3035RES1000mN2033000E3178000,AM_30,108.0
141,CRS3035RES1000mN2033000E3178000,AM_32,74.0
142,CRS3035RES1000mN2033000E3178000,AM_33,68.0
143,CRS3035RES1000mN2033000E3178000,AM_34,77.0
144,CRS3035RES1000mN2033000E3178000,AM_35,72.0
145,CRS3035RES1000mN2033000E3178000,AM_36,75.0
146,CRS3035RES1000mN2033000E3178000,AM_37,108.0
147,CRS3035RES1000mN2033000E3178000,AM_38,108.0
148,CRS3035RES1000mN2034000E3175000,28027618,103.0
149,CRS3035RES1000mN2034000E3175000,28027591,100.0
150,CRS3035RES1000mN2034000E3175000,28027606,101.0
151,CRS3035RES1000mN2034000E3175000,28027898,92.0
152,CRS3035RES1000mN2034000E3175000,28041810,
153,CRS3035RES1000mN2034000E3175000,AM_1,
154,CRS3035RES1000mN2034000E3175000,AM_2,105.0
155,CRS3035RES1000mN2034000E3175000,AM_3,
156,CRS3035RES1000mN2034000E3175000,AM_5,101.0
157,CRS3035RES1000mN2034000E3175000,AM_8,
158,CRS3035RES1000mN2034000E3175000,AM_9,
159,CRS3035RES1000mN2034000E3175000,AM_10,93.0
160,CRS3035RES1000mN2034000E3175000,AM_11,100.0
161,CRS3035RES1000mN2034000E3175000,AM_12,113.0
162,CRS3035RES1000mN2034000E3175000,AM_13,101.0
163,CRS3035RES1000mN2034000E3175000,AM_14,101.0
164,CRS3035RES1000mN2034000E3175000,AM_15,112.0
165,CRS3035RES1000mN2034000E3175000,AM_16,110.0
166,CRS3035RES1000mN2034000E3175000,AM_17,
167,CRS3035RES1000mN2034000E3175000,AM_19,97.0
168,CRS3035RES1000mN2034000E3175000,AM_20,95.0
169,CRS3035RES1000mN2034000E3175000,AM_21,105.0
170,CRS3035RES1000mN2034000E3175000,AM_22,99.0
171,CRS3035RES1000mN2034000E3175000,AM_23,91.0
172,CRS3035RES1000mN2034000E3175000,AM_24,
173,CRS3035RES1000mN2034000E3175000,AM_25,107.0
174,CRS3035RES1000mN2034000E3175000,AM_27,
175,CRS3035RES1000mN2034000E3175000,AM_28,107.0
176,CRS3035RES1000mN2034000E3175000,AM_29,
177,CRS3035RES1000mN2034000E3175000,AM_30,
178,CRS3035RES1000mN2034000E3175000,AM_32,97.0
179,CRS3035RES1000mN2034000E3175000,AM_33,95.0
180,CRS3035RES1000mN2034000E3175000,AM_34,94.0
181,CRS3035RES1000mN2034000E3175000,AM_35,98.0
