,from_id,to_id,travel_time
0,CRS3035RES1000mN2029000E3149000,28027618,51.0
1,CRS3035RES1000mN2029000E3149000,28027591,53.0
2,CRS3035RES1000mN2029000E3149000,28027606,72.0
3,CRS3035RES1000mN2029000E3149000,28027898,80.0
4,CRS3035RES1000mN2029000E3149000,28041810,70.0
5,CRS3035RES1000mN2029000E3149000,AM_1,51.0
6,CRS3035RES1000mN2029000E3149000,AM_2,58.0
7,CRS3035RES1000mN2029000E3149000,AM_3,45.0
8,CRS3035RES1000mN2029000E3149000,AM_5,44.0
9,CRS3035RES1000mN2029000E3149000,AM_8,58.0
10,CRS3035RES1000mN2029000E3149000,AM_9,66.0
11,CRS3035RES1000mN2029000E3149000,AM_10,58.0
12,CRS3035RES1000mN2029000E3149000,AM_11,47.0
13,CRS3035RES1000mN2029000E3149000,AM_12,67.0
14,CRS3035RES1000mN2029000E3149000,AM_13,76.0
15,CRS3035RES1000mN2029000E3149000,AM_14,54.0
16,CRS3035RES1000mN2029000E3149000,AM_15,80.0
17,CRS3035RES1000mN2029000E3149000,AM_16,48.0
18,CRS3035RES1000mN2029000E3149000,AM_17,48.0
19,CRS3035RES1000mN2029000E3149000,AM_19,60.0
20,CRS3035RES1000mN2029000E3149000,AM_20,74.0
21,CRS3035RES1000mN2029000E3149000,AM_21,47.0
22,CRS3035RES1000mN2029000E3149000,AM_22,77.0
23,CRS3035RES1000mN2029000E3149000,AM_23,54.0
24,CRS3035RES1000mN2029000E3149000,AM_24,67.0
25,CRS3035RES1000mN2029000E3149000,AM_25,46.0
26,CRS3035RES1000mN2029000E3149000,AM_27,67.0
27,CRS3035RES1000mN2029000E3149000,AM_28,63.0
28,CRS3035RES1000mN2029000E3149000,AM_29,52.0
29,CRS3035RES1000mN2029000E3149000,AM_30,47.0
30,CRS3035RES1000mN2029000E3149000,AM_32,49.0
31,CRS3035RES1000mN2029000E3149000,AM_33,40.0
32,CRS3035RES1000mN2029000E3149000,AM_34,76.0
33,CRS3035RES1000mN2029000E3149000,AM_35,55.0
34,CRS3035RES1000mN2029000E3149000,AM_36,45.0
35,CRS3035RES1000mN2029000E3149000,AM_37,24.0
36,CRS3035RES1000mN2029000E3149000,AM_38,42.0
37,CRS3035RES1000mN2029000E3150000,28027618,58.0
38,CRS3035RES1000mN2029000E3150000,28027591,60.0
39,CRS3035RES1000mN2029000E3150000,28027606,80.0
40,CRS3035RES1000mN2029000E3150000,28027898,85.0
41,CRS3035RES1000mN2029000E3150000,28041810,82.0
42,CRS3035RES1000mN2029000E3150000,AM_1,57.0
43,CRS3035RES1000mN2029000E3150000,AM_2,66.0
44,CRS3035RES1000mN2029000E3150000,AM_3,60.0
45,CRS3035RES1000mN2029000E3150000,AM_5,51.0
46,CRS3035RES1000mN2029000E3150000,AM_8,59.0
47,CRS3035RES1000mN2029000E3150000,AM_9,78.0
48,CRS3035RES1000mN2029000E3150000,AM_10,65.0
49,CRS3035RES1000mN2029000E3150000,AM_11,55.0
50,CRS3035RES1000mN2029000E3150000,AM_12,77.0
51,CRS3035RES1000mN2029000E3150000,AM_13,90.0
52,CRS3035RES1000mN2029000E3150000,AM_14,61.0
53,CRS3035RES1000mN2029000E3150000,AM_15,87.0
54,CRS3035RES1000mN2029000E3150000,AM_16,58.0
55,CRS3035RES1000mN2029000E3150000,AM_17,59.0
56,CRS3035RES1000mN2029000E3150000,AM_19,67.0
57,CRS3035RES1000mN2029000E3150000,AM_20,81.0
58,CRS3035RES1000mN2029000E3150000,AM_21,55.0
59,CRS3035RES1000mN2029000E3150000,AM_22,84.0
60,CRS3035RES1000mN2029000E3150000,AM_23,61.0
61,CRS3035RES1000mN2029000E3150000,AM_24,76.0
62,CRS3035RES1000mN2029000E3150000,AM_25,54.0
63,CRS3035RES1000mN2029000E3150000,AM_27,68.0
64,CRS3035RES1000mN2029000E3150000,AM_28,70.0
65,CRS3035RES1000mN2029000E3150000,AM_29,65.0
66,CRS3035RES1000mN2029000E3150000,AM_30,60.0
67,CRS3035RES1000mN2029000E3150000,AM_32,57.0
68,CRS3035RES1000mN2029000E3150000,AM_33,48.0
69,CRS3035RES1000mN2029000E3150000,AM_34,90.0
70,CRS3035RES1000mN2029000E3150000,AM_35,63.0
71,CRS3035RES1000mN2029000E3150000,AM_36,52.0
72,CRS3035RES1000mN2029000E3150000,AM_37,24.0
73,CRS3035RES1000mN2029000E3150000,AM_38,50.0
74,CRS3035RES1000mN2029000E3151000,28027618,67.0
75,CRS3035RES1000mN2029000E3151000,28027591,76.0
76,CRS3035RES1000mN2029000E3151000,28027606,100.0
77,CRS3035RES1000mN2029000E3151000,28027898,98.0
78,CRS3035RES1000mN2029000E3151000,28041810,92.0
79,CRS3035RES1000mN2029000E3151000,AM_1,75.0
80,CRS3035RES1000mN2029000E3151000,AM_2,81.0
81,CRS3035RES1000mN2029000E3151000,AM_3,48.0
82,CRS3035RES1000mN2029000E3151000,AM_5,67.0
83,CRS3035RES1000mN2029000E3151000,AM_8,114.0
84,CRS3035RES1000mN2029000E3151000,AM_9,66.0
85,CRS3035RES1000mN2029000E3151000,AM_10,80.0
86,CRS3035RES1000mN2029000E3151000,AM_11,70.0
87,CRS3035RES1000mN2029000E3151000,AM_12,89.0
88,CRS3035RES1000mN2029000E3151000,AM_13,110.0
89,CRS3035RES1000mN2029000E3151000,AM_14,75.0
90,CRS3035RES1000mN2029000E3151000,AM_15,103.0
91,CRS3035RES1000mN2029000E3151000,AM_16,73.0
92,CRS3035RES1000mN2029000E3151000,AM_17,80.0
93,CRS3035RES1000mN2029000E3151000,AM_19,83.0
94,CRS3035RES1000mN2029000E3151000,AM_20,97.0
95,CRS3035RES1000mN2029000E3151000,AM_21,70.0
96,CRS3035RES1000mN2029000E3151000,AM_22,100.0
97,CRS3035RES1000mN2029000E3151000,AM_23,77.0
98,CRS3035RES1000mN2029000E3151000,AM_24,96.0
99,CRS3035RES1000mN2029000E3151000,AM_25,70.0
100,CRS3035RES1000mN2029000E3151000,AM_27,91.0
101,CRS3035RES1000mN2029000E3151000,AM_28,86.0
102,CRS3035RES1000mN2029000E3151000,AM_29,52.0
103,CRS3035RES1000mN2029000E3151000,AM_30,76.0
104,CRS3035RES1000mN2029000E3151000,AM_32,72.0
105,CRS3035RES1000mN2029000E3151000,AM_33,64.0
106,CRS3035RES1000mN2029000E3151000,AM_34,106.0
107,CRS3035RES1000mN2029000E3151000,AM_35,79.0
108,CRS3035RES1000mN2029000E3151000,AM_36,68.0
109,CRS3035RES1000mN2029000E3151000,AM_37,63.0
110,CRS3035RES1000mN2029000E3151000,AM_38,44.0
111,CRS3035RES1000mN2029000E3152000,28027618,52.0
112,CRS3035RES1000mN2029000E3152000,28027591,54.0
113,CRS3035RES1000mN2029000E3152000,28027606,72.0
114,CRS3035RES1000mN2029000E3152000,28027898,80.0
115,CRS3035RES1000mN2029000E3152000,28041810,69.0
116,CRS3035RES1000mN2029000E3152000,AM_1,51.0
117,CRS3035RES1000mN2029000E3152000,AM_2,59.0
118,CRS3035RES1000mN2029000E3152000,AM_3,38.0
119,CRS3035RES1000mN2029000E3152000,AM_5,45.0
120,CRS3035RES1000mN2029000E3152000,AM_8,58.0
121,CRS3035RES1000mN2029000E3152000,AM_9,65.0
122,CRS3035RES1000mN2029000E3152000,AM_10,59.0
123,CRS3035RES1000mN2029000E3152000,AM_11,49.0
124,CRS3035RES1000mN2029000E3152000,AM_12,67.0
125,CRS3035RES1000mN2029000E3152000,AM_13,75.0
126,CRS3035RES1000mN2029000E3152000,AM_14,55.0
127,CRS3035RES1000mN2029000E3152000,AM_15,80.0
128,CRS3035RES1000mN2029000E3152000,AM_16,51.0
129,CRS3035RES1000mN2029000E3152000,AM_17,46.0
130,CRS3035RES1000mN2029000E3152000,AM_19,62.0
131,CRS3035RES1000mN2029000E3152000,AM_20,75.0
132,CRS3035RES1000mN2029000E3152000,AM_21,48.0
133,CRS3035RES1000mN2029000E3152000,AM_22,79.0
134,CRS3035RES1000mN2029000E3152000,AM_23,55.0
135,CRS3035RES1000mN2029000E3152000,AM_24,66.0
136,CRS3035RES1000mN2029000E3152000,AM_25,47.0
137,CRS3035RES1000mN2029000E3152000,AM_27,66.0
138,CRS3035RES1000mN2029000E3152000,AM_28,63.0
139,CRS3035RES1000mN2029000E3152000,AM_29,47.0
140,CRS3035RES1000mN2029000E3152000,AM_30,46.0
141,CRS3035RES1000mN2029000E3152000,AM_32,50.0
142,CRS3035RES1000mN2029000E3152000,AM_33,42.0
143,CRS3035RES1000mN2029000E3152000,AM_34,75.0
144,CRS3035RES1000mN2029000E3152000,AM_35,57.0
145,CRS3035RES1000mN2029000E3152000,AM_36,46.0
146,CRS3035RES1000mN2029000E3152000,AM_37,39.0
147,CRS3035RES1000mN2029000E3152000,AM_38,37.0
148,CRS3035RES1000mN2030000E3148000,28027618,38.0
149,CRS3035RES1000mN2030000E3148000,28027591,48.0
150,CRS3035RES1000mN2030000E3148000,28027606,79.0
151,CRS3035RES1000mN2030000E3148000,28027898,80.0
152,CRS3035RES1000mN2030000E3148000,28041810,85.0
153,CRS3035RES1000mN2030000E3148000,AM_1,72.0
154,CRS3035RES1000mN2030000E3148000,AM_2,53.0
155,CRS3035RES1000mN2030000E3148000,AM_3,57.0
156,CRS3035RES1000mN2030000E3148000,AM_5,42.0
157,CRS3035RES1000mN2030000E3148000,AM_8,111.0
158,CRS3035RES1000mN2030000E3148000,AM_9,68.0
159,CRS3035RES1000mN2030000E3148000,AM_10,61.0
160,CRS3035RES1000mN2030000E3148000,AM_11,48.0
161,CRS3035RES1000mN2030000E3148000,AM_12,77.0
162,CRS3035RES1000mN2030000E3148000,AM_13,89.0
163,CRS3035RES1000mN2030000E3148000,AM_14,46.0
164,CRS3035RES1000mN2030000E3148000,AM_15,80.0
165,CRS3035RES1000mN2030000E3148000,AM_16,57.0
166,CRS3035RES1000mN2030000E3148000,AM_17,78.0
167,CRS3035RES1000mN2030000E3148000,AM_19,61.0
168,CRS3035RES1000mN2030000E3148000,AM_20,74.0
169,CRS3035RES1000mN2030000E3148000,AM_21,44.0
170,CRS3035RES1000mN2030000E3148000,AM_22,78.0
171,CRS3035RES1000mN2030000E3148000,AM_23,55.0
172,CRS3035RES1000mN2030000E3148000,AM_24,93.0
173,CRS3035RES1000mN2030000E3148000,AM_25,45.0
174,CRS3035RES1000mN2030000E3148000,AM_27,90.0
175,CRS3035RES1000mN2030000E3148000,AM_28,59.0
176,CRS3035RES1000mN2030000E3148000,AM_29,60.0
177,CRS3035RES1000mN2030000E3148000,AM_30,73.0
178,CRS3035RES1000mN2030000E3148000,AM_32,56.0
179,CRS3035RES1000mN2030000E3148000,AM_33,45.0
180,CRS3035RES1000mN2030000E3148000,AM_34,89.0
181,CRS3035RES1000mN2030000E3148000,AM_35,63.0
182,CRS3035RES1000mN2030000E3148000,AM_36,43.0
183,CRS3035RES1000mN2030000E3148000,AM_37,35.0
184,CRS3035RES1000mN2030000E3148000,AM_38,63.0
185,CRS3035RES1000mN2030000E3149000,28027618,72.0
186,CRS3035RES1000mN2030000E3149000,28027591,75.0
187,CRS3035RES1000mN2030000E3149000,28027606,98.0
188,CRS3035RES1000mN2030000E3149000,28027898,97.0
189,CRS3035RES1000mN2030000E3149000,28041810,93.0
190,CRS3035RES1000mN2030000E3149000,AM_1,73.0
191,CRS3035RES1000mN2030000E3149000,AM_2,81.0
192,CRS3035RES1000mN2030000E3149000,AM_3,62.0
193,CRS3035RES1000mN2030000E3149000,AM_5,66.0
194,CRS3035RES1000mN2030000E3149000,AM_8,114.0
195,CRS3035RES1000mN2030000E3149000,AM_9,78.0
196,CRS3035RES1000mN2030000E3149000,AM_10,80.0
197,CRS3035RES1000mN2030000E3149000,AM_11,70.0
198,CRS3035RES1000mN2030000E3149000,AM_12,92.0
199,CRS3035RES1000mN2030000E3149000,AM_13,108.0
200,CRS3035RES1000mN2030000E3149000,AM_14,76.0
201,CRS3035RES1000mN2030000E3149000,AM_15,102.0
202,CRS3035RES1000mN2030000E3149000,AM_16,72.0
203,CRS3035RES1000mN2030000E3149000,AM_17,81.0
204,CRS3035RES1000mN2030000E3149000,AM_19,83.0
205,CRS3035RES1000mN2030000E3149000,AM_20,96.0
206,CRS3035RES1000mN2030000E3149000,AM_21,70.0
207,CRS3035RES1000mN2030000E3149000,AM_22,99.0
208,CRS3035RES1000mN2030000E3149000,AM_23,76.0
209,CRS3035RES1000mN2030000E3149000,AM_24,95.0
210,CRS3035RES1000mN2030000E3149000,AM_25,68.0
211,CRS3035RES1000mN2030000E3149000,AM_27,90.0
212,CRS3035RES1000mN2030000E3149000,AM_28,85.0
213,CRS3035RES1000mN2030000E3149000,AM_29,62.0
214,CRS3035RES1000mN2030000E3149000,AM_30,77.0
215,CRS3035RES1000mN2030000E3149000,AM_32,71.0
216,CRS3035RES1000mN2030000E3149000,AM_33,63.0
217,CRS3035RES1000mN2030000E3149000,AM_34,103.0
218,CRS3035RES1000mN2030000E3149000,AM_35,78.0
219,CRS3035RES1000mN2030000E3149000,AM_36,67.0
220,CRS3035RES1000mN2030000E3149000,AM_37,41.0
221,CRS3035RES1000mN2030000E3149000,AM_38,60.0
222,CRS3035RES1000mN2030000E3150000,28027618,67.0
223,CRS3035RES1000mN2030000E3150000,28027591,74.0
224,CRS3035RES1000mN2030000E3150000,28027606,98.0
225,CRS3035RES1000mN2030000E3150000,28027898,96.0
226,CRS3035RES1000mN2030000E3150000,28041810,88.0
227,CRS3035RES1000mN2030000E3150000,AM_1,72.0
228,CRS3035RES1000mN2030000E3150000,AM_2,80.0
229,CRS3035RES1000mN2030000E3150000,AM_3,48.0
230,CRS3035RES1000mN2030000E3150000,AM_5,65.0
231,CRS3035RES1000mN2030000E3150000,AM_8,114.0
232,CRS3035RES1000mN2030000E3150000,AM_9,62.0
233,CRS3035RES1000mN2030000E3150000,AM_10,79.0
234,CRS3035RES1000mN2030000E3150000,AM_11,69.0
235,CRS3035RES1000mN2030000E3150000,AM_12,86.0
236,CRS3035RES1000mN2030000E3150000,AM_13,108.0
237,CRS3035RES1000mN2030000E3150000,AM_14,75.0
238,CRS3035RES1000mN2030000E3150000,AM_15,101.0
239,CRS3035RES1000mN2030000E3150000,AM_16,71.0
240,CRS3035RES1000mN2030000E3150000,AM_17,68.0
241,CRS3035RES1000mN2030000E3150000,AM_19,82.0
242,CRS3035RES1000mN2030000E3150000,AM_20,96.0
243,CRS3035RES1000mN2030000E3150000,AM_21,69.0
244,CRS3035RES1000mN2030000E3150000,AM_22,99.0
245,CRS3035RES1000mN2030000E3150000,AM_23,75.0
246,CRS3035RES1000mN2030000E3150000,AM_24,87.0
247,CRS3035RES1000mN2030000E3150000,AM_25,68.0
248,CRS3035RES1000mN2030000E3150000,AM_27,88.0
249,CRS3035RES1000mN2030000E3150000,AM_28,84.0
250,CRS3035RES1000mN2030000E3150000,AM_29,46.0
251,CRS3035RES1000mN2030000E3150000,AM_30,67.0
252,CRS3035RES1000mN2030000E3150000,AM_32,71.0
253,CRS3035RES1000mN2030000E3150000,AM_33,63.0
254,CRS3035RES1000mN2030000E3150000,AM_34,106.0
255,CRS3035RES1000mN2030000E3150000,AM_35,78.0
256,CRS3035RES1000mN2030000E3150000,AM_36,67.0
257,CRS3035RES1000mN2030000E3150000,AM_37,65.0
258,CRS3035RES1000mN2030000E3150000,AM_38,44.0
259,CRS3035RES1000mN2030000E3151000,28027618,58.0
260,CRS3035RES1000mN2030000E3151000,28027591,61.0
261,CRS3035RES1000mN2030000E3151000,28027606,82.0
262,CRS3035RES1000mN2030000E3151000,28027898,87.0
263,CRS3035RES1000mN2030000E3151000,28041810,81.0
264,CRS3035RES1000mN2030000E3151000,AM_1,59.0
265,CRS3035RES1000mN2030000E3151000,AM_2,67.0
266,CRS3035RES1000mN2030000E3151000,AM_3,40.0
267,CRS3035RES1000mN2030000E3151000,AM_5,52.0
268,CRS3035RES1000mN2030000E3151000,AM_8,58.0
269,CRS3035RES1000mN2030000E3151000,AM_9,62.0
270,CRS3035RES1000mN2030000E3151000,AM_10,66.0
271,CRS3035RES1000mN2030000E3151000,AM_11,56.0
272,CRS3035RES1000mN2030000E3151000,AM_12,78.0
273,CRS3035RES1000mN2030000E3151000,AM_13,91.0
274,CRS3035RES1000mN2030000E3151000,AM_14,63.0
275,CRS3035RES1000mN2030000E3151000,AM_15,89.0
276,CRS3035RES1000mN2030000E3151000,AM_16,60.0
277,CRS3035RES1000mN2030000E3151000,AM_17,58.0
278,CRS3035RES1000mN2030000E3151000,AM_19,69.0
279,CRS3035RES1000mN2030000E3151000,AM_20,82.0
280,CRS3035RES1000mN2030000E3151000,AM_21,56.0
281,CRS3035RES1000mN2030000E3151000,AM_22,86.0
282,CRS3035RES1000mN2030000E3151000,AM_23,63.0
283,CRS3035RES1000mN2030000E3151000,AM_24,78.0
284,CRS3035RES1000mN2030000E3151000,AM_25,55.0
285,CRS3035RES1000mN2030000E3151000,AM_27,66.0
286,CRS3035RES1000mN2030000E3151000,AM_28,71.0
287,CRS3035RES1000mN2030000E3151000,AM_29,43.0
288,CRS3035RES1000mN2030000E3151000,AM_30,61.0
289,CRS3035RES1000mN2030000E3151000,AM_32,58.0
290,CRS3035RES1000mN2030000E3151000,AM_33,50.0
291,CRS3035RES1000mN2030000E3151000,AM_34,91.0
292,CRS3035RES1000mN2030000E3151000,AM_35,65.0
293,CRS3035RES1000mN2030000E3151000,AM_36,53.0
294,CRS3035RES1000mN2030000E3151000,AM_37,39.0
295,CRS3035RES1000mN2030000E3151000,AM_38,38.0
296,CRS3035RES1000mN2030000E3152000,28027618,48.0
297,CRS3035RES1000mN2030000E3152000,28027591,51.0
298,CRS3035RES1000mN2030000E3152000,28027606,70.0
299,CRS3035RES1000mN2030000E3152000,28027898,78.0
300,CRS3035RES1000mN2030000E3152000,28041810,67.0
301,CRS3035RES1000mN2030000E3152000,AM_1,49.0
302,CRS3035RES1000mN2030000E3152000,AM_2,56.0
303,CRS3035RES1000mN2030000E3152000,AM_3,28.0
304,CRS3035RES1000mN2030000E3152000,AM_5,42.0
305,CRS3035RES1000mN2030000E3152000,AM_8,59.0
306,CRS3035RES1000mN2030000E3152000,AM_9,44.0
307,CRS3035RES1000mN2030000E3152000,AM_10,57.0
308,CRS3035RES1000mN2030000E3152000,AM_11,46.0
309,CRS3035RES1000mN2030000E3152000,AM_12,66.0
310,CRS3035RES1000mN2030000E3152000,AM_13,73.0
311,CRS3035RES1000mN2030000E3152000,AM_14,52.0
312,CRS3035RES1000mN2030000E3152000,AM_15,79.0
313,CRS3035RES1000mN2030000E3152000,AM_16,50.0
314,CRS3035RES1000mN2030000E3152000,AM_17,45.0
315,CRS3035RES1000mN2030000E3152000,AM_19,59.0
316,CRS3035RES1000mN2030000E3152000,AM_20,73.0
317,CRS3035RES1000mN2030000E3152000,AM_21,45.0
318,CRS3035RES1000mN2030000E3152000,AM_22,77.0
319,CRS3035RES1000mN2030000E3152000,AM_23,53.0
320,CRS3035RES1000mN2030000E3152000,AM_24,63.0
321,CRS3035RES1000mN2030000E3152000,AM_25,45.0
322,CRS3035RES1000mN2030000E3152000,AM_27,67.0
323,CRS3035RES1000mN2030000E3152000,AM_28,61.0
324,CRS3035RES1000mN2030000E3152000,AM_29,25.0
325,CRS3035RES1000mN2030000E3152000,AM_30,44.0
326,CRS3035RES1000mN2030000E3152000,AM_32,48.0
327,CRS3035RES1000mN2030000E3152000,AM_33,40.0
328,CRS3035RES1000mN2030000E3152000,AM_34,73.0
329,CRS3035RES1000mN2030000E3152000,AM_35,55.0
330,CRS3035RES1000mN2030000E3152000,AM_36,43.0
331,CRS3035RES1000mN2030000E3152000,AM_37,40.0
332,CRS3035RES1000mN2030000E3152000,AM_38,28.0
333,CRS3035RES1000mN2031000E3148000,28027618,61.0
334,CRS3035RES1000mN2031000E3148000,28027591,76.0
335,CRS3035RES1000mN2031000E3148000,28027606,102.0
336,CRS3035RES1000mN2031000E3148000,28027898,99.0
337,CRS3035RES1000mN2031000E3148000,28041810,94.0
338,CRS3035RES1000mN2031000E3148000,AM_1,76.0
339,CRS3035RES1000mN2031000E3148000,AM_2,81.0
340,CRS3035RES1000mN2031000E3148000,AM_3,60.0
341,CRS3035RES1000mN2031000E3148000,AM_5,67.0
342,CRS3035RES1000mN2031000E3148000,AM_8,114.0
343,CRS3035RES1000mN2031000E3148000,AM_9,77.0
