,from_id,to_id,travel_time
0,CRS3035RES1000mN2040000E3173000,28027618,
1,CRS3035RES1000mN2040000E3173000,28027591,
2,CRS3035RES1000mN2040000E3173000,28027606,
3,CRS3035RES1000mN2040000E3173000,28027898,
4,CRS3035RES1000mN2040000E3173000,28041810,
5,CRS3035RES1000mN2040000E3173000,AM_1,
6,CRS3035RES1000mN2040000E3173000,AM_2,
7,CRS3035RES1000mN2040000E3173000,AM_3,
8,CRS3035RES1000mN2040000E3173000,AM_5,
9,CRS3035RES1000mN2040000E3173000,AM_8,
10,CRS3035RES1000mN2040000E3173000,AM_9,
11,CRS3035RES1000mN2040000E3173000,AM_10,
12,CRS3035RES1000mN2040000E3173000,AM_11,
13,CRS3035RES1000mN2040000E3173000,AM_12,
14,CRS3035RES1000mN2040000E3173000,AM_13,
15,CRS3035RES1000mN2040000E3173000,AM_14,
16,CRS3035RES1000mN2040000E3173000,AM_15,
17,CRS3035RES1000mN2040000E3173000,AM_16,
18,CRS3035RES1000mN2040000E3173000,AM_17,
19,CRS3035RES1000mN2040000E3173000,AM_19,
20,CRS3035RES1000mN2040000E3173000,AM_20,
21,CRS3035RES1000mN2040000E3173000,AM_21,
22,CRS3035RES1000mN2040000E3173000,AM_22,
23,CRS3035RES1000mN2040000E3173000,AM_23,
24,CRS3035RES1000mN2040000E3173000,AM_24,
25,CRS3035RES1000mN2040000E3173000,AM_25,
26,CRS3035RES1000mN2040000E3173000,AM_27,
27,CRS3035RES1000mN2040000E3173000,AM_28,
28,CRS3035RES1000mN2040000E3173000,AM_29,
29,CRS3035RES1000mN2040000E3173000,AM_30,
30,CRS3035RES1000mN2040000E3173000,AM_32,
31,CRS3035RES1000mN2040000E3173000,AM_33,
32,CRS3035RES1000mN2040000E3173000,AM_34,116.0
33,CRS3035RES1000mN2040000E3173000,AM_35,
34,CRS3035RES1000mN2040000E3173000,AM_36,
35,CRS3035RES1000mN2040000E3173000,AM_37,
36,CRS3035RES1000mN2040000E3173000,AM_38,
37,CRS3035RES1000mN2040000E3174000,28027618,80.0
38,CRS3035RES1000mN2040000E3174000,28027591,77.0
39,CRS3035RES1000mN2040000E3174000,28027606,65.0
40,CRS3035RES1000mN2040000E3174000,28027898,70.0
41,CRS3035RES1000mN2040000E3174000,28041810,111.0
42,CRS3035RES1000mN2040000E3174000,AM_1,113.0
43,CRS3035RES1000mN2040000E3174000,AM_2,82.0
44,CRS3035RES1000mN2040000E3174000,AM_3,117.0
45,CRS3035RES1000mN2040000E3174000,AM_5,78.0
46,CRS3035RES1000mN2040000E3174000,AM_8,
47,CRS3035RES1000mN2040000E3174000,AM_9,115.0
48,CRS3035RES1000mN2040000E3174000,AM_10,71.0
49,CRS3035RES1000mN2040000E3174000,AM_11,76.0
50,CRS3035RES1000mN2040000E3174000,AM_12,81.0
51,CRS3035RES1000mN2040000E3174000,AM_13,65.0
52,CRS3035RES1000mN2040000E3174000,AM_14,78.0
53,CRS3035RES1000mN2040000E3174000,AM_15,91.0
54,CRS3035RES1000mN2040000E3174000,AM_16,88.0
55,CRS3035RES1000mN2040000E3174000,AM_17,111.0
56,CRS3035RES1000mN2040000E3174000,AM_19,75.0
57,CRS3035RES1000mN2040000E3174000,AM_20,86.0
58,CRS3035RES1000mN2040000E3174000,AM_21,82.0
59,CRS3035RES1000mN2040000E3174000,AM_22,87.0
60,CRS3035RES1000mN2040000E3174000,AM_23,69.0
61,CRS3035RES1000mN2040000E3174000,AM_24,
62,CRS3035RES1000mN2040000E3174000,AM_25,84.0
63,CRS3035RES1000mN2040000E3174000,AM_27,
64,CRS3035RES1000mN2040000E3174000,AM_28,83.0
65,CRS3035RES1000mN2040000E3174000,AM_29,115.0
66,CRS3035RES1000mN2040000E3174000,AM_30,111.0
67,CRS3035RES1000mN2040000E3174000,AM_32,71.0
68,CRS3035RES1000mN2040000E3174000,AM_33,72.0
69,CRS3035RES1000mN2040000E3174000,AM_34,58.0
70,CRS3035RES1000mN2040000E3174000,AM_35,71.0
71,CRS3035RES1000mN2040000E3174000,AM_36,79.0
72,CRS3035RES1000mN2040000E3174000,AM_37,109.0
73,CRS3035RES1000mN2040000E3174000,AM_38,111.0
74,CRS3035RES1000mN2041000E3170000,28027618,91.0
75,CRS3035RES1000mN2041000E3170000,28027591,88.0
76,CRS3035RES1000mN2041000E3170000,28027606,62.0
77,CRS3035RES1000mN2041000E3170000,28027898,94.0
78,CRS3035RES1000mN2041000E3170000,28041810,118.0
79,CRS3035RES1000mN2041000E3170000,AM_1,
80,CRS3035RES1000mN2041000E3170000,AM_2,93.0
81,CRS3035RES1000mN2041000E3170000,AM_3,
82,CRS3035RES1000mN2041000E3170000,AM_5,90.0
83,CRS3035RES1000mN2041000E3170000,AM_8,
84,CRS3035RES1000mN2041000E3170000,AM_9,
85,CRS3035RES1000mN2041000E3170000,AM_10,82.0
86,CRS3035RES1000mN2041000E3170000,AM_11,90.0
87,CRS3035RES1000mN2041000E3170000,AM_12,81.0
88,CRS3035RES1000mN2041000E3170000,AM_13,62.0
89,CRS3035RES1000mN2041000E3170000,AM_14,91.0
90,CRS3035RES1000mN2041000E3170000,AM_15,109.0
91,CRS3035RES1000mN2041000E3170000,AM_16,100.0
92,CRS3035RES1000mN2041000E3170000,AM_17,
93,CRS3035RES1000mN2041000E3170000,AM_19,93.0
94,CRS3035RES1000mN2041000E3170000,AM_20,103.0
95,CRS3035RES1000mN2041000E3170000,AM_21,94.0
96,CRS3035RES1000mN2041000E3170000,AM_22,105.0
