,from_id,to_id,travel_time
0,CRS3035RES1000mN2028000E3178000,28027618,76.0
1,CRS3035RES1000mN2028000E3178000,28027591,73.0
2,CRS3035RES1000mN2028000E3178000,28027606,82.0
3,CRS3035RES1000mN2028000E3178000,28027898,62.0
4,CRS3035RES1000mN2028000E3178000,28041810,98.0
5,CRS3035RES1000mN2028000E3178000,AM_1,111.0
6,CRS3035RES1000mN2028000E3178000,AM_2,78.0
7,CRS3035RES1000mN2028000E3178000,AM_3,115.0
8,CRS3035RES1000mN2028000E3178000,AM_5,73.0
9,CRS3035RES1000mN2028000E3178000,AM_8,
10,CRS3035RES1000mN2028000E3178000,AM_9,112.0
11,CRS3035RES1000mN2028000E3178000,AM_10,67.0
12,CRS3035RES1000mN2028000E3178000,AM_11,72.0
13,CRS3035RES1000mN2028000E3178000,AM_12,89.0
14,CRS3035RES1000mN2028000E3178000,AM_13,82.0
15,CRS3035RES1000mN2028000E3178000,AM_14,74.0
16,CRS3035RES1000mN2028000E3178000,AM_15,71.0
17,CRS3035RES1000mN2028000E3178000,AM_16,82.0
18,CRS3035RES1000mN2028000E3178000,AM_17,105.0
19,CRS3035RES1000mN2028000E3178000,AM_19,69.0
20,CRS3035RES1000mN2028000E3178000,AM_20,54.0
21,CRS3035RES1000mN2028000E3178000,AM_21,78.0
22,CRS3035RES1000mN2028000E3178000,AM_22,58.0
23,CRS3035RES1000mN2028000E3178000,AM_23,63.0
24,CRS3035RES1000mN2028000E3178000,AM_24,113.0
25,CRS3035RES1000mN2028000E3178000,AM_25,79.0
26,CRS3035RES1000mN2028000E3178000,AM_27,
27,CRS3035RES1000mN2028000E3178000,AM_28,79.0
28,CRS3035RES1000mN2028000E3178000,AM_29,113.0
29,CRS3035RES1000mN2028000E3178000,AM_30,102.0
30,CRS3035RES1000mN2028000E3178000,AM_32,74.0
31,CRS3035RES1000mN2028000E3178000,AM_33,67.0
32,CRS3035RES1000mN2028000E3178000,AM_34,75.0
33,CRS3035RES1000mN2028000E3178000,AM_35,72.0
34,CRS3035RES1000mN2028000E3178000,AM_36,75.0
35,CRS3035RES1000mN2028000E3178000,AM_37,107.0
36,CRS3035RES1000mN2028000E3178000,AM_38,108.0
37,CRS3035RES1000mN2028000E3179000,28027618,50.0
38,CRS3035RES1000mN2028000E3179000,28027591,47.0
39,CRS3035RES1000mN2028000E3179000,28027606,62.0
40,CRS3035RES1000mN2028000E3179000,28027898,47.0
41,CRS3035RES1000mN2028000E3179000,28041810,83.0
42,CRS3035RES1000mN2028000E3179000,AM_1,77.0
43,CRS3035RES1000mN2028000E3179000,AM_2,52.0
44,CRS3035RES1000mN2028000E3179000,AM_3,82.0
45,CRS3035RES1000mN2028000E3179000,AM_5,47.0
46,CRS3035RES1000mN2028000E3179000,AM_8,118.0
47,CRS3035RES1000mN2028000E3179000,AM_9,82.0
48,CRS3035RES1000mN2028000E3179000,AM_10,42.0
49,CRS3035RES1000mN2028000E3179000,AM_11,45.0
50,CRS3035RES1000mN2028000E3179000,AM_12,63.0
51,CRS3035RES1000mN2028000E3179000,AM_13,62.0
52,CRS3035RES1000mN2028000E3179000,AM_14,48.0
53,CRS3035RES1000mN2028000E3179000,AM_15,60.0
54,CRS3035RES1000mN2028000E3179000,AM_16,57.0
55,CRS3035RES1000mN2028000E3179000,AM_17,83.0
56,CRS3035RES1000mN2028000E3179000,AM_19,44.0
57,CRS3035RES1000mN2028000E3179000,AM_20,53.0
58,CRS3035RES1000mN2028000E3179000,AM_21,52.0
59,CRS3035RES1000mN2028000E3179000,AM_22,56.0
60,CRS3035RES1000mN2028000E3179000,AM_23,38.0
61,CRS3035RES1000mN2028000E3179000,AM_24,99.0
62,CRS3035RES1000mN2028000E3179000,AM_25,54.0
63,CRS3035RES1000mN2028000E3179000,AM_27,96.0
64,CRS3035RES1000mN2028000E3179000,AM_28,53.0
65,CRS3035RES1000mN2028000E3179000,AM_29,83.0
66,CRS3035RES1000mN2028000E3179000,AM_30,82.0
67,CRS3035RES1000mN2028000E3179000,AM_32,48.0
68,CRS3035RES1000mN2028000E3179000,AM_33,42.0
69,CRS3035RES1000mN2028000E3179000,AM_34,55.0
70,CRS3035RES1000mN2028000E3179000,AM_35,46.0
71,CRS3035RES1000mN2028000E3179000,AM_36,49.0
72,CRS3035RES1000mN2028000E3179000,AM_37,80.0
73,CRS3035RES1000mN2028000E3179000,AM_38,81.0
74,CRS3035RES1000mN2029000E3178000,28027618,48.0
75,CRS3035RES1000mN2029000E3178000,28027591,45.0
76,CRS3035RES1000mN2029000E3178000,28027606,62.0
77,CRS3035RES1000mN2029000E3178000,28027898,42.0
78,CRS3035RES1000mN2029000E3178000,28041810,79.0
79,CRS3035RES1000mN2029000E3178000,AM_1,76.0
80,CRS3035RES1000mN2029000E3178000,AM_2,50.0
81,CRS3035RES1000mN2029000E3178000,AM_3,82.0
82,CRS3035RES1000mN2029000E3178000,AM_5,45.0
83,CRS3035RES1000mN2029000E3178000,AM_8,117.0
84,CRS3035RES1000mN2029000E3178000,AM_9,82.0
