,from_id,to_id,travel_time
0,CRS3035RES1000mN2048000E3160000,28027618,89.0
1,CRS3035RES1000mN2048000E3160000,28027591,86.0
2,CRS3035RES1000mN2048000E3160000,28027606,75.0
3,CRS3035RES1000mN2048000E3160000,28027898,108.0
4,CRS3035RES1000mN2048000E3160000,28041810,118.0
5,CRS3035RES1000mN2048000E3160000,AM_1,
6,CRS3035RES1000mN2048000E3160000,AM_2,89.0
7,CRS3035RES1000mN2048000E3160000,AM_3,118.0
8,CRS3035RES1000mN2048000E3160000,AM_5,87.0
9,CRS3035RES1000mN2048000E3160000,AM_8,
10,CRS3035RES1000mN2048000E3160000,AM_9,
11,CRS3035RES1000mN2048000E3160000,AM_10,81.0
12,CRS3035RES1000mN2048000E3160000,AM_11,87.0
13,CRS3035RES1000mN2048000E3160000,AM_12,72.0
14,CRS3035RES1000mN2048000E3160000,AM_13,76.0
15,CRS3035RES1000mN2048000E3160000,AM_14,89.0
16,CRS3035RES1000mN2048000E3160000,AM_15,104.0
17,CRS3035RES1000mN2048000E3160000,AM_16,95.0
18,CRS3035RES1000mN2048000E3160000,AM_17,
19,CRS3035RES1000mN2048000E3160000,AM_19,92.0
20,CRS3035RES1000mN2048000E3160000,AM_20,99.0
21,CRS3035RES1000mN2048000E3160000,AM_21,91.0
22,CRS3035RES1000mN2048000E3160000,AM_22,102.0
23,CRS3035RES1000mN2048000E3160000,AM_23,86.0
24,CRS3035RES1000mN2048000E3160000,AM_24,
25,CRS3035RES1000mN2048000E3160000,AM_25,90.0
26,CRS3035RES1000mN2048000E3160000,AM_27,
27,CRS3035RES1000mN2048000E3160000,AM_28,88.0
28,CRS3035RES1000mN2048000E3160000,AM_29,114.0
29,CRS3035RES1000mN2048000E3160000,AM_30,
30,CRS3035RES1000mN2048000E3160000,AM_32,68.0
31,CRS3035RES1000mN2048000E3160000,AM_33,79.0
32,CRS3035RES1000mN2048000E3160000,AM_34,92.0
33,CRS3035RES1000mN2048000E3160000,AM_35,67.0
34,CRS3035RES1000mN2048000E3160000,AM_36,87.0
35,CRS3035RES1000mN2048000E3160000,AM_37,118.0
36,CRS3035RES1000mN2048000E3160000,AM_38,115.0
37,CRS3035RES1000mN2048000E3161000,28027618,68.0
38,CRS3035RES1000mN2048000E3161000,28027591,66.0
39,CRS3035RES1000mN2048000E3161000,28027606,49.0
40,CRS3035RES1000mN2048000E3161000,28027898,83.0
41,CRS3035RES1000mN2048000E3161000,28041810,92.0
42,CRS3035RES1000mN2048000E3161000,AM_1,100.0
43,CRS3035RES1000mN2048000E3161000,AM_2,68.0
44,CRS3035RES1000mN2048000E3161000,AM_3,94.0
45,CRS3035RES1000mN2048000E3161000,AM_5,66.0
46,CRS3035RES1000mN2048000E3161000,AM_8,119.0
47,CRS3035RES1000mN2048000E3161000,AM_9,102.0
48,CRS3035RES1000mN2048000E3161000,AM_10,60.0
49,CRS3035RES1000mN2048000E3161000,AM_11,66.0
50,CRS3035RES1000mN2048000E3161000,AM_12,51.0
51,CRS3035RES1000mN2048000E3161000,AM_13,60.0
52,CRS3035RES1000mN2048000E3161000,AM_14,69.0
53,CRS3035RES1000mN2048000E3161000,AM_15,84.0
54,CRS3035RES1000mN2048000E3161000,AM_16,75.0
55,CRS3035RES1000mN2048000E3161000,AM_17,102.0
56,CRS3035RES1000mN2048000E3161000,AM_19,71.0
57,CRS3035RES1000mN2048000E3161000,AM_20,79.0
