numero_registro;sector;tipo;subtipo;denominacion;plazas_autorizadas_numero;municipio_codigo;municipio_nombre;direccion_via_tipo;direccion_via_codigo;direccion_via_nombre;direccion_portal;direccion_codigo_postal;direccion_mancomunidad;direccion_area;direccion_distrito;direccion_demarcacion;direccion_zonass;direccion_coor_y;direccion_coor_x;contacto_telefono;contacto_correo;entidad_denominacion;entidad_nif;entidad_naturaleza;tipo_gestion
C0003;Personas con enfermedad mental crónica;CENTROS DE REHABILITACIÓN;CENTROS DE REHABILITACIÓN: OTROS;CENTRO DE REHABILITACION LABORAL NUEVA VIDA;40;079;Madrid;CALLE;01394;de Colomer;14;28028;;Madrid capital;Salamanca;Salamanca 1;Guindalera;4476188;443644;91355 26 80;"crl@crlnuevavida.es;pcarreras@crlnuevavida.es";ASOCIACION PSIQUIATRIA Y VIDA;G28727261;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS
C0005;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;NTRA. SRA. DE FATIMA, RESIDENCIA DE PERSONAS MAYORES;96;061;Galapagar;CALLE;A0502;Procesiones;44;28260;;Oeste;Noroeste;San Lorenzo de El Escorial;Galapagar;4491976;415078;91 858 42 40;"fatima@residencia-fatima.com;marina.hermoso@asperger.es";RESIDENCIA FATIMA, S.L.;B79025193;PRIVADA CON ÁNIMO DE LUCRO;PRIVADA + PEVS
C0007;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;SAN CAMILO, RESIDENCIA DE PERSONAS MAYORES;144;903;Tres Cantos;SECT;00008;Escultores;39;28760;;Norte;Sierra;Tres Cantos;Tres Cantos I;4496392;439602;91 803 40 00;"personas@sancamilo.org;residencia@sancamilo.org;jmg@sancamilo.org";RR. CAMILOS-RESIDENCIA ASISTIDA SAN CAMILO;R2800714D;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS + PEVS
C0010;Personas mayores;CENTROS DE DÍA;CENTROS DE DÍA: OTROS;NUEVA EDAD, CENTRO DE DIA;60;079;Madrid;CALLE;09814;de Martínez Villergas;6;28027;;Madrid capital;Ciudad Lineal;Ciudad Lineal 3;San Pascual;4476780;444737;914 033 131/902 095 902;"asispa@asispa.org;vheranz@asispa.org";ASOCIACION SERVICIO INTEGRAL SECTORIAL PARA ANCIANOS (ASISPA);G28702504;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS + PEVS
C0018;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;MADRE MARAVILLAS, RESIDENCIA DE PERSONAS MAYORES;54;065;Getafe;PLAZA;A0384;de la Iglesia;1;28909;;Sur;Getafe;Zona Sur Rural;Perales del Río;4463944;444260;91 684 70 85;info@mmaravillas.org;CENTRO GERIATRICO MADRE MARAVILLAS, S.A.;A78679669;PRIVADA CON ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS + PEVS
C0020;Personas sin hogar;CENTROS DE DÍA;CENTROS DE DÍA: OTROS;MARIA INMACULADA COMEDOR BENEFICO;152;079;Madrid;PASEO;02508;del General Martínez Campos;18;28010;;Madrid capital;Chamberí;Chamberí 1;Almagro;4476255;440970;914 464 739 - 682 319 051;pivp@fshijasdelacaridad.org;FUNDACION SOCIAL HIJAS DE LA CARIDAD;G88640958;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA TOTAL
C0026;Personas mayores;CENTROS DE DÍA;HOGARES Y CLUBES;EL ENCUENTRO;40;079;Madrid;CALLE;01625;de Cyesa;13;28017;;Madrid capital;Ciudad Lineal;Ciudad Lineal 1;Ventas;4475696;444238;91 3562897;lucianoruperez@yahoo.es;ASOCIACION CLUB EL ENCUENTRO DE TERCERA EDAD;G78819737;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA TOTAL
C0034;Mujer;CENTROS DE DÍA;CENTROS DE DÍA: OTROS;PREVENCION Y REHABILITACION APRAMP, CENTRO DE DIA;20;079;Madrid;PLAZA;00370;del Ángel;14;28012;;Madrid capital;Centro;Centro 1;Cortes;4473982;440395;914201708;"rocio.mora@apramp.org;apramp@apramp.org";ASOCIACION PARA ATENCION, PREVENCION Y REINSERCION DE LA MUJER PROSTITUIDA (APRAMP);G79414082;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA TOTAL
C0043;Personas sin hogar;CENTROS DE DÍA;CENTROS DE DÍA: OTROS;COMEDOR SAN FRANCISCO;32;079;Madrid;CALLE;10641;del General Asensio Cabanillas;23;28003;;Madrid capital;Chamberí;Chamberí 2;Vallehermoso;4477381;439205;915545642;comedorsanfrancisco@yahoo.es;PARROQUIA DE SAN BRUNO;R7800645I;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA TOTAL
C0044;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;EL CONCEJO, RESIDENCIA DE PERSONAS MAYORES;53;028;Bustarviejo;CALLE;00122;de Mariano García Pérez;1;28720;MANCOMUNIDAD SIERRA NORTE;Norte;Sierra;Sierra Norte;Bustarviejo;4523317;440218;"633026770;918482764";"residenciaelconcejo@gmail.com;madrid@alfergestion.com;misabelmonfer@gmail.com";ASOCIACION DE AMIGOS DE LA TERCERA EDAD EL CONCEJO DE BUSTARVIEJO;G28852101;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA + PEVS
