centro_codigo,centro_nombre,centro_tipo_descripcion,centro_titularidad,centro_titular,municipio_nombre,distrito_nombre,direccion_coor_y,direccion_coor_x,ARTE,DANZA,EDUCACIONADULTA,EDUCACIONESPECIAL,FORMACIONPROFESIONAL,HOSPITALARIA,IDIOMAS,INFANTIL,MILITAR,MUSICA,OTRO,OTRONOEDUCATIVO,PENITENCIARIO,PRIMARIA,SECUNDARIA,SUPERIOR,UNIVERSITARIO
28027591,UNIVERSIDAD POLITECNICA DE MADRID,UNIVERSIDAD,PÚBLICO,U. POLITECNICA DE MADRID,Madrid,,40.4486606436225,-3.71928880052634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28027606,UNIVERSIDAD AUTONOMA DE MADRID,UNIVERSIDAD,PÚBLICO,U. AUTONOMA DE MADRID,Madrid,,40.5467003410696,-3.69437732637861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28027898,UNIVERSIDAD DE ALCALA DE HENARES,UNIVERSIDAD,PÚBLICO,U. DE ALCALA DE HENARES,Alcalá de Henares,,40.4825392741253,-3.36288763369924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28041810,UNIVERSIDAD CARLOS III,UNIVERSIDAD,PÚBLICO,U. CARLOS III,Getafe,,40.3162950458415,-3.72644334695453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AM_1,UNIVERSIDAD JUAN CARLOS,UNIVERSIDAD,PÚBLICO,U. JUAN CARLOS,Möstoles,,40.3348643529968,-3.87319020393927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AM_2,CUNEF UNIVERSIDAD,UNIVERSIDAD,PRIVADO,CUNEF UNIVERSIDAD,Madrid,,40.4517176333511,-3.72026223625921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AM_3,ESIC UNIVERSIDAD,UNIVERSIDAD,PRIVADO,ESIC UNIVERSIDAD,,,40.4369008595648,-3.80146414907024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AM_4,UNIVERSIDAD ALFONSO X EL SABIO,UNIVERSIDAD,PRIVADO,U. ALFONSO X EL SABIO,,,40.4507004718545,-3.98699078148123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AM_5,UNIVERSIDAD ANTONIO DE NEBRIJA,UNIVERSIDAD,PRIVADO,U. ANTONIO DE NEBRIJA,,,40.4304742391405,-3.71335152570418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AM_6,UNIVERSIDAD CAMILO JOSÉ CELA,UNIVERSIDAD,PRIVADO,U. CAMILO JOSÉ CELA,,,40.473179351235,-3.94119807352184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AM_7,UNIVERSIDAD A DISTANCIA DE MADRID – UDIMA,UNIVERSIDAD,PRIVADO,U. UDIMA,,,40.6315222026573,-3.99934705800361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AM_8,UNIVERSIDAD EUROPEA DE MADRID,UNIVERSIDAD,PRIVADO,U. EUROPEA DE MADRID,,,40.3732886643926,-3.91904923763821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AM_9,UNIVERSIDAD FRANCISCO DE VITORIA,UNIVERSIDAD,PRIVADO,U. FRANCISCO DE VITORIA,,,40.4405184108114,-3.83374726614909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AM_10,UNIVERSIDAD DE DISEÑO INNOVACION Y TECNOLOGÍA (UDIT),UNIVERSIDAD,PRIVADO,UDIT,,,40.4564456111458,-3.66747047370506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AM_11,UNIVERSIDAD INTERNACIONAL DE LA EMPRESA,UNIVERSIDAD,PRIVADO,U. INTERNACIONAL DE LA EMPRESA,,,40.4327884050025,-3.7063933936438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AM_12,UNIVERSIDAD INTERNACIONAL VILLANUEVA,UNIVERSIDAD,PRIVADO,U. INTERNACIONAL VILLANUEAVA,,,40.496632335381,-3.70186635815213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AM_13,UNIVERSIDAD PONTIFICA COMILLAS,UNIVERSIDAD,PRIVADO,U. PONTIFICA COMILLAS,,,40.5512444123775,-3.68140633658554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AM_14,UNIVERSIDAD SAN PABLO CEU,UNIVERSIDAD,PRIVADO,U. SAN PABLO CEU,,,40.4429630738528,-3.71709708149022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AM_15,UNIVERSIDAD POLITECNICA DE MADRID CAMPUS SUR,UNIVERSIDAD,PÚBLICO,U. POLITECNICA DE MADRID,,,40.4013288981989,-3.62679216352587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AM_16,UNIVERSIDAD CARLOS III PUERTA DE TOLEDO CAMPUS,UNIVERSIDAD,PÚBLICO,U. CARLOS III,,,40.4068414382198,-3.70962350395992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AM_17,UNIVERSIDAD CARLOS III CAMPUS LEGANES,UNIVERSIDAD,PÚBLICO,U. CARLOS III,,,40.3337669987892,-3.76491020397324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AM_18,UNIVERSIDAD CARLOS III CAMPUS DE COLMENAREJO,UNIVERSIDAD,PÚBLICO,U. CARLOS III,,,40.5658753844537,-4.01237759523225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
