PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO
6408;"Centro de Enseñanza Superior Cardenal Cisneros";"";"";"";"Metro: Lista (línea 4), Núñez de Balboa (líneas 5 y 9), Diego de León (líneas 4, 5 y 6).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ea1cf3216571c010VgnVCM1000000b205a0aRCRD";"GENERAL DIAZ PORLIER";"CALLE";"V";"58";"";"";"";"";"MADRID";"MADRID";"28006";"5";"LISTA";"4";"SALAMANCA";"442606";"4475777";"40.430655746270524";"-3.676645132506573";"913 096 120  / 914 028 981";"";"secretaria@cescisneros.es";"/contenido/entidadesYorganismos/Universidades/OtrosCentrosUniversitarios"
6368;"Centro de Enseñanza Superior en Humanidades y Ciencias de la Educación Don Bosco";"";"";"";"Metro: Francos Rodríguez (línea 7).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cff8ae10c471c010VgnVCM1000000b205a0aRCRD";"MARIA AUXILIADORA";"CALLE";"V";"9";"";"";"";"";"MADRID";"MADRID";"28040";"3";"CIUDAD UNIVERSITARIA";"9";"MONCLOA-ARAVACA";"439343";"4478823";"40.4578663330372";"-3.7154022232737973";"914 500 472";"";"comunicacion@cesdonbosco.com";"/contenido/entidadesYorganismos/Universidades/OtrosCentrosUniversitarios"
7029862;"Centro de Enseñanza Superior Villanueva";"";"";"";"Metro: Paco de Lucía (línea 9).  Cercanías Renfe: Mirasierra-Paco de Lucía (líneas C7, C8, C8a, C8b).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d4d1e0ecb9eaf310VgnVCM1000000b205a0aRCRD";"COSTA BRAVA";"CALLE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28034";"7";"MIRASIERRA";"8";"FUENCARRAL-EL PARDO";"440508";"4483040";"40.49594165711777";"-3.702048289834191";"917 340 413";"";"";"/contenido/entidadesYorganismos/Universidades/OtrosCentrosUniversitarios"
6696;"Centro Superior de Diseño de Moda de Madrid (Centro adscrito a la UPM)";"Centro adscrito a la Universidad Politécnica de Madrid.";"";"";"Metro: Sierra de Guadalupe (línea 1).  Cercanías Renfe: Vallecas (líneas C2,C7).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=16c17b503a71c010VgnVCM1000000b205a0aRCRD";"VALENCIA";"CARRETERA";"T";"7";"";"";"";"Bloque I";"MADRID";"MADRID";"28030";"5";"FONTARRON";"14";"MORATALAZ";"444288";"4473008";"40.388857066045915";"-3.6286523028588005";"913 310 126";"";"informacion.csdmm@upm.es";"/contenido/entidadesYorganismos/Universidades/OtrosCentrosUniversitarios"
6383;"Centro Universitario La Salle";"";"";"";"Consulta los siguientes enlaces.";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5289ae10c471c010VgnVCM1000000b205a0aRCRD";"LA SALLE";"CALLE";"V";"10";"";"";"";"";"MADRID";"MADRID";"28023";"5";"VALDEMARIN";"9";"MONCLOA-ARAVACA";"433703";"4479802";"40.466248901592856";"-3.7820082470461647";"917 401 980";"913 571 730";"sia@lasallecampus.es";"/contenido/entidadesYorganismos/Universidades/EscuelasUniversitarias"
10297377;"Colegio Mayor Alcalá";"";"";"Tipo masculina.";"Metro: Metropolitano (línea 6).";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=93179fc26c5fa510VgnVCM2000001f4a900aRCRD";"DON RAMON MENENDEZ PIDAL";"CALLE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28040";"3";"CIUDAD UNIVERSITARIA";"9";"MONCLOA-ARAVACA";"438986";"4477692";"40.44764820463789";"-3.719503495059197";"915 533 004";"915 549 548";"admisiones@cmalcala.es";"/contenido/entidadesYorganismos/Universidades/ColegiosMayores"
10297407;"Colegio Mayor Alcor";"";"";"Tipo femenina.";"Metro: Metropolitano (línea 6), Guzmán el Bueno (línea 6 y 7).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0b19849d706fa510VgnVCM2000001f4a900aRCRD";"GENERAL AMPUDIA";"CALLE";"V";"7";"";"";"";"";"MADRID";"MADRID";"28003";"6";"VALLEHERMOSO";"7";"CHAMBERI";"439342";"4477200";"40.443245742864015";"-3.715255918766616";"915 339 208";"";"info@cmalcor.com";"/contenido/entidadesYorganismos/Universidades/ColegiosMayores"
6507;"Colegio Mayor Antonio de Nebrija";"";"";"Tipo mixta.";"Metro: Ciudad Universitaria (línea 6)";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=77453b54d771c010VgnVCM1000000b205a0aRCRD";"SENECA";"AVENIDA";"V";"8";"";"";"";"";"MADRID";"MADRID";"28040";"3";"CIUDAD UNIVERSITARIA";"9";"MONCLOA-ARAVACA";"438214";"4476373";"40.43571333918665";"-3.7284677239467596";"913 941 005";"";"cmuantoniodenebrija@ucm.es";"/contenido/entidadesYorganismos/Universidades/ColegiosMayores"
6548;"Colegio Mayor Aquinas (Santo Tomás de Aquino)";"";"";"Tipo mixto.";"Metro: Estación Vicente Aleixandre (línea 6), Ciudad Universitaria (línea 6) y Francos Rodríguez (línea 7)";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b3e73b54d771c010VgnVCM1000000b205a0aRCRD";"LEONARDO PRIETO CASTRO";"CALLE";"V";"6";"";"";"";"";"MADRID";"MADRID";"28040";"3";"CIUDAD UNIVERSITARIA";"9";"MONCLOA-ARAVACA";"438791";"4478182";"40.45204759324346";"-3.7218395787782304";"915 438 800";"";"aquinas@aquinas.es";"/contenido/entidadesYorganismos/Universidades/ColegiosMayores"
10297432;"Colegio Mayor Argentino Nuestra Señora de Luján";"";"";"Tipo mixta.";"Metro: Moncloa (línea 6) Ciudad Universitaria (línea 6)";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=341d849d706fa510VgnVCM2000001f4a900aRCRD";"MARTIN FIERRO";"CALLE";"V";"3";"";"";"";"";"MADRID";"MADRID";"28040";"3";"CIUDAD UNIVERSITARIA";"9";"MONCLOA-ARAVACA";"437941";"4476419";"40.43610678975899";"-3.731701576349752";"911 812 050";"915 446 001";"administracion@cmanslujan.com";"/contenido/entidadesYorganismos/Universidades/ColegiosMayores"
